Station code,water_bodies,Station name,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia  (mg/L),Hardness (mg/L),Calcium (mg/L),Magnesium (mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),% Sodium,SAR,Arsenic,Cadmium,Copper,Lead,Total Chromium,Nickel,Zinc,Iron
4232,Lakes & Tanks ,"Komati Cheruvu,",7.2,7.05,730,2.2,11,0.35,Less than 2,26,3,0.4,Not analysed,16,24,124,110,18,3.4,2.1,189,36,24,13,43,416,317,17,Not analysed,0.23,Less than 0.01,5,0.33,32.25,1.36,Less than 0.02,0.02,0.1,Less than 0.2,Less than 0.2,Less than 0.1,Less than 0.1,BDL
4235,Lakes & Tanks ,Lake Kamuni( Shamshabad Lake),Less than  0.1,8.04,2250,25,4,,28,332,Not analysed,Not analysed,Not analysed,18,Less than 1,385,391,139,4.2,Not Analysed,465,88,59.53,148,286,1360,Not aNot analysedlysed,30,0.82,Not analysed,0.38,5,0.72,56.72,5.75,,,,,,,,
4233,Lakes & Tanks ,"Gaddapotharam cheruvu,",5.5,6.83,5030,6.4,45,0.27,Less than 2,94,4.6,0.5,Not analysed,27,32,720,680,55,10.4,6.5,1071,124,185,165,249,2891,2169,45,Not analysed,0.24,0.04,93,0.42,31.08,3.29,Less than 0.02,0.02,0.1,Less than 0.2,Less than 0.2,Less than 0.1,Less than 0.1,BDL
4238,Lakes & Tanks ,"Ameenpur Cheruvu,",6.3,7.22,1114,3.6,5,0.24,Less than 2,120,3,0.5,Not analysed,25,28,146,120,30,5.7,3.5,212,42,26,17,43,634,453,26,Not analysed,0.34,0.02,7,0.29,29.6,1.28,Less than 0.02,0.05,0.32,Less than 0.2,Less than 0.2,Less than 0.1,Less than 0.1,7.3
4239,Lakes & Tanks ,"Mahaboobsagar Tank,",6.7,7.44,1318,2.8,11,0.21,Less than 2,70,3.2,0.6,Not analysed,10,20,140,112,22,4.1,2.6,227,48,26,19,37,751,572,24,Not analysed,0.36,0.03,4,0.34,25.62,1.06,Less than 0.02,0.0,0.35,Less than 0.2,Less than 0.2,Less than 0.1,2.58,2.16
4244,Lakes & Tanks ,"Erdanoor Tank,",7,7.26,743,2.3,8,0.53,Less than 2,48,5.7,0.62,Not analysed,11,16,136,118,16,3,1.8,205,36,28,15,43,423,326,22,Not analysed,0.41,Less than 0.01,7,0.44,30.24,1.3,Less than 0.02,0.02,0.1,Less than 0.2,Less than 0.2,Less than 0.1,Less than 0.1,BDL
4245,Lakes & Tanks ,"Mallepally Tank,",6.2,7.5,2048,3.4,10,0.37,Less than 2,39,5,0.5,Not analysed,15,24,164,138,40,7.6,4.7,308,74,30,21,47,1188,921,28,Not analysed,0.39,0.04,9,0.21,24.11,1.16,Less than 0.02,0.02,0.1,Less than 0.2,Less than 0.2,Less than 0.1,Less than 0.1,5.19
4247,Lakes & Tanks ,"Mucharla Nagaram cheruvu, Warangal",2,7.38,805,6,1.2,Not Analysed,28,268,Not analysed,Not analysed,Not analysed,16,Less than 1,265,80,38,Less than 1,Not Analysed,295,50,41.31,36,56,522,Not aNot analysedlysed,6,0.82,Not analysed,0.15,3,0.62,28.8,1.41,,,,,,,,
4248,Lakes & Tanks ,"Koti Cheruvu, Hanamkonda, Warangal",Less than  0.1,7.52,1073,10,16.82,Not Analysed,22,350,Not analysed,Not analysed,Not analysed,10,Less than 1,240,152,86,2.8,Not Analysed,275,72,23.09,78,122,678,Not aNot analysedlysed,18,1.98,Not analysed,0.35,4,1.48,48.53,3.19,,,,,,,,
4229,Lakes & Tanks ,Neknampur Lake,Less than  0.1,7.67,2138,22,3,Not Analysed,23,238,Not analysed,Not analysed,Not analysed,16,Less than 1,520,324,147,4.4,Not Analysed,630,150,61.96,140,226,1350,Not aNot analysedlysed,17,1.94,Not analysed,0.52,6,0.82,43.39,3.9,,,,,,,,
4249,Lakes & Tanks ,"Rangasamudram, Warangal",Less than  0.1,7.39,1173,12,2.48,Not Analysed,20,350,Not analysed,Not analysed,Not analysed,8,Less than 1,265,166,98,3.6,Not Analysed,315,64,37.66,63,116,680,Not aNot analysedlysed,14,0.63,Not analysed,0.22,4,0.96,43.91,2.83,,,,,,,,
4661,Lakes & Tanks ,Peddakanjarla Tank,Sample was not collected as the tank was in dry condition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4666,Lakes & Tanks ,Ismailkhanpet Tank,Sample was not collected as the tank was in dry condition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4670,Lakes & Tanks ,"Sample collected from Bairamalaguda Cheruvu, Medchal-Malkajigiri District.",Sample was not collected as the tank was in dry condition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4675,Lakes & Tanks ,"Lotus pond, Hakimpet (V), Shaik pet (new mandal)",Less than  0.1,7.18,884,12,4,,26,330,Not analysed,Not analysed,Not analysed,18,Less than 1,190,124,52,3.8,Not Analysed,245,58,24.3,58,80,562,Not aNot analysedlysed,10,0.8,Not analysed,0.22,8,1,40.41,2.22,,,,,,,,
4680,Lakes & Tanks ,Laknavaram lake,6.8,7.62,216,0,2,,Less than 2,66,Not analysed,Not analysed,Not analysed,4,Less than 1,70,23,8,Less than 1,Not Analysed,80,18,8.5,6,12,140,Not aNot analysedlysed,6,Less than 0.01,Not analysed,Less than 0.01,2,Less than 0.01,23.91,0.58,,,,,,,,
4681,Lakes & Tanks ,Pakala lake Narsampet,6.8,7.46,226,0,0.38,,Less than 2,22,Not analysed,Not analysed,Not analysed,4.2,Less than 1,70,24,6,Less than 1,Not Analysed,85,18,9.72,10,12,140,Not aNot analysedlysed,6,Less than 0.01,Not analysed,Less than 0.01,2,Less than 0.01,22.85,0.56,,,,,,,,
4682,Lakes & Tanks ,Bandham Cheruvu,2.2,8.1,1372,8,12,,22,248,Not analysed,Not analysed,Not analysed,18,Less than 1,345,178,79,2.5,Not Analysed,370,96,31.59,58,134,850,Not aNot analysedlysed,24,1.82,Not analysed,0.26,3,0.88,43.69,3.02,,,,,,,,
4688,Lakes & Tanks ,"Narinja River, Kothur - B (V), Zaheerabad",Sample was not collected as the tank was in dry condition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1391,Lakes & Tanks ,Hussain sagar Lake,Less than 0.1,7.24,1080,20,12,Less than 0.01,350,Less than 1600,,,,32,Less than 1,248,110,85,52,0.19,316,102,15,72,90,637,438,23,0.8,-,Less than 0.01,15,Less than 0.01,36.75,2.2,,,,,,,,
3071,Lakes & Tanks ,Langarhouse lake,Less than  0.1,7.42,1188,20,7.8,Not Analysed,36,430,Not analysed,Not analysed,Not analysed,22,Less than 1,285,144,102,3.6,Not Analysed,360,96,29.16,80,96,780,Not aNot analysedlysed,24,1.38,Not analysed,0.22,4,1.02,36.27,2.2,,,,,,,,
2341,Lakes & Tanks ,Miralam tank,Less than  0.1,7.28,1657,20,11.6,Not Analysed,26,430,Not analysed,Not analysed,Not analysed,14,Less than 1,410,182,92,3.8,Not Analysed,460,119.2,39.37,130,160,1028,Not aNot analysedlysed,22,2.36,Not analysed,0.28,4,0.74,42.68,3.24,,,,,,,,
3073,Lakes & Tanks ,"Hasmathpet lake, Hasmathpet",Less than  0.1,7.29,1270,32,18.08,Not Analysed,22,350,Not analysed,Not analysed,Not analysed,16,Less than 1,375,116,114,4.2,Not Analysed,425,96,44.95,68,82,800,Not aNot analysedlysed,24,2.54,Not analysed,0.24,11,0.84,28.77,1.72,,,,,,,,
3072,Lakes & Tanks ,Safilguda lake,Less than  0.1,7.05,1328,22,14.2,Not Analysed,20,430,Not analysed,Not analysed,Not analysed,26,Less than 1,320,194,98,3.6,Not Analysed,380,88,38.88,80,136,840,Not aNot analysedlysed,26,0.84,Not analysed,0.28,6,1.02,43.14,3.03,,,,,,,,
3075,Lakes & Tanks ,Rangadhamuni cheruvu,Less than  0.1,7.28,1038,18,3.8,Not Analysed,32,430,Not analysed,Not analysed,Not analysed,18,Less than 1,180,194,106,2.8,Not Analysed,260,64,24.3,78,124,653,Not aNot analysedlysed,22,0.68,Not analysed,0.3,6,0.86,50.06,3.34,,,,,,,,
3076,Lakes & Tanks ,"Amber cheruvu, Kukatpally",Less than  0.1,7.42,1562,42,22.4,Not Analysed,20,450,Not analysed,Not analysed,Not analysed,14,Less than 1,370,189,207,4.6,Not Analysed,480,88,63.18,122,126,1020,Not aNot analysedlysed,20,5.86,Not analysed,0.28,16,1.12,35.22,2.49,,,,,,,,
3077,Lakes & Tanks ,"Kapra cheruvu, Kapra",Less than  0.1,7.16,1490,20,8.16,Not Analysed,20,350,Not analysed,Not analysed,Not analysed,16,Less than 1,340,206,83,3.2,Not Analysed,380,96,34.02,80,154,940,Not aNot analysedlysed,26,2.01,Not analysed,0.32,4,0.78,46.39,3.43,,,,,,,,
2357,Lakes & Tanks ,Durgam cheruvu,Less than  0.1,7.19,1220,16,4.21,Not Analysed,26,350,Not analysed,Not analysed,Not analysed,18,Less than 1,230,188,132,2.4,Not Analysed,275,74,21.87,88,142,772,Not aNot analysedlysed,18,2.9,Not analysed,0.26,8,0.75,51.87,3.72,,,,,,,,
2344,Lakes & Tanks ,Nalla cheruvu,Sample was not collected as the tank was in dry condition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2359,Lakes & Tanks ,Pedda cheruvu,Less than  0.1,7.36,1216,20,12.36,Not Analysed,24,430,Not analysed,Not analysed,Not analysed,10,Less than 1,320,134,103,4.6,Not Analysed,380,82,42.52,84,99,766,Not aNot analysedlysed,12,0.82,Not analysed,0.32,4,1.09,35.72,2.2,,,,,,,,
2342,Lakes & Tanks ,Noor Md. Kunta,Less than  0.1,7.38,2480,44,13.9,Not Analysed,38,520,Not analysed,Not analysed,Not analysed,28,Less than 1,520,378,231,6.8,Not Analysed,640,192,38.88,140,258,1631,Not aNot analysedlysed,16,0.68,Not analysed,0.36,2,1.64,46.53,4.43,,,,,,,,
3070,Lakes & Tanks ,"Fox sagar, Jeedimetla",Less than  0.1,7.56,1610,20,4.32,Not Analysed,20,350,Not analysed,Not analysed,Not analysed,12,Less than 1,340,262,80,3.2,Not Analysed,420,116,31.59,108,186,1020,Not aNot analysedlysed,20,0.86,Not analysed,0.32,4,1.04,48.65,3.94,,,,,,,,
3074,Lakes & Tanks ,Banjara Lake,1.4,7.2,1172,10,3.8,Not Analysed,13,430,Not analysed,Not analysed,Not analysed,10,Less than 1,310,138,66,3,Not Analysed,335,96,23.09,64,108,740,Not aNot analysedlysed,10,0.86,Not analysed,0.26,4,0.74,40.75,2.56,,,,,,,,
4236,Lakes & Tanks ,Pedda Cheruvu (Nacharam cheruvu),"Letter was addressed to CPCB dated:26.10.2018 to relocate with Pedda Cheruvu, Gajularamaram",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3086,Lakes & Tanks ,Saki Tank,7.3,6.85,1448,2.3,13,0.38,Less than 2,27,4.6,0.5,Not analysed,9,24,146,120,16,3,1.9,209,44,24,21,45,840,638,14,Not analysed,0.32,Less than 0.01,6,0.39,31.0,1.35,Less than 0.02,0.02,0.1,Less than 0.2,Less than 0.2,Less than 0.1,Less than 0.1,BDL
4237,Lakes & Tanks ,"Mullakatwa Cheruvu, Hi Tech City, Madhapur,",Less than  0.1,7.62,1392,20,13,Not Analysed,39,380,Not analysed,Not analysed,Not analysed,16,Less than 1,390,143,82,3.2,Not Analysed,420,88,48.6,82,114,880,Not aNot analysedlysed,14,0.96,Not analysed,0.3,10,0.94,36.28,2.41,,,,,,,,
4667,Lakes & Tanks ,"Surram Cheruvu (Palle Cheruvu), Bandlaguda (V), Bandlaguda (new mandal)",Less than  0.1,7.09,1869,47,4,Not Analysed,20,330,Not analysed,Not analysed,Not analysed,26,Less than 1,310,360,244,4.2,Not Analysed,375,114,21.87,82,242,1178,Not aNot analysedlysed,40,2.2,Not analysed,0.31,8,1.76,57.66,5.43,,,,,,,,
4668,Lakes & Tanks ,"Chinnarayan Cheruvu, Alwal (V)",Less than  0.1,7.29,1478,60,29.3,Not Analysed,24,430,Not analysed,Not analysed,Not analysed,24,Less than 1,375,174,184,4.2,Not Analysed,460,115.2,41.8,86,112,940,Not aNot analysedlysed,34,3.98,Not analysed,0.32,12,0.94,33.77,2.27,,,,,,,,
4669,Lakes & Tanks ,"Pedd Cheruvu, Gangaram (V), Serilingarampally (New Mandal)",Less than  0.1,7.04,1783,24,16.86,Not Analysed,17,430,Not analysed,Not analysed,Not analysed,20,Less than 1,462,272,185,4.8,Not Analysed,645,154,63.18,68,124,1123,Not aNot analysedlysed,26,2.62,Not analysed,0.32,8,1.04,29.05,2.12,,,,,,,,
4671,Lakes & Tanks ,"Medi Kunta, Guttala begumpet (V)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4672,Lakes & Tanks ,"Medi Kunta (Wipro Lake), Nanakramguda",Less than  0.1,7.32,1218,18,12,Not Analysed,16,184,Not analysed,Not analysed,Not analysed,16,Less than 1,240,204,76,3.9,Not Analysed,325,60,42.52,84,134,770,Not aNot analysedlysed,12,1.2,Not analysed,0.32,6,0.38,46.52,3.22,,,,,,,,
4673,Lakes & Tanks ,Medikunta lake (BK Enclave),2.8,7.86,896,8,10.6,Not Analysed,20,350,Not analysed,Not analysed,Not analysed,10,Less than 1,215,126,48,2,Not Analysed,260,46,35.23,58,88,570,Not aNot analysedlysed,18,0.32,Not analysed,0.32,6,0.52,41.51,2.36,,,,,,,,
4674,Lakes & Tanks ,"Meedi Kunta, Hafeezpet (V), Serlingampally",Less than  0.1,7.22,1051,20,1,Not Analysed,22,220,Not analysed,Not analysed,Not analysed,22,Less than 1,282,116,139,4.2,Not Analysed,310,58,40.09,62,88,644,Not aNot analysedlysed,36,0.32,Not analysed,0.36,9,1.8,37.15,2.17,,,,,,,,
4676,Lakes & Tanks ,"Banda Cheruvu, Malkajigiri (V),Malkajigiri (new mandal)",Less than  0.1,7.73,1390,32,27.3,Not Analysed,30,350,Not analysed,Not analysed,Not analysed,26,Less than 1,300,242,138,5.6,Not Analysed,360,66,47.38,68,160,880,Not aNot analysedlysed,32,3.18,Not analysed,0.36,10,1.02,48.1,3.65,,,,,,,,
4677,Lakes & Tanks ,"Lingam Cheruvu, Suraram (V), Quthubullapur",Less than  0.1,7.65,1891,29,16.34,Not Analysed,14,330,Not analysed,Not analysed,Not analysed,18,Less than 1,470,232,124,4.2,Not Analysed,480,82,66.83,104,195,1254,Not aNot analysedlysed,40,6.18,Not analysed,0.38,12,0.97,45.94,3.86,,,,,,,,
4678,Lakes & Tanks ,"Sample collected from Patel Cheruvu, Nacharam, Medchal-Malkajigiri District.",Less than  0.1,7.58,1470,48,14.8,Not Analysed,28,540,Not analysed,Not analysed,Not analysed,28,Less than 1,360,188,233,4.8,Not Analysed,430,88,51.03,82,128,930,Not aNot analysedlysed,26,3.74,Not analysed,0.24,10,1.16,38.45,2.68,,,,,,,,
4679,Lakes & Tanks ,HUDA Park Lake,Less than  0.1,7.55,1510,22,3.2,Not Analysed,24,350,Not analysed,Not analysed,Not analysed,24,Less than 1,255,260,120,4.4,Not Analysed,330,67.2,39.37,122,192,980,Not aNot analysedlysed,43,2.1,Not analysed,0.28,8,0.86,54.94,4.58,,,,,,,,
4683,Lakes & Tanks ,"Pedda cheruvu, Madikonda",2.6,7.13,470,3,0.3,Not Analysed,Less than 2,20,Not analysed,Not analysed,Not analysed,28,Less than 1,138,52,21,Less than 1,Not Analysed,190,44,19.44,31,24,306,Not aNot analysedlysed,4,Less than 0.01,Not analysed,Less than 0.01,3,Less than 0.01,21.12,0.76,,,,,,,,
4684,Lakes & Tanks ,Campus Lake Icrisat,7,6.61,169,2,2,0.32,2,280, -, -,Not analysed,2,4,24,16,6,1.1,0.7,63,12,8,7,6,91,69,8,Not analysed,0.24,Less than 0.01,1,0.32,16.8,0.33,Less than 0.02,0.02,0.1,Less than 0.2,Less than 0.2,Less than 0.1,Less than 0.1,BDL
4685,Lakes & Tanks ,Surisigal Lake Icrisat,7.3,6.78,456,3.2,3,0.29,3,220, -, -,Not analysed,4,12,40,36,28,5.2,3.3,94,18,12,4,9,264,193,26,Not analysed,0.29,Less than 0.01,2,0.46,16.7,0.4,Less than 0.02,0.02,0.1,Less than 0.2,Less than 0.2,Less than 0.1,Less than 0.1,BDL
4686,Lakes & Tanks ,Icrisat Lake,6.9,6.82,517,2.6,6,0.38,4,350, -, -,Not analysed,5,8,48,40,22,4.1,2.6,182,43,18,7,11,305,216,21,Not analysed,0.32,Less than 0.01,2,0.24,11.44,0.35,Less than 0.02,0.02,0.1,Less than 0.2,Less than 0.2,Less than 0.1,Less than 0.1,BDL
4687,Lakes & Tanks ,Red Lake Icrisat,6.8,6.93,637,2,7,0.35,2,430, -, -,Not analysed,7,4,96,68,22,3.4,2.1,131,26,16,9,25,369,273,16,Not analysed,0.15,Less than 0.01,2,0.35,28.82,0.95,Less than 0.02,0.02,0.1,Less than 0.2,Less than 0.2,Less than 0.1,Less than 0.1,BDL
4689,Lakes & Tanks ,"Sunnam Kunta, Jubille hills",2,7.32,975,7,6,Not Analysed,3,164,Not analysed,Not analysed,Not analysed,24,Less than 1,180,186,46,2,Not Analysed,285,64,30.38,68,102,569,Not aNot analysedlysed,11,0.13,Not analysed,0.28,6,0.18,42.97,2.62,,,,,,,,
4690,Lakes & Tanks ,"Banjara Kunta (Singadi Kunta), Shaikpet",2.2,7.07,1024,8,6,Not Analysed,12,280,Not analysed,Not analysed,Not analysed,20,Less than 1,270,110,72,2.8,Not Analysed,320,85,27,66,80,614,Not aNot analysedlysed,9,0.28,Not analysed,0.22,3,0.3,34.59,1.93,,,,,,,,
4691,Lakes & Tanks ,"Sample collected from Nagole Cheruvu, Uppal Malkajigiri District.",2,7.34,1230,10,18.4,Not Analysed,28,430,Not analysed,Not analysed,Not analysed,23,Less than 1,375,126,95,4.8,Not Analysed,410,112,31.59,48,88,762,Not aNot analysedlysed,21,2.38,Not analysed,0.34,8,1.16,31.2,1.89,,,,,,,,
4692,Lakes & Tanks ,"Sample collected from Ramanthapur Cheruvu, Medchal-Malkajigiri District.",2.0,7.14,910,10,18.2,Not Analysed,18,350,Not analysed,Not analysed,Not analysed,13,Less than 1,180,154,103,3.8,Not Analysed,220,46,25.52,66,112,620,Not aNot analysedlysed,18,0.84,Not analysed,0.21,4,0.28,51.81,3.27,,,,,,,,
4693,Lakes & Tanks ,"Patel Cheruvu, Madeenaguda, Miyapur",1.8,7.18,1076,12,3.2,Not Analysed,28,350,Not analysed,Not analysed,Not analysed,12,Less than 1,260,132,78,3.8,Not Analysed,310,60.8,38.39,70,96,680,Not aNot analysedlysed,10,2,Not analysed,0.32,6,0.98,39.5,2.36,,,,,,,,
4694,Lakes & Tanks ,"Mundla Katwa, Moosapet (V), Kukatpally","4237 & 4694 BOTH ARE SAMPLE i.e., OLD 4237 DATA HAS TO BE TAKEN (4694 TO REPLACE)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4695,Lakes & Tanks ,"Khaja Kunta, Kukatpally (V)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4696,Lakes & Tanks ,"Parki Cheruvu, Kukatpally (V), Balanagar",Less than  0.1,7.35,1213,26,7.42,Less than 0.01,26,430,Not analysed,Not analysed,Not analysed,10,Less than 1,295,176,142,3.6,Not Analysed,380,118,20.66,84,117,750,Not aNot analysedlysed,8,1.84,Not analysed,0.26,4,0.62,39.71,2.61,,,,,,,,
4697,Lakes & Tanks ,"Mukkidi Cheruvu (Ramakrishnapuram Lake), Malkajigri",Dried up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4698,Lakes & Tanks ,"Mannevari Kunta, Machabollaram (V), Alwal",Dried up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4699,Lakes & Tanks ,"Sample collected from Kaprai Cheruvu, RamanthpurMedchal-Malkajigiri District.",Dried up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4700,Lakes & Tanks ,"Large tank, Saroornagar, Rangareddy District.",Less than  0.1,7.55,1530,26,8.6,Less than 0.01,22,350,Not analysed,Not analysed,Not analysed,22,Less than 1,360,212,159,4.4,Not Analysed,395,110,29.16,72,154,964,Not aNot analysedlysed,33,2.86,Not analysed,0.22,12,1.07,44.84,3.36,,,,,,,,
4701,Lakes & Tanks ,"Lingam kunta lake Chandanagar,Serilingampally, Rangareddy (Dist)",Less than  0.1,7.34,1573,20,16.2,Less than 0.01,32,430,Not analysed,Not analysed,Not analysed,38,Less than 1,380,208,121,4.6,Not Analysed,410,88,46.17,80,158,990,Not aNot analysedlysed,18,1,Not analysed,0.32,6,0.62,44.98,3.38,,,,,,,,
4702,Lakes & Tanks ,"Pedda Cheruvu - Khaja guda, Khajaguda (V), Serlingampally (new mandal)",3.4,7.6,1138,16,40,Less than 0.01,130,920,,,,42,Less than 1,168,130,52,28,0.23,424,112,35,45,115,694,322,74,3.8,-,Less than 0.01,13,Less than 0.01,36.1,2.42,,,,,,,,
4703,Lakes & Tanks ,Bulbubu kunta,1.2,7.77,1220,8,5.82,Not Analysed,20,430,Not analysed,Not analysed,Not analysed,20,Less than 1,305,160,126,3.4,Not Analysed,380,78,44.95,76,108,720,Not aNot analysedlysed,20,2,Not analysed,0.18,2,0.98,37.89,2.4,,,,,,,,
4704,Lakes & Tanks ,"Pedda Cheruvu, Mansoorabad, Saroornagar, Rangareddy District.",Less than  0.1,7.18,1520,22,24.82,Not Analysed,20,350,Not analysed,Not analysed,Not analysed,26,Less than 1,320,260,202,3.4,Not Analysed,380,96,34.02,72,178,957,Not aNot analysedlysed,30,2.52,Not analysed,0.24,2,1.04,50.17,3.96,,,,,,,,
4705,Lakes & Tanks ,"Kotha Cheruvu (Alwal Cheruvu), Alwal (V),",Less than  0.1,7.41,1382,20,28.6,Not Analysed,18,350,Not analysed,Not analysed,Not analysed,16,Less than 1,320,184,78,Less than 1,Not Analysed,440,124,31.59,78,98,920,Not aNot analysedlysed,26,2.14,Not analysed,0.38,12,1.12,31.8,2.03,,,,,,,,
15,Borewells,Borewell at Koyyura,,7.37,725,,2.2,Not Analysed,,,,,,6,Less than 1,340,66,20,Less than 1,Nan,247,41,35,26,58,420,Not analysed,4,Less than 0.01,Not analysed,Less than 0.01,4,1.02,33.22,1.6,,,,,,,,
1794,Borewells,Borewell at Manakondur,,7.23,1238,,3.2,Not Analysed,,,,,,8,Less than 1,255,172,18,Less than 1,Nan,310,67.2,34.51,86,132,784,Not analysed,6,Less than 0.01,Not analysed,Less than 0.01,2,1.06,47.72,3.25,,,,,,,,
3094,Borewells,"Bore well at Akbarnagar, Ramagundam",,7.72,967,,1.6,Not Analysed,,,,,,4,Less than 1,150,162,20,Less than 1,Nan,260,52.8,31.1,72,96,630,Not analysed,5,Less than 0.01,Not analysed,Less than 0.01,4,0.82,43.9,2.58,,,,,,,,
1793,Borewells,Open well at Kundanpally near ash ponds of NTPC,,7.56,1711,,1.2,Not Analysed,,,,,,4,Less than 1,365,285,42,Less than 1,Nan,440,70.4,64.15,92,180,1080,Not analysed,16,,Not analysed,Less than 0.01,4,1.42,46.6,3.72,,,,,,,,
1791,Borewells,Borewell at Pydipally near East side of Sai cheruvu,,7.24,1702,,7.2,Not Analysed,,,,,,8.2,Less than 1,310,270,66,4.6,Nan,560,136,53.46,86,128,1072,Not analysed,8,Less than 0.01,Not analysed,0.08,4,1.2,32.89,2.35,,,,,,,,
1792,Borewells,"Borewell at CKM College, Enamamula",,8.1,1637,,12.08,Not Analysed,,,,,,6,Less than 1,365,218,24,3.2,Nan,480,88,63.18,136,148,1019,Not analysed,13,,Not analysed,0.1,6,1.02,39.59,2.93,,,,,,,,
16,Borewells,Open well at Tadavai,,7.65,753,,13.64,Not Analysed,,,,,,10,Less than 1,220,74,36,Less than 1,Nan,240,68,17.01,42,70,496,Not analysed,8,,Not analysed,Less than 0.01,2,0.94,38.47,1.96,,,,,,,,
1811,Borewells,Borewell at M.P.P School Rudravelli,,7.6,1847,,18,0.35,,,,,,1.2,32,360,286,18,3,2,304,59,38,105,63,1052,789,5,Not analysed,,Less than 0.01,11,0.36,29.98,1.57,Less than 0.02,Less than 0.1,Less than 0.1,Less than 0.2,Less than 0.2,Less than 0.1,Less than 0.1,0.51
27,Borewells,Borewell at MRO Office Peddavoora,,7.66,514,,15,0.29,,,,,,1.5,28,296,204,16,2.8,2.6,280,46,40,45,81,298,226,7,Not analysed,,Less than 0.01,3,0.42,38.15,2.1,Less than 0.02,Less than 0.1,Less than 0.1,Less than 0.2,Less than 0.2,Less than 0.1,Less than 0.1,BDL
1525,Borewells,Borewell at Pashamylaram near M/s.Sri Chaitanya Chlorides,,6.91,2600,,38,0.38,,,,,,2.1,24,360,510,42,8,5,450,78,62,27,85,1509,1125,9,Not analysed,,Less than  0.01,11,0.38,28.33,1.74,Less than 0.02,Less than 0.1,Less than 0.1,Less than 0.2,Less than 0.2,Less than 0.1,Less than 0.1,BDL
1795,Borewells,Borewell at Bollaram near Panchayat Office,,7.25,2900,,36,0.42,,,,,,2.5,32,440,550,55,9,6,482,84,66,33,91,1651,1201,11,Not analysed,,Less than  0.01,15,0.49,28.18,1.8,Less than 0.02,Less than 0.1,Less than 0.1,Less than 0.2,Less than 0.2,Less than 0.1,Less than 0.1,BDL
1810,Borewells,"Borewell at Bodhan, Sriramnagar colony, Shakkarnagar, NZB",,7.49,2652,,25,0.37,,,,,,1.3,36,468,455,24,5,3,419,72,58,23,81,1511,1178,6,Not analysed,,Less than  0.01,9,0.51,28.9,1.72,Less than 0.02,Less than 0.1,Less than 0.1,Less than 0.2,Less than 0.2,0.14,Less than 0.1,2.61
1515,Borewells,"Borewell at Nagaram, Palvancha",2.8,7.28,1120,,6.8,Not Analysed,,,,,,10,Less than 1,280,142,40,Less than 1,,350,60.8,48.11,72,82,710,Not analysed,14,,Not analysed,Less than  0.01,6,0.76,33.11,1.9,,,,,,,,
3088,Borewells,"B/w at J.Narasimha Rao’s house, 14Nos. area, Ramavaram, near MWS dumpsite, Kothagudem",2.2,7.28,1767,,10.42,Not Analysed,,,,,,8,Less than 1,310,272,42,Less than 1,,480,83.2,66.1,144,174,1141,Not analysed,9,,Not analysed,Less than  0.01,6,0.98,43.51,3.44,,,,,,,,
4261,Borewells,"Borewell at M/s Shalini Steels Ltd., IDA Bollaram, Jinnaram Mandal, Sangareddy District",,7.23,4600,,35,0.41,,,,,,2.1,40,424,790,98,19,12,949,225,94,27,85,2576,1969,91,Not analysed,,Less than  0.01,13,0.47,15.99,1.2,0.02,Less than 0.1,Less than 0.1,Less than 0.2,Less than 0.2,Less than 0.1,Less than 0.1,3.02
4262,Borewells,"Borewell near Durgamma Temple, Kistaipally village, Jinnarm Mandal, Sangareddy District",,7.42,2198,,37,0.42,,,,,,2.5,24,292,332,22,5,3,308,64,36,21,69,1253,977,32,Not analysed,,Less than  0.01,8,0.39,31.9,1.7,0.02,Less than 0.1,Less than 0.1,Less than 0.2,Less than 0.2,Less than 0.1,Less than 0.1,10.3
