Station code,water_bodies,Station name,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate-N (mg/L),Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total coliform (MPN/100ml),Saprobity index,Diversity index,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia-N  (mg/L),Hardness (mg/L),Calcium (mg/L),Magnesium (mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR,Lead (Pb),Cadmium (Cd),Copper (Cu),Zinc (Zn),Total Chromium (T. Cr),Nickel (Ni),Iron (Fe)
15,Borewells,Borewell at Koyyura,2.07,7.33,880,2,1.32,,24,28,,,4.3,0,346,52,36,2.2,,286,60,33.05,30,76,356,286,7,1.38,0.46,7,1.42,35.77,1.95,0.02,ND,0.01,0.06,ND,ND,0.4
1794,Borewells,Borewell at Manakondur,7.02,7.22,1065,6,0,,22,22,,,8.3,0,315,112,65,1.2,,320,72,34.02,45,96,640,513,12,1.38,0.4,2,1.33,39.15,2.33,0.02,ND,0.01,0.03,ND,ND,0.2
3094,Borewells,"Bore well at Akbarnagar, Ramagundam",3.6,7.9,855,4,-0.04,,26,24,,,5.2,0,180,92,31,1,,240,48.8,28.67,68,60,490,395,6,1.22,0.42,10,0.92,33.9,1.68,0.17,ND,0.02,0.05,ND,ND,ND
1793,Borewells,Open well at Kundanpally near ash ponds of NTPC,5.64,7.26,1692,4,0.2,,28,26,,,4.8,0,360,220,42,2.2,,370,72,46.17,92,180,940,755,6,1.3,0.48,45,0.97,47.64,4.06,0.17,ND,0.02,0.02,ND,ND,0.54
1791,Borewells,Borewell at Pydipally near East side of Sai cheruvu,3.7,7.18,1188,8,3.66,,25,482,,,2,0,260,189,61,0,,480,104,53.46,72,51,768,616,15,0.42,0.02,2,1.56,18.6,1.01,0.06,ND,0.04,0.26,ND,ND,ND
1792,Borewells,"Borewell at CKM College, Enamamula",2.15,6.99,1396,6,18.3,,27,13,,,3,0,320,198,52,1.4,,405,116,27.95,94,114,932,748,9,0.02,0.04,26,0.69,36.04,2.46,0.06,ND,ND,0.6,ND,ND,0.01
16,Borewells,Open well at Tadavai,5.4,7.87,822,4,1.08,,26,16,,,6.18,0,198,116,16,0,,260,48,34.02,44,80,540,435,18,0.03,0.52,3.7,1.12,39.49,2.15,ND,ND,ND,ND,ND,0.01,ND
1811,Borewells,Borewell at Rudravelli near Primary School,7.9,7.8,2011,,12,0.5,not found,,,,28,29,334,328,28,26,1.2,458,51,56,59,210,985,792,14,0.62,0.59,8,1.04,55.16,4.81,BDL,BDL,BDL,0.4,BDL,BDL,0.61
27,Borewells,B/w at Peddavoora,7,7.9,2340,,32,0.58,50,16,,,30,39,376,218,30,32,1,345,69,42,60,160,1412,1132,19,0.58,0.7,12,0.62,48.94,3.73,BDL,BDL,0.01,BDL,BDL,BDL,BDL
1525,Borewells,Borewell at Pashamylaram near M/s.Sri Chaitanya Chlorides,7.2,7.32,3050,,22,0.6,not found,,,,36,40,381,760,36,20,1,928,210,98,50,246,1020,812,14,0.36,0.42,18,0.6,35.86,3.5,0.05,BDL,BDL,BDL,BDL,BDL,3.88
1795,Borewells,Borewell at Bollaram near Panchayat Office,7.9,7.5,3560,,45,0.78,not found,,,,32,40,136,690,27,28,1.2,1263,323,111,58,380,2145,1712,17,0.36,0.5,20,0.59,38.93,4.64,0.38,BDL,BDL,BDL,BDL,0.15,2.89
1810,Borewells,"Borewell at Bodhan, Sriramnagar colony, Shakkarnagar, NZB",6.2,8,2938,,32,0.46,not found,,,,22,30,410,316,29,20,1,467,106,49,106,240,1732,1386,16,0.39,0.68,8,0.62,52.11,4.82,0.12,BDL,BDL,1.81,BDL,BDL,14.9
1515,Borewells,"Borewell at Nagaram, Palvancha",3.26,7.25,1170,6,25.36,,26,125,,,6.7,0,335,130,58,0,,340,56,48.6,72,104,760,611,5,1.07,0.4,9,0.77,38.97,2.44,0.02,ND,0.01,0.18,ND,ND,0.2
3088,Borewells,"B/w at J.Narasimha Rao’s house, 14Nos. area, Ramavaram, near MWS dumpsite, Kothagudem",2,6.75,1674,8,41.87,,25,8025,,,10,0,375,262,73,0,,630,126,76.55,96,97,980,781,7,0.61,0.4,8,0.68,24.66,1.68,0.02,ND,0.02,0.03,ND,ND,0.54
