Station code,water_bodies,Station name,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Saprobity index,Diversity index,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia-N  (mg/L),Hardness (mg/L),Calcium (mg/L),Magnesium (mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR
2360,River Godavari,River Godavari at Basara,6.2,7.34,545,3,5,0.32,2,30,  -,  -,32,40,92,38,16,28,1,80,17,9,18,25,320,250,38,0.58,0.7,5,0.55,38.61,1.22
4255,River Godavari,"Ali sagar Reservior Project area , Alisagar (V), Yedapally (M), Nizamabad Dist.",5.9,7.53,350,2,4,0.09,Nil,19,  -,  -,7,19,127,30,16,15,1,122,24,15,16,12,205,161,8,0.12,2.11,5,0.28,16.83,0.47
4227,River Godavari,"Pochara Water Falls, Adilabad",5.8,7.73,612,2,13,2.39,Nil,23,  -,  -,10,18,148,52,12,25,1,205,46,22,19,21,358,280,16,0.18,1.15,8,0.36,17.39,0.64
2361,River Godavari,"River Godavari at mancherial, Near Rail Way Bridge B/C of Rallavagu",6,8.15,552,2,1.04,,NIL,130,,,8,0,155,74,12,Less than  1,,145,24,20.66,18,60,365,199,7,0.15,0.27,4,0.48,46.31,2.16
13,River Godavari,"River Godavari at Mancherial (BM-Jan, Apr & Oct)",5,7.82,572,3,0.2,,NIL,90,,,9,0,145,64,16,Less than  1,,160,34,18.22,33,50,379,300,15,0.12,Less than 0.01,3,0.84,39.75,1.71
2364,River Godavari,River Godavari at Ramagundam upstream near dam,5.1,7.92,720,4,0.64,,NIL,190,,,14,0,145,110,45,Less than  1,,210,48,21.87,80,78,480,375,10,0.07,0.2,4,0.78,43.95,2.33
3054,River Godavari,"Outlet of ash pond effluents of M/s.NTPC, Ramagundam",3.1,10.72,988,6,0.63,,22,280,,,13,0,140,189,48,2.6,,185,37.6,22.11,62,130,636,487,30,0.03,0.21,6,1.32,59.32,4.14
2362,River Godavari,D/s of River Godavari at Ramagundam near FCI intake well,5.2,8.05,780,4,0.3,,NIL,106,,,12,0,170,123,30,Less than  1,,215,44,25.52,70,91,514,401,18,0.03,0.14,5,0.33,47.04,2.69
2363,River Godavari,River Godavari at Godavarikhani near bathing ghat,4.15,7.28,1037,6,0.8,,20,120,,,18,0,190,146,62,1.2,,295,76,25.52,92,90,644,499,36,1.16,0.18,4,0.72,39.36,2.27
2356,River Godavari,River Godavari d/s of Ramagundam at Manthani,6.1,8.09,896,4,0.51,,6,120,,,10,0,135,170,46,Less than  1,,240,52,26.73,89,102,582,450,28,0.04,0.23,6,0.37,47.1,2.85
2365,River Godavari,"U/s of River Godavari at Kamalapur (V) at M/s.AP Rayons Ltd., intake well",6.47,7.85,193,3,0.52,,BDL,28,,,20,0,60,22,10,Less than  1,,70,16,7.29,6,12,125,98,8,0.17,0.03,2,0.42,26.34,0.62
2366,River Godavari,"D/s of River Godavari at Kamalapur (V) at M/s.AP Rayons Ltd., discharge point",6,7.9,217,3,0.76,,BDL,42,,,30,0,68,20,12,Less than  1,,70,18,6.08,6,14,141,101,14,0.13,Less than 0.1,3,0.48,29.1,0.73
2367,River Godavari,U/s of river Godavari at Bhadrachalam bathing ghat,6.6,7.96,264,2,0.3,,NIL,40,,,32,0,90,19,16,Less than  1,,95,20,10.94,8,14,160,112,10,0.19,Less than 0.1,2,0.73,23.67,0.62
2368,River Godavari,D/s of river Godavari at Bhadrachalam bathing ghat,5.4,7.75,320,3,0.4,,6,120,,,38,0,100,30,22,Less than  1,,120,28,12.15,10,16,192,145,12,0.08,Less than 0.1,2,0.84,22.02,0.63
2369,River Godavari,River Godavari at Burgampahad,5.5,7.94,251,3,0.24,,NIL,190,,,32,0,85,20,18,0.24,,90,20,9.72,10,15,155,113,8,0.08,Less than 0.1,3,0.98,25.69,0.69
4256,River Godavari,"Lower Manair Dam, Karimnagar",5.5,7.87,370,3,0.38,,14,40,,,8,0,115,42,22,Less than  1,,130,30,13.37,16,28,240,187,14,0.19,0.22,2,0.69,31.36,1.06
1158,River Godavari,"River Maneru at Somanpally (BM-Jan, Apr & Oct)",6.2,8.01,583,3,1.34,,NIL,110,,,7,0,165,70,22,Less than  1,,190,42,20.66,34,50,373,179,39,0.24,0.19,4,1.12,35.65,1.57
4257,River Godavari,"Maneru river D/S of municipal dump site, Karimnagar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1215,River Godavari,River Maneru at Thummala cheruvu/Madannapet,5.5,7.73,344,3,0.3,,6,120,,,20,0,120,34,16,Less than  1,,130,20,19.44,14,24,220,156,28,0.12,0.28,2.1,0.49,28.07,0.91
