Station code,water_bodies,Station name,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia  (mg/L),Free Ammonia  (mg/L),Hardness (mg/L),Calcium (mg/L),Magnesium (mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),% Sodium,SAR
4247,Lakes & Tanks ,"Mucharla Nagaram cheruvu, Warangal",4.1,8.02,612,3.4,2.24,,11,240,Less than 1.8,,,,3.2,5,180,64,36,1.5,0.4,Less than 0.01,195,48,18.22,27,52,382,,10,0.28,,0.5,4,0.78,35.99,1.62
4248,Lakes & Tanks ,"Koti Cheruvu, Hanamkonda, Warangal",3.8,7.43,942,6,3,,6,120,Less than 1.8,,,,14,5,165,132,84,1.5,0.4,Less than 0.01,182,34,23.57,66,101,584,,17,0.22,,0.5,8,0.2,53.16,3.24
4229,Lakes & Tanks ,Neknampur Lake,3.7,7.18,1196,4,1.36,,4,140,Less than 1.8,,,,8.6,5,360,140,58,1.5,0.4,,380,92,36.45,78,120,742,,10,1.8,,0.5,4,0.24,40.27,2.67
4249,Lakes & Tanks ,"Rangasamudram, Warangal",2.6,7.24,775,6,3,,8,170,Less than 1.8,,,,6.8,5,160,98,73,1.5,0.4,Less than 0.01,185,38,21.87,42,80,460,,12,0.27,,0.5,4,0.2,47.63,2.55
4661,Lakes & Tanks ,Peddakanjarla Tank,6.9,6.64,156,2.4,1,0.14,2,21,1.8,,,,5,5,38,18,28,5,,,49.68,10,6,5,5,88,65,10,,0.05,0.5,1,0.2,17.49,0.31
4666,Lakes & Tanks ,Ismailkhanpet Tank,6.8,7.05,292,2.8,4,0.17,4,17,Less than  1.8,,,,4,5,74,38,30,5.6,,,100,20,12,5,9,168,104,10,,0.12,0.5,2,0.2,16.02,0.39
4670,Lakes & Tanks ,"Bairamalaguda Cheruvu, Medchal-Malkajigiri District.",3.8,6.92,513,2.2,0.3,,6,210,Less than 1.8,,,,8.2,5,105,68,36,1.5,0.4,Less than 0.01,120,26,13.37,28,56,320,,10,0.2,,0.5,2,0.68,49.69,2.22
4675,Lakes & Tanks ,"Lotus pond, Hakimpet (V), Shaik pet (new mandal)",3.2,6.85,684,3,3.26,,4,79,Less than 1.8,,,,4.6,6,190,76,38,1.5,0.4,Less than 0.01,205,44,23.09,36,56,430,,10,0.23,,0.5,4,0.92,36.55,1.7
4680,Lakes & Tanks ,Laknavaram lake,6.2,7.47,122,2.1,0.4,,2,110,Less than 1.8,,,,3.6,5,35,13,8,1.5,0.4,Less than 0.01,40,8,4.86,5,8,72,,12,0.2,,0.5,1,0.31,29.52,0.55
4681,Lakes & Tanks ,Pakala lake Narsampet,5.4,7.93,247,2.6,2,,11,110,5,,,,7.2,5,77,16,30,1.5,0.4,Less than 0.01,80,14,10.94,18,19,144,,10,0.2,,0.5,3,0.2,32.86,0.92
