Station code,water_bodies,Station name,District,RO,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia  (mg/L),Free Ammonia  (mg/L),Hardness (mg/L),Calcium (mg/L),Magnesium (mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR
2360,River Godavari,River Godavari at Basara,Nirmal,Nizamabad,6,7.36,680,2.1,7,0.12,6.1,26,5.5,,,,11,18,136,98,25,5,0.1,0.01,210,48,22,11,27,387,274,9,,0.1,0.1,6,0.1,21.11,0.81
4255,River Godavari,Ali sagar Reservoir,Nizamabad,Nizamabad,6.2,7.42,635,2.1,5,0.16,6,25,4,,,,12,12,120,78,26,5,0.1,0.01,172.25,36,20,9,23,362,255,11,,0.11,0.1,5,0.1,21.76,0.76
4227,River Godavari,"Pochara Water Falls, Adilabad",Adilabad,Nizamabad,6,7.21,693,2.1,7,0.14,5.5,27,3.6,,,,10,12,124,92,22,5,0.1,0.01,204,44,23,10,21,394,289,8,,0.1,0.1,5,0.1,17.7,0.64
2361,River Godavari,"River Godavari at mancherial, Near Rail Way Bridge B/C of Rallavagu",Mancherial,Ramagundam,4.8,8.27,770,2.1,0.72,,Less than 1.8,63,,,,,5.2,10,175,85,20,5,0.1,0.01,196,47.2,18.95,52,84,484,302,8,0.1,,0.1,5,0.1,47.31,2.6
13,River Godavari,River Godavari at Mancherial,Mancherial,Ramagundam,4.3,8.29,770,2.1,0.66,,Less than 1.8,58,,,,,4.6,10,184,84,28,5,0.1,0.01,180,38.4,20.41,48,74,428,300,7,0.1,,0.1,5,0.1,46.18,2.39
3054,River Godavari,"Outlet of ash pond effluents of M/s.NTPC, Ramagundam",Peddapalli,Ramagundam,4,10.62,1565,2.5,1.26,,4,170,,,,,5.4,35,210,112,25,5,0.1,0.01,396,100,35.48,150,144,902,600,7,0.62,,0.1,12,0.1,43.1,3.14
2362,River Godavari,D/s of River Godavari at Ramagundam near FCI intake well,Peddapalli,Ramagundam,4.2,8.24,608,2.1,0.63,,Less than 1.8,70,,,,,5.8,10,180,66,20,5,0.1,0.01,176,45.6,15.07,34,60,385,220,9,0.1,,0.1,5,0.1,41.59,1.96
2363,River Godavari,River Godavari at Godavarikhani near bathing ghat,Peddapalli,Ramagundam,5.2,8.1,588,2.1,0.58,,Less than 1.8,49,,,,,7.8,5,200,51,12,5,0.1,0.01,166,44,13.61,32,67,342,220,10,0.1,,0.1,5,0.1,45.69,2.26
2364,River Godavari,River Godavari at Ramagundam upstream near dam,Peddapalli,Ramagundam,5.4,8.13,682,2.1,0.63,,Less than 1.8,39,,,,,8.5,5,201,70,24,5,0.1,0.01,176,46.4,14.58,44,82,391,260,11,0.1,,0.1,7,0.1,48.97,2.68
2356,River Godavari,River Godavari d/s of Ramagundam at Manthani,Peddapalli,Ramagundam,5.8,8.21,705,2.1,0.68,,Less than 1.8,40,,,,,4.68,10,203,77,14,5,0.1,0.01,200,44.8,21.38,38,66,420,300,8,0.1,,0.1,6,0.1,40.73,2.02
4662,River Godavari,River godavari Kaleshwaram,Jayashankar Bhoopalpalli,Warangal,6.1,7.57,314,2.1,0.36,,Less than 1.8,27,,,,,5,5,102,22,12,5,0.1,0.01,114,29.6,9.72,15,14,179,127,7,0.1,,0.1,2,0.26,20.63,0.57
2365,River Godavari,"U/s of River Godavari at Kamalapur (V) at M/s.AP Rayons Ltd., intake well",Mulugu,Warangal,5.9,8.27,309,2.1,0.42,,Less than 1.8,43,,,,,5,15,136,24,10,5,0.1,0.01,128,36,9.23,11,22,200,120,8,0.1,,0.1,3,0.32,26.55,0.84
2366,River Godavari,"D/s of River Godavari at Kamalapur (V) at M/s.AP Rayons Ltd., discharge point",Mulugu,Warangal,5.9,8.2,344,2.1,0.56,,Less than 1.8,49,,,,,5.6,10,152,22,12,5,0.1,0.01,144,39.2,11.18,14,22,208,140,10,0.1,,0.1,3,0.32,24.37,0.8
2367,River Godavari,U/s of river Godavari at Bhadrachalam bathing ghat,Bhadradri Kothagudem ,Kothagudem,4,8.05,512,2.1,1.8,,11,110,,,,,11.8,5,210,32,38,5,0.1,0.01,205,58,14.58,16,30,288,160,19,0.1,,0.1,4,0.11,23.62,0.91
2368,River Godavari,D/s of river Godavari at Bhadrachalam bathing ghat,Bhadradri Kothagudem ,Kothagudem,5.8,8.17,522,2.1,1.96,,17,140,,,,,16.6,5,210,27,14,5,0.1,0.01,205,56,15.79,14,24,288,160,21,0.1,,0.1,4,0.12,19.83,0.73
2369,River Godavari,River Godavari at Burgampahad,Bhadradri Kothagudem ,Kothagudem,3.8,8.04,575,2.1,0.7,,9,34,,,,,10.8,5,180,58,14,5,0.1,0.01,220,60,17.01,38,34,328,215,16,0.1,,0.1,6,0.13,24.44,0.99
4256,River Maneru / Manair,"Lower Maneru Dam, Karimnagar",Karimnagar,Ramagundam,5.6,7.9,475,2.1,0.52,,Less than 1.8,20,,,,,8.28,5,166,44,12,5,0.1,0.01,164,44,13.12,26,38,305,180,11,0.1,,0.1,5,0.1,32.56,1.29
4257,River Maneru / Manair,"Maneru river D/S of municipal dump site, Karimnagar",Karimnagar,Karimnagar,3.9,8.17,997,3.2,2.76,,Less than 1.8,140,,,,,9.6,5,260,119,37,5,0.36,0.03,284,76,22.84,76,100,628,430,16,0.27,,0.1,7,0.1,42.5,2.57
4664,River Maneru / Manair,River Maneru at Ghattepalli (V) near Sulthanabad,Karimnagar,Ramagundam,4,8.31,995,2.1,2.96,,7,210,,,,,7.2,15,240,140,16,5,0.1,0.01,262,67.2,22.84,88,110,584,444,12,0.5,,0.1,3,0.1,47.24,2.95
4665,River Maneru / Manair,Outlet of KTPP Ash Pond Joining Moranchavagu,Bhadradri Kothagudem ,Warangal,3.8,7.48,646,3.5,1.02,,Less than 1.8,27,,,,,40,5,222,66,27,5,0.1,0.01,250,68,19.44,28,40,407,260,69,0.1,,0.1,7,0.58,25.06,1.1
1158,River Maneru / Manair,River Maneru at Somanpally,Peddapalli,Ramagundam,5.8,8.15,541,2.1,0.62,,Less than 1.8,63,,,,,6.62,5,170,46,16,5,0.1,0.01,188,48,16.52,28,34,301,210,18,0.1,,0.1,3,0.39,27.72,1.08
4258,River Manjeera,"Singoor Dam Reservoir,",Sangareddy,Sangareddy,6,7.26,523,2.1,5,0.13,6,24,4,,,,11,8,84,68,24,5,0.1,0.01,144,30,17,7,15,294,201,7,,0.1,0.1,4,0.11,17.76,0.54
1157,River Manjeera,River Manjeera at Raipally,Sangareddy,ZL-RCP,5.9,7.32,835,2.1,6,0.16,4,31,2,,,,15,12,150,96,28,5,0.1,0.01,204,46,22,11,33,509,358,8,,0.12,0.1,5,0.13,25.19,1.0
1781,River Manjeera,Manjeera at Ganapathi sugars,Sangareddy,ZL-RCP,Sample was not collected as it was in dry condition.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2374,River Manjeera,U/s of River Manjeera at Gowdicherla before confluence with Nakkavagu,Sangareddy,ZL-RCP,5.8,7.12,1510,2.7,18,0.19,8.1,47,4,,,,17,16,188,116,29,5,0.1,0.01,276,58,32,11,31,854,606,15,,0.17,0.1,8,0.15,18.93,0.81
2375,River Manjeera,D/s of River Manjeera at Gowdicherla after confluence with Nakkavagu,Sangareddy,ZL-RCP,5.6,7.18,1637,2.9,20,0.21,8.3,43,5.5,,,,19,20,216,120,36,6.7,0.1,0.01,293.95,60,35,13,37,922,656,18,,0.21,0.1,9,0.17,20.74,0.94
2349,River Manjeera,Nakka vagu at Bachugudem,Sangareddy,ZL-RCP,1.6,7.48,2014,8.5,24,0.23,25,120,17,,,,27,36,320,188,85,15.1,0.1,0.01,480,96,58,25,61,1148,819,21,,0.26,0.1,17,0.28,20.85,1.21
4226,River Manjeera,River Manjeera at Yedu Payala Temple,Medak,R.C.Puram,6.1,7.01,663,2.8,5,0.15,Less than 1.8,26,Less than 1.8,,,,11,16,138,86,26,5,0.1,0.01,182.24,40,20,11,27,408,282,17,,0.13,0.1,6,0.14,23.5,0.87
2372,River Kinneresani,Kinnerasani after confluence of KTPS ash pond effluents,Bhadradri Kothagudem ,Kothagudem,5.2,8.07,516,2.1,0.72,,Less than 1.8,46,,,,,6.6,5,145,53,24,5,0.1,0.01,175,52,10.94,60,45,318,220,14,0.1,,0.1,6,0.14,34.8,1.48
3080,River Kinneresani,U/s of Karakavagu at Paloncha,Bhadradri Kothagudem ,Kothagudem,4.2,7.98,612,2.1,0.8,,11,94,,,,,9.5,5,195,73,22,5,0.1,0.01,210,56,17.01,48,58,380,220,15,0.1,,0.1,7.5,0.36,36.38,1.74
3081,River Kinneresani,D/s of Karakavagu at Paloncha,Bhadradri Kothagudem ,Kothagudem,5.6,8.08,463,2.1,0.86,,14,110,,,,,8.7,5,170,44,12,5,0.1,0.01,215,64,13.37,29,24,306,180,12,0.1,,0.1,6,0.36,18.93,0.71
1784,River Krishna ,River Krishna at Thangadi,Mahaboobnagar,Hyderabad ,4.8,8.28,1366,2.1,2.62,,11,280,,,,,16.2,15,200,204,23,5,0.1,0.01,285,66,31,126,168,802,560,21,0.12,,0.1,5,0.62,54.85,4.26
39,River Krishna ,River Krishna at Gadwal bridge,Mahaboobnagar,Hyderabad ,4.6,8.23,1246,2.1,2.86,,14,350,,,,,15.6,10,205,190,25,5,0.1,0.01,293,68,28,118,153,788,580,24,0.13,,0.1,4,0.93,53.27,3.93
4225,River Krishna ,"Jogulamba Temple, Gadwal",Jogulamba Gadwal,Hyderabad ,4.1,8.21,1402,2.1,2.68,,17,350,,,,,12.8,10,220,213,34,5,0.1,0.01,272,64.8,26.73,110,162,780,540,20,0.12,,0.1,4,0.91,55.84,4.26
4259,River Krishna ,Nagarjuna Sagar Dam Spill way,Nalgonda,Nalgonda,6,7.06,749,2.6,6,0.17,6,33,4,,,,18,12,124,78,25,5,0.1,0.01,176.37,36,21,8,23,428,307,13,,0.16,0.1,5,0.19,21.38,0.75
4252,River Krishna ,"Udaya Samudram balancing Reservoir,",Nalgonda,Nalgonda,6.2,7.1,737,2.8,6,0.14,6.1,34,5.6,,,,12,16,136,82,27,5,0.1,0.01,189.6,38,23,9,22,420,301,12,,0.18,0.1,6,0.16,19.41,0.69
