Station code,water_bodies,Station name,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Free Ammonia  (mg/L),Hardness (mg/L),Calcium (mg/L),Magnesium (mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR
3086,OTHER AREA LAKES,Saki Tank,6.9,7.38,1350,2.8,20,0.43,Less than 1.8,41,,,,28,32,264,158,16,8,0.03,278,52,36,56,92,842,592,15,,0.59,0.09,9,0.48,40.69,2.39
3068,OTHER AREA LAKES,Ramappa lake,5.2,8.02,280,2,0,,Less than 1.8,22,,,,4,BDL,105,22,12,4,,110,22,13.37,8,16,162,,6,0.2,,0.09,2,0.2,23.5,0.66
1447,OTHER AREA LAKES,Dharmasagar tank,5.8,7.8,342,3,0.05,,Less than 1.8,32,,,,6,BDL,115,32,18,4,,135,22,19.44,19,20,211,,6,0.03,,0.09,2,0.4,23.88,0.75
2346,OTHER AREA LAKES,Bhadrakali tank,5.4,8.27,490,3,0,,Less than 1.8,22,,,,6,10,135,52,12,4,,180,42,18.22,30,26,304,,6,0.12,,0.09,2,0.23,23.55,0.84
3084,OTHER AREA LAKES,"Waddepally tank, Kazipet",4.9,7.35,741,3,0.64,,Less than 1.8,58,,,,6,BDL,175,110,16,4,,190,38,23.09,38,80,446,,4,0.06,,0.09,4,0.33,46.97,2.52
3085,OTHER AREA LAKES,Chinnawaddepally tank,3.2,7.92,1580,16,1,,63,430,,,,10,BDL,225,285,172,4,,280,50,37.66,134,224,980,,42,0.66,,0.22,6,1.2,62.7,5.8
2343,OTHER AREA LAKES,Premajipet tank,0.05,7.88,5120,34,14.2,,120,540,,,,40,BDL,735,1088,242,5.8,,1620,310,205.34,342,462,3324,,68,2.58,,0.2,8,0.9,37.97,4.97
2345,OTHER AREA LAKES,Sai Cheruvu,0,7.62,12256,202,10.8,,150,540,,,,48,BDL,695,3254,720,8.6,,740,118,108.13,985,2568,7246,,50,0.5,,0.28,17,0.92,87.92,40.89
4222,OTHER AREA LAKES,"Koneru, Kondagattu temple, Jagitiyal",2,7.42,920,12,3.2,,23,240,,,,16.4,BDL,240,102,48,4,,315,98,17.01,72,68,610,,16,1.66,,0.09,2,1.2,31.7,1.66
4223,OTHER AREA LAKES,"Vemulawada temple Koneru , Karimnagar",1.4,7.36,1292,18,2.42,,33,350,,,,17.6,BDL,245,220,135,4,,275,76,20.66,70,162,820,,18,0.2,,0.09,4,0.8,55.6,4.24
4228,OTHER AREA LAKES,"Ibrahim Cheruvu, Rajendra Nagar",0.05,7.62,1720,34,17.2,,46,350,,,,16.32,BDL,405,226,172,4.2,,425,74,58.32,116,194,1066,,22,3.1,,0.28,6,1.26,49.19,4.08
4230,OTHER AREA LAKES,Kistaipally Cheruvu,5.5,7.06,5640,17,44,0.61,Less than 1.8,52,,,,15,28,490,910,68,12,0.02,1162,238,138,96,242,3265,2325,27,,0.63,0.09,58,0.42,29.71,3.08
4231,OTHER AREA LAKES,"Rayam Cheruvu,",Sample was not collected as the tank was in dry condition.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4232,OTHER AREA LAKES,"Komati Cheruvu,",6.8,7.14,835,5.2,8,0.56,Less than 1.8,49,,,,10,28,136,72,18,4,0.01,190,46,18,35,26,524,368,20,,0.16,0.09,6,0.39,22.23,0.82
4235,OTHER AREA LAKES,Lake Kamuni( Shamshabad Lake),0.05,7.62,1980,32,3.8,,120,430,,,,18,BDL,325,378,142,4,,350,72,41.31,102,282,1230,,20,0.56,,0.2,6,0.67,63.01,6.53
4233,OTHER AREA LAKES,"Gaddapotharam cheruvu,",4.8,6.86,5680,19.6,42,0.41,Less than 1.8,94,,,,22,32,510,1230,74,14,0.14,1480,296,180,164,312,3305,2354,61,,0.19,0.09,56,0.37,30.28,3.51
4237,OTHER AREA LAKES,"Mullakatwa Cheruvu, Hi Tech City, Madhapur,",0.05,7.62,1940,38,14.6,,63,540,,,,20,BDL,420,260,182,4.2,,435,88,52.24,152,236,1210,,30,3.2,,0.3,6,1.37,53.53,4.9
4238,OTHER AREA LAKES,"Ameenpur Cheruvu,",5.3,7.4,1463,10.9,18,0.61,Less than 1.8,140,,,,24,24,208,230,38,7.2,0.06,424,84,52,94,96,875,632,27,,0.42,0.09,18,0.37,31.7,2.02
4239,OTHER AREA LAKES,"Mahaboobsagar Tank,",6.3,7.44,1335,7.8,13,0.32,Less than 1.8,70,,,,27,20,280,172,40,7.6,0.06,384,84,42,37,78,844,582,25,,0.59,0.09,5,0.25,30.23,1.73
4244,OTHER AREA LAKES,"Erdanoor Tank,",Sample was not collected as the tank was in dry condition.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4245,OTHER AREA LAKES,"Mallepally Tank,",5.2,7.41,1890,5.7,29,0.35,Less than 1.8,41,,,,12,24,216,280,36,6.8,0.05,416,94,44,45,102,1156,824,30,,0.56,0.09,17,0.31,33.5,2.17
4247,OTHER AREA LAKES,"Mucharla Nagaram cheruvu, Warangal",3,7.46,1280,12,2.86,,40,350,,,,28,BDL,290,190,78,4,,315,58,41.31,88,154,796,,20,0.22,,0.28,4,0.58,50.95,3.76
4248,OTHER AREA LAKES,"Koti Cheruvu, Hanamkonda, Warangal",4.6,7.68,1162,6,3.2,,17,280,,,,22,BDL,285,146,26,4,,310,64,36.45,84,122,680,,10,0.9,,0.26,4,0.42,45.55,3.0
4229,OTHER AREA LAKES,Neknampur Lake,0.05,7.32,1980,28,16.32,,84,430,,,,26,BDL,480,260,120,5.2,,490,84,68.04,120,220,1228,,48,2.41,,0.28,8,1.2,48.7,4.31
4249,OTHER AREA LAKES,"Rangasamudram, Warangal",0.05,7.8,1710,28,2.82,,26,430,,,,8,BDL,420,220,120,4,,440,78,59.53,98,180,1060,,22,0.48,,0.22,4,0.6,46.61,3.72
