Station code,water_bodies,Station name,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia  (mg/L),Free Ammonia  (mg/L),Hardness (mg/L),Calcium (mg/L),Magnesium (mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Potassium (mg/L),Boron (mg/L),Fluoride (mg/L),sodium %,SAR
4665,River Maneru / Manair,Outlet of KTPP Ash Pond Joining Moranchavagu,4.2,7.42,606,3.4,1,,22,120,6,,,,10.4,15,95,75,39,1.5,0.4,Less than 0.01,120,28,12.15,61,78,363,,49,0.2,,7,0.5,0.2,56.68,3.09
1158,River Maneru / Manair,River Maneru at Somanpally,4.8,8.1,518,3.2,0.82,,8,43,Less than 1.8,,,,8.2,20,90,51,37,1.5,0.4,Less than 0.01,105,24,10.94,42,44,310,,12,0.2,,4,0.5,0.2,46.36,1.86
4258,River Manjeera,"Singoor Dam Reservoir,",7.2,7.35,348,2.1,3,0.21,Less than 1.8,12,Less than 1.8,,,,6,8,74,46,16,2.8,0.4,Less than 0.01,100,20,12,5,14,211,145,10,,0.07,2,0.5,0.2,22.88,0.61
1157,River Manjeera,River Manjeera at Raipally,7.3,7.22,274,2.2,3,0.14,4,15,Less than 1.8,,,,5,8,60,38,12,2.2,0.4,Less than 0.01,80,16,10,5,12,158,109,10,,0.09,2,0.5,0.2,23.65,0.58
1781,River Manjeera,Manjeera at Ganapathi sugars,6.5,7.18,736,2.2,4,0.09,Less than 1.8,17,Less than 1.8,,,,9,12,140,88,18,3.3,0.4,Less than 0.01,180.49,36,22,9,31,421,291,10,,0.05,3,0.5,0.2,26.65,1.0
2374,River Manjeera,U/s of River Manjeera at Gowdicherla before confluence with Nakkavagu,6.9,7.04,954,2.4,6,0.13,Less than 1.8,32,Less than 1.8,,,,11,12,164,92,22,4,0.4,Less than 0.01,200,40,24,10,35,539,375,11,,0.08,4,0.5,0.2,27.06,1.08
2375,River Manjeera,D/s of River Manjeera at Gowdicherla after confluence with Nakkavagu,7.2,7.15,968,3,7,0.18,Less than 1.8,34,Less than 1.8,,,,13,16,176,102,26,4.5,0.4,Less than 0.01,216,44,26,12,38,551,386,13,,0.1,5,0.5,0.2,26.88,1.12
2349,River Manjeera,Nakka vagu at Bachugudem,2.2,7.02,1715,10.5,9,0.25,150,920,120,,,,23,16,212,278,96,17.4,0.4,Less than 0.01,400,82,48,21,73,998,702,24,,0.21,9,0.5,0.2,27.59,1.58
4226,River Manjeera,River Manjeera at Yedu Payala Temple,6.4,7.13,628,2.8,5,0.11,Less than 1.8,9,Less than 1.8,,,,7,12,132,82,20,3.4,0.4,Less than 0.01,172.25,36,20,10,28,364,249,10,,0.22,4,0.5,0.2,25.43,0.92
2372,River Kinnerasani,Kinnerasani after confluence of KTPS ash pond effluents,4.2,8.03,488,2.8,1.1,,Less than 1.8,21,Less than 1.8,,,,22.2,5,75,29,28,1.5,0.4,Less than 0.01,90,20,9.72,22,32,292,,15,0.2,,2,0.5,0.2,42.78,1.46
3080,River Kinnerasani,U/s of Karakavagu at Paloncha,5.8,8.1,622,3.2,1.2,,Less than 1.8,5,Less than 1.8,,,,9.8,5,90,49,36,1.5,0.4,Less than 0.01,115,28,10.94,32,66,386,,20,0.2,,5,0.5,2.01,54.05,2.67
3081,River Kinnerasani,D/s of Karakavagu at Paloncha,6.1,7.97,460,2.9,1.26,,Less than 1.8,6,Less than 1.8,,,,12.2,8,75,15,29,1.5,0.4,Less than 0.01,95,20,10.94,48,57,276,,91,0.2,,6,0.5,1.01,54.55,2.54
1784,River Krishna ,River Krishna at Thangadi,6.6,7.97,426,2.9,0.96,,Less than 1.8,5,Less than 1.8,,,,13.4,5,90,39,32,1.5,0.4,Less than 0.01,120,30,10.94,26,44,256,,10,0.2,,3,0.5,0.41,43.47,1.74
39,River Krishna ,River Krishna at Gadwal bridge,6.4,7.01,512,2.8,1.45,,Less than 1.8,4,Less than 1.8,,,,14.2,5,65,51,28,1.5,0.4,Less than 0.01,113,24,13,25,52,307,,10,0.2,,4,0.5,0.48,48.65,2.12
4225,River Krishna ,"Jogulamba Temple, Gadwal",6.2,7.76,684,3.4,1.86,,10,46,Less than 1.8,,,,12.2,5,90,78,48,1.5,0.4,Less than 0.01,119,28,12,44,61,424,,14,0.2,,4,0.5,0.3,51.45,2.42
4259,River Krishna ,Nagarjuna Sagar Dam Spill way,7.3,7.46,415,2.2,3,0.18,11,49,Less than 1.8,,,,12,8,94,52,18,3.3,0.4,Less than 0.01,117.58,24,14,5,17,238,163,10,,0.19,3,0.5,0.2,23.22,0.68
4252,River Krishna ,"Udaya Samudram balancing Reservoir,",7,7.19,419,2.4,5,0.14,11,38,Less than 1.8,,,,10,12,104,58,22,3.9,0.4,Less than 0.01,140,26,18,5,15,244,165,13,,0.22,3,0.5,0.21,18.48,0.55
1465,River Krishna ,Confluence of River krishna & River musi at at wadapally,6.8,7.24,838,3,7,0.21,280,920,210,,,,13,20,188,106,25,4.5,0.4,Less than 0.01,244,48,30,15,34,484,339,17,,0.25,6,0.5,0.29,22.63,0.94
4663,River Krishna ,"River Krishna at Mattepally, 500 mts. before bathing ghat",7,7.28,626,2.2,6,0.13,15,47,5,,,,11,16,174,84,18,3.3,0.4,Less than 0.01,216,40,28,8,25,364,346,10,,0.17,4,0.5,0.25,19.68,0.74
1215,River Krishna ,River Munneru at Thummala cheruvu/Madannapet,6.2,8.14,206,2.1,0.29,,Less than 1.8,11,Less than 1.8,,,,16.4,5,45,15,13,1.5,0.4,Less than 0.01,60,14,6.08,14,32,128,,10,0.2,,2,0.5,0.2,52.53,1.79
4250,River Krishna ,"Palair Reservoir, Khammam",5.2,8.1,479,2.1,1.06,,Less than 1.8,8,Less than 1.8,,,,8.6,5,95,49,28,1.5,0.4,Less than 0.01,120,28,12.15,36,48,296,,10,0.2,,4,0.5,0.91,45.35,1.9
4251,River Krishna ,"D/S of Munneru River, Prakash Nagar, Khammam",5.8,8.03,445,2.6,1.77,,4,32,Less than 1.8,,,,20.2,5,80,34,26,1.5,0.4,Less than 0.01,110,26,10.94,36,44,266,,14,0.2,,5,0.5,0.64,44.99,1.82
4253,River Musi,Musi sample at Bapughat sangam U/S of Musi,0.3,6.91,910,10,4.5,,540,1600,150,,,,12.3,5,245,88,56,1.5,0.4,Less than 0.01,280,62,30.38,52,96,552,,10,1.91,,8,0.5,0.52,41.7,2.49
4656,River Musi,"River Musi at Moosarambagh bridge, Hyderabad",0.3,7.54,1065,11,7.1,,920,1600,280,,,,9.8,5,190,142,55,11,1.2,Less than 0.01,210,46,23.09,87,122,639,,18,1.86,,12,0.5,0.98,53.93,3.65
2339,River Musi,River Musi at Nagole,0.3,7.34,1335,12,4.8,,920,Greater than 1600,240,,,,21.8,5,285,150,89,4,0.9,Less than 0.01,272,53,34,146,92,828,,57,2.01,.NA,8,0.5,0.2,41.29,2.42
4659,River Musi,"Outlet of Nalla Cheruvu, Peerajadiguda",0.3,7.76,1452,14,3.2,,38,150,2,,,,24.2,5,290,192,102,10,1.5,Less than 0.01,360,66,47.38,90,136,864,,81,0.93,.NA,8,0.5,1.06,44.24,3.11
4660,River Musi,River Musi at Peerajadiguda,2.5,7.53,1360,17,4.6,,130,1600,220,,,,10.2,5,290,178,128,13,1.6,Less than 0.01,320,62,40.09,88,140,788,,42,1.21,.NA,10,0.5,0.98,47.61,3.39
1173,River Musi,D/s. of Musi at Pratapasingaram,1.2,7.27,1272,14,3.2,,170,920,58,,,,8.6,5,265,160,116,7,1.8,Less than 0.01,280,56,34.02,78,132,802,,23,1.28,,11,0.5,1.02,49.24,3.42
4657,River Musi,River Musi at Pillapalli,2.8,6.72,1180,12,4,,150,920,140,,,,10.2,5,242,158,104,9,1.5,Less than 0.01,255,54,29.16,64,128,710,,10,0.96,,8,0.5,1.08,51.06,3.47
4254,River Musi,River Musi sample at Rudravelly bridge,5,7.32,1364,5.6,8,0.25,84,540,70,,,,14,32,288,164,52,9.5,0.4,Less than 0.01,384,72,49,21,48,786,547,16,,0.26,8,0.5,0.2,20.92,1.06
4658,River Musi,"River Musi at Valigonda bridge, Nalgonda dist",5.2,7.36,1100,5.2,6,0.27,79,150,20,,,,16,28,224,154,48,8.4,0.4,Less than 0.01,336,68,40,15,37,678,476,12,,0.23,5,0.5,0.2,18.99,0.88
3082,River Musi,River Musi at Solipet (Kasaniguda),5.5,7.45,920,4.6,6,0.14,Less than 1.8,15,Less than 1.8,,,,12,24,184,132,40,7.3,0.4,Less than 0.01,276,58,32,9,32,545,410,10,,0.19,4,0.5,0.2,19.71,0.83
1172,Lakes & Tanks ,U/s of Musi at Gandipet (Osmansagar lake),6.4,7.35,426,2.6,0.4,,Less than 1.8,34,Less than 1.8,,,,4.4,5,95,39,28,1.5,0.4,Less than 0.01,115,24,13.37,32,41,245,,10,1.46,,4,0.5,1.01,42.45,1.66
1780,Lakes & Tanks ,Gandigudem Tank,5.6,6.86,1505,6,10,0.23,Less than 1.8,15,Less than 1.8,,,,19,28,284,174,56,10.1,0.4,Less than 0.01,400,84,46,25,48,868,609,27,,0.25,7,0.5,0.23,20.26,1.04
2358,Lakes & Tanks ,Mallapur tank,0.3,7.77,1920,29,7.2,,430,Greater than 1600,170,,,,28.2,5,345,257,188,9,1.8,Less than 0.01,380,66,52.24,122,108,1124,,172,1.52,,7,0.5,0.61,37.48,2.4
2347,Lakes & Tanks ,Asani Kunta,0.3,7.02,12100,285,41,0.49,350,1600,150,,,,231,52,1040,1280,1283,230,0.4,Less than 0.01,1880,384,224,105,367,7521,6921,135,,0.49,71,0.5,0.51,28.68,3.67
1783,Lakes & Tanks ,Kistareddypet Tank,5.5,7.13,2292,9,16,0.15,15,47,Less than 1.8,,,,21,24,262,286,65,17.9,0.4,Less than 0.01,677,126,88,45,74,1335,735,24,,0.22,18,0.5,0.21,18.58,1.23
2348,Lakes & Tanks ,Khazipally Tank,4.2,7.09,3510,5.4,18,0.22,Less than 1.8,9,Less than 1.8,,,,17,28,320,358,42,9.5,0.4,Less than 0.01,616.11,128,72,36,87,2087,1509,19,,0.19,11,0.5,0.2,22.97,1.52
4302,Lakes & Tanks ,Rudraram Tank,6.2,7.14,1378,2.6,12,0.23,9,31,Less than 1.8,,,,11,24,162,264,20,3.9,0.4,Less than 0.01,412.41,86,48,28,57,833,481,15,,0.14,6,0.5,0.2,22.67,1.22
4240,Lakes & Tanks ,"Muthangi Tank,",Sample was not collected as it was in dry condition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4241,Lakes & Tanks ,"Chitkul Tank,",5,7.07,1265,4.2,10,0.19,47,120,12,,,,10,20,170,206,46,8.4,0.4,Less than 0.01,336,78,34,15,51,744,535,11,,0.15,4,0.5,0.2,24.49,1.21
4242,Lakes & Tanks ,"Lakadaram Cheruvu,",5.7,6.92,961,3,9,0.21,4,20,Less than 1.8,,,,13,16,166,110,25,4.5,0.4,Less than 0.01,230.17,46,28,13,35,564,432,13,,0.14,3,0.5,0.2,24.42,1.0
4243,Lakes & Tanks ,"Isnapur Tank,",4.2,7.08,4110,17,26,0.28,31,120,5,,,,25,32,340,524,125,28.5,0.4,Less than 0.01,963,201,112,68,158,2413,1828,22,,0.26,22,0.5,0.2,25.62,2.21
4246,Lakes & Tanks ,Pashamylaram Tank,RO-Sangareddy-I informed that Pashamylaram & Isnapur tanks both are same but called by different names.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1789,Lakes & Tanks ,Himayathsagar lake,6,7.68,402,2.4,0.4,,Less than 1.8,25,Less than 1.8,,,,10.4,5,115,24,18,1.5,0.4,Less than 0.01,140,34,13.37,21,24,242,,10,0.96,,5,0.5,1.21,26.18,0.88
3069,Lakes & Tanks ,"Shameerpet lake, Shameerpet",5.2,7.42,650,2.8,1.8,,9,79,Less than 1.8,,,,11.2,5,120,82,32,1.5,0.4,Less than 0.01,165,36,18.22,32,69,390,,16,0.81,,9,0.5,1.81,45.8,2.33
