Station code,water_bodies,Station name,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Fecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD,TKN (mg/L),Ammonia  (mg/L),Free Ammonia  (mg/L),Hardness (mg/L),Calcium (mg/L),Magnesium (mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),Sodium %,SAR,Arsenic,Cadmium,Copper,Lead,Total Chromium,Nickel,Zinc,Iron
2347,Lakes & Tanks ,Asani Kunta,0.3,7.12,11420,318,32,0.45,110,920,34,1,0.02,,225,24,986,1120,1258,228,,,1705.52,340,208,109,342,6587,4665,114,,0.39,0.5,62,0.46,29.28,3.59,BDL,BDL,BDL,0.14,BDL,0.46,0.15,3.18
1783,Lakes & Tanks ,Kistareddypet Tank,5.7,7.23,1820,10,11,0.17,11,70,Less than 1.8,5.3,0.5,,17,28,286,201,96,17.4,,,498,107,56,31,51,1029,712,17,,0.15,0.5,14,0.2,17.61,0.99,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
2348,Lakes & Tanks ,Khazipally Tank,4.6,7.13,3110,5,21,0.19,1.8,38,Less than 1.8,4.8,0.52,,14,36,312,336,52,9.5,,,570,116,68,31,81,1741,1229,10,,0.14,0.5,15,0.2,22.91,1.47,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
4302,Lakes & Tanks ,Rudraram Tank,6.1,6.94,1148,3,9,0.18,4,49,Less than 1.8,6.3,0.57,,9,16,150,192,30,5.6,,,318.04,68,36,21,43,638,371,10,,0.11,0.5,9,0.2,21.99,1.05,BDL,BDL,BDL,BDL,BDL,BDL,BDL,0.26
4240,Lakes & Tanks ,"Muthangi Tank,",5.1,7.21,325,3,4,0.14,2,21,1.8,5.2,0.47,,5,8,64,36,28,5,,,86.13,18,10,5,10,186,124,10,,0.12,0.5,2,0.2,19.59,0.47,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
4241,Lakes & Tanks ,"Chitkul Tank,",4.9,6.53,982,5.2,6,0.17,27,110,4,6,0.52,,8,12,120,164,50,9,,,256,56,28,12,38,562,498,10,,0.1,0.5,7,0.2,23.72,1.03,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
4242,Lakes & Tanks ,"Lakadaram Cheruvu,",5.9,7.4,780,3,6,0.15,8.1,58,Less than 1.8,6.5,0.55,,11,8,104,84,28,5,,,150,30,18,8,23,419,305,11,,0.11,0.5,4,0.2,24.38,0.82,BDL,BDL,BDL,BDL,BDL,BDL,BDL,0.17
4243,Lakes & Tanks ,"Isnapur Tank,",4,7,2715,12,20,0.18,21,170,2,4,0.47,,21,28,280,416,96,21,,,716,148,84,41,99,1534,1142,16,,0.21,0.5,15,0.2,22.55,1.6,BDL,BDL,BDL,BDL,BDL,BDL,0.01,0.22
4246,Lakes & Tanks ,Pashamylaram Tank,RO-Sangareddy-I informed that Pashamylaram & Isnapur tanks both are same but called by different names.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1789,Lakes & Tanks ,"Himayathsagar lake (BM-Jan, Apr & Oct)",7.5,7.67,272,2.1,1.4,,Less than 1.8,12,Less than 1.8,,,,10.8,5,80,34,22,1.5,0.4,Less than 0.01,110,28,9.72,12,19,182,,10,0.98,,0.5,2,1,26.76,0.79,,ND,BDL,BDL,ND,BDL,BDL,BDL
