Station code,water_bodies,Station name,DO (mg/L),pH,Conductivity (μs/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia,Free Ammonia  (mg/L),Hardness (mg/L),Calcium Carbonate as CaCO3,Calcium as Ca+2(mg/L),Magnesium Carbonate as CaCO3,Magnesium as Mg+2(mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %
4703,Lakes & Tanks ,"Bulbul kunta, Lakshmiguda, rajendranagar",dried up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4704,Lakes & Tanks ,"Pedda Cheruvu, Mansoorabad, Saroornagar, Rangareddy District.",0.3,7.11,948,10,8.58,,12,430,4,,,,10,5,180,123,94,4.2,2.06,,190,115,46,75,18.22,76,,588,,15,0.85,,0.5,,0.93,
4705,Lakes & Tanks ,"Kotha Cheruvu (Alwal Cheruvu), Alwal (V),",1.2,7.36,1150,5.1,16,,13,350,3.7,,,,14,5,280,113,47,9,3.9,,330,215,86,115,27.95,69,,736,,24,1.9,,0.5,,0.86,
5029,Lakes & Tanks ,"Mohini Cheruvu, Amberpet, Hyderabad",2.8,6.75,581,3,2.5,,6,280,2,,,,12,5,135,68,36,3.39,0.68,,145,88,35.2,57,13.85,42,,366,,,3.4,,0.5,,0.87,0
5030,Lakes & Tanks ,"Naya Quila Talab, Golconda, Hyderabad",0.3,7.42,1282,8,4.02,,25,430,6,,,,11,5,280,144,100,8.4,2.86,,294,158,63.2,136,33.05,96,,782,,,3.3,,0.5,,0.85,
5031,Lakes & Tanks ,"Erra Kunta, Shaikpet, Hyderabad",not collected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5032,Lakes & Tanks ,"Kotha Cheruvu, Shaikpet, Hyderabad",1.5,7.09,974,5.4,5.12,,4,220,1.8,,,,12,5,180,132,92,5.6,2.42,,198,110,44,88,21.38,74,,600,,,3,,0.5,,1.04,
5033,Lakes & Tanks ,"Shatham Talab, Shaikpet, Hyderabad",not collected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5034,Lakes & Tanks ,"Shikari Kunta, Shaikpet, Hyderabad",0.3,7.6,1123,6.2,5.6,,23,540,6,,,,8,5,286,132,80,6.72,2.68,,298,158,63.2,140,34.02,88,,702,,,2.3,,0.5,,0.69,
5035,Lakes & Tanks ,"Bathur Kunta, Shaikpet, Hyderabad",0.3,7.06,1090,6,6.46,,17,350,4,,,,9,5,210,152,78,4.48,1.72,,262,146,58.4,116,28.19,64,,658,,,2.4,,0.5,,0.96,
5036,Lakes & Tanks ,"Ramana Cheruvu,Boinpally, Thirumalagiri, Medchal-Malkajgiri Dist.","Not collected,under maintaince",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5037,Lakes & Tanks ,"Thirumalagiri Tank, Thirumalagiri, Medchal-Malkajgiri Dist.",1.8,7.18,1174,4.2,12,,31,350,3.7,,,,22,5,310,132,39,19,8.9,,345,225,90,120,29.16,83,,752,,22,2.6,,0.6,,1.21,
5038,Lakes & Tanks ,"Salkam Cheruvu, Bandlaguda, Hyderabad",not submitted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5039,Lakes & Tanks ,"DMRL, Lake, Kanchanbagh, Hyderabad",0.3,7.15,1322,7,10.6,,24,540,4,,,,16,5,280,162,96,3.8,0.4,,294,168,67.2,126,30.62,76,,814,,,2.6,,0.5,,1.12,
5040,Lakes & Tanks ,"Bandlaguda Cheruvu, Bandlaguda, Uppal, Medchal Dist.",0.3,6.96,1259,10,13.58,,14,430,4,,,,20,5,260,146,131,7,1.96,,270,170,68,100,24.3,89,,780,,29,0.69,,0.6,,1.08,
