Station code,water_bodies,Station name,DO (mg/L),pH,Conductivity (μs/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia,Free Ammonia  (mg/L),Hardness (mg/L),Calcium Carbonate as CaCO3,Calcium as Ca+2(mg/L),Magnesium Carbonate as CaCO3,Magnesium as Mg+2(mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %
2360,River Godavari,River Godavari at Basara,6.8,7.26,807,2,18,0.04,4.5,20,3.7,,,,3.1,20,170,105,32,10,,,260,150,110,60,27,80,33,443,310.1,6,,0.06,BDL,3.4,0.28,21.19
5105,River Godavari,"River Godavari Pushkar Ghat, Mancherial",7.5,7.57,779,3.5,24,0.09,5.6,20,3.6,,,,3.5,20,155,115,41,8,,,260,160,100,64,24,65,25,436.24,305.37,7,,0.08,BDL,2.2,0.31,17.14
4255,River Godavari,Ali sagar Reservoir,7.6,6.98,431,3.6,8,0.04,4,22,Less than 1.8,,,,2.5,12,120,67,46,8,,,160,100,60,40,15,28,20,268,187.6,8,,0.11,BDL,3.1,0.2,20.71
4227,River Godavari,"Pochara Water Falls, Adilabad",7.4,7.51,678,3,10,0.1,5.6,17,1.8,,,,4.2,12,195,81,32,9,,,200,120,80,48,19,35,25,379.68,265.78,9,,0.36,BDL,2.4,0.31,21.18
2361,River Godavari,"River Godavari at mancherial, Near Rail Way Bridge B/C of Rallavagu",6.2,7.3,364,1,0.84,,Less than 1.8,25,Less than 1.8,,,,5,5,80,42,6,1.5,0.4,,75,45,18,30,7.29,26,,222,,10,0.26,,0.5,,0.3,
0013,River Godavari,River Godavari at Mancherial,6.2,7.36,360,1,2.08,,Less than 1.8,24,1.8,,,,4,5,85,44,8,1.5,0.4,,75,45,18,30,7.29,23,,219,,10,0.24,,0.5,,0.28,
3054,River Godavari,"Outlet of ash pond effluents of M/s.NTPC, Ramagundam",5.8,8.64,983,1.8,1.94,,11,150,2,,,,5,15,195,132,20,2.8,0.4,,205,102,40.8,103,25.03,82,,608,,10,1.06,,0.5,,0.65,
2362,River Godavari,D/s of River Godavari at Ramagundam near FCI intake well,6.1,7.26,365,1.8,0.87,,Less than 1.8,21,Less than 1.8,,,,4,5,85,47,16,1.5,0.4,,95,45,18,50,12.15,22,,224,,10,0.22,,0.5,,0.32,
5497,River Godavari,River Godawari D/S afer confluence of Ramagundem fertilize and chemicals Ltd(RFCL)Discharge into river,6.1,7.28,478,1.8,1.84,,Less than 1.8,17,Less than 1.8,,,,4,5,90,68,16,1.5,0.4,,100,54,21.6,46,11.18,46,,292,,10,0.21,,0.5,,0.33,
2363,River Godavari,River Godavari at Godavarikhani near bathing ghat,6.1,6.96,401,1.6,0.78,,Less than 1.8,27,Less than 1.8,,,,6,5,85,58,16,1.5,0.4,,95,50,20,45,10.94,28,,246,,14,0.28,,0.5,,0.39,
2364,River Godavari,River Godavari at Ramagundam upstream near dam,6.1,7.24,380,1,0.82,,Less than 1.8,24,Less than 1.8,,,,3,5,90,44,12,1.5,0.4,,105,55,22,50,12.15,28,,234,,10,0.26,,0.5,,0.32,
2356,River Godavari,River Godavari d/s of Ramagundam at Manthani,6.1,7.3,412,1,1.92,,Less than 1.8,21,Less than 1.8,,,,4,5,95,52,12,1.5,0.4,,98,56,22,42,10,26,,248,,10,0.28,,0.5,,0.43,
4662,River Godavari,River godavari Kaleshwaram,6.1,8.09,457,1.4,0.68,,Less than 1.8,26,Less than 1.8,,,,6,5,120,48,24,1.5,0.4,,130,65,26,55,13,32,,266,,12,0.36,,0.5,,0.44,
2365,River Godavari,"U/s of River Godavari at Kamalapur (V) at M/s.AP Rayons Ltd., intake well",6.2,7.89,251,1.2,0.98,,Less than 1.8,39,Less than 1.8,,,,11,5,55,32,26,1.5,0.4,,60,35,14,25,6.08,18,,152,,13,0.92,,0.5,,0.89,
2366,River Godavari,"D/s of River Godavari at Kamalapur (V) at M/s.AP Rayons Ltd., discharge point",6.2,7.88,254,1.2,0.99,,Less than 1.8,41,Less than 1.8,,,,15,5,50,36,28,1.5,0.4,,65,30,12,35,8.5,20,,156,,16,0.94,,0.5,,0.89,
2367,River Godavari,U/s of river Godavari at Bhadrachalam bathing ghat,6.1,7.74,419,1.2,1.1,,Less than 1.8,34,Less than 1.8,,,,22,5,120,42,26,1.5,0.4,,140,45,80,95,60,28,,246,,26,0.72,,0.5,,0.68,
2368,River Godavari,D/s of river Godavari at Bhadrachalam bathing ghat,6.1,7.4,223,1.4,1.09,,Less than 1.8,17,Less than 1.8,,,,3,5,55,26,18,1.5,0.4,,45,25,10,20,4.86,18,,136,,10,0.2,,0.5,,0.22,
2369,River Godavari,River Godavari at Burgampahad,6.2,7.66,283,1.4,1.2,,Less than 1.8,120,Less than 1.8,,,,17,5,88,32,16,1.5,0.4,,120,75,30,45,10.94,23,,178,,18,0.2,,0.5,,0.76,
4256,River Maneru / Manair,"Lower Maneru Dam, Karimnagar",6.2,7.33,441,1,1.12,,Less than 1.8,26,Less than 1.8,,,,4,5,105,54,8,1.5,0.4,,115,45,28,70,11,26,,268,,10,0.26,,0.5,,0.42,
4257,River Maneru / Manair,"Maneru river D/S of municipal dump site, Karimnagar",5.9,7.28,1254,2,3.26,,Less than 1.8,32,2,,,,5,5,270,157,16,2.8,0.4,,280,165,66,115,27.95,97,,790,,10,0.33,,0.5,,0.53,
4664,River Maneru / Manair,River Maneru at Ghattepalli (V) near Sulthanabad,5.8,7.55,568,2,2.84,,Less than 1.8,27,Less than 1.8,,,,6,5,120,82,28,1.5,0.4,,120,65,26,55,13.37,36,,352,,10,0.28,,0.5,,0.42,
4665,River Maneru / Manair,Outlet of KTPP Ash Pond Joining Moranchavagu,5.8,7.69,765,1.8,0.92,,Less than 1.8,38,Less than 1.8,,,,10,5,218,82,32,1.5,0.4,,226,114,45.6,112,27.22,46,,474,,38,0.32,,0.5,,0.38,
1158,River Maneru / Manair,River Maneru at Somanpally,5.8,6.62,680,2,3.24,,Less than 1.8,34,Less than 1.8,,,,4,5,160,80,36,1.5,0.4,,180,110,44,70,17.01,42,,416,,10,0.32,,0.5,,0.28,
4258,River Manjeera,"Singoor Dam Reservoir,",7.5,7.82,640,2.2,20,0.05,3.6,17,Less than 1.8,,,,4.5,24,130,86,20,10,,,185,100,85,40,21,37,22,358.4,250.88,10,,0.1,BDL,3.1,0.3,19.99
1157,River Manjeera,River Manjeera at Raipally,6.7,8.07,610,2.5,18,0.03,4,27,3.6,,,,3.1,10,120,81,32,8,,,200,120,80,48,19,48,18,341.6,239.12,9,,0.09,BDL,3.4,0.29,16.13
1781,River Manjeera,Manjeera at Ganapathi sugars,6,7.19,605,2.3,19,0.04,8.1,39,3.6,,,,3.2,16,125,81,28,9,,,210,130,80,52,19,51,15,338.8,237.16,8,,0.12,BDL,3,0.4,13.28
2374,River Manjeera,U/s of River Manjeera at Gowdicherla before confluence with Nakkavagu,6.5,7.45,850,2.1,19,0.04,7.8,31,5.5,,,,3.4,20,150,139,28,9,,,315,195,120,78,29,78,20,476.0,333.2,8,,0.14,BDL,3.1,0.31,11.97
2375,River Manjeera,D/s of River Manjeera at Gowdicherla after confluence with Nakkavagu,6,7.52,1203,2.3,22,0.1,6,39,3.7,,,,3.2,16,220,206,32,8,,,435,235,200,94,49,88,31,673.68,471.58,7,,0.11,BDL,4,0.7,13.17
2349,River Manjeera,Nakka vagu at Bachugudem,5.1,6.98,1206,3.6,33,0.1,8.1,84,6.8,,,,4.1,24,210,182,42,10,,,370.49,210,160.49,84,39,85,38,675.36,472.75,9,,0.14,BDL,4.2,0.13,17.94
4226,River Manjeera,River Manjeera at Yedu Payala Temple,7,7.62,794,2.5,22,0.12,3.7,70,1.8,,,,3,12,160,101,30,8,,,235,150,85,60,21,58,22,444.64,311.25,8,,0.18,BDL,3,0.42,16.54
2372,River Kinneresani,Kinnerasani after confluence of KTPS ash pond effluents,6.2,7.76,478,1,2,,Less than 1.8,24,Less than 1.8,,,,13,5,140,74,23,1.5,0.4,,175,115,46,60,14.58,14,,297,,15,0.5,,0.5,,0.68,
3080,River Kinneresani,U/s of Karakavagu at Paloncha,6,7.93,746,1,0.3,,Less than 1.8,33,Less than 1.8,,,,2,5,180,88,12,1.5,0.4,,225,145,58,80,19.44,46,,463,,17,0.2,,0.5,,0.2,
3081,River Kinneresani,D/s of Karakavagu at Paloncha,6,7.84,596,1,0.3,,Less than 1.8,39,Less than 1.8,,,,4,5,255,42,20,1.5,0.4,,260,135,54,125,30,19,,340,,13,0.2,,0.5,,0.2,
1784,River Krishna ,River Krishna at Thangadi,6.2,7.67,511,1.8,0.68,,Less than 1.8,49,Less than 1.8,,,,8,5,130,52,24,1.5,0.4,,142,84,33.6,58,14.09,34,,316,,10,1.2,,0.5,,0.95,
0039,River Krishna ,River Krishna at Gadwal bridge,6.2,7.45,350,1.8,0.42,,Less than 1.8,21,Less than 1.8,,,,5,5,92,36,32,1.5,0.4,,104,56,22.4,48,11.66,20,,220,,10,1.4,,0.5,,0.69,
4225,River Krishna ,"Jogulamba Temple, Gadwal",6.2,7.02,682,1.8,0.66,,2,32,Less than 1.8,,,,6,5,125,92,28,1.5,0.4,,135,77,30.8,58,14.09,54,,428,,12,1.3,,0.5,,0.63,
4259,River Krishna ,Nagarjuna Sagar Dam Spill way,7.4,7.25,913,2.5,25,0.1,4,21,3.6,,,,3.1,20,225,115,37,12,,,300,180,120,72,29,78,39,511.28,357.9,7,,0.19,BDL,4.5,BDL,21.66
4252,River Krishna ,"Udaya Samudram balancing Reservoir,",6.2,7.52,930,2.6,28,0.12,6.8,39,3.6,,,,3.2,16,165,127,30,10,,,270,160,110,64,27,65,36,520.8,364.56,6,,0.2,BDL,4.9,BDL,21.92
1465,River Krishna ,Confluence of River Krishna & River Musi at at Wadapally,6.3,7.47,1076,3.2,18,0.22,9.1,27,5.5,,,,3.2,12,210,168,42,9,,,360.49,200,160.49,80,39,75,29,602.56,421.79,6,,0.12,BDL,5,0.21,14.6
4663,River Krishna ,"River Krishna at Mattepally, 500 mts. before bathing ghat",7.2,7.86,1122,2.3,22,0.2,6.1,34,4,,,,3.4,20,230,153,17,12,,,355.49,195,160.49,78,39,80,31,628.32,439.82,8,,0.11,BDL,6,0.65,15.58
4250,River Krishna ,"Palair Reservoir, Khammam",6.1,7.14,370,1.8,1.46,,Less than 1.8,27,Less than 1.8,,,,3,5,95,44,12,1.5,0.4,,110,60,24,50,12.15,20,,228,,10,0.27,,0.5,,0.33,
4251,River Krishna ,"D/S of Munneru River, Prakash Nagar, Khammam",6.1,7.44,343,1,1.28,,Less than 1.8,24,Less than 1.8,,,,6,5,105,32,12,1.5,0.4,,120,65,26,55,13.37,19,,210,,12,0.22,,0.5,,0.28,
5108,River Krishna ,River Krishna Before Confluence of River Musi at Wadapally (V),7.4,6.84,1085,3.2,19,0.12,6,34,3.7,,,,3.2,20,220,115,37,8,,,305,185,120,74,29,79,35,607.6,425.32,6,,0.14,BDL,3.9,0.1,19.67
5109,River Krishna ,River Krishna After Confluence of River Musi at Wadapally (V),7.1,7.86,1120,2.3,21,0.11,5.5,33,3.6,,,,3,16,200,163,24,10,,,330,200,130,80,32,55,34,627.2,439.04,8,,0.09,BDL,3.8,0.28,17.94
5110,River Krishna ,River Krishna at Pulichintala Reservoir at Chinthalapalem,7,7.54,1079,2.1,20,0.15,4,31,2,,,,3,20,230,129,27,9,,,265,175,90,70,22,78,60,604.24,422.97,6,,0.11,BDL,4.1,0.27,32.42
4253,River Musi,Musi sample at Bapughat sangam U/S of Musi,0.3,7.25,1021,6.2,8.2,,32,540,4,,,,18,5,265,128,79,5.6,3.02,,280,152,60.8,128,31.1,78,,648,,16,2.2,,0.5,,1.06,
4656,River Musi,"River Musi at Moosarambagh bridge, Hyderabad",0.3,7.63,1175,8,8.6,,27,430,6.1,,,,20,5,285,124,103,6.72,2.48,,298,156,62.4,142,34.51,84,,716,,24,3.2,,0.5,,1.12,166
2339,River Musi,River Musi at Nagole,0.3,7.58,1234,8,7.92,,34,540,8.2,,,,38,5,275,136,107,9.8,3.64,,290,160,64,130,31.59,80,,762,,13,3.3,,0.58,,1.14,
4659,River Musi,"Outlet of Nalla Cheruvu, Peerajadiguda",0.3,7.65,1269,7.6,8.64,,48,920,6.1,,,,22,5,290,142,95,7.84,3.28,,304,184,73.6,120,29.16,86,,800,,18,3.4,,0.6,,1.06,
4660,River Musi,River Musi at Peerajadiguda,0.8,7.29,1196,5.8,6.58,,24,350,6.1,,,,16,5,250,144,91,6.72,1,,264,138,55.2,126,30.62,82,,742,,28,2,,0.6,,1.12,
1173,River Musi,D/s. of Musi at Pratapasingaram,1.2,7.25,1189,5.2,6.72,,27,430,4,,,,24,5,245,138,87,5.6,1,,255,136,54.4,119,28.92,88,,750,,16,2.4,,0.5,,1.09,
4657,River Musi,River Musi at Pillapalli,3.2,7.28,1220,4,8.14,,17,350,2,,,,22,5,250,152,67,4.48,1.2,,260,148,59.2,112,27.22,82,,758,,12,2.5,,0.6,,1.02,
4254,River Musi,River Musi sample at Rudravelly bridge,7,7.01,1491,2.3,32,0.12,6.8,70,5.5,,,,4.1,32,220,216,20,10,,,439.88,230,209.88,92,51,91,42,834.96,584.47,8,,0.12,BDL,7,BDL,16.82
4658,River Musi,"River Musi at Valigonda bridge, Nalgonda dist",7.6,6.88,1484,2.1,22,0.16,8.3,79,6,,,,6.2,28,230,196,29,12,,,389.61,225,164.61,90,40,92,59,831.04,581.73,11,,0.17,BDL,7.1,0.13,24.25
3082,River Musi,River Musi at Solipet (Kasaniguda),7.6,7.48,1101,3.6,19,0.05,7.8,49,4.5,,,,6.3,20,210,182,20,10,,,380.49,220,160.49,88,39,72,35,616.56,431.59,10,,0.12,BDL,6.5,0.21,16.3
5106,River Musi,River Musi at Bheemaram Bridge,7.5,7.73,1154,2.2,20,0.12,5.5,33,3.6,,,,3.5,20,250,196,23,10,,,385.19,200,185.19,80,45,70,40,680,476.0,10,,0.1,BDL,4.5,0.41,18.11
5107,River Musi,River Musi Before Confluence of River Krishna at Wadapally,6.4,7.9,1121,2.5,18,0.11,6.1,39,5.5,,,,3.1,24,200,163,30,12,,,355.49,195,160.49,78,39,80,38,627.76,439.43,6,,0.11,BDL,4.2,0.4,18.54
1172,Lakes & Tanks ,U/s of Musi at Gandipet (Osmansagar lake),6.2,7.81,489,1.8,0.3,,Less than 1.8,24,Less than 1.8,,,,8,5,132,48,28,1.5,0.4,,145,74,29.6,71,17.25,28,,302,,10,1.2,,0.5,,0.48,
1215,Lakes & Tanks ,Madannapet Lake,6.1,7.55,165,1.8,0.54,,Less than 1.8,24,Less than 1.8,,,,6,5,48,19,24,1.5,0.4,,54,32,12.8,22,5.35,12,,104,,10,2,,0.5,,0.2,
1780,Lakes & Tanks ,Gandigudem Tank,6.1,7.81,1310,3,30,0.1,6,70,3.7,,,,8.1,32,210,236,32,12,,,355,235,120,94,29,58,98,733.6,513.52,12,,0.13,BDL,4.5,0.28,37.07
2358,Lakes & Tanks ,Mallapur tank,0.3,7.64,2658,10,8.3,,34,540,10,,,,38,5,640,210,129,10,4.16,,820,430,172,390,94.77,388,,1648,,32,3.2,,0.6,,0.53,
2347,Lakes & Tanks ,Asani Kunta,NIL,7.62,2902,18,45,0.2,8.2,110,4.5,,,,40.1,36,505,867,219,44,,,1460,635,825,254,200,82,100,2002,1401.4,70,,0.22,0.2,30,0.39,12.61
1783,Lakes & Tanks ,Kistareddypet Tank,6,7.78,1304,3,13,0.13,8.3,21,4.5,,,,8,32,280,250,34,17,,,345,215,130,86,32,65,120,822,584,8,,0.13,BDL,4.2,0.31,42
2348,Lakes & Tanks ,Khazipally Tank,6.1,7.53,1295,2.5,18,0.4,2,10,Less than  1.8,,,,7,28,220,290,25,15,,,440,265,175,106,42,80,78,816,579,6,,0.2,BDL,2,0.17,27.7
4243,Lakes & Tanks ,"Isnapur Tank,",5.6,6.57,3040,10,75,0.19,6.8,70,3.6,,,,10.1,24,510,651,144,36,,,1030,535,495,214,120,120,185,1702.4,1191.68,20,,0.2,BDL,18,0.32,27.54
4302,Lakes & Tanks ,Rudraram Tank,5.6,6.74,2122,11,48,0.16,7.8,39,3.7,,,,9.2,40,320,359,84,30,,,735,375,360,150,87,109,61,1188.32,831.82,20,,0.2,BDL,9.1,0.45,15.04
4240,Lakes & Tanks ,"Muthangi Tank,",6.5,6.66,1058,3,14,0.1,6.8,31,36,,,,7,24,190,265,28,10,,,385,200,185,80,45,71,75,667,474,6,,0.14,BDL,12,0.08,28.8
4241,Lakes & Tanks ,"Chitkul Tank,",7,7.13,1694,3.5,28,0.19,6.8,58,4,,,,6.1,32,180,311,44,28,,,510,265,245,106,60,71,42,948.64,664.05,16,,0.21,BDL,8,0.88,14.81
4242,Lakes & Tanks ,"Lakadaram Cheruvu,",6.4,7.61,1358,4,16,0.18,7.8,31,4.5,,,,5.8,20,210,211,44,18,0.26,,395.49,235,160.49,94,39,82,41,760.48,532.34,12,,0.07,BDL,7.5,0.41,17.96
4246,Lakes & Tanks ,Pashamylaram Tank,RO-Sangareddy-I informed that Pashamylaram & Isnapur tanks both are same but called by different names.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1789,Lakes & Tanks ,Himayathsagar lake,6.2,7.92,484,1.8,0.3,,Less than 1.8,27,Less than 1.8,,,,6,5,128,52,20,1.5,0.4,,140,78,31.2,62,15.07,29,,306,,10,1,,0.5,,1.16,
3069,Lakes & Tanks ,"Shameerpet lake, Shameerpet",5.8,7.69,532,2,0.65,,Less than 1.8,48,Less than 1.8,,,,14,5,142,78,32,3.36,0.4,,150,82,32.8,68,16.52,39,,320,,12,1.6,,0.5,,0.59,
3078,Lakes & Tanks ,"Pragathinagar cheruvu, Kukatpally",2.3,7.59,816,5.4,5.46,,22,350,8,,,,12,5,195,88,55,5.6,1.2,,212,102,40.8,10,26.73,49,,510,,21,2.5,,0.65,,0.87,
2340,Lakes & Tanks ,Lakshminarayana cheruvu,5.8,7.4,1564,4,3.56,,32,350,6.1,,,,11,5,360,178,99,5.6,0.4,,380,220,88,160,38.88,96,,954,,16,2.1,,0.5,,1.12,
1788,Lakes & Tanks ,Saroornagar Lake / Large Tank,same as 4700 large tank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4234,Lakes & Tanks ,"Umda sagar lake, Shamshabad",1.8,7.28,1220,5,3.4,,27,430,1.8,,,,16,5,265,138,93,1.5,0.4,,280,155,62,125,30.38,92,,732,,18,1.89,,0.5,,0.99,
1464,Lakes & Tanks ,Bibinagar Tank,6.8,7.29,1267,3.8,50,0.17,3.7,43,3.6,,,,5.2,24,235,196,42,24,,,395.19,210,185.19,84,45,78,46,709.52,496.66,12,,0.13,BDL,1.5,0.35,20.02
3068,Lakes & Tanks ,Ramappa lake,6.2,7.68,208,1,1.4,,Less than 1.8,49,Less than 1.8,,,,13,5,45,34,12,1.5,0.4,,55,30,12,25,6.08,6,,122,,12,1.08,,0.5,,0.78,
1447,Lakes & Tanks ,Dharmasagar tank,6.2,7.8,299,1,1.2,,Less than 1.8,58,Less than 1.8,,,,14,5,60,36,12,1.5,0.4,,65,35,14,30,7.29,28,,180,,10,1.6,,0.5,,0.8,
2346,Lakes & Tanks ,Bhadrakali Cheruvu,5.6,7.96,357,1.2,0.89,,Less than 1.8,110,Less than 1.8,,,,10,5,85,48,19,1.5,0.4,,95,55,22,40,9.72,26,,210,,15,0.98,,0.5,,0.67,
3084,Lakes & Tanks ,"Waddepally tank, Kazipet",5.6,7.64,294,1.8,1.4,,Less than 1.8,63,Less than 1.8,,,,12,5,70,50,31,1.5,0.4,,95,50,20,45,10.94,30,,178,,12,1.86,,0.5,,0.82,
3085,Lakes & Tanks ,Chinnawaddepally tank,4.8,7.76,524,2,2.6,,17,350,Less than 1.8,,,,16,5,120,78,23,2.8,0.4,,135,75,30,60,14.58,52,,310,,12,2.2,,0.5,,0.98,
2343,Lakes & Tanks ,Premajipet tank,0.3,6.95,2205,14,5.6,,39,540,1.8,,,,16,5,540,220,165,5.6,2.8,,635,320,128,315,76.55,132,,1320,,26,4.22,,0.5,,1.22,
2345,Lakes & Tanks ,Sai Cheruvu,2.4,7.81,999,3,4.2,,Less than 1.8,430,Less than 1.8,,,,18,5,190,134,58,1.5,0.4,,220,115,46,105,25.52,78,,592,,10,2.8,,0.5,,1.06,
4222,Lakes & Tanks ,"Koneru, Kondagattu temple, Jagitiyal",under maintaince,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4223,Lakes & Tanks ,"Vemulawada temple Koneru , Karimnagar",5,6.84,410,2,2.12,,Less than 1.8,49,Less than 1.8,,,,8,5,95,54,20,1.5,0.4,,110,65,26,45,10.94,24,,246,,10,0.45,,0.5,,0.38,
4228,Lakes & Tanks ,"Pedda Cheruvu/Ibrahim Cheruvu, Rajendra Nagar",4,6.74,1209,3.2,3.86,,3.6,350,2,,,,8,5,240,162,32,2.8,0.4,,250,155,62,95,23.09,86,,750,,12,0.43,,0.5,,0.63,
4230,Lakes & Tanks ,Kistaipally Cheruvu,7,7.87,2384,3.9,72,0.19,6,70,3.6,,,,8.2,16,200,455,48,32,,,820,460,360,184,87,165,91,1335.04,934.53,20,,0.16,BDL,9.1,0.2,19.17
4231,Lakes & Tanks ,"Rayam Cheruvu,",7.2,7.83,1025,3.1,29,0.18,4,49,3.6,,,,6.1,20,110,244,24,10,,,384.61,220,164.61,88,40,65,38,615,430.5,15,,0.21,BDL,5.4,0.22,17.35
4232,Lakes & Tanks ,"Komati Cheruvu,",6.8,7.91,598,3,19,0.1,2,31,1.8,,,,3.8,8,110,105,36,12,,,210,135,75,54,18,45,20,358,250.6,8,,0.17,BDL,5,BDL,16.73
4235,Lakes & Tanks ,Lake Kamuni (Shamshabad Lake),1,7.08,500,5.8,3.94,,4,220,2,,,,13,5,120,67,78,2.8,0.4,,135,80,22,55,19,32,,305,,10,0.84,,0.5,,0.81,
4233,Lakes & Tanks ,"Gaddapotharam cheruvu,",6.5,6.86,2230,5,50,0.18,6.1,58,5.5,,,,12,20,190,489,60,14,,,720,495,225,198,55,64,120,1248.8,874.16,12,,0.1,0.13,30,0.31,25.49
4238,Lakes & Tanks ,"Ameenpur Cheruvu,",7.9,7.48,1282,4.2,10,0.21,5.6,49,3.7,,,,8,20,150,216,34,10,,,364.61,200,164.61,80,40,63,32,717.92,502.54,16,,0.21,BDL,22,0.33,14.98
4239,Lakes & Tanks ,"Mahaboobsagar Tank,",6.8,7.3,1051,2.6,28,0.18,4,70,3.6,,,,4.1,24,120,188,34,18,,,335,210,125,84,30,36,19,588.56,411.99,7,,0.16,BDL,9.8,0.41,10.62
4244,Lakes & Tanks ,"Erdanoor Tank,",7.6,7.57,1605,3.1,40,0.19,3.7,39,2,,,,3.8,16,110,354,17,8,,,629.53,325,304.53,130,74,85,34,898.8,629.16,8,,0.15,BDL,10,0.21,10.27
4245,Lakes & Tanks ,"Mallepally Tank,",6,8.29,1795,5.1,43,0.11,2,25,1.8,,,,3.9,32,260,311,80,18,,,625,360,265,144,64,120,62,1005.2,703.64,9,,0.21,BDL,9,0.5,17.44
4247,Lakes & Tanks ,"Mucharla Nagaram cheruvu, Warangal",5.1,8.05,384,1.2,3.2,,22,430,2,,,,8,5,90,46,16,1.5,0.4,,105,55,22,50,12.15,32,,220,,14,2.4,,0.5,,0.98,
4248,Lakes & Tanks ,"Koti Cheruvu, Hanamkonda, Warangal",4.2,7.89,667,2.4,3.2,,Less than 1.8,350,Less than 1.8,,,,8,5,175,82,35,15,0.4,,180,105,42,75,18.22,58,,394,,16,1.4,,0.5,,0.86,
4229,Lakes & Tanks ,Neknampur Lake,0.3,7.05,1258,10,4.32,,6,430,2,,,,16,5,265,152,87,5.6,3.86,,270,165,66,105,25.52,84,,780,,20,1.18,,0.5,,1.26,
4249,Lakes & Tanks ,"Rangasamudram, Warangal",5.6,7.95,439,2.5,2,,Less than 1.8,110,Less than 1.8,,,,12,5,125,42,27,1.5,0.4,,145,90,36,55,13.37,26,,260,,14,2.8,,0.5,,0.99,
4661,Lakes & Tanks ,Peddakanjarla Tank,6.5,6.67,347,3,12,0.03,2,14,Less than 1.8,,,,3.5,8,85,43,44,6,,,120.27,75,45.27,30,11,25,8,194.32,136.02,6,,BDL,BDL,2,0.25,12.35
4666,Lakes & Tanks ,Ismailkhanpet Tank,7,7.24,980,3.2,26,0.09,2,23,1.8,,,,3.2,12,95,187,20,10,,,340,220,120,88,29,48,20,548.8,384.16,7,,BDL,BDL,5.5,0.4,11.11
4670,Lakes & Tanks ,"Bairamalaguda Cheruvu / Maddela Kunta, Medchal-Malkajigiri District.",3.1,7.08,939,5.2,5.84,,27,430,8.3,,,,16,5,180,154,47,7,2.96,,195,120,48,75,18.22,94,,582,,18,0.98,,0.5,,0.92,
4675,Lakes & Tanks ,"Lotus pond, Hakimpet (V), Shaik pet (new mandal)",4.8,7.23,742,3.2,1.46,,2,69,Less than 1.8,,,,5,5,148,112,48,4.48,1.92,,180,96,38.4,84,20.41,74,,452,,24,3,,0.5,,0.79,
4680,Lakes & Tanks ,Laknavaram lake,6.2,7.2,75,1.2,0.86,,Less than 1.8,33,Less than 1.8,,,,10,5,20,12,31,1.5,0.4,,50,32,12.8,28,4.37,12,,42,,4,0.72,,0.5,,0.76,
4681,Lakes & Tanks ,Pakala lake Narsampet,6.2,7.51,128,1.2,0.48,,Less than 1.8,27,Less than 1.8,,,,4,5,42,16,20,1.5,0.4,,48,28,11.2,20,4.86,10,,82,,10,1.2,,0.5,,0.2,
4682,Lakes & Tanks ,Bandham Cheruvu,not collected due to water hyacinth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4688,Lakes & Tanks ,"Narinja River, Kothur - B (V), Zaheerabad",7,8.09,642,2.3,12,0.08,2,40,1.8,,,,3.2,12,120,96,27,12,,,210,160,50,64,12,40,16,359.52,251.66,8,,BDL,BDL,3.4,0.22,13.96
1391,Lakes & Tanks ,Hussain sagar Lake,1.6,7.44,1059,4.8,4.4,,11,350,2,,,,10,5,220,120,64,4.48,0.96,,238,150,60,88,21.38,80,,656,,28,3.3,,0.5,,0.89,
3071,Lakes & Tanks ,Langarhouse lake,0.3,7.59,1325,6.2,8.3,,24,540,6.1,,,,14,5,276,180,87,6.72,2.84,,290,166,66.4,124,30.13,72,,826,,14,2.2,,0.5,,1.16,
2341,Lakes & Tanks ,Miralam tank,0.3,7.09,1279,8,4.86,,27,430,4,,,,16,5,258,148,95,5.6,1.82,,368,210,84,158,38.39,106,,780,,38,2.4,,0.5,,1.02,
3073,Lakes & Tanks ,"Hasmathpet lake, Hasmathpet",0.3,7.2,1347,7,13,,46,540,4,,,,29,5,295,188,87,14,6.7,,335,215,86,120,29.16,78,,836,,20,3.96,,0.5,,0.84,
3072,Lakes & Tanks ,Safilguda lake,0.3,7.22,1078,8,6.45,,21,540,5.6,,,,24,5,148,122,111,8.96,4.02,,172,116,46.4,56,13.61,206,,668,,22,2.3,,0.5,,1.12,
3075,Lakes & Tanks ,Rangadhamuni cheruvu,3.8,7.12,1120,3.6,15,,33,430,6.1,,,,24,5,220,152,40,10,3.3,,265,175,70,123,21.87,67,,694,,39,4.4,,0.74,,0.5,
