Station code,water_bodies,Station name,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate-N (mg/L),Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Saprobity index,Diversity index,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia-N  (mg/L),Hardness (mg/L),Calcium (mg/L),Magnesium (mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR
2360,River Godavari,River Godavari at Basara,6.4,7.68,513,3.4,5,0.46,10,36,,,28,28,92,56,25,Less than  1,Less than  1,180,95,20,40,18,301,236,18,0.59,0.6,15,0.65,10.14,0.44
2361,River Godavari,"River Godavari at mancherial, Near Rail Way Bridge B/C of Rallavagu",5,8.52,421,4.5,2,,NIL,32,,,6,15,135,27,30,Less than  1,Less than  1,130,75,12.15,12,25,240,190,2,0.01,Less than  0.1,3,1.2,18.26,0.7
13,River Godavari,"River Godavari at Mancherial (BM-Jan, Apr & Oct)",5.1,8.47,424,3,3.5,,NIL,14,,,8,15,166,34,40,Less than  1,Less than 1,180,44,17.01,14,22,269,218,3,0.09,Less than  0.1,2,0.62,20.6,0.71
2364,River Godavari,River Godavari at Ramagundam upstream near dam,4.8,8.12,510,3,3.3,,NIL,26,,,9,BDL,140,27,22,Less than  1,Less than  1,130,24,17.01,6,24,230,185,2,0.01,Less than  0.1,2,0.69,27.98,0.91
2362,River Godavari,D/s of River Godavari at Ramagundam near FCI intake well,4.8,8.38,569,3,4,,NIL,20,,,6,10,152,36,34,Less than  1,Less than  1,145,27.2,18.71,17,34,280,225,5,0.01,Less than  0.1,3,0.31,32.84,1.22
2363,River Godavari,River Godavari at Godavarikhani near bathing ghat,4.9,8.26,644,3,4.34,,NIL,18,,,10,10,170,73,26,Less than  1,Less than  1,210,99,29.16,21,40,380,308,13,1.41,Less than  0.1,5,0.86,18.72,0.91
2356,River Godavari,River Godavari d/s of Ramagundam at Manthani,DRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2365,River Godavari,"U/s of River Godavari at Kamalapur (V) at M/s.AP Rayons Ltd., intake well",6.1,8.21,382,3,0.13,,NIL,88,,,6,8,125,36,16,Less than  1,Less than  1,125,32,10.94,12,30,236,190,12,0.12,Less than  0.1,2,0.4,33.58,1.16
2366,River Godavari,"D/s of River Godavari at Kamalapur (V) at M/s.AP Rayons Ltd., discharge point",6,8.24,412,4,0.51,,NIL,30,,,9,8,138,40,18,Less than  1,Less than  1,145,30,17.01,14,32,258,210,24,0.02,Less than  0.1,4,0.67,31.29,1.15
2367,River Godavari,U/s of river Godavari at Bhadrachalam bathing ghat,5.8,8.3,280,2,0.6,,NIL,90,,,7,10,115,10,10,Less than  1,Less than  1,115,36,6.08,8,12,178,140,4,0.01,Less than  0.1,2,0.78,18.01,0.49
