Station code,water_bodies,Station name,District,RO,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia  (mg/L),Free Ammonia  (mg/L),Hardness (mg/L),Calcium (mg/L),Magnesium (mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR
2360,River Godavari,River Godavari at Basara,Nirmal,Nizamabad,6.6,7.21,550,2.1,9,0.13,3.6,23,2,,,,9,16,128,72,26,5,0.1,Less than 0.01,180.49,36,22,8,17,316,222,6,,0.1,0.1,4,0.1,16.52,0.55
4255,River Godavari,Ali sagar Reservoir,Nizamabad,Nizamabad,6.4,7.19,470,2.1,7,0.1,2,22,1.8,,,,7,12,112,60,20,5,0.1,Less than 0.01,154.03,32,18,5,14,268,188,8,,0.1,0.1,2,0.1,16.19,0.49
4227,River Godavari,"Pochara Water Falls, Adilabad",Adilabad,Nizamabad,6.5,7.09,630,2.1,6,0.11,4,31,2,,,,6,8,126,68,18,5,0.1,Less than 0.01,166,34,20,6,15,358,256,5,,0.1,0.1,3,0.1,15.92,0.5
2361,River Godavari,"River Godavari at mancherial, Near Rail Way Bridge B/C of Rallavagu",Mancherial,Ramagundam,5.6,7.98,412,2.1,0.32,,Less than 1.8,17,Less than 1.8,,,,5,5,125,32,31,5,0.1,Less than 0.01,150,44.8,9.23,28,24,262,170,8,0.26,,0.1,3,0.1,25.27,0.85
13,River Godavari,River Godavari at Mancherial,Mancherial,Ramagundam,5.4,8.03,424,2.2,0.36,,Less than 1.8,14,Less than 1.8,,,,5,5,125,34,24,5,0.1,Less than 0.01,192,49.6,16.52,21,23,280,190,5,0.2,,0.1,3,0.1,20.27,0.72
3054,River Godavari,"Outlet of ash pond effluents of M/s.NTPC, Ramagundam",Peddapalli,Ramagundam,3.9,11.01,1268,3.6,0.88,,Less than 1.8,10,Less than 1.8,,,,6.3,20,230,170,39,5,0.1,Less than 0.01,320,68,36.45,94,97,773,540,13,0.26,,0.1,10,0.1,38.65,2.35
2362,River Godavari,D/s of River Godavari at Ramagundam near FCI intake well,Peddapalli,Ramagundam,4.8,8.03,452,2.6,0.72,,Less than 1.8,14,Less than 1.8,,,,6.6,5,160,32,23,5,0.1,Less than 0.01,200,48,19.44,19,20,272,160,10,0.23,,0.1,3,0.1,17.51,0.61
2363,River Godavari,River Godavari at Godavarikhani near bathing ghat,Peddapalli,Ramagundam,4.2,7.87,450,3.2,0.66,,Less than 1.8,21,Less than 1.8,,,,5.2,5,150,32,35,5,0.1,Less than 0.01,185,54,12.15,21,22,279,180,12,0.2,,0.1,4,0.1,20.05,0.7
2364,River Godavari,River Godavari at Ramagundam upstream near dam,Peddapalli,Ramagundam,5.4,7.81,420,2.8,0.52,,Less than 1.8,8,Less than 1.8,,,,5,5,125,36,31,5,0.1,Less than 0.01,145,40,10.94,24,21,266,220,13,0.16,,0.1,3,0.1,23.4,0.76
2356,River Godavari,River Godavari d/s of Ramagundam at Manthani,Peddapalli,Ramagundam,5.2,7.4,523,2.4,0.66,,Less than 1.8,14,Less than 1.8,,,,5,5,160,39,23,5,0.1,Less than 0.01,195,52,15.79,26,22,320,240,8,0.22,,0.1,4,0.1,19.23,0.68
4662,River Godavari,River godavari Kaleshwaram,Jayashankar Bhoopalpalli,Warangal,5.6,7.92,401,2.1,0.48,,Less than 1.8,21,Less than 1.8,,,,6.2,5,102,36,35,5,0.1,Less than 0.01,138,38.4,10.21,24,19,262,200,10,0.18,,0.1,3,0.32,22.49,0.7
