Station code,water_bodies,Station name,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Free Ammonia (mg/L),Hardness (mg/L),Calcium (mg/L),Magnesium (mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Phosphate (mg/L),Orthophosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR,Arsenic,Cadmium (Cd),Copper (Cu),Lead (Pb),Total Chromium (T. Cr),Nickel (Ni),Zinc (Zn),Iron (Fe)
1784,River Krishna,River Krishna at Thangadi,4.8,8.1,980,3,0.92,,Less than 1.8,13,,,,6,BDL,175,154,14,4,,215,48,23.09,82,120,610,,8,0.16,,0.09,4,0.42,54.24,2.52,,Less than 0.003,Less than 0.004,0.01,Less than 0.005,Less than 0.012,0.09,Less than 0.005
39,River Krishna,River Krishna at Gadwal bridge,4.6,7.92,940,3,0.22,,Less than 1.8,17,,,,8,BDL,190,136,10,4,,220,44,26.73,78,112,582,,10,0.26,,0.09,2,0.62,52.24,2.32,,Less than 0.003,Less than 0.004,0.01,Less than 0.005,Less than 0.012,0.12,Less than 0.005
4225,River Krishna,"Jogulamba Temple, Gadwal",4.8,8.06,814,3,0.28,,Less than 1.8,20,,,,6,BDL,180,112,12,4,,195,38,24.3,56,94,520,,8,0.08,,0.09,2,0.66,50.84,2.07,,Less than 0.003,Less than 0.004,0.01,Less than 0.005,Less than 0.012,0.05,Less than 0.005
4259,River Krishna,Nagarjuna Sagar Dam Spill way,7.4,7.28,442,2.8,24,0.43,Less than 1.8,22,5.7,0.69, NA,9,16,88,36,14,2,0.02,110,24,12,20,21,265,175,10,,0.36,0.09,7,0.35,27.92,0.9,BDL,BDL,BDL,BDL,BDL,BDL,BDL,3.81
1465,River Krishna,Confluence of River krishna & River musi at wadapally,6.5,7.24,834,2.4,11,0.37,Less than 1.8,25,4.6,0.62, NA,13,20,148,62,12,1.8,0.02,180,36,22,36,27,494,325,25,,0.63,0.09,6,0.43,23.85,0.9,BDL,BDL,BDL,BDL,BDL,0.02,0.1,9.52
4252,River Krishna,"Udaya Samudram balancing Reservoir,",6.7,7.3,414,2.7,22,0.45,Less than 1.8,22,5,0.8, NA,3.2,20,92,48,14,2.2,0.02,130,27,15,16,20,248,165,23,,0.41,0.09,4,0.32,24.53,0.8,BDL,BDL,BDL,BDL,BDL,0.01,BDL,0.79
4253,River Musi,Musi sample at Bapughat sangam U/S of Musi,0.1,7.2,1480,26,2.2,,41,540,,,,18,BDL,320,214,126,2.2,,350,72,41.31,94,170,920,,18,1.86,,0.3,4,0.76,51.0,2.79,,Less than 0.003,0.01,0.07,Less than 0.005,Less than 0.012,0.02,Less than 0.005
2339,River Musi,River Musi at Nagole,0.1,7.24,1440,24,9.2,,27,350,,,,20,BDL,375,162,180,3.2,,395,86,43.74,94,138,898,,28,1.46,,0.28,8,1.1,42.54,2.13,,Less than 0.003,0.02,0.14,Less than 0.005,Less than 0.012,0.06,1.23
1173,River Musi,D/s. of Musi at Pratapasingaram,0.1,7.3,1480,24,4.8,,17,280,,,,18,BDL,350,202,186,3.2,,380,78,44.95,76,156,920,,52,2,,0.39,4,2,46.82,2.46,,Less than 0.003,Less than 0.004,0.14,Less than 0.005,Less than 0.012,0.05,0.28
4254,River Musi,River Musi sample at Rudravelly bridge,6.7,6.93,1638,2.8,20,0.43,Less than 1.8,70,6,0.77, NA,11,28,360,210,32,8.8,2,458,93,55,62,88,965,671,29,,0.39,0.09,18,0.48,28.51,1.8,BDL,BDL,BDL,BDL,BDL,0.02,BDL,0.83
3082,River Musi,River Musi at Solipet (Kasaniguda),6.1,7.37,2153,3.2,18,0.42,2,63,5,0.7, NA,22,32,288,202,38,6.4,4,376,73,47,66,96,1290,896,42,,0.53,0.09,17,0.43,34.52,2.2,BDL,BDL,BDL,BDL,BDL,0.01,BDL,1.01
1172, Lakes /Tanks/ Cheruvus,U/s of Musi at Gandipet (Osmansagar lake),5.8,8.1,420,2,0,,Less than 1.8,20,,,,4,BDL,130,40,10,4,,145,26,19.44,19,28,256,,6,0.02,,0.09,2,0.64,29.2,0.71,,Less than 0.003,Less than 0.004,Less than 0.012,Less than 0.005,Less than 0.012,Less than 0.003,0.12
1391, Lakes /Tanks/ Cheruvus,Hussain sagar Lake,2,7.52,1440,10,3.82,,20,280,,,,18,BDL,365,182,76,2.2,,395,116,25.52,82,145,896,,12,2.13,,0.13,4,1.2,44.07,2.24,,Less than 0.003,Less than 0.004,0.07,Less than 0.005,Less than 0.012,0.06,0.04
