Station code,water_bodies,Station name,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Free Ammonia (mg/L),Hardness (mg/L),Calcium (mg/L),Magnesium (mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Phosphate (mg/L),Orthophosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR,Arsenic,Cadmium (Cd),Copper (Cu),Lead (Pb),Total Chromium (T. Cr),Nickel (Ni),Zinc (Zn),Iron (Fe)
4231, Lakes /Tanks/ Cheruvus,"Rayam Cheruvu,",Sample was not collected as the tank was in dry condition.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4232, Lakes /Tanks/ Cheruvus,"Komati Cheruvu,",6.5,6.61,971,4.6,9,0.58,Less than 1.8,42,3,0.3, NA,13,24,144,76,22,3.8,2.5,198,45,21,31,29,580,412,23,,0.14,0.04,7,0.43,23.2,0.9,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
4235, Lakes /Tanks/ Cheruvus,Lake Kamuni( Shamshabad Lake),0.1,7.62,1940,32,3.2,,110,430,,,,22,BDL,255,388,148,4,,350,68,43.74,140,272,1246,,26,0.62,,0.09,6,0.76,62.31,4.47,,Less than 0.003,Less than 0.004,0.01,Less than 0.005,Less than 0.012,0.04,Less than 0.005
4233, Lakes /Tanks/ Cheruvus,"Gaddapotharam cheruvu,",4.7,6.53,7330,18,45,0.43,Less than 1.8,110,4.6,0.4, NA,25,36,572,1150,69,16,4,1430,292,170,173,353,4290,3015,65,,0.23,0.09,61,0.64,33.83,4.1,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
4237, Lakes /Tanks/ Cheruvus,"Mullakatwa Cheruvu, Hi Tech City, Madhapur,",0.1,7.73,1860,38,16.2,,58,540,,,,20,BDL,435,276,186,4.2,,435,100,44.95,114,234,1234,,32,3.2,,0.26,6.6,1.2,53.43,3.45,,Less than 0.003,Less than 0.004,0.01,Less than 0.005,Less than 0.012,0.37,0.36
4238, Lakes /Tanks/ Cheruvus,"Ameenpur Cheruvu,",5.1,7.38,1648,12,20,0.58,Less than 1.8,170,3,0.3, NA,22,28,240,252,42,10,2.8,440,86,55,65,78,980,682,29,,0.45,0.09,20,0.43,26.73,1.6,BDL,0.0,0.31,BDL,BDL,BDL,BDL,7.5
4239, Lakes /Tanks/ Cheruvus,"Mahaboobsagar Tank,",6.1,7.58,1483,6,18,0.36,Less than 1.8,84,3,0.4, NA,25,24,288,184,36,6,2.8,384,78,46,52,80,872,610,29,,0.62,0.09,6,0.32,30.83,1.8,BDL,BDL,BDL,BDL,BDL,BDL,BDL,2.65
4244, Lakes /Tanks/ Cheruvus,"Erdanoor Tank,",Sample was not collected as the tank was in dry condition.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4245, Lakes /Tanks/ Cheruvus,"Mallepally Tank,",4.9,7.49,3150,8,32,0.41,Less than 1.8,58,5,0.4, NA,17,28,282,292,42,8,4,486,114,49,68,104,1870,1256,34,,0.61,0.09,22,0.45,30.6,2.1,BDL,BDL,BDL,BDL,BDL,BDL,BDL,5.32
4247, Lakes /Tanks/ Cheruvus,"Mucharla Nagaram cheruvu, Warangal",2.8,7.62,1306,16,3.2,,40,430,,,,36,BDL,296,188,80,3.6,,330,70,37.66,85,146,820,,28,0.22,,0.28,4,0.8,48.64,2.47,,Less than 0.003,0.02,0.01,Less than 0.005,Less than 0.012,0.67,0.51
4248, Lakes /Tanks/ Cheruvus,"Koti Cheruvu, Hanamkonda, Warangal",4.2,7.5,1396,6,3.2,,20,280,,,,22,BDL,290,220,30,2.8,,345,56,49.81,98,162,920,,12,1.4,,0.24,6,0.42,49.96,2.68,,Less than 0.003,0.03,0.08,Less than 0.005,Less than 0.012,0.08,0.42
4229, Lakes /Tanks/ Cheruvus,Neknampur Lake,0.1,7.4,1920,30,16.2,,70,430,,,,26,BDL,475,242,122,5.6,,485,90,63.18,110,204,1252,,46,2.2,,0.26,8,1.2,47.24,2.85,,Less than 0.003,Less than 0.004,0.07,Less than 0.005,Less than 0.012,0.04,0.39
4249, Lakes /Tanks/ Cheruvus,"Rangasamudram, Warangal",0.1,7.38,1720,26,2.66,,24,350,,,,10,BDL,410,246,132,1.8,,420,78,54.67,88,196,1126,,24,0.46,,0.26,4,0.7,50.06,2.94,,Less than 0.003,0.02,0.08,Less than 0.005,Less than 0.012,0.03,0.51
15,Borewells,Borewell at Koyyura,2,7.42,920,,2.2,,nil,28,,,,6,BDL,340,66,20,1.8,,320,54,44.95,38,66,580,,8,1.46,,0.32,10,1.2,30.12,1.13,,Less than 0.003,Less than 0.004,Less than 0.012,Less than 0.005,Less than 0.012,0.06,4.79
1794,Borewells,Borewell at Manakondur,3,7.26,1160,,3.2,,NIL,230,,,,8,BDL,255,172,18,2.4,,295,64,32.8,94,138,742,,8,0.03,,0.09,2,1.1,50.2,2.47,,Less than 0.003,Less than 0.004,Less than 0.012,Less than 0.005,Less than 0.012,0.1,Less than 0.005
3094,Borewells,"Bore well at Akbarnagar, Ramagundam",2.8,7.64,920,,1.6,,NIL,230,,,,4,BDL,150,162,20,1.2,,255,70,19.44,84,96,578,,6,0.04,,0.09,4,0.8,44.97,1.85,,Less than 0.003,Less than 0.004,0.32,Less than 0.005,Less than 0.012,0.16,Less than 0.005
1793,Borewells,Open well at Kundanpally near ash ponds of NTPC,3.2,7.54,1880,,1.2,,10,430,,,,4,BDL,365,285,42,3.1,,520,88,72.9,162,190,1130,,10,0.08,,0.09,4,1.3,43.87,2.56,,Less than 0.003,Less than 0.004,0.01,Less than 0.005,Less than 0.012,0.03,Less than 0.005
1791,Borewells,Borewell at Pydipally near East side of Sai cheruvu,2.6,7.32,1620,,7.2,,NIL,20,,,,8.2,BDL,310,270,66,3.8,,520,92,70.47,92,124,1012,,6,0.02,,0.11,6,1.5,34.0,1.67,,Less than 0.003,Less than 0.004,0.01,Less than 0.005,Less than 0.012,0.03,0.34
1792,Borewells,"Borewell at CKM College, Enamamula",2,7.86,1545,,12.08,,NIL,20,,,,6,BDL,365,218,24,5.4,,390,76,48.6,96,172,1020,,4,0.2,,0.22,8,0.8,47.15,2.68,,Less than 0.003,Less than 0.004,0.01,Less than 0.005,Less than 0.012,0.04,0.32
16,Borewells,Open well at Tadavai,3.8,7.68,770,,13.64,,NIL,24,,,,10,BDL,220,74,36,Less than 0.1,,250,74,15.79,48,56,476,,4,0,,0.09,4,0.9,31.61,1.09,,Less than 0.003,Less than 0.004,0.22,Less than 0.005,Less than 0.012,0.13,0.24
1811,Borewells,Borewell at Rudravelli near Primary School,,7.27,1900,,18,0.35, BDL,Less than  1.8,,,,1.2,32,360,286,18,3.4,2.1,422,67,62,177,147,1135,795,4,,0.53,0.09,13,0.61,42.22,3.12,BDL,BDL,BDL,BDL,BDL,0.01,BDL,0.79
27,Borewells,Borewell at MRO Office Peddavoora,,7.37,1577,,15,0.29, BDL,Less than  1.8,,,,1.5,28,296,204,16,3,1.9,388,60,58,97,114,932,662,5,,0.42,0.09,12,0.52,38.12,2.52,BDL,BDL,0.01,BDL,BDL,BDL,BDL,BDL
1525,Borewells,Borewell at Pashamylaram near M/s.Sri Chaitanya Chlorides,,6.78,2890,,38,0.38, BDL,Less than  1.8,,,,2.1,24,360,510,42,7.8,5,670,139,78,102,198,1705,1190,8,,0.45,0.09,34,0.47,37.54,3.32,BDL,BDL,BDL,0.03,BDL,BDL,BDL,3.27
1795,Borewells,Borewell at Bollaram near Panchayat Office,,7.21,3120,,36,0.42, BDL,Less than  1.8,,,,2.5,32,440,550,55,10.3,6.5,720,153,82,104,182,1875,1310,12,,0.39,0.09,32,0.59,34.08,2.9,BDL,BDL,BDL,0.32,BDL,0.14,BDL,2.72
1810,Borewells,"Borewell at Bodhan, Sriramnagar colony, Shakkarnagar, NZB",,7.48,2630,,25,0.37, BDL,Less than  1.8,,,,1.3,36,468,455,24,4.5,2.8,730,144,90,110,190,1521,1105,4,,0.35,0.09,13,0.44,35.71,3.06,BDL,BDL,BDL,0.12,BDL,BDL,1.73,12.5
1515,Borewells,"Borewell at Nagaram, Palvancha",4.2,7.65,1120,,6.8,,NIL,24,,,,10,BDL,280,142,40,3.6,,360,88,34.02,68,86,695,,6,0.1,,0.09,8,0.42,34.71,1.39,,Less than 0.003,0.03,0.01,Less than 0.005,Less than 0.012,0.08,0.19
3088,Borewells,"B/w at J.Narasimha Rao’s house, 14Nos. area, Ramavaram, near MWS dumpsite, Kothagudem",4.8,7.12,1718,,10.42,,NIL,11,,,,8,BDL,310,272,42,4.2,,460,78,64.39,162,182,1130,,6,1.24,,0.38,6,0.4,48.07,2.84,,Less than 0.003,0.01,0.01,Less than 0.005,Less than 0.012,0.02,0.14
4261,Borewells,"Borewell at M/s Shalini Steels Ltd., IDA Bollaram, Jinnaram Mandal, Sangareddy District",,6.45,5340,,35,0.41, BDL,Less than  1.8,,,,2.1,40,424,790,98,18.5,11.6,1268,382,76,131,221,3105,2241,84,,0.29,0.09,32,0.37,26.94,2.71,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
4262,Borewells,"Borewell near Grampanchyat Office, Kistaipally village, Jinnarm Mandal, Sangareddy District",,6.85,2161,,37,0.42, BDL,Less than  1.8,,,,2.5,24,292,332,22,4.1,2.6,536,152,38,65,142,1224,903,29,,0.66,0.09,15,0.18,35.82,2.67,BDL,BDL,BDL,BDL,BDL,0.02,BDL,1.03
4263,Borewells,"Borewell near MPP School, Gaddapotharam Village, Jinnaram Mandal, Sangareddy District",,7.04,3480,,29,0.29, BDL,Less than  1.8,,,,2.2,20,296,672,56,10.5,6.6,958,253,79,53,182,1986,1420,32,,0.43,0.09,25,0.27,28.65,2.56,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
4276,Borewells,"Borewell near Grampanchyat Office, Khazipally village, Sangareddy District",,7.22,2227,,39,0.36,BDL,Less than  1.8,,,,2,24,256,296,24,4.5,2.9,378,84,41,31,159,1302,931,28,,0.29,0.09,21,0.31,,,BDL,BDL,BDL,BDL,BDL,BDL,BDL,2.21
4267,Borewells,Borewell IDA Kattedan,0.1,7.23,3720,,46.2,,32,540,,,,12,BDL,705,648,102,2.2,,1250,248,153.09,222,276,2370,,10,0.58,,0.09,4,0.86,33.7,2.54,,Less than 0.003,Less than 0.004,0.01,Less than 0.005,Less than 0.012,,
4260,Borewells,"Bore well near MSW Dump yard, Medak Town, Medak District",,7.27,1326,,15,0.43, BDL,Less than  1.8,,,,1.7,20,256,132,48,9,5.7,400,106,33,112,79,799,552,6,,0.38,0.09,13,0.37,29.24,1.72,BDL,0.0,0.51,BDL,BDL,0.29,3.2,12.2
4277,Borewells,"B/W at ZPHS, Sulthanpur",,6.6,6890,,37,0.57, BDL,Less than  1.8,,,,1.3,36,450,810,58,11,6.9,1266,365,86,152,235,3921,2887,12,,0.61,0.09,36,0.65,28.11,2.88,BDL,BDL,BDL,BDL,BDL,0.03,BDL,1.09
4278,Borewells,"B/W at Aurobindo, Hatnur, Sangareddy",,6.8,1254,,21,0.12, BDL,Less than  1.8,,,,12,24,280,84,32,6,3.8,290,62,33,112,79,770,524,7,,0.52,0.09,11,0.14,36.13,2.02,BDL,BDL,BDL,BDL,BDL,0.01,BDL,1.2
4279,Borewells,"B/W near M/s. Arch Pharma, Gundla machanur, Sangareddy",,6.78,440,,11,0.18, BDL,Less than  1.8,,,,1.4,12,72,56,8,1.5,0.9,114,26,12,21,18,272,185,11,,0.57,0.09,7,0.22,24.16,0.73,BDL,BDL,BDL,BDL,BDL,0.02,BDL,1.22
4280,Borewells,"B.w at IDA Rampur, Hanamkonda, Warangal",0.1,7.46,7064,,4.8,,NIL,24,,,,14,BDL,720,1732,312,10.2,,2015,490,191.97,460,740,4390,,20,0.02,,0.28,20,2.2,43.91,5.11,,Less than 0.003,0.01,0.01,Less than 0.005,Less than 0.012,0.08,0.44
4266,Borewells,"Borewell, Near Primary School, Adloor Yellareddy (V), Sadashivanagar (M), Kamareddy Dist.",,7.44,1180,,13,0.23, BDL,Less than  1.8,,,,1.9,20,240,128,20,3.8,2.3,324,102,17,48,53,712,496,9,,0.13,0.09,11,0.31,25.45,1.28,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
4264,Borewells,"Bore well water point at ZP Girls high school, Bhudan Pochampally (V&M), Yadadri District.",,6.66,3510,,23,0.49, BDL,Less than  1.8,,,,2.2,28,460,705,21,4,2.5,1180,200,165,84,173,2112,1480,7,,0.27,0.09,8,0.42,24.11,2.2,BDL,0.0,0.63,BDL,BDL,0.29,3.2,13.2
4265,Borewells,"B/W at Gram panchayath office, Dothigudem",,6.82,1556,,21,0.21, BDL,Less than  1.8,,,,1.8,28,380,220,10,1.8,1.2,434,88,52,32,107,930,652,9,,0.51,0.09,7,0.55,34.53,2.24,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
4281,Borewells,"B/W near Bhimanpalli village (open land), Pochampally Mandal",,7.27,4290,,25,0.17, BDL,Less than  1.8,,,,2.3,36,500,920,22,4.1,2.6,680,112,97,114,538,2562,1810,6,,0.67,0.09,12,0.29,62.84,9.0,BDL,BDL,BDL,BDL,BDL,BDL,BDL,5.3
4282,Borewells,"B/W near Aarla bavi (Agricultural field), Pochampally Mandal",,6.98,1695,,35,0.12, BDL,Less than  1.8,,,,1.6,20,260,212,12,2.2,1.4,482,96,59,45,72,1009,710,13,,0.32,0.09,7,0.36,24.23,1.43,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
4283,Borewells,"B/W near Dantur (Open land), Pochampally Mandal",,6.71,2915,,32,0.15, BDL,Less than  1.8,,,,2.9,28,460,570,14,2.7,1.6,948,152,138,61,146,1732,1224,10,,0.39,0.09,13,0.41,24.84,2.07,BDL,BDL,BDL,BDL,BDL,BDL,BDL,2.26
4284,Borewells,"B/W near malkapur lake, malkapur village (Agricultural field), Choutuppal Mandal",,7.2,753,,19,0.32, BDL,Less than  1.8,,,,1.5,16,181,96,8,1.5,0.9,256,48,33,24,26,460,320,9,,0.45,0.09,10,0.23,17.45,0.71,BDL,BDL,BDL,BDL,BDL,BDL,BDL,4.21
4285,Borewells,"B/W near peddakondur village (Agricultural field), Choutuppal Mandal",,7.24,1259,,27,0.26, BDL,Less than  1.8,,,,1.2,20,260,196,20,3.7,2.4,372,77,44,26,94,774,529,7,,0.62,0.09,7,0.29,34.92,2.12,BDL,BDL,BDL,BDL,BDL,BDL,BDL,4.71
4286,Borewells,"B/W near Ankireddigudem village (Agricultural field), Choutuppal Mandal",,7.03,2031,,27,0.42, BDL,Less than  1.8,,,,2.7,28,450,260,6,1.1,0.7,600,128,68,36,110,1209,853,11,,0.43,0.09,10,0.62,28.17,1.96,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
4287,Borewells,"B/W near Lingareddygudem village (Beside choutuppal-valigonda road), Choutuppal Mandal",,7.16,1078,,18,0.37, BDL,Less than  1.8,,,,2.4,32,280,120,12,2.2,1.5,344,72,40,36,44,648,450,6,,0.29,0.09,11,0.51,21.13,1.03,BDL,BDL,BDL,BDL,BDL,0.03,0.12,10.2
4288,Borewells,"B/W near Nagaram cheruvu, Devalamma nagaram village", NA,7.46,520,,11,0.15,BDL,Less than  1.8, NA, NA, NA,1.4,16,110,60,4,0.7,0.5,150,32,17,21,35,320,220,4,,0.18,0.09,6,0.34,32.65,1.25,BDL,BDL,BDL,BDL,BDL,0.01,BDL,1.09
4289,Borewells,"B/W near Pittam palle village (open land beside village road), Chityal Mandal",,7.16,1078,1.8,18,0.37, BDL,Less than  1.8,,,,2.4,32,280,120,12,2.2,1.5,344,72,40,36,44,648,450,6,,0.29,0.09,11,0.51,21.13,1.03,BDL,BDL,BDL,BDL,BDL,0.03,0.12,10.2
4290,Borewells,"B/W near Peddakaparthi village (open land beside village road), Chityal Mandal", NA,7.46,520,BDL,11,0.15,BDL,Less than  1.8, NA, NA, NA,1.4,16,110,60,4,0.7,0.5,150,32,17,21,35,320,220,4,,0.18,0.09,6,0.34,32.65,1.25,BDL,BDL,BDL,BDL,BDL,0.01,BDL,1.09
4224,Borewells,"Yadadri temple, Yadadri, Bore Well / Koneru",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4268,Borewells,"Borewell located at House of Sri Vital Rao, H.No.2-42, 875, Abestos colony, Gandhi Nagar, Balanagar, Medchal District",0.1,7.36,1846,,9.8,,NIL,430,,,,14,BDL,335,324,86,5.4,,445,72,64.39,120,214,1148,,26,0.16,,0.1,9,1.16,50.15,2.99,,Less than 0.003,Less than 0.004,0.05,Less than 0.005,Less than 0.012,0.04,Less than 0.005
4269,Borewells,"Borewell located at House of Sri P Vekatesh raju,plot no.115, 22-321,APIIC, Co-operative colony, Jeedimetla, Quthbullapur(M), Medchal District",0.1,7.2,3160,,1.4,,10,540,,,,14,BDL,595,532,142,3.2,,890,186,103.27,220,310,2024,,24,0.14,,0.09,14,1.42,41.44,3.06,,Less than 0.003,0.01,Less than 0.012,Less than 0.005,Less than 0.012,0.06,Less than 0.005
4270,Borewells,"Borewell located at house of P.Anjaneyulu , Plot No.25, Shakthipuram, Prashanth Nagar, I.E.Kukatpally, Medchal District",0.1,7.06,2586,,13.2,,4,230,,,,10,BDL,520,350,72,4.6,,725,144,88.69,220,245,1640,,18,16,,0.09,4,1.25,43.47,2.88,,Less than 0.003,Less than 0.004,Less than 0.012,Less than 0.005,Less than 0.012,0.1,Less than 0.005
4271,Borewells,"Borewell located at Government Primary School, Sy.No.32, Dhulapally (V), Quthbullapur (M), Medchal District.",0.1,7.12,1910,,20.6,,6,540,,,,12,BDL,360,355,82,12,,575,106,75.33,90,173,1186,,20,0.28,,0.09,4,1.2,38.59,2.18,,Less than 0.003,Less than 0.004,0.01,Less than 0.005,Less than 0.012,0.39,Less than 0.005
4272,Borewells,"Borewell located at Rajiv Gruha Kalpa, Ahmedguda, Ambedkar Nagar, Kapra Medchal District.",1.6,7.65,780,,2.3,,4,220,,,,4,BDL,220,86,42,4.6,,235,66,17.01,38,68,486,,8,0.2,,0.09,4,1.12,36.81,1.28,,Less than 0.003,Less than 0.004,0.1,Less than 0.005,Less than 0.012,0.33,Less than 0.005
4273,Borewells,"Borewell located at Thanda Dundigal (V), Dhundigal (M), Medchal District.",0.1,7.12,3120,,19.26,,NIL,280,,,,10,BDL,395,596,120,8.7,,810,226,59.53,282,328,1946,,20,0.49,,0.18,8,1.16,30.5,2.03,,Less than 0.003,Less than 0.004,0.05,Less than 0.005,Less than 0.012,0.06,Less than 0.005
4274,Borewells,"Borewell points at the periphery of the IDA, Jeedimetla",0.1,7,2046,,20.56,,NIL,540,,,,12,BDL,360,340,66,7.2,,435,78,58.32,172,268,1320,,16,0.27,,0.16,6,1.2,58.58,4.05,,Less than 0.003,Less than 0.004,Less than 0.012,Less than 0.005,Less than 0.012,0.12,Less than 0.005
4275,Borewells,"Borewell points at the periphery of the IDA, Balanagar",0.1,7.25,2288,,11.2,,NIL,430,,,,10,BDL,450,345,88,6.2,,495,82,70.47,190,294,1466,,24,0.09,,0.14,4,1.23,56.36,4.09,,Less than 0.003,Less than 0.004,Less than 0.012,Less than 0.005,Less than 0.012,Less than 0.003,Less than 0.005
