Station code,water_bodies,Station name,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate-N (mg/L),Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Saprobity index,Diversity index,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia-N  (mg/L),Hardness (mg/L),Calcium (mg/L),Magnesium (mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR
3071,Lakes and Tanks,Langarhouse lake,Less than  0.06,7.37,1444,23,6.6,,40,590,,,20,BDL,344,146,175,1,Less than  1,410,82,49.81,94,114,887,629,94,2.21,0.2,12,1.24,36.39,2.44
2341,Lakes and Tanks,Miralam tank,Less than  0.06,7.66,1457,8,4,,8,330,,,8,BDL,375,202,79,2,Less than  1,520,124,51.03,123,124,905,641,14,1.95,0.1,12,0.99,33.16,2.36
2342,Lakes and Tanks,Noor Md. Kunta,Less than  0.06,7.78,1870,26,5.2,,20,370,,,10,BDL,560,415,186,1,Less than 1,755,130,104.49,121,240,1334,818,32,1.8,0.25,19,1.6,39.68,3.78
1788,Lakes and Tanks,"Saroornagar Lake (BM-Jan, Apr & Oct)",Less than  0.06,7.58,1598,28,8.6,,60,540,,,35,BDL,322,190,170,Less than 1,Less than  1,420,106,37.66,81,140,888,698,108,3.55,0.1,6,1.42,41.32,2.96
1789,Lakes and Tanks,"Himayathsagar lake (BM-Jan, Apr & Oct)",5.6,8.28,312,1,0.2,,Nil,20,,,10,20,120,26,6,Less than 1,**,142,26.4,18.47,10,12,188,135,6,0.7,Less than  0.1,2,0.99,15.12,0.44
3069,Lakes and Tanks,"Shameerpet lake, Shameerpet",4.1,8.1,435,2,0.3,,NIL,20,,,4,BDL,122,51,16,Less than  1,,160,40,14.58,24,31,280,187,9,1.67,0.03,4,0.15,28.67,1.06
3073,Lakes and Tanks,"Hasmathpet lake, Hasmathpet",Less than  0.06,7.52,1543,18,14.2,,NIL,690,,,17.6,BDL,388,179,95,Less than  1,1,405,126,44.95,55,98,912,674,23,3.64,Less than  0.1,13,1.3,28.88,1.9
3070,Lakes and Tanks,"Fox sagar, Jeedimetla",0.9,7.21,980,11,0.3,,NIL,280,,,16.8,BDL,225,180,51,Less than  1,Less than 1,390,82,44.95,81,60,614,428,12,1.98,Less than  0.1,8,0.95,24.31,1.32
3072,Lakes and Tanks,Safilguda lake,Less than  0.06,7.72,1541,16,3.2,,NIL,540,,,7,BDL,380,190,127,Less than  1,1,460,118,40.09,83,126,968,671,20,3.21,Less than  0.1,8,0.97,36.53,2.55
2343,Lakes and Tanks,Premajipet tank,1.1,7.26,3270,18,3,,40,450,,,7,BDL,312,588,163,1,Less than  1,1060,212,128.79,412,574,2054,140,11,3.1,0.36,12,1.54,53.44,7.64
2358,Lakes and Tanks,Mallapur tank,Less than  0.06,7.42,2002,28,12.2,,60,490,,,14,BDL,512,244,234,1,Less than  1,545,108,66.83,122,208,1258,872,76,3.12,0.2,18,0.87,43.83,3.86
2345,Cheruvus,Sai Cheruvu,1,7.86,11260,142,15.4,,Nil,623,,,85,BDL,380,3282,694,2.8,1.1,940,96,170.1,370,1010,7320,888,36,0.06,0.94,48,1.34,68.04,14.26
3075,Cheruvus,Rangadhamuni cheruvu,1.9,7.82,1462,18,12.4,,10,514,,,15.4,BDL,370,150,125,3,1,520,94,44.95,65,99,812,659,22,2.79,Less than  0.1,10,0.95,32.87,2.09
3076,Cheruvus,"Amber cheruvu, Kukatpally",1.4,7.66,1306,16,4.2,,12,250,,,19,BDL,312,170,151,1.2,Less than  1,380,86,40.09,97,127,822,570,85,3,0.12,10,1.65,40.88,2.82
3077,Cheruvus,"Kapra cheruvu, Kapra",3.7,7.38,1189,9,3.2,,12,285,,,13,BDL,300,144,95,1.5,1,430,126,27.95,46,68,690,520,13,1.23,Less than  0.1,6,0.73,25.07,1.42
3078,Cheruvus,"Pragathinagar cheruvu, Kukatpally",1.9,7.67,1301,18,9.8,,20,280,,,3,BDL,344,168,164,1.5,1,400,88,43.74,45,123,816,566,74,2.1,Less than  0.1,8,1.08,39.12,2.67
2344,Cheruvus,Nalla cheruvu,Less than  0.06,7.7,1607,22,3.4,,40,480,,,17,BDL,456,169,156,1.8,Less than 1,445,76,89.91,68,94,880,701,43,2.13,Less than  0.1,3,2.02,26.4,1.72
2357,Cheruvus,Durgam cheruvu,2.1,7.45,1007,7,2.2,,10,500,,,15,BDL,250,134,45,2,Less than 1,370,82,40.09,78,68,620,437,5,2,0.05,5,1.51,27.97,1.53
2359,Cheruvus,Pedda cheruvu,Less than  0.06,7.46,1968,29,4.2,,8,236,,,19,BDL,460,244,175,2.5,1,504,64,49.81,98,187,1131,860,31,2.56,Less than  0.1,2.5,2.73,52.23,4.24
2340,Cheruvus,Lakshminarayana cheruvu,2.9,8.56,1197,10,5.2,,NIL,164,,,9,BDL,244,184,79,1.3,Less than  1,340,84,31.59,50,95,709,522,9,1.33,Less than  0.1,12,0.71,36.31,2.23
