Station code,water_bodies,Station name,District,RO,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia  (mg/L),Free Ammonia  (mg/L),Hardness (mg/L),Calcium (mg/L),Magnesium (mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR
2360,River Godavari,River Godavari at Basara,Nirmal,Nizamabad,6.3,7.31,662,2.1,5,0.11,6,24,4,,,,9,12,128,104,18,5,0.1,0.01,224,46,26,8,27,372,260,10,,0.1,0.1,5,0.1,20.35,0.79
4255,River Godavari,Ali sagar Reservoir,Nizamabad,Nizamabad,6.5,7.36,618,2.1,5,0.14,5.6,21,4,,,,10,12,110,86,19,5,0.1,0.01,190,42,21,10,22,348,248,12,,0.1,0.1,5,0.1,19.38,0.69
4227,River Godavari,"Pochara Water Falls, Adilabad",Adilabad,Nizamabad,6.2,7.47,727,2.1,8,0.16,6,26,3.7,,,,12,12,136,106,18,5,0.1,0.01,236,48,28,12,28,408,294,9,,0.1,0.1,6,0.1,19.94,0.79
2361,River Godavari,"River Godavari at mancherial, Near Rail Way Bridge B/C of Rallavagu",Mancherial,Ramagundam,5.7,7.99,506,2.1,0.62,,Less than 1.8,63,Less than 1.8,,,,6.2,5,120,49,16,5,0.1,0.01,145,36,13.37,33,48,287,225,10,0.1,,0.1,3,0.1,41.1,1.73
13,River Godavari,River Godavari at Mancherial,Mancherial,Ramagundam,5.5,7.92,498,2.1,0.66,,Less than 1.8,57,Less than 1.8,,,,5.2,5,110,43,19,5,0.1,0.01,147,34,15,31,48,279,220,17,0.1,,0.1,4,0.32,40.61,1.72
3054,River Godavari,"Outlet of ash pond effluents of M/s.NTPC, Ramagundam",Peddapalli,Ramagundam,5.2,10.41,1282,2.1,0.98,,Less than 1.8,220,Less than 1.8,,,,6.8,40,270,168,48,5,0.1,0.01,310,80,26.73,106,130,790,520,6,0.82,,0.1,11,0.1,46.48,3.2
2362,River Godavari,D/s of River Godavari at Ramagundam near FCI intake well,Peddapalli,Ramagundam,5.6,8,490,2.1,0.48,,Less than 1.8,54,Less than 1.8,,,,6,5,105,45,16,5,0.1,0.01,125,32,10.94,20,44,273,222,8,0.1,,0.1,3,0.1,42.5,1.71
2363,River Godavari,River Godavari at Godavarikhani near bathing ghat,Peddapalli,Ramagundam,5.4,7.84,458,2.1,0.56,,Less than 1.8,37,Less than 1.8,,,,7.4,5,140,32,12,5,0.1,0.01,115,30,9.72,24,45,261,213,12,0.1,,0.1,4,0.1,44.78,1.82
2364,River Godavari,River Godavari at Ramagundam upstream near dam,Peddapalli,Ramagundam,5.1,7.71,495,2.1,0.52,,Less than 1.8,43,Less than 1.8,,,,9.6,5,120,42,19,5,0.1,0.01,150,38,13.37,28,49,280,229,18,0.1,,0.1,5,0.1,40.41,1.74
2356,River Godavari,River Godavari d/s of Ramagundam at Manthani,Peddapalli,Ramagundam,5.4,7.92,510,2.1,0.52,,Less than 1.8,57,Less than 1.8,,,,5.8,5,160,46,12,5,0.1,0.01,180,46,15.79,24,48,290,180,8,0.1,,0.1,5,0.1,35.79,1.55
4662,River Godavari,River godavari Kaleshwaram,Jayashankar Bhoopalpalli,Warangal,6,7.74,413,2.1,0.6,,Less than 1.8,33,Less than 1.8,,,,5,5,160,32,10,5,0.1,0.01,180,44,17.01,18,22,260,180,10,0.1,,0.1,4,0.32,20.45,0.71
2365,River Godavari,"U/s of River Godavari at Kamalapur (V) at M/s.AP Rayons Ltd., intake well",Mulugu,Warangal,6.1,8,401,2.1,0.28,,Less than 1.8,53,Less than 1.8,,,,8.8,10,155,17,12,5,0.1,0.01,115,27.2,11.42,10,29,220,160,16,0.1,,0.1,2,0.36,34.79,1.17
2366,River Godavari,"D/s of River Godavari at Kamalapur (V) at M/s.AP Rayons Ltd., discharge point",Mulugu,Warangal,6.1,8.1,280,2.1,0.4,,Less than 1.8,57,Less than 1.8,,,,10,5,92,12,16,5,0.1,0.01,97,24,9,8,13,158,121,18,0.1,,0.1,2,0.38,22.02,0.57
2367,River Godavari,U/s of river Godavari at Bhadrachalam bathing ghat,Bhadradri Kothagudem ,Kothagudem,5.6,8.44,384,2.1,0.98,,7,220,Less than 1.8,,,,9.8,15,130,22,21,5,0.1,0.01,144,38,12,12,18,217,165,23,0.1,,0.1,3,0.1,20.82,0.65
2368,River Godavari,D/s of river Godavari at Bhadrachalam bathing ghat,Bhadradri Kothagudem ,Kothagudem,5.9,7.99,372,2.1,0.68,,11,180,Less than 1.8,,,,14.2,5,145,19,10,5,0.1,0.01,134,34,12,10,14,176,132,26,0.1,,0.1,4,0.1,17.84,0.52
2369,River Godavari,River Godavari at Burgampahad,Bhadradri Kothagudem ,Kothagudem,5.4,7.92,380,2.1,0.58,,Less than 1.8,20,Less than 1.8,,,,9.2,5,110,30,10,5,0.1,0.01,184,49,15,24,21,218,166,21,0.1,,0.1,4,0.1,19.36,0.67
4256,River Maneru / Manair,"Lower Maneru Dam, Karimnagar",Karimnagar,Ramagundam,5.5,8.18,444,2.1,0.42,,Less than 1.8,21,Less than 1.8,,,,9.8,5,110,46,15,5,0.1,0.01,145,36,13.37,28,24,244,180,8,0.1,,0.1,4,0.1,25.7,0.86
4257,River Maneru / Manair,"Maneru river D/S of municipal dump site, Karimnagar",Karimnagar,Karimnagar,3,7.38,980,5.4,3.2,,Less than 1.8,220,35,,,,10.4,5,240,138,39,5.6,0.59,0.01,270,68,24.3,84,112,620,420,11,0.82,,0.1,8,0.14,46.38,2.96
4664,River Maneru / Manair,River Maneru at Ghattepalli (V) near Sulthanabad,Karimnagar,Ramagundam,4.3,8.27,1110,3,3.9,,11,280,11,,,,8.6,10,270,143,28,5,0.14,0.01,305,76,27.95,86,130,689,410,7,0.48,,0.1,4,0.11,47.56,3.23
4665,River Maneru / Manair,Outlet of KTPP Ash Pond Joining Moranchavagu,Bhadradri Kothagudem ,Warangal,4.2,8.1,956,2.7,1.2,,Less than 1.8,37,Less than 1.8,,,,28,5,210,104,39,5,0.1,0.01,245,66,19.44,62,62,522,380,35,0.1,,0.1,6,0.89,34.7,1.72
1158,River Maneru / Manair,River Maneru at Somanpally,Peddapalli,Ramagundam,5,7.98,420,2.1,0.58,,Less than 1.8,57,Less than 1.8,,,,7.3,5,110,53,15,5,0.1,0.01,150,36,14.58,32,30,255,188,11,0.1,,0.1,4,0.36,29.5,1.06
4258,River Manjeera,"Singoor Dam Reservoir,",Sangareddy,Sangareddy,6.5,6.94,449,2.1,4,0.1,5.5,20,3.6,,,,7,8,80,62,20,5,0.1,0.01,140,28,17,6,15,254,186,6,,0.8,0.1,4,0.1,18.26,0.55
1157,River Manjeera,River Manjeera at Raipally,Sangareddy,ZL-RCP,6.2,7.12,698,2.1,6,0.14,6.1,31,4,,,,8,8,114,72,28,5,0.1,0.01,188,42,20,8,23,391,307,9,,0.11,0.1,4,0.12,20.54,0.73
1781,River Manjeera,Manjeera at Ganapathi sugars,Sangareddy,ZL-RCP,6.8,7.31,746,2.8,8,0.12,8.3,39,6,,,,12,16,118,78,25,5,0.1,0.01,196,44,21,9,19,420,302,11,,0.13,0.1,5,0.1,16.84,0.59
2374,River Manjeera,U/s of River Manjeera at Gowdicherla before confluence with Nakkavagu,Sangareddy,ZL-RCP,6,7.25,1572,2.5,14,0.15,6.8,43,5.5,,,,11,12,186,104,26,5,0.1,0.01,282.47,62,31,10,29,880,614,17,,0.15,0.1,7,0.12,17.7,0.75
2375,River Manjeera,D/s of River Manjeera at Gowdicherla after confluence with Nakkavagu,Sangareddy,ZL-RCP,6.1,7.29,1689,2.8,17,0.18,6,41,4,,,,13,16,194,114,31,5.6,0.1,0.01,292.46,66,31,13,37,946,668,19,,0.18,0.1,8,0.15,20.9,0.94
2349,River Manjeera,Nakka vagu at Bachugudem,Sangareddy,ZL-RCP,2,6.87,1750,8,15,0.19,21,110,15,,,,22,23,250,122,80,14.4,0.1,0.01,326.28,68,38,23,41,978,774,28,,0.22,0.1,13,0.23,20.53,0.98
4226,River Manjeera,River Manjeera at Yedu Payala Temple,Medak,R.C.Puram,6.2,7.02,687,2.4,5,0.13,Less than 1.8,25,Less than 1.8,,,,9,12,144,88,22,5,0.1,0.01,204,42,24,12,33,389,275,13,,0.12,0.1,4,0.11,25.45,1.0
2372,River Kinneresani,Kinnerasani after confluence of KTPS ash pond effluents,Bhadradri Kothagudem ,Kothagudem,5.2,7.77,534,2.1,0.58,,Less than 1.8,47,Less than 1.8,,,,7.2,5,115,64,24,5,0.1,0.01,140,36,12.15,45,48,298,200,17,0.1,,0.1,5,0.16,41.51,1.76
