Station code,water_bodies,Station name,District,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia-N (mg/L),Free Ammonia  (mg/L),Total Hardness as CaCO3 (mg/L),Calcium Carbonate as CaCO3,Calcium as Ca+2(mg/L),Magnesium Carbonate as CaCO3,Magnesium as Mg+2(mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),% Sodium,SAR
2360,River Godavari,River Godavari at Basara,Nirmal,6.2,7.14,796,1.7,4,0.04,5.6,24,3.7,,,,9,16,112,78,15,2.8,,0.01,192,110,44,82.3,20,18,21,458,334,11,,0.07,0.5,5,0.2,18.6,0.66
5105,River Godavari,"River Godavari Pushkar Ghat, Mancherial",Mancherial,5.7,7.32,959,2.4,4,0.07,8.1,46,5.5,,,,7,28,176,126,22,3.9,,0.01,308,160,64,148.15,36,23,30,540,386,10,,0.12,0.5,6,0.2,17.03,0.74
4255,River Godavari,Ali sagar Reservoir,Nizamabad,6,7.25,505,1.8,3,0.08,6,31,3.6,,,,9,12,140,44,14,2.2,,0.01,168,85,34,82.3,20,11,19,289,204,12,,0.11,0.5,5,0.21,19.12,0.64
4227,River Godavari,"Pochara Water Falls, Adilabad",Adilabad,5.8,7.39,1118,2,5,0.06,6.1,32,4.5,,,,8,24,188,118,22,4.5,,0.01,312,165,66,148.15,36,25,29,640,459,10,,0.08,0.5,5,0.24,16.4,0.71
2361,River Godavari,"River Godavari at mancherial, Near Rail Way Bridge B/C of Rallavagu",Mancherial,5.8,7.98,667,1.1,0.86,,Less than 1.8,26,Less than 1.8,N.A,N.A,N.A,9,5,170,81,8,1.5,0.4,0.03,180,110,44,70,17.01,20,,422,,10,0.48,,0.5,,0.2,,
0013,River Godavari,River Godavari at Mancherial,Mancherial,5.6,7.97,669,1.8,1,,Less than 1.8,27,Less than 1.8,N.A,N.A,N.A,4,5,150,76,10,1.5,0.4,0.03,160,91.0,36.4,69,16.77,42,,414,,10,0.6,,0.5,,0.2,,
3054,River Godavari,"Outlet of ash pond effluents of M/s.NTPC, Ramagundam",Peddapalli,3.3,10.47,1176,1.6,1.2,,Less than 1.8,17,Less than 1.8,N.A,N.A,N.A,16,35,300,144,31,3.36,0.41,0.4,310,185,74,125,30.38,44,,718,,42,0.84,,0.5,,0.42,,
2362,River Godavari,D/s of River Godavari at Ramagundam near FCI intake well,Peddapalli,5.2,7.88,660,1.8,0.92,,Less than 1.8,21,Less than 1.8,N.A,N.A,N.A,8,5,160,88,18,1.5,0.4,0.02,170,105,42,65,15.79,18,,416,,10,0.38,,0.5,,0.46,,
2363,River Godavari,River Godavari at Godavarikhani near bathing ghat,Peddapalli,5.2,7.8,633,2,0.96,,Less than 1.8,26,Less than 1.8,N.A,N.A,N.A,6,5,135,76,23,1.5,0.4,0.02,145,100,40,45,10.94,38,,386,,10,0.41,,0.5,,0.52,,
2364,River Godavari,River Godavari at Ramagundam upstream near dam,Peddapalli,5.2,8.1,672,1.1,0.91,,Less than 1.8,21,Less than 1.8,N.A,N.A,N.A,4,5,170,81,16,1.5,0.4,0.04,180,80,32,100,24.3,42,,410,,10,0.32,,0.5,,0.46,,
2356,River Godavari,River Godavari d/s of Ramagundam at Manthani,Peddapalli,5,8.14,568,1.8,0.98,,4,27,Less than 1.8,N.A,N.A,N.A,6,5,145,61,20,1.5,0.4,0.04,155,92,36.8,63,15.31,36,,346,,10,0.46,,0.5,,0.41,,
