Station code,water_bodies,Station name,District,Remarks,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia,Free Ammonia  (mg/L),Hardness (mg/L),Calcium (mg/L),Calcium Carbonate as CaCO3,Magnesium (mg/L),Magnesium Carbonate as CaCO3,Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR,
39,River Krishna ,River Krishna at Gadwal bridge,Mahaboobnagar,,6.1,8.11,1077,2.1,1.4,,11,110,Less than 1.8,,,,15,5,244,137,38,4.48,0.56,,280,90.4,226,13.12,54,101,#,668,450,10,1.86,#,0.5,#,1.08,,,
4225,River Krishna ,"Jogulamba Temple, Gadwal",Jogulamba Gadwal,,6.1,7.83,1528,2,1.8,,11,140,Less than 1.8,,,,16,5,262,228,38,5.6,0.56,,280,86.4,216,15.55,64,100,#,932,600,12,1.72,#,0.5,#,0.76,,,
4259,River Krishna ,Nagarjuna Sagar Dam Spill way,Nalgonda,,6.6,8.26,610,3.5,25,0.04,3.6,24,2,,,,3.3,14,120,102,38,BDL,7,BDL,205,48,120,21,85,46,51,372.1,264.19,7,,0.24,BDL,2,BDL,34.77,1.55,
4252,River Krishna ,"Udaya Samudram balancing Reservoir,",Nalgonda,,6,8.14,622,3.3,25,0.03,5.6,31,3.7,,,,3.7,20,140,98,28,BDL,6,BDL,200,40,100,24,100,37,55,379.42,269.39,8,,BDL,BDL,1.9,0.12,37.38,1.7,
1465,River Krishna ,Confluence of River Krishna & River Musi at at Wadapally,Nalgonda,,6.8,8.24,1019,3.5,30,0.04,6.8,33,4,,,,3,14,175,140,32,BDL,6,BDL,235,52,130,26,105,59,90,621.59,441.33,7,,0.26,BDL,2.6,0.45,44.99,2.55,
4663,River Krishna ,"River Krishna at Mattepally, 500 mts. before bathing ghat",Suryapet,,7,8.24,1052,3.6,35,0.04,6,38,3.5,,,,3,20,180,140,36,BDL,5,BDL,275,58,145,32,130,71,85,641.72,455.62,5,,0.27,BDL,2.7,0.61,39.85,2.23,
4250,River Krishna ,"Palair Reservoir, Khammam",Khammam,,6.1,8.09,477,1.2,0.5,,Less than 1.8,33,Less than 1.8,,,,7,5,145,58,22,1.5,0.4,,170,48,120,12.15,50,22,#,286,190,10,0.45,#,0.5,#,0.83,,,
4251,River Krishna ,"D/S of Munneru River, Prakash Nagar, Khammam",Khammam,,6.1,7.75,616,1.4,1.1,,Less than 1.8,49,Less than 1.8,,,,12,5,152,72,28,1.5,0.4,,185,50,125,14.58,60,64,#,370,250,10,0.61,#,0.5,#,0.82,,,
5108,River Krishna ,River Krishna Before Confluence of River Musi at Wadapally (V),Nalgonda,,7.2,7.78,986,3.7,29,0.04,4,33,2,,,,3.2,18,160,140,38,BDL,6,BDL,265,54,135,32,130,82,84,601.46,427.04,6,,0.26,BDL,3.6,BDL,40.34,2.24,
5109,River Krishna ,River Krishna After Confluence of River Musi at Wadapally (V),Nalgonda,,6.6,7.69,1239,3.9,38,0.03,5.5,31,2,,,,3.2,18,170,195,40,BDL,7,BDL,355.49,78,195,39,160.49,65,85,755.79,536.61,8,,0.23,BDL,3.2,BDL,34.05,1.96,
5110,River Krishna ,River Krishna at Pulichintala Reservoir at Chinthalapalem,Suryapet,,6.2,7.84,1227,3.5,39,0.05,4,33,1.8,,,,3,20,160,220,36,BDL,7,BDL,370.49,84,210,39,160.49,45,89,748.47,531.41,9,,0.28,BDL,3.8,0.21,34.12,2.01,
4253,River Musi,Musi sample at Bapughat sangam U/S of Musi,Hyderabad,,0.3,7.15,1370,8,3,,49,540,9.3,,,,25,5,336,174,92,17.36,6.16,,350,109.6,274,18.47,76,74,#,850,570,21,1.17,#,0.62,#,1.26,,,
4656,River Musi,"River Musi at Moosarambagh bridge, Hyderabad",Medchal Malkajgiri,,0.3,7.23,1373,10,2.6,,39,430,9.2,,,,36,5,280,188,128,19.04,8.4,,300,86,215,20.66,85,82,#,858,585,32,2.27,#,0.58,#,1.29,,,
2339,River Musi,River Musi at Nagole,Shamshabad,,0.3,7.13,1395,12,3,,39,540,9.3,,,,34,5,300,191,156,19.6,9.52,,340,76,190,36.45,150,88,#,874,600,28,2.29,#,0.6,#,1.19,,,
