Station code,water_bodies,Station name,District,RO,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia  (mg/L),Free Ammonia  (mg/L),Hardness (mg/L),Calcium (mg/L),Magnesium (mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR,Arsenic,Cadmium,Copper,Lead,Total Chromium,Nickel,Zinc,Iron
4676,Lakes & Tanks ,"Banda Cheruvu, Malkajigiri (V),Malkajigiri (new mandal)",Medchal Malkajgiri,Medchal,0.3,8.08,1669,6,24.7,,20,350,2,,,,21,5,320,268,84,5,0.63,0.04,350,90,30.38,87,190,1018,660,68,2.9,,0.1,19,0.78,52.35,4.41,,BDL,0.1,0.5,0.2,0.1,0.03,0.13
4677,Lakes & Tanks ,"Lingam Cheruvu, Suraram (V), Quthubullapur",Medchal Malkajgiri,Medchal,Lake Samples were not collected as there was no access to collect water in the Lake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4678,Lakes & Tanks ,"Patel Cheruvu, Nacharam, Medchal-Malkajigiri District.",Rangareddy,Ranga Reddy-I,0.3,7.89,1745,20,28,,43,430,6,,,,46.8,5,335,264,227,5.6,3.19,0.13,350,90,30.38,89,202,1098,700,74,2.8,,0.1,23,0.84,53.54,4.68,,BDL,0.1,0.5,0.2,0.1,0.06,0.3
4679,Lakes & Tanks ,HUDA Park Lake,Rangareddy,Ranga Reddy-I,0.3,8.12,2750,18,29,,26,350,15,,,,28.3,5,580,410,182,8.2,2,0.13,634,130,75,245,360,1790,1480,48,2.8,,0.1,12.2,1.1,54.51,6.2,,0.01,0.1,0.5,0.2,0.1,0.13,0.77
4683,Lakes & Tanks ,"Pedda cheruvu, Madikonda",Warangal,Warangal,3.6,8.34,676,3.5,1.8,,4,26,Less than 1.8,,,,11.8,20,150,78,41,5,0.1,Less than 0.01,175,42,17.01,59,57,420,260,26,0.2,,0.1,21.8,0.18,37.81,1.87,,BDL,BDL,0.5,0.2,0.1,0.02,0.12
4684,Lakes & Tanks ,Campus Lake Icrisat,Sangareddy,Sangareddy,5.9,6.75,525,2.8,5,0.11,14,220,8.1,6,0.66,,13,24,136,52,29,5.48,0.1,Less than 0.01,162.26,32,20,7,14,332,227.59,10,,0.16,0.1,3,0.15,15.4,0.48,BDL,BDL,BDL,BDL,BDL,BDL,0.03,0.12
4685,Lakes & Tanks ,Surisigal Lake Icrisat,Sangareddy,Sangareddy,6,7.14,510,3.4,4,0.15,25,240,17,5.6,0.57,,11,24,128,58,36,6.8,0.1,Less than 0.01,148,30,18,5,19,295,198.95,15,,0.14,0.1,4,0.19,21.03,0.67,BDL,BDL,BDL,BDL,BDL,BDL,0.03,BDL
4686,Lakes & Tanks ,Icrisat Lake,Sangareddy,Sangareddy,6.2,7.2,489,3.6,3,0.11,22,280,14,5.4,0.62,,9,16,112,50,40,7.56,0.1,Less than 0.01,130,26,16,4,16,306,209.61,11,,0.19,0.1,2,0.11,20.58,0.61,BDL,BDL,BDL,BDL,BDL,BDL,BDL,0.22
4687,Lakes & Tanks ,Red Lake Icrisat,Sangareddy,Sangareddy,5.7,7.08,745,5,6,0.19,26,350,11,5.3,0.58,,15,20,140,86,47,8.88,0.1,Less than 0.01,196,40,24,10,22,419,270.46,14,,0.18,0.1,4,0.23,18.91,0.68,BDL,BDL,BDL,BDL,BDL,BDL,0.02,BDL
4689,Lakes & Tanks ,"Sunnam Kunta, Jubille hills",Hyderabad,Hyderabad,3.5,7.38,820,4,6.8,,24,280,Less than 1.8,,,,17,5,180,111,87,5,0.12,Less than 0.01,220,66,13.37,85,92,520,340,18,0.26,,0.1,12.4,0.68,45.81,2.69,,BDL,0.1,0.5,0.2,0.1,0.06,0.69
4690,Lakes & Tanks ,"Banjara Kunta (Singadi Kunta), Shaikpet",Hyderabad,Hyderabad,2.1,7.34,1191,4,9.2,,14,350,2,,,,10.4,5,285,142,50,8,0.1,Less than 0.01,270,69.6,23.33,97,131,786,480,14,0.2,,0.1,25.2,0.51,48.41,3.46,,BDL,BDL,0.5,0.2,0.1,0.04,0.11
4691,Lakes & Tanks ,"Nagole Cheruvu, Uppal Malkajigiri District.",RR-shamshabad,Ranga Reddy-I,2,8.36,1598,6,3.78,,33,430,20,,,,28.6,10,280,237,97,6,0.1,Less than 0.01,355,86,34.02,133,207,894,620,36,0.2,,0.1,3.2,0.76,55.5,4.76,,BDL,BDL,0.5,0.2,0.1,0.03,0.1
4692,Lakes & Tanks ,"Ramanthapur Cheruvu, Medchal-Malkajigiri District.",Medchal Malkajgiri,Ranga Reddy-I,Due to no accessibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4693,Lakes & Tanks ,"Patel Cheruvu, Madeenaguda, Miyapur",Medchal Malkajgiri,Ranga Reddy-I,Dried Up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4694,Lakes & Tanks ,Mundla Katwa Lake,Medchal Malkajgiri,RO-R.R-I,Station code:4237 & 4694 -  both the stations are same,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4695,Lakes & Tanks ,"Khaja Kunta, Kukatpally (V)",Medchal Malkajgiri,RR-II,Lake sample were not collected as there was no acess to collect water in the lake.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4696,Lakes & Tanks ,"Parki Cheruvu, Kukatpally (V), Balanagar",Medchal Malkajgiri,RR-II,0.3,8.05,1803,10,26,,25,210,15,,,,11.8,5,355,280,99,5,0.1,Less than 0.01,390,92,38.88,80,142,1064,780,17,0.7,,0.1,22.8,1.12,42.29,3.12,,BDL,BDL,0.5,0.2,0.1,0.03,0.12
4697,Lakes & Tanks ,"Mukkidi Cheruvu (Ramakrishnapuram Lake), Malkajigri",Medchal Malkajgiri,RR-II,Lake sample were not collected as lake  was dried up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4698,Lakes & Tanks ,"Mannevari Kunta, Machabollaram (V), Alwal",Medchal Malkajgiri,RR-II,Lake sample were not collected as there was no acess to collect water in the lake.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4699,Lakes & Tanks ,"Kaprai Cheruvu, RamanthpurMedchal-Malkajigiri District.",RR-shamshabad,Ranga Reddy-I,4,8.28,670,3,1.46,,26,280,Less than 1.8,,,,25,10,180,70,43,5,0.1,Less than 0.01,205,52,18.22,42,50,410,280,62,0.92,,0.1,10,0.1,33.19,1.51,,BDL,BDL,0.5,0.2,0.1,0.03,0.1
4700,Lakes & Tanks ,"Large tank, Saroornagar, Rangareddy District.",RR-shamshabad,Ranga Reddy-I,Station code:1788 & 4700  both the stations are same,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4701,Lakes & Tanks ,"Lingam kunta lake Chandanagar,Serilingampally, Rangareddy (Dist)",Rangareddy,Ranga Reddy-I,0.3,7.38,1356,8,8.8,,25,430,17,,,,21,5,280,168,74,9,1.69,0.02,335,83.2,30.86,87,120,744,560,76,2.2,,0.1,16.8,1.21,42.14,2.84,,BDL,BDL,0.5,0.2,0.1,0.02,0.1
4702,Lakes & Tanks ,"Pedda Cheruvu - Khaja guda, Khajaguda (V), Serlingampally (new mandal)",Rangareddy,RO-R.R-I,4.5,7.55,1588,11,12,,80,230,,,,,45,5,468,216,48,25,0.1,,384,212,172,,146,938,,39,,,0.1,20,,19.97,1.8,,,,,,,,
4703,Lakes & Tanks ,"Bulbul kunta, Lakshmiguda, rajendranagar",Rangareddy,Ranga Reddy-I,0.3,8.02,2234,14,23,,25,350,2,,,,19,5,420,370,141,6.8,3.16,0.17,545,114,63.18,136,195,1340,820,34,0.76,,0.1,29,1.92,42.0,3.62,,BDL,BDL,0.5,0.2,0.1,0.03,0.1
4704,Lakes & Tanks ,"Pedda Cheruvu, Mansoorabad, Saroornagar, Rangareddy District.",Rangareddy,Ranga Reddy-I,0.3,8.4,1178,8,2.02,,58,430,6,,,,21,15,325,119,85,5,3.16,0.39,360,90,32.8,88,92,708,440,32,1.2,,0.1,22.8,1.14,33.85,2.1,,BDL,BDL,0.5,0.2,0.1,0.02,0.11
4705,Lakes & Tanks ,"Kotha Cheruvu (Alwal Cheruvu), Alwal (V),",Medchal Malkajgiri,Medchal,Lake Samples were not collected as there was no access to collect water in the Lakedue to water Hycianth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5029,Lakes & Tanks ,"Mohini Cheruvu, Amberpet, Hyderabad",Hyderabad,Hyderabad,0.3,7.37,2188,18,8.6,,34,350,,,,,28,5,355,292,154,5,0.14,Less than 0.01,424,102,41,142,245,1660,1160,118,0.22,,0.1,29.9,1.32,53.43,5.16,,0.01,0.1,0.5,0.2,0.1,0.07,3.67
5030,Lakes & Tanks ,"Naya Quila Talab, Golconda, Hyderabad",Hyderabad,Hyderabad,1,7.51,1356,6,13,,58,280,,,,,26,5,280,190,71,5,0.1,Less than 0.01,320,95.2,19.93,112,126,882,560,78,0.18,,0.1,18.5,1.16,44.28,3.06,,BDL,BDL,0.5,0.2,0.1,0.03,0.13
5031,Lakes & Tanks ,"Yerra Kunta, Shaikpet, Hyderabad",Hyderabad,Hyderabad,2.1,7.43,1352,6,7.6,,48,430,,,,,28,5,270,164,94,9.5,1.41,0.02,320,100,17.01,124,110,865,520,83,0.28,,0.1,17.2,0.72,41.08,2.67,,BDL,BDL,0.5,0.2,0.1,0.04,0.27
5032,Lakes & Tanks ,"Kotha Cheruvu, Shaikpet, Hyderabad",Hyderabad,Hyderabad,3.8,7.47,1061,3,7.2,,17,350,,,,,12.2,5,195,152,32,6.8,0.1,Less than 0.01,270,67,25,85,93,590,420,16,0.1,,0.1,9.53,1.08,41.59,2.45,,BDL,BDL,0.5,0.2,0.1,0.03,0.1
5033,Lakes & Tanks ,"Shantham Cheruvu, Shaikpet, Hyderabad",Hyderabad,Hyderabad,0.3,7.27,1424,10,8.2,,46,430,,,,,39,5,285,188,110,9.9,1.99,0.02,300,72.8,28.67,96,132,826,600,114,2.8,,0.1,14.1,1.48,47.31,3.31,,BDL,BDL,0.5,0.2,0.1,0.05,0.37
5034,Lakes & Tanks ,"Shikari Kunta, Shaikpet, Hyderabad",Hyderabad,Hyderabad,5,7.46,634,2.1,2.8,,21,220,,,,,8.6,5,160,128,25,6,0.1,Less than 0.01,195,49.6,17.25,78,52,394,260,12,0.32,,0.1,7.2,0.42,35.53,1.62,,BDL,BDL,0.5,0.2,0.1,0.02,0.1
5035,Lakes & Tanks ,"Bathur Kunta, Shaikpet, Hyderabad",Hyderabad,Hyderabad,0.3,7.12,1303,8,9.6,,41,280,,,,,14,5,305,165,88,6,0.34,Less than 0.01,355,86.4,33.78,87,126,820,500,44,0.1,,0.1,14.6,0.71,42.18,2.9,,BDL,BDL,0.5,0.2,0.1,0.02,0.14
5036,Lakes & Tanks ,"Ramanna Cheruvu,Boinpally, Thirumalagiri, Medchal-Malkajgiri Dist.",Medchal Malkajgiri,Medchal,Lake Samples were not collected as there was no access to collect water in the Lake due to water Hycianth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5037,Lakes & Tanks ,"Thirumalagiri Tank, Thirumalagiri, Medchal-Malkajgiri Dist.",Medchal Malkajgiri,Medchal,Lake Samples were not collected as there was no access to collect water in the Lake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5038,Lakes & Tanks ,"Salkam Cheruvu, Bandlaguda, Hyderabad",Hyderabad,Hyderabad,0.3,7.59,2030,10,15,,48,540,,,,,25,5,405,279,102,9,0.49,0.01,520,148.8,35.96,146,188,1258,820,66,2.8,,0.1,29.1,0.99,42.23,3.58,,0.01,BDL,0.5,0.2,0.1,0.05,0.12
5039,Lakes & Tanks ,"DMRL, Lake, Kanchanbagh, Hyderabad",Hyderabad,Hyderabad,2.2,7.71,1405,4,7.2,,49,350,,,,,12,5,360,194,84,5.6,0.1,Less than 0.01,380,93.6,35.48,94,167,874,540,38,1.4,,0.1,13.9,0.88,47.6,3.72,,BDL,BDL,0.5,0.2,0.1,0.04,0.1
5040,Lakes & Tanks ,"Bandlaguda Cheruvu, Bandlaguda, Uppal, Medchal Dist.",Medchal Malkajgiri,Ranga Reddy-I,0.3,7.72,1519,8,3.5,,41,430,,,,,27,5,315,153,102,5,0.67,0.01,370,92,34.02,128,150,944,640,84,2.2,,0.1,20.6,1.32,45.02,3.38,,BDL,0.1,0.5,0.2,0.1,0.12,0.44
5041,Lakes & Tanks ,"Pathulguda, Uppal, Medchal Dist.",Medchal Malkajgiri,Ranga Reddy-I,1.4,8.61,1579,6,1.18,,70,540,,,,,12.6,20,310,196,87,5,2.39,0.44,360,88,34.02,124,188,964,620,28,0.1,,0.1,8.3,1.38,52.32,4.3,,BDL,BDL,0.5,0.2,0.1,0.03,0.1
5042,Lakes & Tanks ,"Yellamma Cheruvu, Kukatpally, Medchal- Malkajgiri Dist.",Medchal Malkajgiri,Medchal,2,8.08,1679,11,19,,58,430,,,,,18,5,280,210,75,18,1.69,0.1,320,78,30.38,91,172,994,640,42,1.2,,0.1,24.7,0.94,51.42,4.17,,BDL,BDL,0.5,0.2,0.1,0.06,4.83
5043,Lakes & Tanks ,"Mysamma Cheruvu, Kukatpally, Balangar, Medchal- Malkajgiri Dist.",Medchal Malkajgiri,Medchal,Lake Samples were not collected as there was no access to collect water in the Lake due to water hycianth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
5044,Lakes & Tanks ,"Sudalavani Kunta, (Sunnam Cheruvu), Allapur, Balanagar,Medchal-Malkajgiri dist.",Medchal Malkajgiri,Medchal,0.3,7.51,1592,12,14.2,,21,430,,,,,37,5,345,210,130,2.6,1.4,Less than 0.01,380,88,39,134,175,1002,718,56,,,0.1,20,0.98,48.4,3.3,,BDL,BDL,0.5,0.2,0.1,0.04,0.1
5045,Lakes & Tanks ,"MothkulaKunta, Machabollaram, Alwal, Medchal- Malkajgiri Dist.",Medchal Malkajgiri,Medchal,0.3,8.18,1790,8,11,,15,430,,,,,19,5,340,230,99,9,6.72,0.53,370,96,31.59,154,98,1092,720,62,2.2,,0.1,27.02,0.93,34.4,2.21,,BDL,BDL,0.5,0.2,0.1,0.03,0.24
5046,Lakes & Tanks ,"Chintal Cheruvu, Gajularamaram, Quthbullapur, Medchal- Malkajgiri Dist.",Medchal Malkajgiri,Medchal,4,8.46,378,2.1,1.0,,3.6,130,,,,,19.6,21,86,43,24,5,0.1,Less than 0.01,106,31,7,32,38,240,160,32,0.6,,0.1,4.18,0.52,42.44,1.6,,BDL,BDL,0.5,0.2,0.1,0.02,0.1
5047,Lakes & Tanks ,"Mahaboob Kunta, Suraram,Quthubullapur, Medchal-Malkajgiri Dist.",Medchal Malkajgiri,Medchal,1,7.71,804,8,1.8,,14,210,,,,,22,5,135,129,90,5,0.47,0.01,165,34,19.44,75,118,456,320,48,0.6,,0.1,18.97,0.92,57.41,3.98,,BDL,BDL,0.5,0.2,0.1,0.02,0.24
5048,Lakes & Tanks ,"Bandam Cheruvu, Gajularamaram, Quthbullapur, Medchal- Malkajgiri Dist.",Medchal Malkajgiri,Medchal,Lake Samples were not collected as there was no access to collect water in the Lake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5049,Lakes & Tanks ,"Meddela Kunta,Gajularamaram, Quthbullapur, Medchal- Malkajgiri Dist.",Medchal Malkajgiri,Medchal,3.2,8.24,956,3.8,1.54,,22,210,,,,,15.8,10,220,146,40,5,0.1,Less than 0.01,255,40.8,37.18,84,115,622,380,26,0.24,,0.1,7.1,0.92,48.45,3.12,,BDL,BDL,0.5,0.2,0.1,0.03,0.1
5050,Lakes & Tanks ,"Venna Cheruvu, Jeedimetla,Quthbullapur, Medchal- Malkajgiri Dist.",Medchal Malkajgiri,Medchal,1,7.79,1557,6,15.6,,20,350,,,,,19,5,310,225,67,5,0.1,Less than 0.01,325,60,42.52,88,178,880,675,33,1,,0.1,22.5,1,52.08,4.28,,BDL,BDL,0.03,0.2,0.1,0.03,0.18
5051,Lakes & Tanks ,"Chinna Bandam,Suraram,Quthubullapur, Medchal-Malkajgiri Dist.",Medchal Malkajgiri,Medchal,1.1,8.12,1576,6,2.06,,21,350,,,,,27,5,310,180,72,5,1.95,0.14,345,86,31.59,136,171,924,640,54,0.12,,0.1,20,0.48,49.96,3.99,,BDL,BDL,0.5,0.2,0.1,0.04,0.33
5052,Lakes & Tanks ,"Bakshi Kunta, Chandhanagar, Serilingampally, rangareddy Dist.",Medchal Malkajgiri,Ranga Reddy-I,0.3,6.62,1451,16,7.6,,23,540,_,,,,36,5,380,148,184,14,3.91,0.01,470,114.4,44.71,104,94,948,720,184,1,,0.1,36.6,1.23,28.24,1.88,,BDL,BDL,0.5,0.2,0.1,0.04,0.75
5053,Lakes & Tanks ,"Ramamma Kunta, Gachibowli, Rangareddy Dist.",Medchal Malkajgiri,Ranga Reddy-I,1.1,7.66,828,6,2,,14,280,,,,,7.3,5,160,131,59,5,0.72,Less than 0.01,208,47,22,87,88,540,360,12,1.8,,0.1,4.3,0.95,47.12,2.65,,BDL,BDL,0.5,0.2,0.1,0.03,0.1
5054,Lakes & Tanks ,"Komati Kunta, Gopanpally, Serilingampally, Rangareddy Dist.",Medchal Malkajgiri,Ranga Reddy-I,2.4,7.18,737,7,4.8,,20,240,,,,,19,5,185,103,74,7,0.1,Less than 0.01,210,54.4,17.98,56,78,442,280,48,0.2,,0.1,8.97,0.57,43.26,2.34,,BDL,BDL,0.5,0.2,0.1,0.02,0.1
5055,Lakes & Tanks ,"Chinna Pedda Cheruvu, Gopanpally, Serilingampally, Rangareddy Dist.",Medchal Malkajgiri,Ranga Reddy-I,1,8.06,953,6,6.2,,21,350,,,,,14,5,180,125,70,6.5,0.6,Less than 0.01,220,69.6,11.18,88,89,580,400,36,1,,0.1,12.7,0.92,44.96,2.61,,BDL,BDL,0.5,0.2,0.1,0.02,0.1
5056,Lakes & Tanks ,"Nayanamma Kunta, (Basupalli Cheruvu), Haffezpet, Serilingalpally, rangareddy Dist.",Medchal Malkajgiri,Ranga Reddy-I,1.8,8.61,967,5,5.2,,28,350,,,,,9.7,19,240,72,64,7,0.1,Less than 0.01,260,65.6,23.33,49,59,560,320,20,0.72,,0.1,4.26,0.92,32.48,1.59,,BDL,BDL,0.5,0.2,0.1,0.02,0.1
5057,Lakes & Tanks ,"Kudi Kunta, (Gaothami Lake), Kondapur, Serilingampally, Rangareddy Dist.",Medchal Malkajgiri,Ranga Reddy-I,0.3,6.94,1711,14,10.8,,27,540,_,,,,20.8,5,295,239,168,13,2.39,0.01,330,84,29.16,139,154,996,720,42,2.8,,0.1,22.6,0.57,48.15,3.68,,BDL,BDL,0.5,0.2,0.1,0.03,0.11
5058,Lakes & Tanks ,"Regula Kunta, Miyapur, Serilingampally, Rangareddy Dist.",Medchal Malkajgiri,Ranga Reddy-I,2.5,7.21,871,7,8.6,,22,430,,,,,12,5,200,120,72,6.8,0.1,Less than 0.01,240,64.8,18.95,92,83,566,360,22,0.6,,0.1,9.53,0.76,41.61,2.32,,BDL,BDL,0.5,0.2,0.1,0.01,0.1
5059,Lakes & Tanks ,"Gopi Cheruvu, Lingampally, Serilingampally, Rangareddy Dist.",Medchal Malkajgiri,Ranga Reddy-I,2.1,7.4,1182,6,7.2,,34,350,,,,,11.2,5,240,172,76,12.5,0.18,Less than 0.01,310,101.6,13.61,117,102,722,440,28,1,,0.1,17.1,0.88,40.0,2.52,,BDL,BDL,0.5,0.2,0.1,0.02,0.1
5060,Lakes & Tanks ,"Chakaalavani Cheruvu, Lingampally, Serilingampally, rangareddy Dist.",Medchal Malkajgiri,Ranga Reddy-I,0.3,7.09,1528,14,13.2,,27,540,_,,,,16.3,5,320,180,151,21,1.65,0.01,340,64,43.74,112,127,979,620,33,2,,0.1,18.4,1.12,43.01,2.98,,BDL,0.1,0.5,0.2,0.1,0.04,0.15
5061,Lakes & Tanks ,"Peddakudi Cheruvu, Maqta Mahaboobpet,Serilingampally, rangareddy Dist.",Medchal Malkajgiri,Ranga Reddy-I,0.3,7.33,1252,10,11.4,,27,430,_,,,,10.8,5,280,132,108,13.6,0.32,Less than 0.01,295,75.2,26.0,88,101,788,520,38,2,,0.1,15.5,0.89,40.98,2.55,,BDL,BDL,0.5,0.2,0.1,0.02,0.1
5062,Lakes & Tanks ,"Gurunath Cheruvu, Miyapur, Serilingampally, rangareddy Dist.",Medchal Malkajgiri,Ranga Reddy-I,1.2,7.37,1313,6,10.8,,27,540,,,,,13.3,5,280,195,78,10.5,1.38,0.02,320,76,31.59,74,104,840,520,24,0.6,,0.1,14.69,0.9,39.91,2.52,,BDL,BDL,0.5,0.2,0.1,0.02,0.1
5063,Lakes & Tanks ,"Nanakram Kunta, Nanakraamguda,",Medchal Malkajgiri,Ranga Reddy-I,Sample were not collected Due to Dried of the lake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Borewells,Borewell at Koyyura,Peddapalli,Karimnagar / Ramagundam ,,8.16,624,,0.1,,Less than 1.8,Less than 1.8,Less than 1.8,,,,9.8,5,75,36,13,5,0.1,,273,60,30,20,21,356,210,16,0.1,,0.1,7.2,0.66,13.84,0.55,,BDL,BDL,0.5,0.2,0.1,0.01,0.69
1794,Borewells,Borewell at Manakondur,,Karimnagar ,_,7.81,1285,,13.9,,Less than 1.8,120,Less than 1.8,,,,5,5,285,186,24,5,0.1,,335,88,27.95,52,120,772,500,12,0.12,,0.1,7.21,1,43.01,2.84,,BDL,BDL,0.5,0.2,0.1,0.03,0.1
3094,Borewells,"Bore well at Akbarnagar, Ramagundam",,Karimnagar ,,8.15,1084,,0.1,,Less than 1.8,Less than 1.8,Less than 1.8,,,,5,5,240,140,17,5,0.1,,320,78,30.38,56,77,610,498,8,0.11,,0.1,9,0.92,33.45,1.87,,BDL,BDL,0.5,0.2,0.1,0.03,0.1
1793,Borewells,Open well at Kundanpally near ash ponds of NTPC,,Karimnagar ,_,7.84,1955,_,0.8,,Less than 1.8,4,Less than 1.8,,,,5,5,420,340,32,5,0.1,,640,130,76.55,104,164,1088,780,6,0.2,,0.1,3,1.2,35.5,2.81,,BDL,BDL,0.5,0.2,0.1,0.02,0.1
1791,Borewells,Borewell at Pydipally near East side of Sai cheruvu,Warangal Urban,Warangal / Warangal ,Sample were not collected as the hand pumps are not working,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1792,Borewells,"Borewell at CKM College, Enamamula",Warangal Urban,Warangal / Warangal ,Sample were not collected as the hand pumps are not working,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Borewells,Open well at Tadavai,Mulugu,Warangal,3.7,7.94,784,_,14.1,,Less than 1.8,34,Less than 1.8,,,,6.8,5,165,98,24,5,0.1,,210,46,23.09,66,70,502,360,8,0.1,,0.1,12.2,0.56,40.15,2.09,,BDL,BDL,0.5,0.2,0.1,0.02,0.1
1811,Borewells,Borewell at Rudravelli near Primary School,Yadadri Bhuvanagiri,Nalgonda,,7.41,1603,,10,0.25,,,,,,1.7,16,120,188,102,10,5,,,433.87,88,52,38,61,945,611.31,5,,0.43,0.1,7,0.29,22.93,1.27,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
27,Borewells,Borewell at MRO Office Peddavoora,Yadadri Bhuvanagiri,Nalgonda,,7.45,1065,,5,0.24,,,,,,2.3,14,95,94,78,11,5,,,240.15,50,28,18,36,550,402.4,7,,0.49,0.1,3,0.33,24.17,1.01,BDL,BDL,BDL,BDL,BDL,BDL,BDL,0.1
1525,Borewells,Borewell at Pashamylaram near M/s.Sri Chaitanya Chlorides,Sangareddy,ZL-RCP,,7.39,3560,,21,0.27,,,,,,2.8,27,134,350,178,34,5,,,805,174,90,114,86,2142,1498,8,,0.28,0.1,11,0.37,18.49,1.31,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
1795,Borewells,Borewell at Bollaram near Panchayat Office,Sangareddy,ZL-RCP,,7.28,2310,,11,0.32,,,,,,2.2,13,105,202,125,23,5,,,337.76,66,42,19,76,1392,930,11,,0.36,0.1,15,0.24,31.5,1.79,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
1810,Borewells,"Borewell at Bodhan, Sriramnagar colony, Shakkarnagar, NZB",Nizamabad  ,Nizamabad,,6.92,2168,,22,0.28,,,,,,1.4,19,196,294,132,19,5,,,668,148,72,79,75,1160,899.56,5,,0.51,0.1,8,0.38,19.33,1.26,BDL,BDL,BDL,BDL,BDL,BDL,BDL,0.22
1515,Borewells,"Borewell at Nagaram, Palvancha",Bhadradri Kothagudem ,Kothagudem,,8.41,1879,,17,,Less than 1.8,Less than 1.8,Less than 1.8,,,,5.2,14,315,285,47,5.6,BDL,,330,84,29.16,125,243,1129,800,11,0.12,,0.1,6,0.88,60.9,5.8,,BDL,0.1,0.5,0.2,0.1,0.29,0.36
3088,Borewells,"B/w at J.Narasimha Rao’s house, 14Nos. area, Ramavaram, near MWS dumpsite, Kothagudem",Bhadradri Kothagudem ,Kothagudem,,7.96,1355,,0.1,,Less than 1.8,Less than 1.8,Less than 1.8,,,,6.6,5,265,196,40,5,BDL,,358,74,42,84,140,868,602,10,0.7,,0.1,9,0.6,45.03,3.21,,BDL,BDL,0.5,0.2,0.1,0.16,0.1
4261,Borewells,"Borewell at M/s Shalini Steels Ltd., IDA Bollaram, Jinnaram Mandal, Sangareddy District",Sangareddy,RC puram,"Asper the BO directions Dt. 15.03.2021 the borewell located inside the premises of M/s. Shalini Steels Ltd., Bollaram is sealed as the some of the important parameters are exceeding BIS, Drinking water specifications (IS10500:2012) and this office has stopped collecting water sample from this month.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4262,Borewells,"Borewell near Grampanchyat Office, Kistaipally village, Jinnarm Mandal, Sangareddy District",Sangareddy,RC puram,,6.74,1976,,18,0.34,,,,,,2.5,18,164,306,122,12,5,,,568.45,132,58,76,107,1128,743.06,23,,0.33,0.1,18,0.47,28.11,1.95,BDL,BDL,BDL,BDL,BDL,BDL,BDL,0.1
4263,Borewells,"Borewell near MPP School, Gaddapotharam Village, Jinnaram Mandal, Sangareddy District",Sangareddy,RC puram,,6.52,3165,,27,0.24,,,,,,2.1,21,180,412,215,32,5,,,831.56,178,94,116,119,1720,1460,21,,0.37,0.1,21,0.41,23.05,1.79,BDL,BDL,BDL,BDL,BDL,BDL,0.12,BDL
4276,Borewells,"Borewell near Grampanchyat Office, Khazipally village, Sangareddy District",Sangareddy,RC puram,,6.93,1835,,19,0.28,,,,,,2.6,19,180,280,134,14,5,,,549.96,118,62,58,91,1105,768.88,25,,0.21,0.1,14,0.36,25.72,1.68,BDL,BDL,BDL,BDL,BDL,BDL,BDL,0.11
4267,Borewells,Borewell IDA Kattedan,,Ranga Reddy,Sample was not submitted by RO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
