Station code,water_bodies,Station name,District,RO,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia  (mg/L),Free Ammonia  (mg/L),Hardness (mg/L),Calcium (mg/L),Magnesium (mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR,Arsenic,Cadmium,Copper,Lead,Total Chromium,Nickel,Zinc,Iron
2345,Lakes & Tanks ,Sai Cheruvu,Warangal Urban,Warangal,0.3,7.98,4420,20,1.16,,17,210,Less than 1.8,,,,12.4,5,520,1100,149,5,0.1,Less than 0.01,620,130,71.69,430,680,2680,2010,18,0.22,,0.1,21.6,0.58,69.41,11.84,,0.01,0.1,0.5,0.2,0.1,0.2,0.45
4222,Lakes & Tanks ,"Koneru, Kondagattu temple, Jagitiyal",Jagityal,Ramagundam,Sample Could not be collected as source points were dried up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4223,Lakes & Tanks ,"Vemulawada temple Koneru , Karimnagar",Siricilla,Ramagundam,Sample Could not be collected as source points were dried up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4228,Lakes & Tanks ,"Pedda Cheruvu/Ibrahim Cheruvu, Rajendra Nagar",RR-shamshabad,Ranga Reddy-I,Sample were not collected due to dried up of the lake.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4230,Lakes & Tanks ,Kistaipally Cheruvu,Sangareddy,R.C.Puram,4.6,7.26,3630,6.6,13,0.18,8.1,120,6.1,5,0.55,,22,40,420,298,55,10.39,0.1,Less than 0.01,644.06,126,80,43,73,2460,1789.79,13,,0.21,0.1,14,0.18,19.24,1.25,BDL,BDL,BDL,BDL,BDL,BDL,BDL,0.18
4231,Lakes & Tanks ,"Rayam Cheruvu,",Sangareddy,R.C.Puram,5.6,7.44,981,3.2,7,0.13,4,32,2,6.6,0.7,,13,20,224,114,34,6.43,0.1,Less than 0.01,296.32,56,38,17,29,559,353.57,11,,0.14,0.1,7,0.13,17.02,0.73,BDL,BDL,BDL,BDL,BDL,BDL,BDL,0.12
4232,Lakes & Tanks ,"Komati Cheruvu,",Siddipet,R.C.Puram,5.8,7.46,775,4,6,0.1,6.1,43,4,,0.62,,9,12,184,92,40,7.56,0.1,Less than 0.01,240.15,50,28,18,26,438,274.1,7,,0.17,0.1,6,0.15,18.48,0.73,BDL,BDL,BDL,BDL,BDL,BDL,BDL,0.11
4235,Lakes & Tanks ,Lake Kamuni (Shamshabad Lake),RR-shamshabad,Ranga Reddy-I,4.4,8.31,1062,4,3.7,,21,430,4,,,,15.6,10,180,172,67,5,1.98,0.2,190,56,12.15,96,145,610,480,22,0.12,,0.1,12.4,0.48,60.42,4.57,,BDL,BDL,0.5,0.2,0.1,0.03,0.1
4233,Lakes & Tanks ,"Gaddapotharam cheruvu,",Sangareddy,R.C.Puram,4.1,6.74,5020,14,23,0.17,21,220,12,4.3,0.51,,34,38,576,356,108,20.41,0.1,Less than 0.01,810,164,98,39,87,3130,1924.01,19,,0.23,0.1,25,0.24,18.19,1.32,BDL,BDL,BDL,BDL,BDL,BDL,BDL,0.14
4238,Lakes & Tanks ,"Ameenpur Cheruvu,",Sangareddy,Sangareddy,5,7,1347,6,11,0.18,9.2,170,6.8,5.2,0.56,,17,24,272,94,57,10.77,0.1,Less than 0.01,298.07,60,36,15,34,843,527.55,15,,0.18,0.1,7,0.15,19.3,0.85,BDL,BDL,BDL,BDL,BDL,BDL,BDL,0.22
4239,Lakes & Tanks ,"Mahaboobsagar Tank,",Sangareddy,Sangareddy,5.1,6.86,665,5,9,0.14,8.1,70,6,,0.62,,16,20,148,76,48,9.07,0.1,Less than 0.01,184,38,22,10,25,416,262.91,9,,0.16,0.1,5,0.1,21.97,0.8,BDL,BDL,BDL,BDL,BDL,BDL,BDL,0.11
