Station code,water_bodies,Station name,District,Remarks,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia,Free Ammonia  (mg/L),Hardness (mg/L),Calcium (mg/L),Calcium Carbonate as CaCO3,Magnesium (mg/L),Magnesium Carbonate as CaCO3,Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR
2360,River Godavari,River Godavari at Basara,Nirmal,,7.4,7.74,819,3.6,27,BDL,5.6,21,4.5,,,,3.2,24,188,96,43,5,BDL,BDL,235,60,150,21,85,61,58,475.02,332.51,7,,BDL,BDL,4.4,0.34,34.15,1.64
5105,River Godavari,"River Godavari Pushkar Ghat, Mancherial",Mancherial,,7.3,7.68,1122,3.2,32,BDL,5.6,22,4,,,,3.3,32,255,134,25,5,BDL,BDL,260,64,160,24,100,48,98,650.18,455.12,6,,BDL,BDL,7,0.3,44.2,2.64
4255,River Godavari,Ali sagar Reservoir,Nizamabad,,7.2,7.83,762,3.2,25,BDL,4.5,24,3.6,,,,3,24,200,110,26,4,BDL,BDL,260.23,58,145,28,115.23,45,51,464.82,325.37,5,,BDL,BDL,4,0.15,29.36,1.37
4227,River Godavari,"Pochara Water Falls, Adilabad",Adilabad,,7.4,7.79,801,3.2,23,0.12,6,24,5.6,4.5,,,2.8,24,220,122,22,4,BDL,BDL,340,68,170,41,170,37,29,488.61,342.03,6,,BDL,BDL,2,0.4,15.51,0.68
2361,River Godavari,"River Godavari at mancherial, Near Rail Way Bridge B/C of Rallavagu",Peddapalli,,6.1,8.24,416,1.6,0.8,,Less than 1.8,26,Less than 1.8,,,,12,5,122,46,32,1.5,0.4,,185,48,120,15.79,65,38,,252,170,10,0.36,1.11,0.5,,0.59,,
13,River Godavari,River Godavari at Mancherial,Peddapalli,,6.1,7.54,587,1.8,1.2,,Less than 1.8,34,Less than 1.8,,,,14,5,168,54,36,1.5,0.4,,255,82,205,12.15,50,45,,340,230,12,0.42,1.3,0.5,,0.39,,
3054,River Godavari,"Outlet of ash pond effluents of M/s.NTPC, Ramagundam",Peddapalli,,5,9.77,909,2,0.4,,Less than 1.8,49,Less than 1.8,,,,26,25,190,150,140,5.36,1.12,,285,94,235,12.15,50,85,,550,370,25,0.72,2.21,0.5,,0.48,,
2362,River Godavari,D/s of River Godavari at Ramagundam near FCI intake well,Peddapalli,,6,7.38,992,1.8,2.3,,Less than 1.8,40,Less than 1.8,,,,15,5,206,103,44,1.5,0.4,,270,84,210,14.58,60,96,,588,409,14,0.76,2.33,0.5,,0.56,,
5497,River Godavari,River Godawari D/S afer confluence of Ramagundem fertilize and chemicals Ltd(RFCL)Discharge into river,Ramagundem,,6.1,7.9,1555,1.8,4.6,,14,240,6.8,,,,24,5,360,186,52,1.5,0.4,,405,124.8,312,22.6,93,82,,920,640,18,0.8,2.46,0.5,,0.39,,
2363,River Godavari,River Godavari at Godavarikhani near bathing ghat,Peddapalli,,6,7.35,988,1.8,2.3,,Less than 1.8,46,Less than 1.8,,,,20,5,260,98,40,1.5,0.4,,320,106,265,13.37,55,55,,586,400,18,0.48,1.48,0.5,,0.49,,
