Station code,water_bodies,Station name,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Saprobity index,Diversity index,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia-N  (mg/L),Hardness (mg/L),Calcium (mg/L),Magnesium (mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR
2360,River Godavari,River Godavari at Basara,7.1,8.11,811,3,19,0.52,2,30,,,33,34,180,84,30,18,4,214,46,24,62,39,520,411,25,0.5,0.6,34,0.52,24.69,1.16
4255,River Godavari,"Ali sagar Reservior Project area , Alisagar (V), Yedapally (M), Nizamabad Dist.",6.2,7.78,456,2,2,0.01,,15,,,10,20,120,40,15,10,2,140,35,13,15,14,272,214,8,0.03,2.36,2,0.82,17.42,0.51
4227,River Godavari,"Pochara Water Falls, Adilabad",5.9,7.98,685,3,3,0.01,,,,,8,28,160,44,22,15,4,208,32,31,9,12,381,309,12,0.04,1.05,2,1.02,10.97,0.36
2361,River Godavari,"River Godavari at mancherial, Near Rail Way Bridge B/C of Rallavagu",5.2,8.14,440,2,0.6,0.4,NIL,30,,,8,0,155,42,21,1,0.1,160,28.8,21.38,12,30,242,197,10,1,0.24,4,0.5,28.18,1.03
13,River Godavari,"River Godavari at Mancherial (BM-Jan, Apr & Oct)",4.4,7.89,440,4,1.4,1.1,NIL,20,,,7,0,144,30,40,1.2,0.3,155,29.6,19.68,18,25,294,231,10,1.01,0.21,2,0.61,25.52,0.87
2364,River Godavari,River Godavari at Ramagundam upstream near dam,4.8,8.2,480,2,1.5,1.8,NIL,20,,,6,19,175,40,24,1.3,0.3,180,32,24.3,20,32,271,221,14,1.1,0.28,4,0.52,27.18,1.03
3054,River Godavari,"Outlet of ash pond effluents of M/s.NTPC, Ramagundam",6.2,10.88,940,2,1.9,1.7,NIL,20,,,5.6,22,240,118,22,3.4,0.8,250,56,26.73,55,98,524,414,10,1.1,0.2,7,1.02,45,2.69
2362,River Godavari,D/s of River Godavari at Ramagundam near FCI intake well,4.6,7.88,518,2,1,0.9,NIL,20,,,9,0,155,42,14,0.5,0.1,160,30.4,20.41,41,42,301,246,8,1.1,0.26,2,0.52,35.82,1.44
2363,River Godavari,River Godavari at Godavarikhani near bathing ghat,2.2,7.4,790,5,2.6,2.4,NIL,20,,,6,0,240,96,52,0,,250,44.8,33.53,50,80,498,393,12,0.9,0.3,6,0.8,40.13,2.19
2356,River Godavari,River Godavari d/s of Ramagundam at Manthani,Dried up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2365,River Godavari,"U/s of River Godavari at Kamalapur (V) at M/s.AP Rayons Ltd., intake well",6.1,7.57,308,2,0.29,0.18,NIL,36,,,6,0,120,24,10,0,,138,34,13.12,16,15,197,155,8,0.02,0,4,0.73,18.38,0.55
2366,River Godavari,"D/s of River Godavari at Kamalapur (V) at M/s.AP Rayons Ltd., discharge point",5.2,7.75,319,3,0.68,0.51,NIL,59,,,6,14,125,48,12,0,,143,31,16,32,32,196,159,10,0.04,0,5,0.85,31.6,1.16
2367,River Godavari,U/s of river Godavari at Bhadrachalam bathing ghat,5.5,8.3,367,2,0.78,0.64,0,84,,,6,11,106,39,16,0,,117,28.8,11,21,36,231,179,6,1.04,0,3,0.35,39.14,1.44
2368,River Godavari,D/s of river Godavari at Bhadrachalam bathing ghat,5.1,8.24,375,3,0.91,0.84,0,89,,,8,8,108,40,18,0,,124,27.2,13.61,26,34,228,186,8,0.45,0,3,0.64,36.51,1.32
2369,River Godavari,River Godavari at Burgampahad,5,7.76,560,3,0.91,,0,24,,,5.16,8,146,66,24,2.1,0.4,138,29,16,36,53,364,297,10,1.04,0.1,6,0.72,43.96,1.95
4256,River Godavari,"Lower Manair Dam (LMD), Karimnagar",6,7.94,379,BDL,11,0.18,NIL,11,,,5.18,0,116,27,6,2.8,0.6,110,23.2,12.64,23,29,239,186,6,0.02,0.39,5,0.8,35,1.2
1158,River Godavari,"River Maneru at Somanpally (BM-Jan, Apr & Oct)",Dried up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4257,River Godavari,"Manair River (Downstream of Municipal dump site, Karimnagar)",0.9,7.81,2888,18,16,6.55,NIL,320,,,0.73,0,112,687,158,9.8,1.4,552,118.4,62.21,198,344,1799,1434,13,0,0.53,5,2.38,57.11,6.35
1215,River Godavari,River Maneru at Thummala cheruvu/Madannapet,6.2,7.4,368,4,1.4,0.94,0,25,,,12,7,118,32,22,0,,120,27.2,12.64,10,28,254,208,24,0.06,0,2,0.62,33.07,1.11
4249,River Godavari,"Rangasamudram, Warangal",2.8,7.48,1821,16,0.1,0.76,0,481,,,22.3,0,362,312,74,2.8,0.3,394,90,41,98,228,1201,967,17,0.06,0.21,14,2.33,54.5,4.98
1157,River Godavari,River Manjeera at Raipally,7.6,7.27,469,4,16,0.68,2,27,,,27,30,76,53,27,27,7,179,39,20,16,17,284,221,34,0.42,0.32,8,0.59,16.21,0.55
4258,River Godavari,"Singur Dam Reservoir, Sangareddy",6.2,6.63,404,3,12,0.36,,12,,,28,32,84,48,28,25,7,173,46,14,10,16,262,203,34,0.38,0.25,2,0.48,16.51,0.53
1781,River Godavari,Manjeera at Ganapathi sugars,6.2,7.62,476,3,15,0.67,5,58,,,39,24,70,68,22,21,3.9,164,36,18,14,22,287,221,29,0.55,0.4,7,0.65,21.56,0.74
2374,River Godavari,U/s of River Manjeera at Gowdicherla atfter confluence with Nakkavagu,6.5,7.5,1218,4.5,31,0.5,3,29,,,39,27,260,134,34,21,5.1,310,68,34,40,86,735,596,25,0.34,0.52,11,0.69,36.46,2.12
2375,River Godavari,D/s of River Manjeera at Gowdicherla atfter confluence with Nakkavagu,6.7,7.21,1584,5,35,0.62,3,48,,,58,36,272,149,34,21.4,5.6,475,121,42,74,94,945,751,218,0.5,0.6,16,0.95,29.09,1.87
4226,River Godavari,"River Manjeera at Yedu Payala Temple, Medak District",8.8,7.8,708,1.5,11,0.42,,40,6,0.77,2.5,30,208,60,10,3,0.8,230,56,22,25,17,432,339,16,0.14,1.02,8,1,13.25,0.49
