Station code,water_bodies,Station name,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia  (mg/L),Free Ammonia  (mg/L),Hardness (mg/L),Calcium (mg/L),Magnesium (mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),Sodium %,SAR
39,River Krishna ,River Krishna at Gadwal bridge,5.9,8.12,838,3,0.12,Not Analysed,3.7,27,,,,6,Less than 1,245,96,16,Less than 1,Not Analysed,Not Analysed,270,56.8,31.1,36,68,502,,10,Less than 0.01,Not Analysed,Less than 0.01,2,Less than 0.01,35.03,1.79
4225,River Krishna ,"Jogulamba Temple, Gadwal",5.4,7.92,952,3,0.16,Not Analysed,3.7,34,,,,10,Less than 1,230,122,20,1.4,Not Analysed,Not Analysed,305,68.8,32.32,92,88,622,,14,Less than 0.01,Not Analysed,Less than 0.01,4,Less than 0.01,38.03,2.18
4259,River Krishna ,Nagarjuna Sagar Dam Spill way,6,7.09,486,2.1,4,0.26,2,13,,,,8,8,98,44,14,2.6,Less than 1,Less than 0.01,117.58,24,14,6,14,269,209,15,Not Analysed,0.26,Less than 0.01,3,0.32,19.94,0.56
4252,River Krishna ,"Udaya Samudram balancing Reservoir,",5.9,7.23,343,2.1,2,0.38,2,11,,,,12,8,87,38,28,5.3,Less than 1,Less than 0.01,104.35,22,12,6,12,194,145,17,Not Analysed,0.35,Less than 0.01,2,0.34,19.52,0.51
1465,River Krishna ,Confluence of River krishna & River musi at at wadapally,5.9,7.15,809,2.4,6,0.33,3.6,32,,,,15,12,164,96,18,3.4,Less than 1,Less than 0.01,209.58,46,23,17,34,460,334,19,Not Analysed,0.29,Less than 0.01,7,0.29,25.16,1.02
4663,River Krishna ,"River Krishna at Mattepally, 500 mts. before bathing ghat",5.8,7.42,767,2.6,7,0.29,3.6,32,,,,17,16,158,90,17,3.2,Less than 1,Less than 0.01,200.46,44,22,14,32,427,309,15,Not Analysed,0.31,Less than 0.01,5,0.37,25.06,0.98
1215,River Krishna ,River Munneru at Thummala cheruvu/Madannapet,5.8,8.02,348,3,1.08,Not Analysed,3.7,34,,,,8,Less than 1,120,28,12,Less than 1,Not Analysed,Not Analysed,120,28,12.15,18,26,224,,6,Less than 0.01,Not Analysed,Less than 0.01,2,Less than 0.01,31.45,1.03
4250,River Krishna ,"Palair Reservoir, Khammam",5,7.3,450,3,1,Not Analysed,2,11,,,,4,Less than 1,138,38,12,Less than 1,Not Analysed,Not Analysed,138,29.6,15.55,30,38,258,,8,Less than 0.01,Not Analysed,Less than 0.01,2,Less than 0.01,36.88,1.4
4251,River Krishna ,"D/S of Munneru River, Prakash Nagar, Khammam",4.6,7.62,680,6,2.8,Not Analysed,2,11,,,,18,Less than 1,180,86,30,1.4,Not Analysed,Not Analysed,210,40,26.73,40,59.76,430,,16,0.67,Not Analysed,Less than 0.01,4,0.42,37.5,1.79
4253,River Musi,Musi sample at Bapughat sangam U/S of Musi,Less than  0.1,7.8,1780,46,12.2,Not Analysed,350,Greater than 1600,,,,52,NIL,560,232,188,58,Not Analysed,Not Analysed,420,96,43.74,48,218,1210,,77,6.9,Not Analysed,Less than 0.01,18,0.9,51.68,3.27
