Station code,water_bodies,Station name,District,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia-N (mg/L),Free Ammonia  (mg/L),Total Hardness as CaCO3 (mg/L),Calcium Carbonate as CaCO3,Calcium as Ca+2(mg/L),Magnesium Carbonate as CaCO3,Magnesium as Mg+2(mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),% Sodium,SAR
2360,River Godavari,River Godavari at Basara,Nirmal,6.9,8.27,716,2,2,0.07,5.4,18,3,,,,7,16,110,105,14,3.4,0.4,BDL,200,96,38,94,23,30,15,415,253,10,,0.05,0.5,4,0.2,14.27,0.39
5105,River Godavari,"River Godavari Pushkar Ghat, Mancherial",Mancherial,6.4,8.26,685,1.8,6,0.03,7.2,40,4.7,,,,8,20,140,93,20,2.8,0.4,BDL,188,110,44,78,19,20,18,397,246,12,,0.06,0.5,5,0.2,16.67,0.45
4255,River Godavari,Ali sagar Reservoir,Nizamabad,6.5,8.16,458,1.4,3,0.08,4.8,34,2,,,,6,12,104,80,18,2.2,0.4,BDL,160,100,40,60,15,30,15,265,170,10,,0.1,0.5,6,0.2,16.08,0.4
4227,River Godavari,"Pochara Water Falls, Adilabad",Adilabad,6.3,8.49,672,2,2,0.04,5.4,20,2,,,,6,20,200,119,12,2.8,0.4,BDL,280,150,60,130,32,40,12,420,252,10,,0.05,0.5,4,0.2,8.29,0.25
2361,River Godavari,"River Godavari at mancherial, Near Rail Way Bridge B/C of Rallavagu",Mancherial,6.2,7.93,487,1,1,,Less than 1.8,33,Less than 1.8,N.A,N.A,N.A,8,5,132,42,8,1.5,0.4,0.02,115,75,30,40,9.72,25,,292,,10,0.2,,0.5,,0.7,,
0013,River Godavari,River Godavari at Mancherial,Mancherial,6.2,7.8,496,1,1.02,,Less than 1.8,32,Less than 1.8,N.A,N.A,N.A,8.8,5,132,47,12,1.5,0.4,0.01,120,50,20,70,17.01,27,,302,,10,0.2,,0.5,,0.78,,
3054,River Godavari,"Outlet of ash pond effluents of M/s.NTPC, Ramagundam",Peddapalli,6,11.39,1455,1.1,1.1,,Less than 1.8,33,Less than 1.8,N.A,N.A,N.A,9.2,45,370,156,16,1.5,0.4,0.4,390,230,92,160,38.88,66,,962,,10,0.82,,0.5,,0.8,,
2362,River Godavari,D/s of River Godavari at Ramagundam near FCI intake well,Peddapalli,6,8.07,444,1,0.98,,Less than 1.8,27,Less than 1.8,N.A,N.A,N.A,22,5,110,42,12,1.5,0.4,0.03,120,75,30,45,10.94,25,,288,,40,0.96,,0.5,,0.8,,
2363,River Godavari,River Godavari at Godavarikhani near bathing ghat,Peddapalli,6.1,7.53,480,1.2,0.3,,Less than 1.8,33,Less than 1.8,N.A,N.A,N.A,12,5,120,47,20,1.5,0.4,0.01,132,80,32,52,12.64,28,,310,,10,0.92,,0.5,,0.77,,
2364,River Godavari,River Godavari at Ramagundam upstream near dam,Peddapalli,6.2,7.92,480,1,1.1,,Less than 1.8,38,Less than 1.8,N.A,N.A,N.A,11,5,122,48,8,1.5,0.4,0.02,115,70,28,45,10.94,24,,294,,10,0.2,,0.5,,0.82,,
