Station code,water_bodies,Station name,District,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia,Free Ammonia  (mg/L),Hardness (mg/L),Calcium Carbonate as CaCO3,Calcium (mg/L),Magnesium Carbonate as CaCO3,Magnesium (mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR,Arsenic,Cadmium,Copper,Lead,Total Chromium,Nickel,Zinc,Iron
3080,River Kinneresani,U/s of Karakavagu at Paloncha,Bhadradri Kothagudem ,6.3,7.35,386,1,2.21,,Less than 1.8,22,Less than 1.8,,,,7,5,90,52,4,1.5,0.4,,100,18,45,13.37,55,27,#,240,160,10,0.24,,0.5,,0.68,#,#,,,,,,,,
3081,River Kinneresani,D/s of Karakavagu at Paloncha,Bhadradri Kothagudem ,6,7.4,417,1,2.7,,Less than 1.8,26,Less than 1.8,,,,8,5,95,56,8,1.5,0.4,,105,20,50,13.37,55,32,#,254,140,10,0.26,,0.5,,0.79,#,#,,,,,,,,
1784,River Krishna ,River Krishna at Thangadi,Mahaboobnagar,6.4,7.77,749,1.2,1.8,,Less than 1.8,49,Less than 1.8,,,,12,5,145,102,20,1.5,0.4,,160,34,85,18.22,75,58,#,464,320,10,1.28,,0.5,,0.58,#,#,,,,,,,,
0039,River Krishna ,River Krishna at Gadwal bridge,Mahaboobnagar,6.4,8.07,664,1.2,2.3,,Less than 1.8,40,Less than 1.8,,,,16,5,150,78,16,2.24,0.4,,165,32,80,20.66,85,49,#,410,280,10,1.36,,0.5,,0.62,#,#,,,,,,,,
4225,River Krishna ,"Jogulamba Temple, Gadwal",Jogulamba Gadwal,6.2,8.08,991,2,1.6,,Less than 1.8,36,Less than 1.8,,,,15,5,220,115,28,2.24,0.4,,240,44,110,31.59,130,84,#,606,420,10,2.06,,0.5,,0.73,#,#,,,,,,,,
4259,River Krishna ,Nagarjuna Sagar Dam Spill way,Nalgonda,7.6,7.41,826,2.7,23,0.08,3.5,22,1.8,,,,3.3,10,220,130,20,5,BDL,BDL,324.61,64,160,40,164.61,48,43,502,356.42,8,,0.13,BDL,4.1,0.19,22.16,1.04,BDL,BDL,BDL,BDL,BDL,0.02,BDL,0.16
4252,River Krishna ,"Udaya Samudram balancing Reservoir,",Nalgonda,6.7,7,890,3.1,23,0.11,5.7,32,3.6,,,,4.1,18,224,195,25,4,BDL,BDL,415,84,210,50,205,41,52,595,422.45,10,,0.24,BDL,4.3,BDL,21.23,1.11,BDL,BDL,BDL,BDL,BDL,BDL,BDL,0.24
1465,River Krishna ,Confluence of River Krishna & River Musi at at Wadapally,Nalgonda,6.1,7.43,1256,3.3,32,0.3,6.8,34,3.6,,,,3.5,14,224,228,30,4,BDL,BDL,500,120,300,49,200,49,61,753.6,535.06,12,,0.2,BDL,4.3,0.24,20.8,1.19,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
4663,River Krishna ,"River Krishna at Mattepally, 500 mts. before bathing ghat",Suryapet,6.2,7.41,1296,3.8,35,0.21,6,38,3.6,,,,3.3,20,280,160,41,5,BDL,BDL,430,92,230,49,200,48,65,770,546.7,10,,0.24,BDL,6.5,0.38,24.39,1.36,BDL,BDL,BDL,BDL,BDL,BDL,BDL,0.22
4250,River Krishna ,"Palair Reservoir, Khammam",Khammam,6.2,7.97,436,1,1.6,,Less than 1.8,40,Less than 1.8,,,,8,5,95,54,8,1.5,0.4,,105,18,45,14.58,60,32,#,266,160,10,0.2,,0.5,,0.82,#,#,,,,,,,,
4251,River Krishna ,"D/S of Munneru River, Prakash Nagar, Khammam",Khammam,6.2,7.86,541,1.2,2.6,,Less than 1.8,49,Less than 1.8,,,,11,5,115,64,12,1.5,0.4,,125,26,65,14.58,60,45,#,336,220,12,0.2,,0.5,,0.94,#,#,,,,,,,,
5108,River Krishna ,River Krishna Before Confluence of River Musi at Wadapally (V),Nalgonda,6.4,7.62,917,2.4,21,0.16,4.4,34,2,,,,3.6,14,244,150,32,5,BDL,BDL,360.49,80,200,39,160.49,45,55,550.2,390.64,10,,0.18,BDL,5.3,0.15,24.64,1.26,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
5109,River Krishna ,River Krishna After Confluence of River Musi at Wadapally (V),Nalgonda,6.7,7.49,1354,3.4,35,0.2,5.6,33,1.8,,,,3.2,18,274,270,36,5,BDL,BDL,565,120,300,64,265,65,85,853,605.63,8,,0.24,BDL,5.9,0.26,24.54,1.56,BDL,BDL,BDL,BDL,BDL,0.02,0.6,BDL
5110,River Krishna ,River Krishna at Pulichintala Reservoir at Chinthalapalem,Suryapet,7,7.46,1269,3.2,29,0.17,4.5,38,2,,,,3.5,10,265,230,34,7,BDL,BDL,455.45,90,225,56,230.45,54,65,761.4,540.59,9,,0.24,BDL,5.6,0.28,23.48,1.33,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
4253,River Musi,Musi sample at Bapughat sangam U/S of Musi,Hyderabad,0.3,7.1,758,8,3.1,,17,350,2,,,,22,5,150,94,80,8.96,5.6,,170,34,85,20.66,85,63,#,478,320,24,4.52,,0.5,,1.02,#,#,,,,,,,,
