Station code,water_bodies,Station name,District,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia,Free Ammonia  (mg/L),Hardness (mg/L),Calcium Carbonate as CaCO3,Calcium (mg/L),Magnesium Carbonate as CaCO3,Magnesium (mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR,Arsenic,Cadmium,Copper,Lead,Total Chromium,Nickel,Zinc,Iron
4688,Lakes & Tanks,"Narinja River, Kothur - B (V), Zaheerabad",Sangareddy,7.2,6.98,832,3.1,30,0.1,3.5,34,1.8,,,,3.2,10,165,175,30,3,BDL,BDL,320,76,190,32,130,39,52,540,383.4,7,,0.1,BDL,8.6,0.32,25.45,1.26,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
4234,Lakes & Tanks,"Umda sagar lake, Shamshabad",RR-shamshabad,1.8,7.3,1176,3,16.2,,39,430,4,,,,16,5,220,194,48,9.52,5.6,,245,52,130,27.95,115,72,#,728,460,34,4.12,,0.5,,1.04,#,#,,,,,,,,
4235,Lakes & Tanks,Lake Kamuni (Shamshabad Lake),RR-shamshabad,0.3,7.24,932,6,7.9,,27,430,6.1,,,,17,5,205,104,72,10.08,4.48,,220,64,160,14.58,60,74,#,596,380,20,3.92,,0.5,,0.79,#,#,,,,,,,,
5133,Lakes & Tanks,"Chandana Cheruvu, Jillelguda,",Rangareddy,0.3,6.89,1195,6,13.5,,33,540,6.85,,,,25,5,250,142,68,6.72,3.92,,270,48,120,36.45,150,84,#,752,480,18,3.86,,0.5,,0.85,#,#,,,,,,,,
5134,Lakes & Tanks,"Manthrala Cheruvu, Meerpet",Rangareddy,4.9,7.25,1160,2.8,11.2,,26,350,2,,,,32,5,230,148,30,10.6,3.36,,250,54,135,27.95,115,88,#,720,440,22,3.92,,0.5,,1.16,#,#,,,,,,,,
4222,Lakes & Tanks,"Koneru, Kondagattu temple, Jagitiyal",Jagityal,5.8,7.48,592,1.2,2.2,,Less than 1.8,33,Less than 1.8,,,,16,5,180,69,28,1.5,0.4,,190,38,95,23.09,95,28,#,378,240,14,0.8,,0.5,,0.55,#,#,,,,,,,,
4223,Lakes & Tanks,"Vemulawada temple Koneru , Karimnagar",Rajanna Siricilla,4.8,7.42,974,2,1.1,,2,46,Less than 1.8,,,,18,5,170,179,32,2.24,0.4,,195,40,100,23.09,95,36,#,614,380,16,0.72,,0.5,,0.2,#,#,,,,,,,,
1464,Lakes & Tanks,Bibinagar Tank,Yadadri Bhuvanagiri,6,7.3,1143,3.1,32,0.23,4,41,1.8,,,,6.3,18,180,220,35,6,BDL,BDL,425,100,250,43,175,74,85,720,511.2,7,,0.29,BDL,5.3,0.28,29.97,1.79,BDL,BDL,BDL,BDL,BDL,BDL,BDL,0.15
4224,Lakes & Tanks,"Yadadri temple- Koneru, Yadadrigutta (V&M), Yadadri bhuvanagiri(D)",Yadadri Bhuvangiri,Note:- Station Code  - 4224 - Koneru of Yadagiri Gutta Temple water sample could not be collected due to Koneru is under construction.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4230,Lakes & Tanks,Kistaipally Cheruvu,Sangareddy,5.7,7.3,3025,4.9,48,0.31,6,58,4,,,,10.2,24,570,708,76,12,4,BDL,1330,284,710,151,620,115,196,1996,1417.16,28,,0.32,BDL,14.5,0.35,24.07,2.34,BDL,BDL,BDL,BDL,BDL,BDL,0.1,0.06
4231,Lakes & Tanks,"Rayam Cheruvu,",Sangareddy,6.2,7.21,1224,4,44,0.18,4.5,43,2,,,,6.1,20,215,308,28,6,BDL,BDL,525,124,310,52,215,76,92,895,635.45,14,,0.34,BDL,7.5,0.28,27.35,1.75,BDL,BDL,BDL,BDL,BDL,BDL,BDL,0.15
4232,Lakes & Tanks,"Komati Cheruvu,",Siddipet,6.8,7.18,623,2.5,15,0.17,3.5,25,1.8,,,,4.3,8,172,185,30,4,BDL,BDL,405,82,205,49,200,60,40,563,399.73,9,,0.18,BDL,7.6,0.24,17.34,0.86,BDL,BDL,BDL,BDL,BDL,BDL,BDL,0.05
4233,Lakes & Tanks,"Gaddapotharam cheruvu,",Sangareddy,6.2,6.95,2658,5,65,0.23,5.6,43,3.7,,,,7.2,24,450,520,89,5,BDL,BDL,979.84,280,700,68,280,91,120,1594.8,1132.31,8,,0.15,0..1,25,0.2,20.57,1.67,BDL,BDL,BDL,BDL,BDL,BDL,BDL,0.06
4228,Lakes & Tanks,"Pedda Cheruvu/Ibrahim Cheruvu, Rajendra Nagar",RR-shamshabad,2.4,7.17,1094,4,3.9,,49,430,6.1,,,,25,5,230,126,54,11.2,3.92,,250,56,140,26.73,110,78,#,700,440,28,3.4,,0.5,,0.98,#,#,,,,,,,,
1391,Lakes & Tanks,Hussain sagar Lake,Hyderabad,0.3,6.99,1170,6,8.1,,22,350,2,,,,22,5,245,142,76,8.4,2.8,,260,48,120,34.02,140,76,#,738,480,26,4.88,,0.5,,1.13,#,#,,,,,,,,
3071,Lakes & Tanks,Langarhouse lake,Hyderabad,0.3,7.08,1731,8,6.2,,34,540,4.5,,,,26,5,350,214,92,10,3.92,,380,84,210,41.31,170,136,#,1074,740,34,5.26,,0.5,,1.13,#,#,,,,,,,,
2341,Lakes & Tanks,Miralam tank,Hyderabad,0.3,7.28,1183,6.2,2.5,,24,350,4,,,,27,5,260,138,92,7.28,3.36,,280,54,135,35.23,145,82,#,746,470,30,3.2,,0.5,,1.09,#,#,,,,,,,,
3073,Lakes & Tanks,"Hasmathpet lake, Hasmathpet",Medchal Malkajgiri,1.8,7.08,1074,5,9.2,,33,540,6.12,,,,29,5,240,116,64,8.4,2.28,,260,56,140,29.16,120,74,#,676,440,30,4.06,,0.5,,1.2,#,#,,,,,,,,
3072,Lakes & Tanks,Safilguda lake,Medchal Malkajgiri,0.3,7.2,752,6.2,14,,21,350,4,,,,19,5,160,84,88,8.4,2.28,,170,44,110,14.58,60,56,#,466,310,26,2.96,,0.5,,1.1,#,#,,,,,,,,
3075,Lakes & Tanks,Rangadhamuni cheruvu,Medchal Malkajgiri,0.3,6.73,524,6.2,6.8,,26,540,4,,,,34,5,100,68,89,7.84,2.8,,110,26,65,10.94,45,36,#,322,220,38,3.86,,0.5,,1.02,#,#,,,,,,,,
3076,Lakes & Tanks,"Amber cheruvu, Kukatpally",Medchal Malkajgiri,1.8,7,829,5.4,7.4,,17,350,4,,,,17,5,175,92,68,8.96,3.36,,190,42,105,20.66,85,62,#,514,360,22,3.86,,0.5,,1.02,#,#,,,,,,,,
3077,Lakes & Tanks,"Kapra cheruvu, Kapra",Medchal Malkajgiri,1.2,6.77,888,3.2,3,,17,210,1.8,,,,17,5,165,71,68,5.6,2.24,,210,46,115,23.09,95,130,#,568,360,20,3.96,,0.5,,0.89,#,#,,,,,,,,
2357,Lakes & Tanks,Durgam cheruvu,RR-shamshabad,2.7,6.91,1017,3,4.9,,24,350,2,,,,14,5,180,142,49,6.72,1.68,,230,48,120,26.73,110,82,#,630,400,18,2.78,,0.5,,0.96,#,#,,,,,,,,
2344,Lakes & Tanks,Nalla cheruvu,Medchal Malkajgiri,0.3,7.07,1350,6,11.1,,39,540,6.1,,,,19,5,285,164,65,9.52,3.36,,300,66,165,32.8,135,94,#,838,540,28,3.06,,0.62,,1.13,#,#,,,,,,,,
2359,Lakes & Tanks,"Pedda Cheruvu, Nacharam",Medchal Malkajgiri,0.3,6.88,430,6,12.6,,32,430,4.5,,,,24,5,80,52,64,10,5.6,,120,26,65,13.37,55,31,#,268,180,28,4.8,,0.5,,1.2,#,#,,,,,,,,
2342,Lakes & Tanks,Noor Md. Kunta,RR-shamshabad,1.4,7.22,1706,5.8,18,,70,920,11,,,,18,5,310,228,66,14,6.16,,340,70,175,40.09,165,132,#,1058,680,32,4.86,,0.6,,1.16,#,#,,,,,,,,
3070,Lakes & Tanks,"Fox sagar, Jeedimetla",Medchal Malkajgiri,4.3,7.25,1130,3,4.9,,11,270,2,,,,28,5,235,149,48,7.28,4.48,,250,62,155,23.09,95,86,#,714,490,32,4.26,,0.5,,0.95,#,#,,,,,,,,
3074,Lakes & Tanks,Banjara Lake,Hyderabad,0.3,7.1,1042,6,4.8,,26,350,2,,,,26,5,230,115,68,8.34,3.36,,240,52,130,26.73,110,74,#,656,400,24,3.72,,0.5,,1.06,#,#,,,,,,,,
4237,Lakes & Tanks,Mundla Katwa Lake,Medchal Malkajgiri,0.3,6.92,804,6.1,3.8,,22,350,2,,,,12,5,175,96,68,10.64,2.24,,190,44,110,19.44,80,60,#,514,340,16,1.86,,0.5,,0.98,#,#,,,,,,,,
4669,Lakes & Tanks,"Pedda Cheruvu, Gangaram (V), Serilingarampally (New Mandal)",Rangareddy,0.3,6.74,1035,6.1,14,,40,540,6.8,,,,21,5,190,132,65,12.32,5.6,,210,44,110,24.3,100,87,#,642,400,28,4.26,,0.5,,1.06,#,#,,,,,,,,
4671,Lakes & Tanks,"Medi Kunta, Guttala Begumpet (V)",Rangareddy,Dried up,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
4672,Lakes & Tanks,"Medi Kunta (Wipro Lake), Nanakramguda",Rangareddy,2.2,7.47,867,4,2.9,,21,240,2,,,,17,5,185,98,56,5.6,0.56,,200,44,110,21.87,90,68,#,538,340,18,2.72,,0.5,,0.82,#,#,,,,,,,,
4673,Lakes & Tanks,Medikunta lake (BK Enclave),Rangareddy,Dried up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4674,Lakes & Tanks,"Meedi Kunta, Hafeezpet (V), Serlingampally",Rangareddy,5.6,6.96,587,2.5,1.6,,6.8,140,Less than 1.8,,,,21,5,135,64,32,4.48,0.4,,150,32,80,17.01,70,42,#,364,220,16,0.82,,0.5,,0.58,#,#,,,,,,,,
4693,Lakes & Tanks,"Patel Cheruvu, Madeenaguda, Miyapur",Medchal Malkajgiri,0.3,7.09,1151,6,4.7,,40,430,4.5,,,,26,5,270,128,61,12.88,5.6,,290,64,160,31.59,130,68,#,726,460,22,3.74,,0.5,,1.13,#,#,,,,,,,,
4677,Lakes & Tanks,"Lingam Cheruvu, Suraram (V), Quthubullapur",Medchal Malkajgiri,0.3,7.3,1029,8,13.8,,21,430,4,,,,28,5,220,127,120,11.2,2.8,,250,52,130,29.16,120,61,#,648,400,24,3.08,,0.5,,0.46,#,#,,,,,,,,
5044,Lakes & Tanks,"Sudalavani Kunta, (Sunnam Cheruvu), Allapur, Balanagar, Medchal-Malkajgiri District",Medchal Malkajgiri,0.3,7.35,1335,6.2,13,,40,430,6.8,,,,32,5,260,156,76,9.52,4.48,,280,60,150,31.59,130,115,#,814,520,28,3.2,,0.5,,1.32,#,#,,,,,,,,
5052,Lakes & Tanks,"Bakshi Kunta, Chandhanagar, Serilingampally, rangareddy Dist.",Medchal Malkajgiri,5,7.87,396,2,4.4,,11,140,2,,,,17,5,80,48,32,6.16,1.14,,105,22,55,12.15,50,28,#,254,160,22,4.06,,0.5,,1.16,#,#,,,,,,,,
5053,Lakes & Tanks,"Ramamma Kunta, Gachibowli, Rangareddy Dist (Dr. YSR Toursim College)",Medchal Malkajgiri,3,7.33,920,4,3.7,,17,350,2,,,,11,5,170,121,68,6.73,3.92,,185,40,100,20.66,85,69,#,580,380,18,3.2,,0.5,,1.06,#,#,,,,,,,,
5054,Lakes & Tanks,"Komati Kunta, Gopanpally, Serilingampally, Rangareddy Dist.",Medchal Malkajgiri,3.1,7.06,502,4.4,1.7,,11,280,2,,,,21,5,105,76,62,6.72,2.8,,135,30,75,14.58,60,48,#,306,200,12,2.52,,0.5,,1.02,#,#,,,,,,,,
5055,Lakes & Tanks,"Chinna Pedda Cheruvu, Gopanpally, Serilingampally, Rangareddy Dist.",Medchal Malkajgiri,0.3,6.97,695,6,3.4,,17,350,2,,,,12,5,140,87,64,10.09,4.48,,150,36,90,14.58,60,58,#,436,280,16,3.74,,0.5,,1,#,#,,,,,,,,
5056,Lakes & Tanks,"Nayanamma Kunta, (Basupalli Cheruvu), Haffezpet, Serilingalpally, rangareddy Dist.",Medchal Malkajgiri,0.3,6.93,955,10,2.1,,33,350,4,,,,28,5,180,126,164,7.29,2.24,,190,46,115,18.22,75,74,#,592,380,32,4.38,,0.5,,1.12,#,#,,,,,,,,
5057,Lakes & Tanks,"Kudi Kunta, (Gaothami Lake), Kondapur, Serilingampally, Rangareddy Dist.",Medchal Malkajgiri,0.3,7.03,1324,6,5.3,,27,430,4.5,,,,35,5,260,168,63,11.2,5.6,,280,70,175,25.52,105,104,#,848,540,38,2.86,,0.5,,1.12,#,#,,,,,,,,
5058,Lakes & Tanks,"Regula Kunta, Miyapur, Serilingampally, Rangareddy Dist.",Medchal Malkajgiri,0.3,7.55,1028,6,2.1,,33,350,4,,,,20,5,210,121,72,11.76,4.48,,230,52,130,24.3,100,79,#,658,440,26,3.86,,0.5,,1.06,#,#,,,,,,,,
5059,Lakes & Tanks,"Gopi Cheruvu, Lingampally, Serilingampally, Rangareddy Dist.",Medchal Malkajgiri,3.8,6.97,995,4,3.9,,21,350,4,,,,28,5,190,121,44,8.4,3.36,,210,50,125,20.66,85,86,#,606,400,18,3.02,,0.5,,1.04,#,#,,,,,,,,
5060,Lakes & Tanks,"Chakaalavani Cheruvu, Lingampally, Serilingampally, rangareddy Dist.",Medchal Malkajgiri,0.3,7.14,1241,6.1,4.7,,17,350,2,,,,26,5,210,174,62,8.4,2.8,,290,54,135,37.66,155,102,#,768,480,22,3.42,,0.5,,0.87,#,#,,,,,,,,
5061,Lakes & Tanks,"Peddakudi Cheruvu, Maqta Mahaboobpet,Serilingampally, rangareddy Dist.",Medchal Malkajgiri,0.3,7,1003,6,3.9,,21,540,6.1,,,,20,5,195,124,64,11.2,4.48,,205,46,115,21.87,90,77,#,632,400,28,3.16,,0.5,,1.22,#,#,,,,,,,,
5062,Lakes & Tanks,"Gurunath Cheruvu, Miyapur, Serilingampally, rangareddy Dist.",Medchal Malkajgiri,1.3,6.91,909,5.8,3.3,,32,430,6.8,,,,29,5,170,91,61,10.08,3.92,,195,48,120,18.22,75,121,#,582,360,30,3.2,,0.5,,1.02,#,#,,,,,,,,
5063,Lakes & Tanks,"Nanakram Kunta, Nanakraamguda,",Medchal Malkajgiri,3,7.14,550,3,2.5,,17,350,2,,,,20,5,100,78,56,6.72,3.36,,110,26,65,10.94,45,48,#,352,240,26,2.86,,0.5,,0.68,#,#,,,,,,,,
5114,Lakes & Tanks,"Shanthisarovor Pond, Gachibowli, Serilingmapally",Rangareddy ,4.4,6.98,839,1.2,1.4,,Less than 1.8,34,Less than 1.8,,,,5,5,165,112,20,1.5,0.4,,185,40,100,20.66,85,66,#,520,340,10,0.96,,0.5,,0.96,#,#,,,,,,,,
5115,Lakes & Tanks,"Raja Mohammad Kunta, Haffezpet, Serilingampally (M),",Rangareddy ,0.3,6.9,1417,6,3.3,,49,430,6.1,,,,29,5,260,186,53,12.32,4.48,,275,70,175,24.3,100,122,#,892,540,32,4.06,,0.5,,1.22,#,#,,,,,,,,
5116,Lakes & Tanks,"Kotha Cheruvu (Novotel Lake), Khanamet, Serilingampally",Rangareddy ,2,7.01,1227,4,14.4,,32,430,4,,,,16,5,270,132,42,8.1,3.36,,285,58,145,34.02,140,87,#,786,520,16,2.92,,0.5,,1.04,#,#,,,,,,,,
5118,Lakes & Tanks,"Kotha Kunta, Haffezpet, Serilingampally (M)",Rangareddy ,2.2,6.77,491,2.4,2.41,,11,210,2,,,,14,5,100,58,46,5.6,2.28,,110,26,65,10.94,45,39,#,310,200,18,3.1,,0.5,,0.59,#,#,,,,,,,,
5119,Lakes & Tanks,"Kaidam Kunta, Hafeezpet, Serilingampally (M)",Rangareddy ,0.3,6.97,1225,6,4.9,,40,540,6.8,,,,26,5,250,154,65,14,5.6,,270,66,165,25.52,105,92,#,772,540,28,2.72,,0.5,,1.28,#,#,,,,,,,,
5120,Lakes & Tanks,"Thammidi Kunta, Khanamet, Serilingampally",Rangareddy ,1,7.07,1086,4,8.4,,33,540,4.5,,,,24,5,230,126,54,12.32,4.48,,260,56,140,29.16,120,76,#,684,660,30,2.68,,0.5,,1.13,#,#,,,,,,,,
5124,Lakes & Tanks,TCS Synergy Park Lake,Rangareddy,5.9,7.36,702,2.8,1.4,,Less than 1.8,49,Less than 1.8,,,,7,5,160,80,38,1.5,0.4,,170,40,100,17.01,95,57,#,442,280,10,2.73,,0.5,,0.96,#,#,,,,,,,,
5125,Lakes & Tanks,"Mondi Kunta, Khanamet, Serilingmampally",Rangareddy,1,6.73,1463,4,11.6,,26,430,4,,,,27,5,305,184,58,14,5.6,,330,64,160,41.31,170,102,#,936,600,32,2.72,,0.5,,1.12,#,#,,,,,,,,
5131,Lakes & Tanks,"Yellamma Cheruvu, Manikonda, Rajenderanagar",Rangareddy ,0.3,6.78,1142,6,10.5,,40,540,6.38,,,,28,5,260,134,58,14,5.6,,280,52,130,36.45,150,82,#,720,480,34,3.06,,0.5,,1.02,#,#,,,,,,,,
3086,Lakes & Tanks,Saki Tank,Sangareddy,6.3,7.69,986,3.9,35,0.12,5.6,39,3.7,,,,4.3,20,195,135,40,5,BDL,BDL,285,74,185,24,100,45,63,591.6,420.04,8,,0.12,BDL,7.8,0.24,31.9,1.63,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
4684,Lakes & Tanks,Campus Lake Icrisat,Sangareddy,6.4,6.95,905,3.3,32,0.09,6.1,94,3.6,,,,5.2,18,190,180,36,6,BDL,BDL,330,84,210,29,120,38,59,556,394.76,8,,0.07,BDL,3,0.31,27.89,1.42,BDL,BDL,BDL,BDL,BDL,BDL,BDL,0.13
4685,Lakes & Tanks,Surisigal Lake Icrisat,Sangareddy,6.6,7.05,1086,3.2,33,0.07,6.8,94,4,,,,4.2,22,230,165,40,6,BDL,BDL,455,96,240,52,215,64,45,651.6,462.64,10,,0.09,BDL,8,0.24,17.47,0.92,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
4686,Lakes & Tanks,Icrisat Lake,Sangareddy,7.2,7.75,1158,3.4,35,0.16,6,84,4.5,,,,4.3,18,250,220,38,5,BDL,BDL,439.61,110,275,40,165,40,82,694.8,493.31,8,,0.15,BDL,11.5,0.22,28.27,1.7,BDL,BDL,BDL,BDL,BDL,BDL,BDL,0.13
4687,Lakes & Tanks,Red Lake Icrisat,Sangareddy,7,7.45,1015,3.8,37,0.11,7.8,110,5.6,,,,5.2,20,220,210,40,7,BDL,BDL,490,100,285,40,205,54,79,702,498.42,12,,0.2,BDL,4.5,0.4,29.1,1.69,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
1788,Lakes & Tanks,Saroornagar Lake / Large Tank,RR-shamshabad,0.3,7.14,1158,6,8.96,,21,350,4,,,,28,5,230,136,84,7.29,3.36,,250,52,130,29.16,120,98,#,730,460,28,4.02,,0.52,,1.04,#,#,,,,,,,,
2343,Lakes & Tanks,Premajipet tank,RR-shamshabad,0.3,7.16,1969,6,14.2,,49,540,6.8,,,,21,5,340,289,72,2.32,5.6,,375,78,195,43.74,180,154,#,1220,800,26,5.2,,0.58,,1.12,#,#,,,,,,,,
4670,Lakes & Tanks,"Bairamalaguda Cheruvu / Maddela Kunta, Medchal-Malkajigiri District.",Rangareddy,0.3,6.85,1186,8,4.9,,34,430,4.5,,,,19,5,260,140,91,8.4,2.24,,270,62,155,27.95,115,94,#,760,480,24,3.04,,0.5,,0.75,#,#,,,,,,,,
4678,Lakes & Tanks,"Patel Cheruvu, Nacharam, Medchal-Malkajigiri District.",Rangareddy,0.3,7.09,1182,6,18.6,,17,350,2,,,,24,5,230,127,76,10.6,2.8,,275,76,190,20.66,85,183,#,732,460,20,2.46,,0.5,,1.12,#,#,,,,,,,,
4679,Lakes & Tanks,HUDA Park Lake,Rangareddy,2.3,7.17,1973,4,10.2,,49,540,4.5,,,,19,5,370,264,56,14,6.16,,420,104,260,38.88,160,146,#,1242,800,24,4.96,,0.5,,1.16,#,#,,,,,,,,
4691,Lakes & Tanks,"Nagole Cheruvu, Uppal Malkajigiri District.",RR-shamshabad,1.8,7.26,1092,4,14,,27,430,4,,,,15,5,200,108,56,11.2,3.92,,220,46,115,25.52,105,172,#,698,440,14,3.06,,0.5,,1.12,#,#,,,,,,,,
4692,Lakes & Tanks,"Ramanthapur Pedda Cheruvu, Medchal-Malkajigiri District.",Medchal Malkajgiri,1,7.11,927,4.6,5.6,,21,280,2,,,,21,5,185,126,60,8.4,1.16,,200,36,90,26.73,110,78,#,574,380,16,2.32,,0.5,,0.2,#,#,,,,,,,,
4699,Lakes & Tanks,"Kaprai Cheruvu, RamanthpurMedchal-Malkajigiri District.",RR-shamshabad,3.2,7.03,564,2,2.4,,11,170,Less than 1.8,,,,15,5,120,68,36,5.6,0.56,,130,24,60,17.01,70,47,#,360,220,12,2.86,,0.5,,0.65,#,#,,,,,,,,
4702,Lakes & Tanks,"Pedda Cheruvu - Khaja guda, Khajaguda (V), Serlingampally (new mandal)",Rangareddy,Nil,7.14,1818,68,36,,1.8,350,,,,,,,,,304,64,40,,328,80,200,128,31,142,208,1085,768,101,,,0.82,26,0.37,56,5,,,,,,,,
4703,Lakes & Tanks,"Bulbul kunta, Lakshmiguda, rajendranagar",Rangareddy,No access due to heavy grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4704,Lakes & Tanks,"Pedda Cheruvu, Mansoorabad, Saroornagar, Rangareddy District.",Rangareddy,1.4,7.18,597,3.8,4.89,,14,350,2,,,,14,5,110,66,28,6.4,2.8,,135,28,70,15.79,65,68,#,370,240,12,2.08,,0.5,,1.06,#,#,,,,,,,,
5040,Lakes & Tanks,"Bandlaguda Cheruvu, Bandlaguda, Uppal, Medchal Dist.",Medchal Malkajgiri,0.3,7.04,1208,10,10.6,,26,430,4.5,,,,25,5,225,127,136,13.44,5.6,,240,56,140,24.3,100,194,#,760,460,22,3.42,,0.5,,0.88,#,#,,,,,,,,
5041,Lakes & Tanks,"Pathulguda, Uppal, Medchal Dist.",Medchal Malkajgiri,0.3,7.24,1092,8,11.4,,22,350,2,,,,22,5,200,154,116,12.32,4.48,,220,50,125,23.09,140,88,#,688,420,18,3.12,,0.5,,1.04,#,#,,,,,,,,
5113,Lakes & Tanks,"Chinna Cheruvu, Ramanthapur Bagat, Uppal",Medchal Malkajgiri,1,7.24,883,5.8,6.2,,17,350,2,,,,18,5,160,127,80,9.52,2.8,,170,36,90,19.44,80,86,#,556,360,12,2.24,,0.5,,1.09,#,#,,,,,,,,
5117,Lakes & Tanks,"Masjid Banda Lake, Kondapur, Serlingampally",Rangareddy ,Not collected due to Enroachment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5121,Lakes & Tanks,"Pale Cheruvu, Kattedan",Rangareddy,0.3,7.31,1383,6,9.8,,17,350,2,,,,28,5,275,172,67,11.5,5.6,,285,56,140,35.23,145,106,#,886,560,18,4.08,,0.5,,1.14,#,#,,,,,,,,
5126,Lakes & Tanks,"Bathula Cheruvu, Amangal, Hayathnagar",Rangareddy,4.8,7.08,600,1,10.6,,13,210,2,,,,16,5,130,68,16,5.6,1.12,,140,30,75,15.79,65,42,#,378,240,14,2.72,,0.5,,0.89,#,#,,,,,,,,
5127,Lakes & Tanks,"Kummari Kunta, Amangal, Hayathnagar",Rangareddy,3.7,6.98,870,4,4.7,,21,350,2,,,,25,5,180,118,54,6.72,2.24,,195,42,105,21.87,90,63,#,548,340,20,3.02,,0.5,,0.79,#,#,,,,,,,,
5128,Lakes & Tanks,Palle cheruvu,Rangareddy,not submitted by RO-HYD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5129,Lakes & Tanks,"Erra Kunta, Laxmiguda, Rajenderanagar",Rangareddy,0.3,6.84,1379,10,14,,49,540,4.5,,,,24,5,250,184,114,11.2,5.04,,270,58,145,30.38,125,96,#,868,540,28,4.86,,0.5,,1.22,#,#,,,,,,,,
5130,Lakes & Tanks,"Pathikunta, Budwel, Rajendranagar",Rangareddy,3,7.43,718,2,13.7,,17,350,2,,,,17,5,140,88,55,7.28,3.36,,150,30,75,18.22,75,52,#,434,280,16,4.62,,0.5,,0.86,#,#,,,,,,,,
5132,Lakes & Tanks,"Malkam Cheruvu, Raidurgam, Serilingampally",Rangareddy ,1.5,7.09,1095,52,11,,2,430,,,,,,,,,216,22,14,,240,69,172,17,68,116,101,603,428,52,,,0.51,,0.65,45,2.8,,,,,,,,
5498,Lakes & Tanks,"Suleman cheruvu ,kattedam(v),Ragendra nagar(m)Rangareddy dist",Medchal Malkajgiri,0.3,6.92,1442,6.1,13.8,,33,540,6,,,,22,5,265,225,66,12.8,5.04,,290,76,190,24.3,100,94,#,910,580,21,4.77,,0.5,,0.86,#,#,,,,,,,,
4668,Lakes & Tanks,"Chinnarayan Cheruvu, Alwal (V)",Medchal Malkajgiri,0.3,7.34,1380,6.2,12.1,,26,430,4,,,,26,5,300,158,72,1.64,2.8,,320,80,200,29.16,200,96,#,862,590,24,3.96,,0.5,,0.9,#,#,,,,,,,,
4676,Lakes & Tanks,"Banda Cheruvu, Malkajigiri (V),Malkajigiri (new mandal)",Medchal Malkajgiri,0.3,7.3,1237,6.1,14,,32,540,6.1,,,,25,5,290,136,60,12.8,3.37,,310,64,160,36.45,150,70,#,792,480,28,3.62,,0.5,,0.87,#,#,,,,,,,,
4701,Lakes & Tanks,"Lingam kunta lake Chandanagar,Serilingampally, Rangareddy (Dist)",Rangareddy,0.3,7.59,1029,6,9.1,,49,430,6.1,,,,16,5,210,126,62,13.4,3.92,,240,54,135,25.52,105,78,#,658,440,24,3.52,,0.5,,1.2,#,#,,,,,,,,
4695,Lakes & Tanks,"Khaja Kunta, Kukatpally (V)",Medchal Malkajgiri,not collected due to the lake is under maintaince,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4696,Lakes & Tanks,"Parki Cheruvu, Kukatpally (V), Balanagar",Medchal Malkajgiri,0.3,6.98,1156,8,6.6,,17,350,2,,,,20,5,260,132,92,8.4,2.24,,280,64,160,29.16,120,78,#,728,460,22,3.42,,0.5,,0.8,#,#,,,,,,,,
4697,Lakes & Tanks,"Mukkidi Cheruvu (Ramakrishnapuram Lake), Malkajigri",Medchal Malkajgiri,dried ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4698,Lakes & Tanks,"Mannevari Kunta, Machabollaram (V), Alwal",Medchal Malkajgiri,2.3,7.23,1334,4.4,1.8,,49,540,6.1,,,,21,5,370,159,56,11.76,2.8,,405,82,205,48.6,200,32,#,854,540,26,3.96,,0.5,,0.64,#,#,,,,,,,,
4705,Lakes & Tanks,"Kotha Cheruvu (Alwal Cheruvu), Alwal (V),",Medchal Malkajgiri,5,7.35,1616,2,3,,40,540,4.54,,,,26,5,455,179,52,12.88,3.92,,460,92,230,55.89,230,77,#,1034,640,20,4.82,,0.5,,0.58,#,#,,,,,,,,
