Station code,water_bodies,Station name,District,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia-N (mg/L),Free Ammonia  (mg/L),Total Hardness as CaCO3 (mg/L),Calcium Carbonate as CaCO3,Calcium as Ca+2(mg/L),Magnesium Carbonate as CaCO3,Magnesium as Mg+2(mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),% Sodium,SAR
2360,River Godavari,River Godavari at Basara,Nirmal,6.3,7.32,837,1.8,5,0.05,6,25,3.6,,,,8,28,184,108,16,2.8,0.4,0.01,294.92,155,62,139.92,34,23,29,468.72,333,9,,0.09,BDL,5,0.17,17.22,0.73
5105,River Godavari,"River Godavari Pushkar Ghat, Mancherial",Mancherial,5.9,7.78,822,2.2,4,0.06,8.3,48,6,,,,6,36,192,114,24,4.5,0.4,0.01,313.15,165,66,148.15,36,27,30,460.32,325,8,,0.11,BDL,5,0.19,16.87,0.73
4255,River Godavari,Ali sagar Reservoir,Nizamabad,5.8,7.48,584,1.6,3,0.09,6.1,26,4,,,,7,24,140,60,15,2.8,0.4,0.01,195.53,105,42,90.53,22,14,24,327.04,236,13,,0.13,BDL,4,0.18,20.54,0.74
4227,River Godavari,"Pochara Water Falls, Adilabad",Adilabad,6.1,7.69,814,2,4,0.07,5.5,27,3.7,,,,6,32,156,92,19,3.4,0.4,0.01,245.23,130,52,115.23,28,18,25,455.84,321,11,,0.07,BDL,5,0.22,17.68,0.69
2361,River Godavari,"River Godavari at mancherial, Near Rail Way Bridge B/C of Rallavagu",Mancherial,6.6,8.14,651,2,3,0.02,,,,,,,5.8,24,152,76,12,,0.56,0.01,187.0,80,32,107.0,26,42,62,384,271,15,,0.02,,5,1.39,40.9,1.96
0013,River Godavari,River Godavari at Mancherial,Mancherial,6.9,7.83,650,1,4,0.02,,,,,,,11,24,164,71,12,,0.4,0.01,201.69,70,28,131.69,32,70,84,379,210,22,,0.34,,6,1.26,46.39,2.56
3054,River Godavari,"Outlet of ash pond effluents of M/s.NTPC, Ramagundam",Peddapalli,5.7,8.03,1159,3,3,0.02,,,,,,,7,28,228,137,19,,1.1,0.06,321.15,280,112,41.15,10,54,84,687,228,23,,0.38,,17,0.62,34.71,2.04
2362,River Godavari,D/s of River Godavari at Ramagundam near FCI intake well,Peddapalli,6.3,8.45,638,1,4,0.02,,,,,,,16,16,156,59,9,,1.1,0.16,199.34,80,32,119.34,29,53,61,381,318,46,,0.12,,5,1.34,39.02,1.87
2363,River Godavari,River Godavari at Godavarikhani near bathing ghat,Peddapalli,6.1,8.29,640,2,4,0.02,,,,,,,14,24,164,66,12,,1.7,0.17,193.77,95,38,98.77,24,51,61,392,202,27,,0.28,,5,1.26,39.7,1.9
2364,River Godavari,River Godavari at Ramagundam upstream near dam,Peddapalli,6.8,8.22,654,2,3,0.02,,,,,,,11,16,156,64,12,,1.1,0.1,183.19,105,42,78.19,19,39,61,393,224,28,,0.26,,5,1.34,41.03,1.95
2356,River Godavari,River Godavari d/s of Ramagundam at Manthani,Peddapalli,6.1,8.05,586,2,4,0.02,,,,,,,8,24,168,59,16,,2.2,0.14,188.77,90,36,98.77,24,31,56,364,204,24,,0.45,,5,1.1,38.26,1.77
4662,River Godavari,River godavari Kaleshwaram,Jayashankar Bhoopalpalli,6.5,8.08,481,1.8,2.19,0.02,,,,,,,9.6,28,168,44,12,,0.4,0.01,155,70,28,85,20.66,23,25,285,191,10,,0.04,,4.06,1.18,25.21,0.87
2365,River Godavari,"U/s of River Godavari at Kamalapur (V) at M/s.AP Rayons Ltd., intake well",Mulugu,6.7,7.97,387,1.9,2.2,0.02,,,,,,,9.6,36,124,20,4,,0.4,0.01,120,70,32,50,12.15,19,15,223,157,16,,0.07,,3.53,1.3,19.44,0.57
2366,River Godavari,"D/s of River Godavari at Kamalapur (V) at M/s.AP Rayons Ltd., discharge point",Mulugu,6.8,8.01,388,1.2,1.94,0.02,,,,,,,7.9,28,121,37,8,,0.56,0.03,115,75,34,40,9.72,19,17,229,153,10,,BDL,,3.74,1.58,22.1,0.66
2367,River Godavari,U/s of river Godavari at Bhadrachalam bathing ghat,Bhadradri Kothagudem ,6.4,8.19,429,1,2,0.02,,,,,,,8.4,32,160,120,10,,2.26,0.09,125,70,30,55,13.37,25,39,251,112,10,,0.11,,3.4,1.5,38.57,1.48
2368,River Godavari,D/s of river Godavari at Bhadrachalam bathing ghat,Bhadradri Kothagudem ,5.9,8.09,436,1,3,0.02,,,,,,,20.1,28,164,126,8,,0.56,0.15,170.53,80,32,90.53,22,31,41,295,105,39,,BDL,,3.6,1.5,33.58,1.36
2369,River Godavari,River Godavari at Burgampahad,Bhadradri Kothagudem ,6,7.33,528,1,8,0.02,,,,,,,17.8,23,184,136,5,,1.12,0.02,180.53,90,36,90.53,22,27,66,413,248,12,,0.19,,4.75,1.35,43.32,2.13
4256,River Maneru / Manair,"Lower Maneru Dam, Karimnagar",Karimnagar,5.6,7.95,416,2,4,0.02,,,,,,,8,24,152,39,8,,2.2,0.11,148.19,70,28,78.19,19,18,36,240,163,32,,0.45,,4,1.2,33.65,1.28
4257,River Maneru / Manair,"Maneru river D/S of municipal dump site, Karimnagar",Karimnagar,2.8,7.28,1152,2,8.1,0.03,,,,,,,17,24,394,146,40,,0.56,0.01,305,155,62,150,36,37,73,652,307,165,,3.2,,9,0.8,33.39,1.82
4664,River Maneru / Manair,River Maneru at Ghattepalli (V) near Sulthanabad,Karimnagar,5,7.75,899,4,5,0.01,,,,,,,6,44,272,113,24,,2.2,0.07,254.34,135,54,119.34,29,46,87,512,298,17,,0.9,,8,0.56,41.55,2.36
