Station code,water_bodies,Station name,District,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia-N (mg/L),Free Ammonia  (mg/L),Total Hardness as CaCO3 (mg/L),Calcium Carbonate as CaCO3,Calcium as Ca+2(mg/L),Magnesium Carbonate as CaCO3,Magnesium as Mg+2(mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),% Sodium,SAR,Arsenic,Cadmium,Copper,Lead,Total Chromium,Nickel,Zinc,Iron
2345,Lakes & Tanks ,Sai Cheruvu,Warangal Urban,2.3,8.26,2203,2.2,3.86,,Less than 1.8,430,Less than 1.8,N.A,N.A,N.A,5.8,10,310,460,37,3.36,1.32,0.14,502,316,126.4,186,45.2,242,,1366,,18,0.46,,0.5,,1.02,,,,,,,,,,
4222,Lakes & Tanks ,"Koneru, Kondagattu temple, Jagitiyal",Jagityal,Dried up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4223,Lakes & Tanks ,"Vemulawada temple Koneru , Karimnagar",Siricilla,Dried up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4228,Lakes & Tanks ,"Pedda Cheruvu/Ibrahim Cheruvu, Rajendra Nagar",RR-shamshabad,3.4,7.32,899,3,4.2,,8.2,430,2,N.A,N.A,N.A,5.8,5,205,98,38,3.36,0.4,0.01,215,135,54,80,19.44,58,,558,,16,2.8,,0.5,,1.1,,,,,,,,,,
4230,Lakes & Tanks ,Kistaipally Cheruvu,Sangareddy,5.8,7.66,2672,9,12,0.22,5.6,79,6,,,,24,32,612,517,92,15,0.4,0.01,960,550,220,410,100,150,122,1736.8,1233.13,18,,0.16,0.5,30,0.37,20.88,1.36,BDL,BDL,BDL,BDL,BDL,BDL,BDL,0.13
4231,Lakes & Tanks ,"Rayam Cheruvu,",Sangareddy,5.4,8.34,1310,6,6,0.21,4.5,63,4.5,,,,20,24,288,157,60,10,0.4,0.01,330,200,80,130,29,40,40,851.5,604.56,15,,0.14,0.5,8,0.36,20.8,0.76,BDL,BDL,BDL,BDL,BDL,BDL,BDL,0.19
4232,Lakes & Tanks ,"Komati Cheruvu,",Siddipet,5.9,8.1,673,3,7,0.09,2,49,2,,,,25,20,196,89,30,10,0.4,0.01,215,155,62,60,15,20,10,437.45,310.59,10,,0.12,0.5,4,0.39,8.9,0.23,BDL,BDL,BDL,BDL,BDL,BDL,BDL,0.06
4235,Lakes & Tanks ,Lake Kamuni ( Shamshabad Lake),RR-shamshabad,2,7.4,1088,4,3.6,,11,430,2,N.A,N.A,N.A,7.5,5,220,169,40,5.6,1.86,0.03,255,150,60,105,25.52,104,,652,,16,2.26,,0.5,,0.96,,,,,,,,,,
4233,Lakes & Tanks ,"Gaddapotharam cheruvu,",Sangareddy,5.6,7.18,2549,12,12,0.27,5.5,63,6,,,,20,40,525,359,120,17,0.4,0.01,760,450,180,310,75,106,55,1656.85,1176.36,26,,0.24,0.5,14,0.41,13.29,0.69,BDL,BDL,BDL,BDL,BDL,BDL,BDL,0.18
4238,Lakes & Tanks ,"Ameenpur Cheruvu,",Sangareddy,5.3,8.51,1332,7,11,0.21,4.5,63,5.6,,,,7,24,180,251,72,18,0.4,0.01,430,245,98,185,45,90,32,865.8,614.72,17,,0.2,0.5,10,0.52,13.51,0.53,BDL,BDL,BDL,BDL,BDL,BDL,BDL,0.04
4239,Lakes & Tanks ,"Mahaboobsagar Tank,",Sangareddy,5.7,7.86,887,4,5,0.14,4,84,6,,,,9,12,240,143,44,8,0.4,0.01,285,185,74,100,24,20,28,576.55,409.35,10,,0.13,0.5,5,0.43,17.28,0.56,BDL,BDL,BDL,BDL,BDL,BDL,BDL,0.08
4244,Lakes & Tanks ,"Erdanoor Tank,",Sangareddy,5.9,8.5,1438,3,7,0.11,3.7,43,4,,,,8,16,230,216,30,10,0.4,0.01,410,205,82,205,50,52,29,934.7,663.64,10,,0.17,0.5,8,0.4,12.96,0.51,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
4245,Lakes & Tanks ,"Mallepally Tank,",Sangareddy,5.7,8.53,1452,5,4,0.03,1.8,21,1.8,,,,12,12,280,187,46,8,0.4,0.01,465,300,120,165,40,99,26,943.8,670.1,10,,0.1,0.5,8,0.3,10.6,0.41,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
4247,Lakes & Tanks ,"Mucharla Nagaram cheruvu, Warangal",Warangal Urban,4,8.26,503,3.8,1.2,,4,280,3.6,N.A,N.A,N.A,5.8,10,100,62,68,2.24,0.4,0.04,200,110,44,90,21.87,35,,302,,16,0.2,,0.5,,0.56,,,,,,,,,,
4248,Lakes & Tanks ,"Koti Cheruvu, Hanamkonda, Warangal",Warangal Urban,3.8,8.14,889,2.8,2.72,,9.2,540,1.8,N.A,N.A,N.A,6.2,5,185,123,32,1.5,0.4,0.04,240,155,62,85,20.66,73,,560,,14,1.35,,0.5,,0.68,,,,,,,,,,
4229,Lakes & Tanks ,Neknampur Lake,RR-shamshabad,0.3,7.57,1167,6,4.4,,10,540,3.7,N.A,N.A,N.A,9.2,5,240,145,46,5.6,1.54,0.04,245,155,62,90,21.87,90,,712,,16,2.42,,0.5,,0.99,,,,,,,,,,
4249,Lakes & Tanks ,"Rangasamudram, Warangal",Warangal Urban,4.9,8.59,571,2,1.26,,11,430,1.8,N.A,N.A,N.A,5.8,20,120,69,21,1.5,0.4,0.08,185,135,54,50,12.15,41,,348,,10,0.14,,0.5,,0.68,,,,,,,,,,
4661,Lakes & Tanks ,Peddakanjarla Tank,Sangareddy,6.2,8.49,317,3,5,0.04,Less than 1.8,17,Less than 1.8,,,,8,8,110,59,28,10,0.4,0.01,140,90,36,50,12,10,8,206.05,146.3,10,,BDL,0.5,2,0.2,10.87,0.23,BDL,BDL,BDL,BDL,BDL,BDL,BDL,0.04
4666,Lakes & Tanks ,Ismailkhanpet Tank,Sangareddy,6,8.32,716,5,3,0.02,1.8,21,1.8,,,,7,12,130,98,52,5,0.4,0.01,205,195,40,80,19,34,12,465.4,330.43,10,,BDl,0.5,2,0.3,12.55,0.31,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
4670,Lakes & Tanks ,"Bairamalaguda Cheruvu, Medchal-Malkajigiri District.",Rangareddy,0.3,7.29,1076,8,4.8,,14,430,4,N.A,N.A,N.A,12.2,5,245,120,96,5.6,1.52,0.02,262,166,66.4,96,23.33,58,,668,,22,3.1,,0.5,,0.82,,,,,,,,,,
4675,Lakes & Tanks ,"Lotus pond, Hakimpet (V), Shaik pet (new mandal)",Hyderabad,3.6,8.42,653,1.5,1.4,,8.3,350,3.6,N.A,N.A,N.A,6.6,10,130,82,19,2.24,0.4,0.04,240,135,54,105,25.52,46,,398,,10,0.1,,0.5,,0.56,,,,,,,,,,
4680,Lakes & Tanks ,Laknavaram lake,Mulugu,6.5,8.45,135,1,0.38,,Less than 1.8,34,Less than 1.8,N.A,N.A,N.A,9.2,15,35,12,5,1.5,0.4,0.07,30,18,7.2,12,2.92,6,,78,,10,0.58,,0.5,,0.46,,,,,,,,,,
