Station code,water_bodies,Station name,District,RO,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia  (mg/L),Free Ammonia  (mg/L),Hardness (mg/L),Calcium (mg/L),Magnesium (mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR
2360,River Godavari,River Godavari at Basara,Nirmal,Nizamabad,6.4,7.38,655,2.1,4,0.1,4,22,3.6,,,,8,8,132,98,14,5,0.1,Less than 0.01,230,46,28,8,23,374,285,7,,0.1,0.1,3,0.1,17.51,0.66
4255,River Godavari,Ali sagar Reservoir,Nizamabad,Nizamabad,6.2,7.28,446,2.1,5,0.1,5.7,20,4,,,,6,12,96,68,12,5,0.1,Less than 0.01,160,32,20,6,15,254,194,9,,0.1,0.1,5,0.1,16.11,0.51
4227,River Godavari,"Pochara Water Falls, Adilabad",Adilabad,Nizamabad,6.1,6.83,589,2.1,7,0.12,3.4,21,2,,,,7,12,128,92,16,5,0.1,Less than 0.01,216,44,26,8,23,338,250,5,,0.1,0.1,4,0.1,18.28,0.68
2361,River Godavari,"River Godavari at mancherial, Near Rail Way Bridge B/C of Rallavagu",Mancherial,Ramagundam,5.6,7.74,355,2.1,0.86,,Less than 1.8,43,Less than 1.8,,,,7.6,5,98,48,10,5,0.1,Less than 0.01,134,37,10,18,28,221,,9,0.1,,0.1,2,0.1,30.8,1.05
13,River Godavari,River Godavari at Mancherial,Mancherial,Ramagundam,6.2,7.96,362,2.1,0.42,,Less than 1.8,40,Less than 1.8,,,,6.6,5,104,38,10,5,0.1,Less than 0.01,118,28,11.66,22,28,214,,10,0.1,,0.1,1.4,0.1,33.58,1.12
3054,River Godavari,"Outlet of ash pond effluents of M/s.NTPC, Ramagundam",Peddapalli,Ramagundam,3.8,10.53,1370,3,0.6,,Less than 1.8,94,Less than 1.8,,,,5,35,295,160,38,5,0.1,Less than 0.01,306,72,30.62,110,148,820,,8,0.12,,0.1,4.66,0.1,50.64,3.67
2362,River Godavari,D/s of River Godavari at Ramagundam near FCI intake well,Peddapalli,Ramagundam,5.9,7.97,367,2.1,0.32,,Less than 1.8,34,Less than 1.8,,,,7.4,5,112,42,10,5,0.1,Less than 0.01,125,35,9,18,34,204,,11,0.1,,0.1,1.8,0.1,36.73,1.32
2363,River Godavari,River Godavari at Godavarikhani near bathing ghat,Peddapalli,Ramagundam,5.6,7.61,368,2.1,0.46,,Less than 1.8,38,Less than 1.8,,,,6.8,5,114,33,10,5,0.1,Less than 0.01,104,32.8,5.35,21,30,205,,12,0.1,,0.1,2,0.1,37.9,1.28
2364,River Godavari,River Godavari at Ramagundam upstream near dam,Peddapalli,Ramagundam,5.5,7.95,380,2.1,0.22,,Less than 1.8,38,Less than 1.8,,,,9,5,110,35,10,5,0.1,Less than 0.01,134,36.8,10,24,34,230,,9,0.1,,0.1,2,0.1,35.17,1.28
2356,River Godavari,River Godavari d/s of Ramagundam at Manthani,Peddapalli,Ramagundam,5.6,7.76,486,2.1,0.28,,Less than 1.8,40,Less than 1.8,,,,6.4,5,112,40,10,5,0.1,Less than 0.01,132,38.4,9,26,41,274,,11,0.1,,0.1,2,0.1,39.58,1.54
4662,River Godavari,River godavari Kaleshwaram,Jayashankar Bhoopalpalli,Warangal,5.8,8.42,364,2.1,0.38,,4,120,2,,,,5,15,100,38,12,5,0.1,Less than 0.01,105,24.8,10.45,18,30,204,,9,0.1,,0.1,1.4,0.28,37.8,1.27
2365,River Godavari,"U/s of River Godavari at Kamalapur (V) at M/s.AP Rayons Ltd., intake well",Mulugu,Warangal,5.8,7.94,311,2.1,0.16,,Less than 1.8,34,Less than 1.8,,,,10.6,5,94,24,10,5,0.1,Less than 0.01,90,32,5,13,30,190,,21,0.1,,0.1,1.2,0.1,38.92,1.3
