Station code,water_bodies,Station name,District,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia-N (mg/L),Free Ammonia  (mg/L),Total Hardness as CaCO3 (mg/L),Calcium Carbonate as CaCO3,Calcium as Ca+2(mg/L),Magnesium Carbonate as CaCO3,Magnesium as Mg+2(mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),% Sodium,SAR
2360,River Godavari,River Godavari at Basara,Nirmal,6.5,7.5,703,1.5,2,0.06,6.1,21,3.6,,,,7,12,116,74,14,2.8,0.4,0.01,188,100,40,90,22,14,19,398,239.2,10,,0.05,0.5,4,0.12,17.46,0.6
5105,River Godavari,"River Godavari Pushkar Ghat, Mancherial",Mancherial,6.1,7.47,823,2,4,0.04,7.8,39,4,,,,9,24,132,108,18,3.36,0.4,0.01,252,130,52,123,30,17,21,470,286.7,8,,0.08,0.5,5,0.16,14.97,0.57
4255,River Godavari,Ali sagar Reservoir,Nizamabad,6.2,7.52,495,1.4,2,0.05,5.5,27,2,,,,6,8,112,58,12,2.24,0.4,0.01,172,90,36,82,20,15,15,278,172.36,13,,0.12,0.5,5,0.18,15.46,0.5
4227,River Godavari,"Pochara Water Falls, Adilabad",Adilabad,6,7.33,1084,1.8,2,0.09,5.6,26,3.7,,,,8,20,168,110,20,3.92,0.4,0.01,296,155,62,140,34,28,27,620,409.2,7,,0.06,0.5,6,0.2,16.27,0.68
2361,River Godavari,"River Godavari at mancherial, Near Rail Way Bridge B/C of Rallavagu",Mancherial,6,8.59,420,1,1.86,,Less than 1.8,31,Less than 1.8,N.A,N.A,N.A,4.6,10,90,52,12,1.5,0.4,0.04,95,56,22.4,39,9.48,22,,252,,10,0.68,,0.5,,0.46,,
0013,River Godavari,River Godavari at Mancherial,Mancherial,6,8.19,426,1.2,2,,Less than 1.8,26,Less than 1.8,N.A,N.A,N.A,5.2,5,95,54,16,1.5,0.4,0.04,100,60,24,40,9.72,32,,248,,10,0.55,,0.5,,0.2,,
3054,River Godavari,"Outlet of ash pond effluents of M/s.NTPC, Ramagundam",Peddapalli,4.7,8.44,953,1.6,1.92,,Less than 1.8,22,Less than 1.8,N.A,N.A,N.A,6.8,15,235,92,24,1.5,0.4,0.04,240,145,58,95,23.09,54,,582,,10,1.2,,0.5,,1.02,,
2362,River Godavari,D/s of River Godavari at Ramagundam near FCI intake well,Peddapalli,5.8,8.36,637,1,2.16,,Less than 1.8,27,Less than 1.8,N.A,N.A,N.A,6.8,10,155,64,16,1.5,0.4,0.04,165,90,36,75,18.22,38,,402,,10,0.88,,0.5,,0.2,,
2363,River Godavari,River Godavari at Godavarikhani near bathing ghat,Peddapalli,5.2,7.98,681,1.6,1.82,,Less than 1.8,26,Less than 1.8,N.A,N.A,N.A,7.2,5,110,120,20,1.5,0.4,0.03,160,95,38,65,15.79,46,,408,,10,1,,0.5,,0.21,,
2364,River Godavari,River Godavari at Ramagundam upstream near dam,Peddapalli,6,8.26,692,1,2,,Less than 1.8,32,Less than 1.8,N.A,N.A,N.A,5.2,10,155,76,12,1.5,0.4,0.04,165,100,40,65,15.79,46,,428,,10,0.88,,0.5,,0.62,,
