Station code,water_bodies,Station name,District,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia  (mg/L),Free Ammonia  (mg/L),Total Hardness as CaCO3(mg/L),Calcium Hardness as CaCo3(mg/L),Calcium as Ca+2(mg/L),Magnesium Hardness as CaCo3 (mg/L),Magnesium as Mg+2(mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR
4251,River Krishna ,"River Krishna - D/s of Munneru River, Prakash Nagar, Khammam",Khammam,4.8,7.79,729,2.2,1.22,,4,220,4,,,,3.2,5,155,81,16,1.5,0.4,0.01,169,98,39.2,71,17.25,56,,446,,10,0.36,,0.5,,0.48,,
5108,River Krishna ,"River Krishna before confluence of River Musi at Wadapally (V), Damaracharla (M), Nalgonda (D)",Nalgonda,6,7.43,739,2.1,3,0.09,5.5,20,2,,,,5,5,164,90,18,3.3,0.4,0.01,243.46,120,48,123.46,30,12,27,426,285.42,10,,0.08,0.5,3,0.2,19.21,0.75
5109,River Krishna ,"River Krishna after confluence of River Musi at Wadapally (V), Damaracharla (M), Nalgonda(D)",Nalgonda,6.2,7.46,1014,2.4,3,0.08,3.7,17,Less than  1.8,,,,3,8,188,110,12,2.2,0.4,0.01,288.15,140,56,148.15,36,15,30,578,381.48,11,,0.09,0.5,6,0.26,18.09,0.77
5110,River Krishna ,"River Krishna at Pulichintala Reservoir at Chinthalapalem (V&M), Suryapet (D)",Suryapet,6.1,7.48,921,2.3,4,0.06,4,22,1.8,,,,4,5,184,98,20,3.3,0.4,0.01,274.92,135,54,139.92,34,13,27,526,357.68,10,,0.05,0.5,5,0.2,17.29,0.71
4253,River Musi,"River Musi at Bapughat Sangam, Hyderabad",Hyderabad,0.3,7.33,1539,6,8.62,,21,430,6.8,,,,7.2,5,370,179,56,7.84,2.48,0.03,386,294,117.6,92,22.36,108,,954,,24,4.69,,0.5,,1.04,,
4656,River Musi,"River Musi at Moosarambagh bridge, Hyderabad",Medchal Malkajgiri,0.3,7.32,1270,10,10.2,,33,540,8.2,,,,19.2,5,325,174,111,5.6,1.99,0.02,340,214,85.6,126,30.62,103,,812,,28,3.08,,0.5,,0.89,,
2339,River Musi,"River Musi at Nagole, Ranga Reddy",Shamshabad,0.3,7.42,1341,6,10.8,,39,920,10,,,,20.6,5,340,179,71,5.6,2.5,0.04,356,212.0,84.8,144,34.99,106,,832,,26,2.2,,0.5,,0.92,,
4659,River Musi,"River Musi - Outlet of Nalla Cheruvu, Peerajadiguda, Rangareddy",Yadadri Bhuvanagiri,0.3,7.79,1647,12,11.6,,34,540,4,,,,25.6,5,375,181,191,6.72,3.16,0.11,390,226,90.4,164,39.85,110,,1004,,16,2.24,,0.5,,0.96,,
4660,River Musi,"River Musi at Peerajadiguda, Ranga Reddy",Suryapet,0.3,7.35,1332,6,10.2,,40,540,11,,,,10.3,5,350,164,67,5.6,1.4,0.02,364,224,89.6,140,34.02,98,,826,,22,3.48,,0.5,,0.95,,
1173,River Musi,"River Musi - D/s at Pratapasingaram , Shamshabad",Rangareddy,0.3,7.36,1337,6,12.4,,38,430,6.1,,,,13.2,5,375,164,54,4.48,1.7,0.02,388,248,99.2,140,34.02,101,,828,,18,1.98,,0.5,,0.94,,
4657,River Musi,"River Musi at Pillaipalli, Rangareddy",Rangareddy-I,1.9,7.4,1368,3,8.6,,40,430,11,,,,9.8,5,380,176,32,4.48,1.95,0.03,420,252.0,100.8,168,40.82,105,,848,,14,3.06,,0.5,,1.02,,
4254,River Musi,"River Musi at Rudravelly bridge,Yadadri",Yadadri Bhuvanagiri,5.9,8.07,1581,6,6,0.12,8.2,110,5.5,,,,14,12,248,192,44,7.8,0.4,0.01,440.45,210,84,230.45,56,26,49,898,556.76,12,,0.08,0.5,4,0.3,19.33,1.02
4658,River Musi,"River Musi at Valigonda bridge, Nalgonda dist",Yadadri Bhuvanagiri,5.8,7.98,1587,8,5,0.1,6,84,3.6,,,,18,5,240,188,52,9.5,0.4,0.01,427.22,205,82,222.22,54,25,47,902,568.26,16,,0.12,0.5,5,0.36,19.1,0.99
3082,River Musi,"River Musi at Solipet (Kasaniguda), Nalgonda",Suryapet,6.6,7.4,1253,3.2,6,0.04,4.5,58,2,,,,12,16,200,152,29,5,0.4,0.01,351.07,170,68,181.07,44,19,37,712,455.68,10,,0.09,0.5,6,0.25,18.35,0.86
5106,River Musi,"River Musi at Bheemaram Bridge, Bheemaram (V), Kethepally (M), Nalgonda (D)",Nalgonda,6.4,7.49,1852,2.8,3,0.2,3.6,26,1.8,,,,12,16,228,158,23,3.9,0.4,0.01,387.53,190,76,197.53,48,25,39,1050,724.5,17,,0.08,0.5,6,0.22,17.69,0.86
5107,River Musi,"River Musi before confluence of River Krishna at Wadapally (V), Damaracharla (M), Nalgonda(D)",Nalgonda,6.5,7.39,1032,2.2,2,0.07,4.5,34,2,,,,10,5,204,142,17,2.8,0.4,0.01,334.61,170,68,164.61,40,17,37,598,418.6,14,,0.06,0.5,7,0.23,19.0,0.88
1172,Lakes  & Tanks,"Osmansagar Reservior (U/s of Musi at Gandipet), Gandipet (V&M), Rangareddy Dist",Shamshabad,5.1,7.67,498,1,0.3,,Less than 1.8,63,Less than 1.8,,,,3.6,5,120,52,5,1.5,0.4,0.01,130,74,29.6,56.0,13.61,32,,316,,10,0.2,,0.5,,0.35,,
1215,Lakes  & Tanks,"Thummala cheruvu, Nasampet (V&M), Warangal",Warangal Rural,4.8,8.23,343,2,0.32,,Less than 1.8,39,Less than 1.8,,,,8.8,5,95,34,8,1.5,0.4,0.04,105,42,16.8,63,15.31,21,,212,,14,0.2,,0.5,,0.21,,
1780,Lakes  & Tanks,"Gandigudem Tank, Gandigudem(V),Ameenpur(M), Sangareddy(D)",Sangareddy,6.2,7.08,1712,7,9,0.23,7.8,120,5.5,,,,25,28,364,258,69,12.8,0.4,0.01,630.68,285,114,345.68,84,49,62,982,608.84,10,,0.13,0.5,17,0.32,17.15,1.07
