Station code,water_bodies,Station name,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate-N (mg/L),Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Saprobity index,Diversity index,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia-N  (mg/L),Hardness (mg/L),Calcium (mg/L),Magnesium (mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR,Nitrate,Free Ammonia  (mg/L),P/R Ratio,Ammonia  (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Sodium %,District,RO,Faecal streptococci,% Sodium,Total Hardness as CaCO3(mg/L),Calcium Hardness as CaCo3(mg/L),Calcium as Ca+2(mg/L),Magnesium Hardness as CaCo3 (mg/L),Magnesium as Mg+2(mg/L),Conductivity (μs/cm),Ammonia,Calcium Carbonate as CaCO3,Magnesium Carbonate as CaCO3,Responsible Zonal Lab,Monitoring date,Submission Date,Sampling time,Use of Water in Downstream,Human activities,Major polluting,Visible Effluent,Weather,Depth (mtrs.),Floating matter,Colour,Odour,Flow (m3/Sec),District.1,Remarks,Unnamed: 58,Any Other,Classes,Unnamed: 42,Total coliform (MPN/100ml),Lead (Pb),Cadmium (Cd),Copper (Cu),Zinc (Zn),Total Chromium (T. Cr),Nickel (Ni),Iron (Fe),Free Ammonia (mg/L),Orthophosphate (mg/L),Arsenic,Lead,Cadmium,Copper,Zinc,Total Chromium,Nickel,Iron,Unnamed: 48,Cd(mg/l),Cu(mg/l),Pb(mg/l),T.Cr(mg/l),Ni (mg/l),Zn(mg/l),Fe(mg/l),Hg(mg/l),Mn(mg/l),Unnamed: 36,Unnamed: 37,Ammonia-N (mg/L),Total Hardness as CaCO3 (mg/L),Unnamed: 41,Unnamed: 43,Unnamed: 44,Unnamed: 45,Free Ammonia,Fecal streptococci,COD,Water Temp. (OC),Unnamed: 64,Unnamed: 56,Unnamed: 57,COD (mg/L).1,Unnamed: 38
3074,Lakes  & Tanks,"Banjara Lake (Anantagani kunta), Banjara Hills, Hyderabad",0.3,7.8,,14.0,,,24,540.0,,,8.0,5,225.0,145.0,188.0,8.4,,,,,90,,740.0,,17,,0.5,,0.84,,,3.4,,,2.96,2.49,,,Hyderabad,,6,,282.0,135.0,54.0,147.0,35.72,1232.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.0,0.0,0.07,0.04,0.04,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,
4224,Lakes  & Tanks,"Yadadri temple- Koneru, Yadadrigutta (V&M), Yadadri bhuvanagiri(D)",Note:- Station Code  - 4224 - Koneru of Yadagiri Gutta Temple water sample could not be collected due to Koneru is under construction.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yadadri Bhuvangiri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4236,Lakes  & Tanks,"Pedda Cheruvu (Nacharam cheruvu), Uppal",Station code:2359 & 4236 both the stations are same,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ranga Reddy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3086,Lakes  & Tanks,"Saki Tank, Patancheru (V & M), Sangareddy District",7,8.4,,3.6,,0.1,6.1,43.0,6.7,0.64,4.1,24,165.0,98.0,42.0,36,,,,,68,28.0,541.0,378.7,7,,BDL,3.0,0.29,25.2,0.71,20.0,BDL,,,,0.12,,Sangareddy,,5.6,,230.0,140.0,56.0,90.0,22.0,902.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,,,,,,,,,,,,,,,,,,,,,,,,,,,
4237,Lakes  & Tanks,"Mundla Katwa,Moosapet(V), Kukatpally (M),Medchal - Malkajgiri (D)",2.4,7.74,,3.4,,,17,430.0,,,6.0,5,195.0,93.0,52.0,7,,,,,54,,480.0,,12,,0.5,,0.87,,,3.6,,,1.82,3.22,,,RR-shamshabad,,4,,238.0,120.0,48.0,118.0,28.67,844.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.02,0.0,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,
4667,Lakes  & Tanks,"Surram Cheruvu (Palle Cheruvu), Bandlaguda (V), Bandlaguda (new mandal)",0.3,7.07,,8.0,,,21,540.0,,,9.8,5,480.0,296.0,96.0,9.8,,,,,186,,1210.0,,18,,0.5,,1.09,,,6.8,,,2.48,2.87,,,Hyderabad,,9.2,,492.0,280.0,112.0,212.0,51.52,2100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,0.0,0.0,0.08,0.0,0.05,0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,
4668,Lakes  & Tanks,"Chinnarayana Cheruvu, Alwal (V&M), Medchal- Malkajgiri (D)",0.3,7.46,,18.0,,,17,540.0,,,18.0,5,340.0,167.0,339.0,7,,,,,67,,885.0,,74,,0.5,,0.93,,,4.2,,,2.72,3.28,,,Medchal Malkajgiri,,4,,362.0,204.0,81.6,158.0,38.39,1402.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,0.0,0.0,0.07,0.02,0.05,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,
4669,Lakes  & Tanks,"Gangaram Pedda Cheruvu, Gangaram(V), Serlingampally (M), Rangareddy District",Dried up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rangareddy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4671,Lakes  & Tanks,"Medi Kunta, Guttala begumpet (V), Serlingampally (M), Rangareddy District",Dried up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rangareddy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4672,Lakes  & Tanks,"MediKunta , Nanakramguda (V), Serilingampally (M), Rangareddy District",0.3,7.34,,10.0,,,24,540.0,,,15.0,5,180.0,169.0,125.0,7,,,,,102,,642.0,,21,,0.5,,0.79,,,3.4,,,1.08,2.36,,,Rangareddy,,4,,244.0,95.0,38.0,149.0,36.21,1050.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.0,0.0,0.02,0.0,0.04,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,
4673,Lakes  & Tanks,"Meedi Kunta (BK Enclave lake), Madeenaguda (V), Serlingampally (M), Rangareddy District",dried up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rangareddy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4674,Lakes  & Tanks,"Meedi Kunta, Hafeezpet (V), Serlingampally (M), Rangareddy District",3,6.93,,3.0,,,6.1,350.0,,,5.0,5,140.0,105.0,43.0,5.6,,,,,62,,408.0,,10,,0.5,,0.55,,,2.8,,,0.88,0.82,,,Rangareddy,,2,,156.0,90.0,36.0,66.0,16.04,668.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.02,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,
4676,Lakes  & Tanks,"Banda Cheruvu, Malkajigiri (V),Malkajigiri (M), Medchal- Malkajgiri (D)",0.3,7.4,,12.0,,,27,540.0,,,22.0,5,380.0,255.0,179.0,8.4,,,,,148,,1038.0,,38,,0.5,,0.99,,,5.0,,,3.84,3.3,,,Medchal Malkajgiri,,8.1,,404.0,210.0,84.0,194.0,47.14,1703.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.0,0.0,0.05,0.01,0.04,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,
4677,Lakes  & Tanks,"Lingam Cheruvu, Suraram (V), Quthubullapur(M), Medchal-Malkajgiri District",0.3,7.34,,8.0,,,27,540.0,,,8.0,5,350.0,198.0,118.0,8.4,,,,,114,,986.0,,76,,0.62,,0.97,,,4.2,,,3.62,3.06,,,Medchal Malkajgiri,,8.1,,374.0,205.0,82.0,169.0,41.07,1617.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.0,0.01,0.02,0.0,0.02,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,
4678,Lakes  & Tanks,"Patel Cheruvu, Nacharam (V), Uppal (new Mandal), Medchal- malkajigiri",0.3,6.84,,12.0,,,27,540.0,,,24.0,5,320.0,174.0,201.0,8.4,,,,,106,,926.0,,116,,0.5,,0.93,,,4.2,,,2.48,2.93,,,Rangareddy,,9.1,,352.0,195.0,78.0,157.0,38.15,1475.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.0,0.01,0.07,0.02,0.04,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,
4679,Lakes  & Tanks,"Bomrukud-Dowla Lake(HUDA Park Lake ), Bumruknudowla (V), Rajendranagar (M), Rangareddy (D)",0.3,7.18,,10.0,,,24,540.0,,,10.0,5,560.0,380.0,149.0,11.2,,,,,226,,1518.0,,24,,0.5,,0.99,,,8.4,,,3.96,3.16,,,Rangareddy,,10,,584.0,295.0,118.0,289.0,70.23,2490.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.0,0.0,0.01,0.0,0.0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
4683,Lakes  & Tanks,"Pedda Cheruvu, Madikonda (V), Khazipet (M), Hanumakonda, Warangal",5,7.89,,1.2,,,2,210.0,,,7.2,5,60.0,58.0,24.0,4.2,,,,,25,,212.0,,10,,0.5,,0.74,,,2.4,,,0.84,0.89,,,Warangal,,Less than 1.8,,106.0,60.0,24.0,46.0,11.18,344.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.0,0.0,0.04,0.01,0.03,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,
4684,Lakes  & Tanks,"Campus Lake, ICRISAT, Kachireddi Pally (V), Ramachandrapuram (M),Sangareddy District",6,7.06,,4.2,,0.11,6,79.0,7.7,0.71,4.9,20,155.0,69.0,54.0,21,,,,,30,10.0,416.0,291.2,8,,BDL,2.5,0.42,13.57,0.29,11.0,BDL,,,,0.18,,Sangareddy,,5.6,,200.0,125.0,42.0,75.0,18.0,693.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BDL,BDL,BDL,BDL,BDL,BDL,BDL,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,
4685,Lakes  & Tanks,"Surisigal Lake, ICRISAT, Ramachandrapuram (V&M), Sangareddy District",6.2,7.11,,3.8,,0.15,6.1,94.0,7.3,0.73,3.0,44,260.0,115.0,48.0,38,,,,,75,33.0,758.0,530.6,7,,BDL,3.0,0.37,22.24,0.71,22.0,BDL,,,,0.1,,Sangareddy,,5.5,,320.0,200.0,80.0,120.0,30.0,1264.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BDL,BDL,BDL,BDL,0.02,BDL,BDL,BDL,,,,,,,,,,,,,,,,,,,,,,,,,,,
4686,Lakes  & Tanks,"ICRISAT Lake,ICRISAT, Manmole (V), Ramachandrapuram (M), Sangareddy District",6.8,7.4,,4.1,,0.16,7.8,110.0,6.7,0.67,3.4,32,195.0,117.0,44.0,42,,,,,56,29.0,713.0,499.1,9,,BDL,4.0,0.22,23.74,0.71,20.0,BDL,,,,0.16,,Sangareddy,,6.1,,265.0,150.0,60.0,115.0,28.0,1189.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BDL,BDL,BDL,BDL,BDL,BDL,BDL,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,
4687,Lakes  & Tanks,"Red Lake, ICRISAT, Ramachandrapuram (M), Sangareddy District",5.5,7.48,,5.0,,0.12,8.3,120.0,6,0.64,4.6,36,185.0,190.0,60.0,65,,,,,81,23.0,734.0,513.8,10,,BDL,4.5,0.31,13.52,0.44,31.0,BDL,,,,0.22,,Sangareddy,,6,,415.0,250.0,100.0,165.0,40.0,1224.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BDL,BDL,BDL,BDL,0.05,BDL,BDL,BDL,,,,,,,,,,,,,,,,,,,,,,,,,,,
4689,Lakes  & Tanks,"Sunnam Kunta, Jubille Hills, Hyderabad",5,7.06,,1.8,,,6.8,220.0,,,11.0,5,110.0,71.0,36.0,2.8,,,,,44,,340.0,,21,,0.5,,0.79,,,2.8,,,0.61,1.13,,,Hyderabad,,2,,128.0,70.0,28.0,58.0,14.09,556.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.0,0.0,0.07,0.0,0.04,0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,
4690,Lakes  & Tanks,"Banjara Kunta (Singadi Kunta), Shaikpet (V&M), Hyderabad (D)",3.2,7.66,,2.8,,,12,430.0,,,14.0,5,240.0,145.0,55.0,4.2,,,,,88,,704.0,,28,,0.5,,0.79,,,3.8,,,1.56,2.36,,,Hyderabad,,4,,262.0,140.0,56.0,122.0,29.65,1153.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,0.0,0.0,0.06,0.0,0.04,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,
4691,Lakes  & Tanks,"Nagole Cheruvu, Uppal, Medchal - Malkajgiri District",0.3,7.26,,12.0,,,33,540.0,,,12.0,5,305.0,147.0,149.0,7,,,,,82,,841.0,,33,,0.5,,0.77,,,3.9,,,1.36,3.14,,,RR-shamshabad,,8.1,,320.0,165.0,66.0,155.0,37.66,1280.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.0,0.0,0.06,0.0,0.04,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,
4692,Lakes  & Tanks,"Ramanthapur Pedda Cheruvu, Ramanthapur, Medchal - Malkajgiri District",0.3,7.05,,16.0,,,9.2,430.0,,,28.0,5,225.0,176.0,229.0,7,,,,,110,,648.0,,108,,0.5,,0.95,,,3.2,,,2.08,1.72,,,Medchal Malkajgiri,,2,,254.0,145.0,58.0,109.0,26.49,1063.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.24,0.0,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,
4693,Lakes  & Tanks,"Patel Cheruvu, Madinaguda(V), Serlingampally (M), Rangareddy (D)",DRIED UP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medchal Malkajgiri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4694,Lakes  & Tanks,Mundla Katwa Lake,Mundla Katwa Lake - 4237 Sample was same as Mullakatwa Cheruvu Sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medchal Malkajgiri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4695,Lakes  & Tanks,"Khaja Kunta, Kukatpally (V&M), Medchal-Malkajgiri (D)",Lake sample was not collected as lake was under maintainanace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medchal Malkajgiri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4696,Lakes  & Tanks,"Parki Cheruvu, Kukatpally (V&M), Medchal-Malkajgiri (D)",0.3,7.71,,10.0,,,17,430.0,,,26.0,5,360.0,172.0,149.0,8.4,,,,,112,,1014.0,,106,,0.61,,1.06,,,4.6,,,2.96,2.49,,,Medchal Malkajgiri,,12,,386.0,195.0,78.0,191.0,46.41,1602.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.0,0.0,0.05,0.0,0.0,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,
4697,Lakes  & Tanks,"Mukkidi Cheruvu, Malkajigri (V&M), Medchal-Malkajgiri (D)",Lake sample was not collected as lake was under maintainanace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medchal Malkajgiri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4698,Lakes  & Tanks,"Mannevari Kunta, Machabollaram (V), Alwal (M), Medchal-Malkajgiri (D)",0.3,7.16,,14.0,,,27,540.0,,,16.0,5,322.0,280.0,207.0,7,,,,,194,,1156.0,,30,,0.5,,0.85,,,5.6,,,2.96,3.22,,,Medchal Malkajgiri,,8.1,,450.0,235.0,94.0,215.0,52.24,1880.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.01,0.01,0.01,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,
4699,Lakes  & Tanks,"Kaprai Cheruvu, Sahebnagar, Hayathnagar,Rangareddy District",5.6,7.01,,1.8,,,14,240.0,,,8.0,5,120.0,88.0,20.0,5.6,,,,,46,,386.0,,12,,0.5,,0.98,,,2.4,,,0.84,0.56,,,RR-shamshabad,,2,,142.0,75.0,30.0,67.0,16.28,632.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.0,0.0,0.04,0.03,0.03,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,
4700,Lakes  & Tanks,"Large tank,/ Saroornagar, Rangareddy District.",Saroornagar Lake -1788 Sample was same  as  Large Tank sample -4700.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RR-shamshabad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4701,Lakes  & Tanks,"Lingam Kunta, Chandanagar (V), Serlingampally(M), Ranga Reddy (D).",0.3,7.54,,10.0,,,14,540.0,,,13.0,5,210.0,201.0,177.0,7,,,,,110,,796.0,,26,,0.64,,0.79,,,3.8,,,1.56,2.98,,,Rangareddy,,3.6,,312.0,217.0,87.0,95.0,23.0,1306.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.0,0.0,0.04,0.0,0.04,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,
4702,Lakes  & Tanks,"Pedda Cheruvu, Khajaguda (V), Serlingampally(M), Ranga Reddy District",4.1,7.59,,22.0,,,13,79.0,,,34.3,8,568.0,199.0,82.0,102,,,,,49,177.0,1045.0,724.0,8,,,24.0,,49.0,4.0,,0.92,,40,,10,,Rangareddy,,,,360.0,230.0,92.0,130.0,32.0,1855.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4703,Lakes  & Tanks,"Bulbul Kunta, Laxmiguda, Rajendranagar (M), Rangareddy District",DRIED UP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rangareddy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4704,Lakes  & Tanks,"PeddaCheruvu, Mansoorabad (V), Saroornagar(M), Rangareddy (D)",0.3,7.75,,10.0,,,21,430.0,,,10.0,5,205.0,115.0,161.0,7,,,,,72,,556.0,,52,,0.5,,0.98,,,3.8,,,1.08,1.72,,,Rangareddy,,6.1,,210.0,125.0,50.0,85.0,20.66,913.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.0,0.0,0.04,0.01,0.36,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,
4705,Lakes  & Tanks,"Kotta Cheruvu, Alwal (V & M),Medchal-Malkajgiri (D)",0.3,7.69,,12.0,,,20,540.0,,,15.0,5,420.0,213.0,175.0,9.8,,,,,126,,1142.0,,32,,0.66,,0.93,,,5.2,,,3.04,3.04,,,Medchal Malkajgiri,,6.1,,446.0,235.0,94.0,211.0,51.27,1812.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.03,0.0,0.02,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,
5029,Lakes  & Tanks,"Mohini Cheruvu, Ramanthapur (V), Uppal(M), Medchal-Malkajgiri (D)",sample not collected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hyderabad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5030,Lakes  & Tanks,"Naya Qilla Talab, Golkonda (V&M), Hyderabad (D)",0.3,7.96,,6.0,,,12,430.0,,,9.2,5,240.0,169.0,60.0,5.6,,,,,98,,680.0,,11,,0.5,,1.02,,,3.2,,,1.42,0.89,,,Hyderabad,,4,,265.0,150.0,60.0,115.0,27.95,1097.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,0.0,0.0,0.04,0.0,0.03,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,
5031,Lakes  & Tanks,"Yerra Kunta, Shaikpet(V&M), Hyderabad (D)",Not Collected by RO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hyderabad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5032,Lakes  & Tanks,"Kotha Cheruvu, Shaikpet(V&M), Hyderabad (D)",2.6,7.46,,3.6,,,17,540.0,,,8.0,5,295.0,164.0,67.0,8.4,,,,,96,,796.0,,16,,0.5,,0.95,,,4.3,,,2.64,2.28,,,Hyderabad,,8.1,,302.0,160.0,64.0,142.0,34.51,1304.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.0,0.0,0.05,0.0,0.04,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,
5033,Lakes  & Tanks,"Shahatam Cheruvu, Shaikpet(V&M), Hyderabad (D)",not collected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hyderabad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5034,Lakes  & Tanks,"Shikari Kunta, Hakeempet(V), Shaikpet(M), Hyderabad (D)",3.2,7.18,,3.4,,,12,430.0,,,7.0,5,210.0,130.0,60.0,7,,,,,72,,610.0,,12,,0.5,,0.83,,,3.4,,,1.86,2.16,,,Hyderabad,,4,,238.0,135.0,54.0,103.0,25.03,1035.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.0,0.0,0.03,0.0,0.04,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,
5035,Lakes  & Tanks,"Bathur Kunta, Shaikpet(V&M), Hyderabad (D)",2,7.54,,10.0,,,14,430.0,,,7.6,5,210.0,152.0,119.0,7,,,,,92,,638.0,,14,,0.5,,0.96,,,3.1,,,1.72,0.93,,,Hyderabad,,8.1,,242.0,175.0,70.0,67.0,16.28,1046.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,0.0,0.0,0.04,0.0,0.03,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,
5036,Lakes  & Tanks,"Ramanna cheruvu, Boinpally(V), Tirumalagiri(M), Hyderabad (D)",Dried up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medchal Malkajgiri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5037,Lakes  & Tanks,"Tirumalagiri Tank, Tirumalagiri(V & M), Hyderabad (D)",0.3,7.64,,12.0,,,21,540.0,,,21.0,5,385.0,198.0,171.0,9.8,,,,,124,,1028.0,,46,,0.5,,0.95,,,4.8,,,2.86,3.16,,,Medchal Malkajgiri,,10,,412.0,220.0,88.0,192.0,46.66,1716.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.02,0.0,0.01,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,
5038,Lakes  & Tanks,"Salkam Cheruvu , Bandlaguda(kalsa) (V), Bandlaguda (M), Hyderabad (D)",Not Collected by RO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hyderabad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5039,Lakes  & Tanks,"DMRL Lake, Kanchanbagh, Chandrayanguda (M), Hyderabad (D)",Not Collected by RO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hyderabad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5040,Lakes  & Tanks,"Bandlaguda Cheruvu, Nagole (V), Uppal (M), Medchal (D)",0.3,7.9,,16.0,,,24,430.0,,,22.0,5,295.0,149.0,220.0,8.4,,,,,88,,836.0,,66,,0.5,,0.95,,,4.0,,,1.56,3.16,,,Medchal Malkajgiri,,8.3,,316.0,165.0,66.0,151.0,36.69,1280.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,0.0,0.02,0.13,0.02,0.04,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,
5041,Lakes  & Tanks,"Pathulguda Cheruvu, Pathulguda (V), Saroornagar (M), Rangareddy (D)",0.3,7.89,,8.0,,,27,540.0,,,13.0,5,325.0,181.0,100.0,8.4,,,,,108,,858.0,,20,,0.5,,0.83,,,4.1,,,1.56,3.48,,,Medchal Malkajgiri,,4,,342.0,175.0,70.0,167.0,40.58,1408.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,0.0,0.0,0.05,0.02,0.05,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,
5042,Lakes  & Tanks,"Yellamma Cheruvu,Kukatpally(V&M), Medchal Malkajgiri(D)",0.3,7.46,,18.0,,,24,540.0,,,12.0,5,340.0,176.0,248.0,8.4,,,,,102,,958.0,,94,,0.5,,1.02,,,4.9,,,1.86,2.93,,,Medchal Malkajgiri,,9.3,,372.0,195.0,78.0,177.0,43.01,1502.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.0,0.0,0.07,0.02,0.04,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,
