Station code,water_bodies,Station name,District,DO (mg/L),pH,Conductivity (μs/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia  (mg/L),Free Ammonia  (mg/L),Total Hardness as CaCO3(mg/L),Calcium Hardness as CaCo3(mg/L),Calcium as Ca+2(mg/L),Magnesium Hardness as CaCo3 (mg/L),Magnesium as Mg+2(mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR,Arsenic,Cadmium,Copper,Lead,Total Chromium,Nickel,Zinc,Iron
3086,Lakes  & Tanks,"Saki Tank, Patancheru (V & M), Sangareddy District",Sangareddy,7,8.4,902,3.6,20,0.1,6.1,43,5.6,6.7,0.64,,4.1,24,165,98,42,36,,BDL,230,140,56,90,22,68,28,541,378.7,7,,0.12,BDL,3,0.29,25.2,0.71,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
4237,Lakes  & Tanks,"Mundla Katwa,Moosapet(V), Kukatpally (M),Medchal - Malkajgiri (D)",RR-shamshabad,2.4,7.74,844,3.4,3.6,,17,430,4,,,,6,5,195,93,52,7,1.82,,238,120,48,118,28.67,54,,480,,12,3.22,,0.5,,0.87,,,,0.0,0.0,0.0,0.0,0.02,0.02,0.02
4667,Lakes  & Tanks,"Surram Cheruvu (Palle Cheruvu), Bandlaguda (V), Bandlaguda (new mandal)",Hyderabad,0.3,7.07,2100,8,6.8,,21,540,9.2,,,,9.8,5,480,296,96,9.8,2.48,,492,280,112,212,51.52,186,,1210,,18,2.87,,0.5,,1.09,,,,0.0,0.0,0.05,0.0,0.05,0.08,0.98
4668,Lakes  & Tanks,"Chinnarayana Cheruvu, Alwal (V&M), Medchal- Malkajgiri (D)",Medchal Malkajgiri,0.3,7.46,1402,18,4.2,,17,540,4,,,,18,5,340,167,339,7,2.72,,362,204,81.6,158,38.39,67,,885,,74,3.28,,0.5,,0.93,,,,0.0,0.0,0.04,0.02,0.05,0.07,0.45
4669,Lakes  & Tanks,"Gangaram Pedda Cheruvu, Gangaram(V), Serlingampally (M), Rangareddy District",Rangareddy,Dried up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4671,Lakes  & Tanks,"Medi Kunta, Guttala begumpet (V), Serlingampally (M), Rangareddy District",Rangareddy,Dried up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4672,Lakes  & Tanks,"MediKunta , Nanakramguda (V), Serilingampally (M), Rangareddy District",Rangareddy,0.3,7.34,1050,10,3.4,,24,540,4,,,,15,5,180,169,125,7,1.08,,244,95,38,149,36.21,102,,642,,21,2.36,,0.5,,0.79,,,,0.0,0.0,0.02,0.0,0.04,0.02,0.09
4673,Lakes  & Tanks,"Meedi Kunta (BK Enclave lake), Madeenaguda (V), Serlingampally (M), Rangareddy District",Rangareddy,dried up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4674,Lakes  & Tanks,"Meedi Kunta, Hafeezpet (V), Serlingampally (M), Rangareddy District",Rangareddy,3,6.93,668,3,2.8,,6.1,350,2,,,,5,5,140,105,43,5.6,0.88,,156,90,36,66,16.04,62,,408,,10,0.82,,0.5,,0.55,,,,0.0,0.0,0.0,0.0,0.02,0.0,0.06
4676,Lakes  & Tanks,"Banda Cheruvu, Malkajigiri (V),Malkajigiri (M), Medchal- Malkajgiri (D)",Medchal Malkajgiri,0.3,7.4,1703,12,5,,27,540,8.1,,,,22,5,380,255,179,8.4,3.84,,404,210,84,194,47.14,148,,1038,,38,3.3,,0.5,,0.99,,,,0.0,0.0,0.03,0.01,0.04,0.05,0.04
4677,Lakes  & Tanks,"Lingam Cheruvu, Suraram (V), Quthubullapur(M), Medchal-Malkajgiri District",Medchal Malkajgiri,0.3,7.34,1617,8,4.2,,27,540,8.1,,,,8,5,350,198,118,8.4,3.62,,374,205,82,169,41.07,114,,986,,76,3.06,,0.62,,0.97,,,,0.0,0.01,0.01,0.0,0.02,0.02,0.22
4678,Lakes  & Tanks,"Patel Cheruvu, Nacharam (V), Uppal (new Mandal), Medchal- malkajigiri",Rangareddy,0.3,6.84,1475,12,4.2,,27,540,9.1,,,,24,5,320,174,201,8.4,2.48,,352,195,78,157,38.15,106,,926,,116,2.93,,0.5,,0.93,,,,0.0,0.01,0.03,0.02,0.04,0.07,0.29
4679,Lakes  & Tanks,"Bomrukud-Dowla Lake(HUDA Park Lake ), Bumruknudowla (V), Rajendranagar (M), Rangareddy (D)",Rangareddy,0.3,7.18,2490,10,8.4,,24,540,10,,,,10,5,560,380,149,11.2,3.96,,584,295,118,289,70.23,226,,1518,,24,3.16,,0.5,,0.99,,,,0.0,0.0,0.01,0.0,0.0,0.01,0.8
4683,Lakes  & Tanks,"Pedda Cheruvu, Madikonda (V), Khazipet (M), Hanumakonda, Warangal",Warangal,5,7.89,344,1.2,2.4,,2,210,Less than 1.8,,,,7.2,5,60,58,24,4.2,0.84,,106,60,24,46,11.18,25,,212,,10,0.89,,0.5,,0.74,,,,0.0,0.0,0.02,0.01,0.03,0.04,0.15
4684,Lakes  & Tanks,"Campus Lake, ICRISAT, Kachireddi Pally (V), Ramachandrapuram (M),Sangareddy District",Sangareddy,6,7.06,693,4.2,11,0.11,6,79,5.6,7.7,0.71,,4.9,20,155,69,54,21,,BDL,200,125,42,75,18,30,10,416,291.2,8,,0.18,BDL,2.5,0.42,13.57,0.29,BDL,BDL,BDL,BDL,BDL,BDL,BDL,0.16
4685,Lakes  & Tanks,"Surisigal Lake, ICRISAT, Ramachandrapuram (V&M), Sangareddy District",Sangareddy,6.2,7.11,1264,3.8,22,0.15,6.1,94,5.5,7.3,0.73,,3,44,260,115,48,38,,BDL,320,200,80,120,30,75,33,758,530.6,7,,0.1,BDL,3,0.37,22.24,0.71,BDL,BDL,BDL,BDL,BDL,BDL,0.02,BDL
4686,Lakes  & Tanks,"ICRISAT Lake,ICRISAT, Manmole (V), Ramachandrapuram (M), Sangareddy District",Sangareddy,6.8,7.4,1189,4.1,20,0.16,7.8,110,6.1,6.7,0.67,,3.4,32,195,117,44,42,,BDL,265,150,60,115,28,56,29,713,499.1,9,,0.16,BDL,4,0.22,23.74,0.71,BDL,BDL,BDL,BDL,BDL,BDL,BDL,0.19
4687,Lakes  & Tanks,"Red Lake, ICRISAT, Ramachandrapuram (M), Sangareddy District",Sangareddy,5.5,7.48,1224,5,31,0.12,8.3,120,6,6,0.64,,4.6,36,185,190,60,65,,BDL,415,250,100,165,40,81,23,734,513.8,10,,0.22,BDL,4.5,0.31,13.52,0.44,BDL,BDL,BDL,BDL,BDL,BDL,0.05,BDL
4689,Lakes  & Tanks,"Sunnam Kunta, Jubille Hills, Hyderabad",Hyderabad,5,7.06,556,1.8,2.8,,6.8,220,2,,,,11,5,110,71,36,2.8,0.61,,128,70,28,58,14.09,44,,340,,21,1.13,,0.5,,0.79,,,,0.0,0.0,0.03,0.0,0.04,0.07,0.81
4690,Lakes  & Tanks,"Banjara Kunta (Singadi Kunta), Shaikpet (V&M), Hyderabad (D)",Hyderabad,3.2,7.66,1153,2.8,3.8,,12,430,4,,,,14,5,240,145,55,4.2,1.56,,262,140,56,122,29.65,88,,704,,28,2.36,,0.5,,0.79,,,,0.0,0.0,0.04,0.0,0.04,0.06,0.15
4691,Lakes  & Tanks,"Nagole Cheruvu, Uppal, Medchal - Malkajgiri District",RR-shamshabad,0.3,7.26,1280,12,3.9,,33,540,8.1,,,,12,5,305,147,149,7,1.36,,320,165,66,155,37.66,82,,841,,33,3.14,,0.5,,0.77,,,,0.0,0.0,0.03,0.0,0.04,0.06,0.12
4692,Lakes  & Tanks,"Ramanthapur Pedda Cheruvu, Ramanthapur, Medchal - Malkajgiri District",Medchal Malkajgiri,0.3,7.05,1063,16,3.2,,9.2,430,2,,,,28,5,225,176,229,7,2.08,,254,145,58,109,26.49,110,,648,,108,1.72,,0.5,,0.95,,,,0.0,0.0,0.0,0.0,0.02,0.24,0.02
4693,Lakes  & Tanks,"Patel Cheruvu, Madinaguda(V), Serlingampally (M), Rangareddy (D)",Medchal Malkajgiri,DRIED UP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4694,Lakes  & Tanks,Mundla Katwa Lake,Medchal Malkajgiri,Mundla Katwa Lake - 4237 Sample was same as Mullakatwa Cheruvu Sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4695,Lakes  & Tanks,"Khaja Kunta, Kukatpally (V&M), Medchal-Malkajgiri (D)",Medchal Malkajgiri,Lake sample was not collected as lake was under maintainanace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4696,Lakes  & Tanks,"Parki Cheruvu, Kukatpally (V&M), Medchal-Malkajgiri (D)",Medchal Malkajgiri,0.3,7.71,1602,10,4.6,,17,430,12,,,,26,5,360,172,149,8.4,2.96,,386,195,78,191,46.41,112,,1014,,106,2.49,,0.61,,1.06,,,,0.0,0.0,0.02,0.0,0.0,0.05,0.14
4697,Lakes  & Tanks,"Mukkidi Cheruvu, Malkajigri (V&M), Medchal-Malkajgiri (D)",Medchal Malkajgiri,Lake sample was not collected as lake was under maintainanace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4698,Lakes  & Tanks,"Mannevari Kunta, Machabollaram (V), Alwal (M), Medchal-Malkajgiri (D)",Medchal Malkajgiri,0.3,7.16,1880,14,5.6,,27,540,8.1,,,,16,5,322,280,207,7,2.96,,450,235,94,215,52.24,194,,1156,,30,3.22,,0.5,,0.85,,,,0.0,0.0,0.0,0.01,0.01,0.01,0.42
4699,Lakes  & Tanks,"Kaprai Cheruvu, Sahebnagar, Hayathnagar,Rangareddy District",RR-shamshabad,5.6,7.01,632,1.8,2.4,,14,240,2,,,,8,5,120,88,20,5.6,0.84,,142,75,30,67,16.28,46,,386,,12,0.56,,0.5,,0.98,,,,0.0,0.0,0.02,0.03,0.03,0.04,0.09
4700,Lakes  & Tanks,"Large tank,/ Saroornagar, Rangareddy District.",RR-shamshabad,Saroornagar Lake -1788 Sample was same  as  Large Tank sample -4700.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4701,Lakes  & Tanks,"Lingam Kunta, Chandanagar (V), Serlingampally(M), Ranga Reddy (D).",Rangareddy,0.3,7.54,1306,10,3.8,,14,540,3.6,,,,13,5,210,201,177,7,1.56,,312,217,87,95,23,110,,796,,26,2.98,,0.64,,0.79,,,,0.0,0.0,0.02,0.0,0.04,0.04,0.11
4702,Lakes  & Tanks,"Pedda Cheruvu, Khajaguda (V), Serlingampally(M), Ranga Reddy District",Rangareddy,4.1,7.59,1855,22,,,13,79,,,,,34.3,8,568,199,82,102,40,0.92,360,230,92,130,32,49,177,1045,724,8,,10,,24,,49,4,,,,,,,,
4703,Lakes  & Tanks,"Bulbul Kunta, Laxmiguda, Rajendranagar (M), Rangareddy District",Rangareddy,DRIED UP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4704,Lakes  & Tanks,"PeddaCheruvu, Mansoorabad (V), Saroornagar(M), Rangareddy (D)",Rangareddy,0.3,7.75,913,10,3.8,,21,430,6.1,,,,10,5,205,115,161,7,1.08,,210,125,50,85,20.66,72,,556,,52,1.72,,0.5,,0.98,,,,0.0,0.0,0.02,0.01,0.36,0.04,0.12
4705,Lakes  & Tanks,"Kotta Cheruvu, Alwal (V & M),Medchal-Malkajgiri (D)",Medchal Malkajgiri,0.3,7.69,1812,12,5.2,,20,540,6.1,,,,15,5,420,213,175,9.8,3.04,,446,235,94,211,51.27,126,,1142,,32,3.04,,0.66,,0.93,,,,0.0,0.0,0.0,0.0,0.02,0.03,0.03
5029,Lakes  & Tanks,"Mohini Cheruvu, Ramanthapur (V), Uppal(M), Medchal-Malkajgiri (D)",Hyderabad,sample not collected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5030,Lakes  & Tanks,"Naya Qilla Talab, Golkonda (V&M), Hyderabad (D)",Hyderabad,0.3,7.96,1097,6,3.2,,12,430,4,,,,9.2,5,240,169,60,5.6,1.42,,265,150,60,115,27.95,98,,680,,11,0.89,,0.5,,1.02,,,,0.0,0.0,0.04,0.0,0.03,0.04,0.13
5031,Lakes  & Tanks,"Yerra Kunta, Shaikpet(V&M), Hyderabad (D)",Hyderabad,Not Collected by RO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5032,Lakes  & Tanks,"Kotha Cheruvu, Shaikpet(V&M), Hyderabad (D)",Hyderabad,2.6,7.46,1304,3.6,4.3,,17,540,8.1,,,,8,5,295,164,67,8.4,2.64,,302,160,64,142,34.51,96,,796,,16,2.28,,0.5,,0.95,,,,0.0,0.0,0.03,0.0,0.04,0.05,0.09
5033,Lakes  & Tanks,"Shahatam Cheruvu, Shaikpet(V&M), Hyderabad (D)",Hyderabad,not collected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5034,Lakes  & Tanks,"Shikari Kunta, Hakeempet(V), Shaikpet(M), Hyderabad (D)",Hyderabad,3.2,7.18,1035,3.4,3.4,,12,430,4,,,,7,5,210,130,60,7,1.86,,238,135,54,103,25.03,72,,610,,12,2.16,,0.5,,0.83,,,,0.0,0.0,0.02,0.0,0.04,0.03,0.14
5035,Lakes  & Tanks,"Bathur Kunta, Shaikpet(V&M), Hyderabad (D)",Hyderabad,2,7.54,1046,10,3.1,,14,430,8.1,,,,7.6,5,210,152,119,7,1.72,,242,175,70,67,16.28,92,,638,,14,0.93,,0.5,,0.96,,,,0.0,0.0,0.05,0.0,0.03,0.04,0.16
5036,Lakes  & Tanks,"Ramanna cheruvu, Boinpally(V), Tirumalagiri(M), Hyderabad (D)",Medchal Malkajgiri,Dried up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5037,Lakes  & Tanks,"Tirumalagiri Tank, Tirumalagiri(V & M), Hyderabad (D)",Medchal Malkajgiri,0.3,7.64,1716,12,4.8,,21,540,10,,,,21,5,385,198,171,9.8,2.86,,412,220,88,192,46.66,124,,1028,,46,3.16,,0.5,,0.95,,,,0.0,0.0,0.0,0.0,0.01,0.02,0.05
5038,Lakes  & Tanks,"Salkam Cheruvu , Bandlaguda(kalsa) (V), Bandlaguda (M), Hyderabad (D)",Hyderabad,Not Collected by RO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5039,Lakes  & Tanks,"DMRL Lake, Kanchanbagh, Chandrayanguda (M), Hyderabad (D)",Hyderabad,Not Collected by RO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5040,Lakes  & Tanks,"Bandlaguda Cheruvu, Nagole (V), Uppal (M), Medchal (D)",Medchal Malkajgiri,0.3,7.9,1280,16,4,,24,430,8.3,,,,22,5,295,149,220,8.4,1.56,,316,165,66,151,36.69,88,,836,,66,3.16,,0.5,,0.95,,,,0.0,0.02,0.04,0.02,0.04,0.13,0.48
5041,Lakes  & Tanks,"Pathulguda Cheruvu, Pathulguda (V), Saroornagar (M), Rangareddy (D)",Medchal Malkajgiri,0.3,7.89,1408,8,4.1,,27,540,4,,,,13,5,325,181,100,8.4,1.56,,342,175,70,167,40.58,108,,858,,20,3.48,,0.5,,0.83,,,,0.0,0.0,0.04,0.02,0.05,0.05,0.13
5042,Lakes  & Tanks,"Yellamma Cheruvu,Kukatpally(V&M), Medchal Malkajgiri(D)",Medchal Malkajgiri,0.3,7.46,1502,18,4.9,,24,540,9.3,,,,12,5,340,176,248,8.4,1.86,,372,195,78,177,43.01,102,,958,,94,2.93,,0.5,,1.02,,,,0.0,0.0,0.03,0.02,0.04,0.07,0.56
5043,Lakes  & Tanks,"Mysamma Cheruvu, Kukatpally(V&M), Medchal Malkajgiri(D)",Medchal Malkajgiri,0.3,7.33,1470,12,4.3,,21,540,6,,,,18,5,320,176,159,7,3.18,,348,180,72,168,40.82,106,,896,,36,2.58,,0.5,,0.78,,,,0.0,0.0,0.01,0.0,0.02,0.02,0.02
5044,Lakes  & Tanks,"Sudalavani Kunta (Sunnam Cheruvu), Allahpur(V), Borabanda(M),Medchal Malkajgiri(D)",Medchal Malkajgiri,0.3,6.92,1201,8,4,,9.2,540,6.1,,,,17,5,245,152,112,8.4,1.86,,320,185,74,135,32,94,,804,,36,2.86,,0.6,,0.74,,,,0.0,0.0,0.01,0.0,0.02,0.02,0.02
5045,Lakes  & Tanks,"Mothkula Kunta, MachaBollaram(V),Alwal (M), Medchal Malkajgiri(D)",Medchal Malkajgiri,0.3,7.14,1441,10,4.6,,27,540,6.1,,,,14,5,305,169,151,8.4,1.54,,340,180,72,160,38.88,106,,894,,22,3.16,,0.5,,0.79,,,,0.0,0.0,0.05,0.03,0.03,0.04,0.24
5046,Lakes  & Tanks,"Chintal Cheruvu, Gajularamaram(V), Quthbullapur(M), Medchal Malkajgiri(D)",Medchal Malkajgiri,2.9,7.67,533,3.2,3.3,,14,350,2,,,,8,5,140,71,48,4.2,0.98,,156,75,32,81,18,42,,312,,12,1.06,,0.5,,1.06,,,,0.0,0.0,0.05,0.03,0.03,0.05,0.06
5047,Lakes  & Tanks,"Mahaboob kunta , Suraram(V), Quthbullapur(M), Medchal Malkajgiri(D)",Medchal Malkajgiri,0.3,7.39,891,10,3.6,,14,430,4,,,,10,5,185,130,151,5.6,1.54,,206,110,44,96,23.33,78,,542,,18,1.56,,0.5,,0.75,,,,0.0,0.0,0.01,0.0,0.01,0.02,0.07
5048,Lakes  & Tanks,"Bandam Kunta, Gajularamaram (V), Quthbullapur (M), Medchal Malkajgiri (D)",Medchal Malkajgiri,Lake Sample were not collected as there was no access to collect sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5049,Lakes  & Tanks,"Meddela Kunta, Gajularamaram(V), Quthbullapur(M), Medchal Malkajgiri(D)",Medchal Malkajgiri,not collected RO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5050,Lakes  & Tanks,"Venna Cheruvu, Jeedimetla(V), Quthbullapur(M), Medchal Malkajgiri(D)",Medchal Malkajgiri,0.3,7.35,1561,10,4.6,,24,540,6,,,,22,5,360,174,167,8.4,2.84,,372,195,78,177,43.01,110,,952,,44,2.48,,0.5,,0.87,,,,0.0,0.0,0.02,0.01,0.04,0.05,0.2
5051,Lakes  & Tanks,"Chinna Bandham, Suraram(V), Quthbullapur(M), Medchal Malkajgiri(D)",Medchal Malkajgiri,no access,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5052,Lakes  & Tanks,"Bakshi Kunta, Chandanagar(V), Sherilingampally(M), Ranga Reddy(D)",Medchal Malkajgiri,Dried Up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5053,Lakes  & Tanks,"Ramamma Kunta , Gachibowli (V), Sherilingampally(M), Ranga Reddy (D)",Medchal Malkajgiri,0.3,7.54,1130,8,4.1,,11,430,4,,,,9,5,240,159,92,7,1.46,,262,140,56,122,29.65,98,,688,,12,2.48,,0.5,,0.88,,,,0.0,0.0,0.01,0.01,0.03,0.05,0.11
5054,Lakes  & Tanks,"Komati Kunta, Gopanpally (V), Sherilingampally (M), Ranga Reddy (D)",Medchal Malkajgiri,0.3,8.18,889,8,3.2,,10,430,4,,,,6,5,180,142,120,7,0.84,,212,107,42.8,105,24,86,,560,,10,1.28,,0.62,,0.89,,,,0.0,0.0,0.02,0.0,0.02,0.03,0.06
5055,Lakes  & Tanks,"Chinna Pedda cheruvu, Gopanpally(V), Sherilingampally(M), Ranga Reddy(D)",Medchal Malkajgiri,2.1,7.95,602,4.6,2.9,,8.3,350,2,,,,7,5,125,100,60,2.8,0.62,,144,75,30,69,16.77,62,,344,,12,0.59,,0.5,,0.64,,,,0.0,0.0,0.02,0.0,0.03,0.04,0.06
5056,Lakes  & Tanks,"Nayanamma Kunta (Baspalli Cheruvu), Hafeezpet (V), Sherilingampally (M), Ranga Reddy (D)",Medchal Malkajgiri,Dried Up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5057,Lakes  & Tanks,"Kudi Kunta (Gauthami Lake), Kondapur(V), Sherilingampally(M), Ranga Reddy(D)",Medchal Malkajgiri,0.3,6.89,1484,6,4.7,,12,540,6.1,,,,18,5,345,174,108,7,0.94,,368,195,78,173,42.04,106,,840,,32,2.87,,0.6,,0.93,,,,0.0,0.0,0.03,0.0,0.04,0.06,0.13
5058,Lakes  & Tanks,"Regula Kunta, Miyapur (V), Sherilingampally (M), Ranga Reddy (D)",Medchal Malkajgiri,2,8.14,951,5,3.4,,17,350,8.2,,,,9.8,5,175,127,67,5.6,0.84,,238,133,53,105,26,76,,580,,16,2.86,,0.5,,0.83,,,,0.0,0.0,0.03,0.0,0.03,0.03,0.05
5059,Lakes  & Tanks,"Gopi Cheruvu, Lingampally(V), Sherilingampally(M), Ranga Reddy(D)",Medchal Malkajgiri,0.3,7.24,1102,12,3.9,,17,430,6,,,,8,5,175,172,173,5.6,1.98,,302,155,62,147,35.72,98,,702,,13,2.19,,0.62,,0.91,,,,0.0,0.0,0.03,0.0,0.03,0.03,0.06
5060,Lakes  & Tanks,"Chakalavani Cheruvu , Lingampally(V), Sherilingampally(M), Ranga Reddy(D)",Medchal Malkajgiri,0.3,7.42,1070,8,3.4,,10,430,4,,,,10,5,160,162,116,5.6,1.38,,290,155,62,135,32.8,102,,644,,18,2.39,,0.5,,0.86,,,,0.0,0.0,0.03,0.0,0.03,0.06,0.18
5061,Lakes  & Tanks,"Peddakudi Cheruvu, Maqta Mahboobpet(V), Sherilingampally(M), Ranga Reddy(D)",Medchal Malkajgiri,0.3,7.6,980,16,3.5,,8.3,430,4,,,,7.6,5,205,125,78,7,2.08,,242,127,51,115,28,72,,608,,14,2.14,,0.5,,0.79,,,,0.0,0.0,0.03,0.0,0.03,0.04,0.06
5062,Lakes  & Tanks,"Gurunath Cheruvu, Miyapur (V), Sherilingampally(M), Ranga Reddy (D)",Medchal Malkajgiri,0.3,7.26,602,16,3.2,,8.2,350,4,,,,6,5,180,69,220,4.2,0.96,,208,118,47,90,22,42,,380,,12,2.42,,0.5,,0.85,,,,0.0,0.0,0.04,0.0,0.03,0.02,0.09
5063,Lakes  & Tanks,"Nanakram Kunta, Nanakramguda(V), Sherilingampally(M), Ranga Reddy (D)",Medchal Malkajgiri,Not submitted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5111,Lakes  & Tanks,"Nagiraddy Kunta(Yapral Cheruvu), Alwal (V&M), Medchal- Malkajgiri(D)",Medchal Malkajgiri,0.3,7.75,1819,12,5.3,,24,540,9.3,,,,24,5,350,280,199,9.8,3.06,,480,255,102,225,54.67,210,,1146,,82,3.38,,0.5,,1.06,,,,0.0,0.0,0.03,0.01,0.05,0.11,0.34
5112,Lakes  & Tanks,"Kamuni Cheruvu, Moosapet (V), Kukatpally (M),Medchal- Malkajgiri (D)",Medchal Malkajgiri,0.3,7.81,1584,10,4.3,,17,430,6,,,,16,5,360,202,155,7,2.68,,396,210,84,186,45.2,132,,966,,33,2.89,,0.5,,1.02,,,,0.0,0.0,0.03,0.01,0.05,0.05,0.1
5113,Lakes  & Tanks,"Chinna Cheruvu, Ramanthapur (V), Uppal (M),Medchal- Malkajgiri (D)",Medchal Malkajgiri,0.3,8.08,1115,14,3.6,,27,540,4,,,,10,5,240,186,241,8.4,2.08,,272,155,62,117,28.43,102,,690,,48,2.84,,0.5,,0.89,,,,0.0,0.0,0.01,0.0,0.03,0.04,0.04
5114,Lakes  & Tanks,"Shanthisaravor Pond, Gachibowli (V), Serlingampally (M), Rangareddy (D)",Rangareddy ,DRIED UP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5115,Lakes  & Tanks,"Rajmahamad Kunta-Maska Kunta, Izzathnagar (V), Serilingampally (M), Rangareddy (D).",Rangareddy ,0.3,7.62,1240,12,4.3,,21,540,10,,,,16,5,215,169,192,7,2.18,,336,220,88,116,28.19,98,,820,,42,3.04,,0.5,,0.95,,,,0.0,0.0,0.01,0.0,0.04,0.04,0.04
5116,Lakes  & Tanks,"Kotha Cheruvu (Novatel Lake), Khanamet (V), Serilingampally (M), Rangareddy(D)",Rangareddy ,0.3,7,1350,8,4.6,,14,540,6,,,,12,5,235,184,112,7,2.96,,352,192,76.8,160,38.88,110,,880,,22,3.18,,0.5,,1.06,,,,0.0,0.0,0.03,0.0,0.05,0.05,0.2
5117,Lakes  & Tanks,"Masid Banda Lake, Kondapur, Serilingampally, Rangareddy District",Rangareddy ,Sample was not submitted by RO.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5118,Lakes  & Tanks,"Kotha Kunta, Hafeezpet (V), Shaikpet (M), Rangareddy (D)",Rangareddy ,0.3,7.77,950,16,3.8,,14,540,4,,,,12,5,185,127,302,7,1.58,,320,210,84,110,26.73,76,,602,,44,2.75,,0.5,,0.89,,,,0.0,0.0,0.01,0.0,0.04,0.04,0.04
5119,Lakes  & Tanks,"Kaidamma Kunta, Hafeezpet (V), Serilingampally (M), Rangareddy (D)",Rangareddy ,0.3,7.96,1144,18,4.6,,24,540,11,,,,22,5,230,147,392,11.2,2.92,,374,230,92,144,34.99,82,,750,,58,3.16,,0.5,,0.92,,,,0.0,0.0,0.01,0.0,0.04,0.04,0.04
5120,Lakes  & Tanks,"Thammidi Kunta, Khanapet (V), Serlingampally (M), Rangareddy (D)",Rangareddy ,0.3,7.07,1408,7,4.2,,21,540,8.2,,,,10,5,320,174,104,8.4,2.46,,342,185,74,157,38.15,106,,872,,15,3.18,,0.5,,1.06,,,,0.0,0.0,0.02,0.0,0.05,0.05,0.22
5121,Lakes  & Tanks,"Pale Cheruvu, Katedhan (V), Rajendranagar (M), Rangareddy (D)",Rangareddy,0.3,6.74,1714,12,6.3,,27,540,8.2,,,,13,5,340,222,189,11.2,3.24,,410,210,84,200,48.6,144,,1046,,42,3.12,,0.5,,0.95,,,,0.0,0.0,0.02,0.0,0.06,0.07,0.15
5122,Lakes  & Tanks,"Mulaguard Lake, Katedan, Rajendranagar, Rangareddy District",Rangareddy,0.3,7.55,3205,10,10.2,,38,540,17,,,,8,5,670,529,189,12.6,3.94,,710,385,154,325,78.97,316,,1872,,18,3.22,,0.61,,1.06,,,,0.0,0.0,0.01,0.0,0.03,0.03,0.05
5123,Lakes  & Tanks,"Pedda Cheruvu, Ibrahimbagh, Gandipet",Rangareddy,station code : 4228 & 5123 are same,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5124,Lakes  & Tanks,"TCS Energy Park Lake,Gachibowli(V), Serilingampally (M), Rangareddy (D)",Rangareddy ,4.2,8.12,776,2.8,3.6,,Less than 1.8,210,Less than 1.8,,,,6,5,110,123,48,1.5,0.4,,180,115,46,65,15.79,74,,473,,12,0.46,,0.5,,0.61,,,,0.0,0.0,0.0,0.0,0.0,0.01,0.04
