Station code,water_bodies,Station name,District,DO (mg/L),pH,Conductivity (μs/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia  (mg/L),Free Ammonia  (mg/L),Total Hardness as CaCO3(mg/L),Calcium Hardness as CaCo3(mg/L),Calcium as Ca+2(mg/L),Magnesium Hardness as CaCo3 (mg/L),Magnesium as Mg+2(mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR,Arsenic,Cadmium,Copper,Lead,Total Chromium,Nickel,Zinc,Iron
4222,Lakes  & Tanks,"Kondagattu temple- Koneru, Jagitiyal",Jagityal,5.1,7.62,478,2.8,2.8,,Less than 1.8,47,Less than 1.8,,,,7.2,5,135,54,44,1.5,0.4,,152,75,30,77,18.71,31,,302,,12,0.36,,0.5,,0.49,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.05
4223,Lakes  & Tanks,"Vemulawada temple - Koneru, Vemulawada (V & M) Karimnagar",Siricilla,2.8,7.75,1194,5,3.2,,Less than 1.8,70,Less than 1.8,,,,6.4,5,260,152,76,2.8,0.74,,294,160,64,134,32.56,94,,742,,14,2.86,,0.5,,0.53,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.05
4228,Lakes  & Tanks,"Pedda cheruvu/Ibrahim cheruvu, Ibrahimbagh, Rajendranagar(M), Rangareddy District",RR-shamshabad,Dreid Up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4230,Lakes  & Tanks,"Kistaipally Cheruvu, Kistaipally (V), Jinnaram(M), Sangareddy District",Sangareddy,7,7.36,4740,10.6,45,0.24,5.6,84,3.3,5.4,0.58,,10.8,20,350,690,104,68,,BDL,1115,625,250,490,120,116,135,2344,1640.8,21,,0.18,BDL,7,BDL,26.65,1.64,BDL,BDL,BDL,BDL,BDL,BDL,BDL,0.13
4231,Lakes  & Tanks,"Rayam Cheruvu, Bonthapally (V), Gummadidala (M), Sangareddy District",Sangareddy,7.5,7.64,1581,6.4,20,0.21,4.5,61,3.1,6,0.63,,6.8,24,280,211,64,36,,BDL,430,225,90,205,50,82,46,949,664.3,16,,0.19,BDL,4.5,0.11,24.53,0.92,BDL,BDL,BDL,BDL,BDL,BDL,BDL,0.19
4232,Lakes  & Tanks,"Komati Cheruvu, Siddipet Town, Siddipet District.",Siddipet,7.9,7.71,829,3.5,14,0.15,2.1,34,1.8,6.4,0.67,,4.3,16,190,94,42,30,,BDL,235,145,58,90,22,65,21,497,347.9,11,,0.16,BDL,4,0.12,19.39,0.52,BDL,BDL,BDL,BDL,BDL,BDL,BDL,0.06
4235,Lakes  & Tanks,"Kamuni Cheruvu, Shamshabad (V&M), Rangareddy District",RR-shamshabad,0.3,7.39,1312,8,3.4,,27,430,4,,,,10,5,322,180,104,7,1.82,,330,180,72,150,36.45,118,,802,,20,2.83,,0.61,,0.86,,,,0.0,0.0,0.03,0.01,0.03,0.03,0.07
4233,Lakes  & Tanks,"Gaddapotharam cheruvu, Gaddapotharam (V), Jinnaram (M), Sangareddy District",Sangareddy,7.8,7.14,3810,10.6,50,0.24,6.1,68,5.5,5,0.53,,14.6,24,430,685,104,84,,BDL,870,500,200,370,90,102,155,2286,1600.2,19,,0.08,0.15,32,0.25,31.05,2.0,BDL,BDL,BDL,BDL,BDL,BDL,BDL,0.18
4238,Lakes  & Tanks,"Ameenpur Cheruvu, Ameenpur (V & M), Sangareddy District",Sangareddy,7.3,7.96,1366,6.5,29,0.22,5.6,61,3.1,5.5,0.58,,9.5,24,140,190,74,54,,BDL,400,270,108,130,32,90,23,820,574,14,,0.23,BDL,16,0.26,11.69,0.41,BDL,BDL,BDL,BDL,BDL,BDL,BDL,0.04
4239,Lakes  & Tanks,"Mahaboobsagar Tank, Sangareddy(V&M), Sangareddy District",Sangareddy,6.5,7,1129,3.8,18,0.21,4,47,3.6,5,0.54,,5.2,36,205,115,48,36,,BDL,290,160,64,130,32,58,22,677,473.9,6,,0.16,BDL,5,0.22,17.74,0.52,BDL,BDL,BDL,BDL,BDL,BDL,BDL,0.08
