Station code,water_bodies,Station name,District,RO,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia  (mg/L),Free Ammonia  (mg/L),Hardness (mg/L),Calcium (mg/L),Magnesium (mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR
3080,River Kinneresani,U/s of Karakavagu at Paloncha,Bhadradri Kothagudem ,Kothagudem,4.6,7.84,683,2.1,0.18,,Less than 1.8,33,Less than  1.8,,,,9,5,190,54,12,5,0.1,0.01,205,47.2,21.14,32,,428,,14,0.1,,0.1,,0.1,,
3081,River Kinneresani,D/s of Karakavagu at Paloncha,Bhadradri Kothagudem ,Kothagudem,4.1,8.11,571,2.1,0.2,,Less than 1.8,40,Less than  1.8,,,,12.4,5,155,46,10,5,0.1,0.01,170,43.2,15.07,28,,344,,16,0.1,,0.1,,0.1,,
1784,River Krishna ,River Krishna at Thangadi,Mahaboobnagar,Hyderabad ,5.9,7.77,889,2.1,2.2,,4,220,Less than  1.8,,,,11,6,245,82,12,5,0.1,0.01,260,63.2,24.79,52,,540,,10,0.1,,0.1,,0.48,,
39,River Krishna ,River Krishna at Gadwal bridge,Mahaboobnagar,Hyderabad ,5.9,7.85,810,2.1,2,,4,220,Less than  1.8,,,,10,5,250,78,10,5,0.1,0.01,272,65.6,26.24,44,,480,,10,0.1,,0.1,,0.88,,
4225,River Krishna ,"Jogulamba Temple, Gadwal",Jogulamba Gadwal,Hyderabad ,5.8,7.51,633,2.1,2.1,,9,210,Less than  1.8,,,,12,5,175,72,10,5,0.1,0.01,190,46.4,17.98,41,,388,,14,0.1,,0.1,,0.76,,
4259,River Krishna ,Nagarjuna Sagar Dam Spill way,Nalgonda,Nalgonda,6.3,7.25,630,2.6,7,0.11,3.7,21,Less than  1.8,,,,10,14,124,76,22,5,0.1,0.01,186,38,22,10,25,357,248,8,,0.16,0.1,4,0.27,22.08,0.8
4252,River Krishna ,"Udaya Samudram balancing Reservoir,",Nalgonda,Nalgonda,6.3,7.12,674,2.3,8,0.12,5.5,31,2,,,,14,20,138,80,20,5,0.1,0.01,217,44,26,14,23,380,284,7,,0.13,0.1,4,0.35,18.28,0.68
1465,River Krishna ,Confluence of River Krishna & River Musi at at Wadapally,Nalgonda,Nalgonda,6.1,6.97,839,2.5,8,0.15,8.1,33,4.5,,,,11,20,164,114,28,5.04,0.1,0.01,280,56,34,17,29,472,312,13,,0.11,0.1,5,0.24,17.95,0.75
4663,River Krishna ,"River Krishna at Mattepally, 500 mts. before bathing ghat",Suryapet,Nalgonda,6.3,7.09,728,2.6,6,0.12,7.8,40,3.7,,,,7,16,168,108,30,5.6,0.1,0.01,267,54,32,18,32,428,311,10,,0.15,0.1,6,0.27,20.13,0.85
1215,River Krishna ,River Munneru at Thummala cheruvu/Madannapet,Warangal Rural,Warangal,6.2,7.9,277,2.1,0.18,,Less than 1.8,24,Less than  1.8,,,,7.4,5,65,22,10,5,0.1,0.01,84,22.4,6.8,15,,177,,13,0.1,,0.1,,0.17,,
4250,River Krishna ,"Palair Reservoir, Khammam",Khammam,Kothagudem,6.1,8.1,499,2.1,0.18,,Less than 1.8,40,Less than  1.8,,,,11,8,135,54,10,5,0.1,0.01,150,37.6,13.61,31,,301,,10,0.1,,0.1,,0.18,,
4251,River Krishna ,"D/S of Munneru River, Prakash Nagar, Khammam",Khammam,Kothagudem,5.8,8.43,568,2.1,0.28,,Less than 1.8,46,Less than  1.8,,,,11,20,155,46,13,5,0.1,0.01,175,42.4,16.77,28,,344,,12,0.12,,0.1,,0.18,,
4253,River Musi,Musi sample at Bapughat sangam U/S of Musi,Hyderabad,Hyderabad,0.3,7.7,1230,6,1,,63,540,11,,,,18,7,380,133,66,5.6,1.95,0.05,354,84,35,84,,720,,98,1.2,,0.1,,0.95,,
4656,River Musi,"River Musi at Moosarambagh bridge, Hyderabad",Medchal Malkajgiri,RR-I,0.3,8.21,1114,11,3.6,,79,430,17,,,,18.2,10,340,138,124,5,1.52,0.13,360,84.8,35.96,82,,610,,66,2.4,,0.1,,0.85,,
2339,River Musi,River Musi at Nagole,Shamshabad,RR-I,0.3,8.18,1209,9,4.2,,110,540,21,,,,14,5,365,129,102,5,1.42,0.11,380,89.6,37.91,76,,681,,39,2.8,,0.1,,0.86,,
4659,River Musi,"Outlet of Nalla Cheruvu, Peerajadiguda",Yadadri Bhuvanagiri,Nalgonda,0.3,7.77,1410,8,3.8,,84,430,8,,,,18,5,380,158,72,5,1.38,0.04,400,98.4,37.42,94,,844,,48,2.1,,0.1,,0.95,,
4660,River Musi,River Musi at Peerajadiguda,Suryapet,Nalgonda,0.3,7.95,1276,10,4,,63,430,10,,,,28,5,380,136,127,5,1.2,0.05,394,94.4,38.39,85,,711,,57,2.6,,0.1,,0.86,,
1173,River Musi,D/s. of Musi at Pratapasingaram,Rangareddy,RR-I,0.3,7.65,1229,7.2,4.6,,84,430,8,,,,22,5,360,128,64,5,1.52,0.04,375,91.2,35.72,72,,685,,48,1.8,,0.1,,0.82,,
4657,River Musi,River Musi at Pillapalli,Rangareddy-I,Rangareddy,1.2,7.49,1212,4,4.2,,43,430,11,,,,17,5,340,142,47,5,1.1,0.01,365,89.6,34.26,85,,676,,31,2,,0.1,,1.18,,
4254,River Musi,River Musi sample at Rudravelly bridge,Yadadri Bhuvanagiri,Nalgonda,5.8,7.28,1422,5.6,12,0.11,6.8,140,4.5,,,,15,25,214,148,46,8.4,0.4,0.01,351,68,44,18,42,810,603,13,,0.11,0.1,7,0.36,20.13,0.97
4658,River Musi,"River Musi at Valigonda bridge, Nalgonda dist",Yadadri Bhuvanagiri,Nalgonda,6.1,7.24,1340,4.2,11,0.13,5.5,110,4,,,,12,22,192,140,40,7.28,0.3,0.01,320,62,40,13,39,760,564,12,,0.15,0.1,6,0.39,20.47,0.95
3082,River Musi,River Musi at Solipet (Kasaniguda),Suryapet,Nalgonda,6.2,7.17,1096,3.8,10,0.12,5.6,84,1.8,,,,13,16,180,114,35,6.16,0.4,0.01,285,58,34,12,33,620,455,14,,0.14,0.1,4,0.26,19.73,0.85
1172,Lakes & Tanks ,U/s of Musi at Gandipet (Osmansagar lake),Shamshabad,RR-I,5.9,8.16,450,2.1,0.18,,Less than 1.8,33,Less than  1.8,,,,9.8,8,120,49,10,5,0.1,0.01,135,32.8,12.88,29,,280,,14,0.2,,0.1,,0.31,,
1780,Lakes & Tanks ,Gandigudem Tank,Sangareddy,ZL-RCP,5.8,7.37,1577,6,14,0.16,6,110,3.6,,,,25,28,294,176,66,12,0.4,0.01,460,92,56,26,49,890,644,12,,0.12,0.1,11,0.37,18.24,0.99
2358,Lakes & Tanks ,Mallapur tank,Medchal Malkajgiri,Rangareddy - I,0.3,7.95,1791,10,12.4,,17,430,2,,,,12.2,5,485,210,119,7.84,1.2,0.01,505,123.2,47.87,132,,1010,,38,0.46,,0.1,,0.78,0,0
2347,Lakes & Tanks ,Asani Kunta,Sangareddy,ZL-RCP,0.3,7.26,4750,160,31,0.35,9.1,240,6,,,,244,52,670,404,656,116,18,0.18,969,190,120,118,139,2708,1998,114,,0.32,0.38,92,0.84,21.66,1.94
1783,Lakes & Tanks ,Kistareddypet Tank,Sangareddy,ZL-RCP,5.9,7.14,1624,6,21,0.1,5.5,43,2,,,,12,36,266,170,56,10,1,0.01,427,82,54,28,48,926,688,18,,0.13,0.1,15,0.29,18.85,1.01
2348,Lakes & Tanks ,Khazipally Tank,Sangareddy,ZL-RCP,5,7.33,1480,9,15,0.13,8.1,58,4.5,,,,15,37,320,168,84,16,0.6,0.01,469,92,58,20,51,820,543,16,,0.12,0.1,8,0.31,18.7,1.02
4243,Lakes & Tanks ,"Isnapur Tank,",Sangareddy,Sangareddy,5.2,6.89,2896,11,15,0.17,17,140,9.2,,,,27,32,378,228,90,16.8,0.5,0.01,580,110,74,23,65,1631,1120,16,,0.14,0.1,12,0.49,19.09,1.17
4302,Lakes & Tanks ,Rudraram Tank,Sangareddy,Sangareddy - I,5.9,7.04,1842,5,10,0.11,7.8,48,3.7,,,,18,25,230,134,58,11,0.1,0.01,359,68,46,15,42,1050,772,8,,0.16,0.1,10,0.48,19.6,0.96
4240,Lakes & Tanks ,"Muthangi Tank,",Sangareddy,Sangareddy,6.2,6.93,974,2.9,9,0.1,4.5,43,1.8,,,,10,12,156,94,26,5,0.1,0.01,248,50,30,14,25,550,397,9,,0.1,0.1,6,0.58,17.42,0.69
4241,Lakes & Tanks ,"Chitkul Tank,",Sangareddy,Sangareddy,6,6.84,1394,3.8,12,0.12,8.2,63,4,,,,16,20,228,152,34,6.16,0.1,0.01,334,65,38,16,42,790,587,10,,0.15,0.1,3,0.34,21.95,1.02
4242,Lakes & Tanks ,"Lakadaram Cheruvu,",Sangareddy,Sangareddy,5.8,7.01,1024,5.2,10,0.14,9.2,70,4.5,,,,14,20,156,108,54,10,0.9,0.01,267,54,32,13,25,580,416,9,,0.12,0.1,7,0.37,16.39,0.66
4246,Lakes & Tanks ,Pashamylaram Tank,Sangareddy,Sangareddy,Station code:2359 & 4236 both the stations are same,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1789,Lakes & Tanks ,Himayathsagar lake,RR-shamshabad,Rangareddy - I,6,8.11,473,2.1,0.2,0.1,Less than  1.8,37,Less than  1.8,,,,8.6,5,125,54,10,5,0.1,0.01,138,34.4,13.12,24,,280,,13,0.18,,0.01,,0.34,,
3069,Lakes & Tanks ,"Shameerpet lake, Shameerpet",Medchal Malkajgiri,Rangareddy - II,5.5,7.96,614,2.1,0.38,,4,240,Less than  1.8,,,,8.2,5,165,86,12,5,0.1,0.01,180,46.4,15.55,48,,380,,10,0.2,,0.1,,0.39,,
3078,Lakes & Tanks ,"Pragathinagar cheruvu, Kukatpally",Medchal Malkajgiri,Rangareddy - II,0.3,8.01,1430,11,5.6,,9,430,4,,,,24,5,415,154,142,5,1.69,0.09,440,108.8,40.82,97,,798,,96,0.32,,0.1,,0.59,,
2340,Lakes & Tanks ,Lakshminarayana cheruvu,Medchal Malkajgiri,Rangareddy - I,3.2,8.26,1475,3,2.4,,4,350,Less than  1.8,,,,8.8,10,405,196,51,5,1.2,0.11,420,105.6,37.91,128,,934,,15,0.2,,0.1,,0.83,,
1788,Lakes & Tanks ,Saroornagar Lake / Large Tank,RR-shamshabad,Rangareddy - I,0.3,8.12,1294,6.4,7.8,,27,430,17,,,,20.8,5,345,128,67,5,2.39,0.17,365,88,35.23,78,,807,,31,2.84,,0.1,,0.79,,
4234,Lakes & Tanks ,"Umda sagar lake, Shamshabad",RR-shamshabad,Rangareddy - I,3,7.12,887,2.1,6.6,,33,430,11,,,,11,7,230,124,30,5,1.2,0.01,255,61.6,24.54,76,,544,,18,1.36,,0.1,,0.71,17.76,
1464,Lakes & Tanks ,Bibinagar Tank,Yadadri Bhuvanagiri,Nalgonda,6,7.08,748,2.8,11,0.1,10,46,6,,,,10,18,216,76,30,5.6,0.1,0.01,275,54,34,8,28,436,310,15,,0.18,0.1,4,0.36,,0.73
3068,Lakes & Tanks ,Ramappa lake,Mulugu,Warangal,6.2,7.91,255,2.1,0.22,,2,70,Less than  1.8,,,,6,5,60,27,10,5,0.1,0.01,76,17.6,7.78,18,,164,,8,0.1,,0.1,,0.19,,
1447,Lakes & Tanks ,Dharmasagar tank,Warangal,Warangal,5.1,8.12,389,2.1,2.2,,4,220,Less than  1.8,,,,8,7,95,39,10,5,0.1,0.01,115,28,10.94,22,,240,,9,0.1,,0.1,,0.29,,
2346,Lakes & Tanks ,Bhadrakali tank,Warangal Urban,Warangal,5,8.47,667,2.1,2,,27,180,Less than  1.8,,,,6,15,175,80,12,5,0.1,0.01,195,49.6,17.25,48,,388,,8,0.12,,0.1,,0.31,,
3084,Lakes & Tanks ,"Waddepally tank, Kazipet",Warangal Urban,Warangal,4.9,8.11,443,2.1,2.2,,8,280,Less than  1.8,,,,8.6,6,110,53,10,5,0.1,0.01,130,30.4,13.12,32,,268,,6,0.1,,0.1,,0.35,,
3085,Lakes & Tanks ,Chinnawaddepally tank,Warangal Urban,Warangal,2.4,8.31,1097,3.8,3.6,,43,430,4,,,,11,10,305,148,47,5,1.19,0.12,330,82.4,30.13,92,,680,,12,1.68,,0.1,,0.8,,
2343,Lakes & Tanks ,Premajipet tank,RR-shamshabad,Ranga Reddy,0.3,8.39,1921,8,5.6,,4,430,Less than  1.8,,,,9,13,505,224,105,5.6,3.38,0.41,603,144,59,152,,1198,,13,1,,0.1,,0.47,,
2345,Lakes & Tanks ,Sai Cheruvu,Warangal Urban,Warangal,1,8.28,2385,4,4.2,,17,180,Less than  1.8,,,,9.8,5,665,394,51,5.6,2.55,0.24,644,157,61,212,,1328,,13,1.92,,0.1,,0.41,,
4222,Lakes & Tanks ,"Koneru, Kondagattu temple, Jagitiyal",Jagityal,Ramagundam,Sample couldn't be collected as source points were dried up.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4223,Lakes & Tanks ,"Vemulawada temple Koneru , Karimnagar",Siricilla,Ramagundam,Sample couldn't be collected as source points were dried up.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4228,Lakes & Tanks ,"Pedda Cheruvu/Ibrahim Cheruvu, Rajendra Nagar",RR-shamshabad,Ranga Reddy-I,0.3,8.03,1075,7.2,11.6,,33,430,11,,,,8.6,9,275,124,63,5,1.22,0.07,300,72.8,28.67,76,,658,,13,1.26,,0.1,,0.51,18.83,
4230,Lakes & Tanks ,Kistaipally Cheruvu,Sangareddy,R.C.Puram,5.2,7.41,3422,5.7,16,0.14,9.1,70,3.7,,,,23,36,376,220,64,12,1,0.01,590,114,74,34,64,1950,1415,10,,0.17,0.1,5,0.42,19.09,1.14
4231,Lakes & Tanks ,"Rayam Cheruvu,",Sangareddy,R.C.Puram,5.6,7.29,1277,2.9,10,0.15,8.2,33,5.5,,,,15,28,238,110,31,5.6,0.1,0.01,343,68,42,28,38,720,516,11,,0.12,0.1,4,0.35,19.89,0.89
4232,Lakes & Tanks ,"Komati Cheruvu,",Siddipet,R.C.Puram,6,7.21,739,3,8,0.1,1.8,40,Less than  1.8,,,,9,16,184,70,34,6.16,0.1,0.01,236,46,30,13,28,420,296,8,,0.17,0.1,4,0.37,,0.79
4235,Lakes & Tanks ,Lake Kamuni ( Shamshabad Lake),RR-shamshabad,Ranga Reddy-I,3.6,8.12,771,2.1,7.2,,27,430,17,,,,8,8,205,96,28,5,0.23,0.02,225,54.4,21.63,58,,478,,8,1.36,,0.1,,0.58,20.86,
4233,Lakes & Tanks ,"Gaddapotharam cheruvu,",Sangareddy,R.C.Puram,5.4,6.95,3840,12,14,0.18,15,120,7.8,,,,30,36,318,218,96,17.92,0.8,0.01,512,96,66,25,64,2189,1622,13,,0.26,0.1,10,0.46,20.51,1.23
4238,Lakes & Tanks ,"Ameenpur Cheruvu,",Sangareddy,Sangareddy,5.8,6.93,1195,4,11,0.16,12,84,9.2,,,,14,17,220,110,39,7.28,0.5,0.01,316.29,64,38,26,39,680,502,16,,0.15,0.1,8,0.49,19.36,0.95
4239,Lakes & Tanks ,"Mahaboobsagar Tank,",Sangareddy,Sangareddy,5.9,6.85,937,5.2,10,0.12,8.2,70,4,,,,12,16,142,76,48,8.96,0.7,0.01,207,40,26,10,24,530,387,11,,0.12,0.1,7,0.41,19.69,0.72
4244,Lakes & Tanks ,"Erdanoor Tank,",Sangareddy,Sangareddy,6.4,7.05,1348,3,12,0.1,9.3,48,6,,,,9,12,168,98,24,5,0.1,0.01,257,50,32,13,30,768,568,13,,0.11,0.1,6,0.34,20.48,0.81
4245,Lakes & Tanks ,"Mallepally Tank,",Sangareddy,Sangareddy,6,7.02,989,2.1,8,0.13,10,63,5.5,,,,11,16,130,112,22,5,0.1,0.01,229,47,27,15,28,571,446,10,,0.14,0.1,5,0.49,,0.8
4247,Lakes & Tanks ,"Mucharla Nagaram cheruvu, Warangal",Warangal Urban,Warangal,3.8,8.6,633,2.1,6.8,,27,350,4,,,,10.8,20,195,68,16,5,0.11,0.02,205,49,20,38,,356,,13,0.78,,0.1,,0.59,,
4248,Lakes & Tanks ,"Koti Cheruvu, Hanamkonda, Warangal",Warangal Urban,Warangal,2,7.94,999,4,4.6,,27,430,11,,,,9,8,275,138,48,5,0.47,0.02,295,73.6,26.97,82,,622,,10,0.46,,0.1,,0.82,,
