Station code,water_bodies,Station name,District,DO (mg/L),pH,Conductivity (μs/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia  (mg/L),Free Ammonia  (mg/L),Total Hardness as CaCO3(mg/L),Calcium Hardness as CaCo3(mg/L),Calcium as Ca+2(mg/L),Magnesium Hardness as CaCo3 (mg/L),Magnesium as Mg+2(mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR
4235,Lakes  & Tanks,"Kamuni Cheruvu, Shamshabad (V&M), Rangareddy District",RR-shamshabad,0.3,8.28,1044,6.2,2,,24,430,2,,,,15,15,220,169,87,8.4,1.56,0.15,245,170,68,75,18.22,109,,658,,27,2.53,,0.5,,0.78,,
4233,Lakes  & Tanks,"Gaddapotharam cheruvu, Gaddapotharam (V), Jinnaram (M), Sangareddy District",Sangareddy,8,7.1,2916,11,48,0.26,6.3,62,5.6,,,,12.48,20,420,657,120,98,0.4,0.01,780,450,180,330,80.19,96,170,1890,1220,20,,0.2,0.5,28,0.25,35.58,2.32
4238,Lakes  & Tanks,"Ameenpur Cheruvu, Ameenpur (V & M), Sangareddy District",Sangareddy,7.6,7.48,1177,7.56,34,0.21,6.8,61,6,,,,8.74,28,135,152,84,58,0.4,0.01,325,215,86,110,26.73,86,30,702,498.42,15,,0.19,0.5,12,0.23,17.9,0.6
4239,Lakes  & Tanks,"Mahaboobsagar Tank, Sangareddy(V&M), Sangareddy District",Sangareddy,5.8,8.5,811,5.04,17,0.17,6.8,81,6.1,,,,5.82,32,205,101,56,35,0.4,0.01,250,130,52,120,29.16,52,28,512,363.52,10,,0.16,0.5,2,0.25,25.74,0.74
4244,Lakes  & Tanks,"Erdhanoor Tank, Erdhanoor (V), Patancheru (M), Sangareddy District",Sangareddy,7,8.28,1390,3.6,25,0.15,5.6,41,4.5,,,,4.16,20,260,295,40,32,0.4,0.01,555,300,120,255,61.96,86,22,890,620,10,,0.12,0.5,5,0.2,10.68,0.38
4245,Lakes  & Tanks,"Mallepally Tank, Mallepally (V), Kondapur (M), Sangareddy District",Sangareddy,6.8,8.56,1763,4.68,15,0.08,2.1,23,1.8,,,,5.41,36,425,212,52,30,0.4,0.01,545,315,126,230,55.89,95,52,973,680,10,,0.14,0.5,2,0.42,22.26,0.89
4247,Lakes  & Tanks,"Mucharla Nagaram cheruvu, Nagaram (V), Hasanparthy (M), Hanumakonda , Warangal",Warangal Urban,3.2,7.88,812,4.4,2.8,,9.3,430,5.6,,,,8,5,180,118,40,5.6,1.14,0.06,195,85,34,110,26.73,76,,496,,12,1.28,,0.5,,0.56,,
4248,Lakes  & Tanks,"Koti Cheruvu, Mulugu Road, Warangal, Warangal District",Warangal Urban,0.3,6.92,1063,8,3.2,,5.5,430,1.8,,,,6,5,260,127,74,5.6,0.72,0.01,270,190,76,80,19.44,46,,658,,11,0.86,,0.5,,0.94,,
4229,Lakes  & Tanks,"Neknampur Lake, Neknampur, Ibrahimbagh, Rajendranagar (M),Rangareddy District",RR-shamshabad,0.3,8.34,1652,10,5.2,,17,540,6,,,,23,25,388,210,103,5.6,1.39,0.15,410,220,88,190,46.17,141,,1040,,42,2.38,,0.66,,0.82,,
4249,Lakes  & Tanks,"Rangasamudram, Ursu (V), Khila Warangal (M), Warangal District",Warangal Urban,5.6,7.67,948,2.8,3.6,,14,430,2,,,,5.8,5,215,120,20,5.6,1.42,0.04,240,135,54,105,25.52,80,,602,,10,0.92,,0.61,,0.68,,
4661,Lakes  & Tanks,"Peddakanjarla Tank, Peddakanjarla (V), Patancheru (M), Sangareddy District.",Sangareddy,6.6,8.01,340,3.6,7,0.07,Less than 1.8,19,Less than 1.8,,,,4.16,12,95,41,40,20,0.4,0.01,110,75,30,35,8.5,18,8,190,127,10,,BDL,0.5,1,0.23,16.19,0.28
4666,Lakes  & Tanks,"Ismailkhanpet Tank, Ismailkhanpet (V), Sangareddy (M & District)",Sangareddy,6.2,8.38,699,5.4,14,0.06,2,22,1.8,,,,6.24,24,160,93,60,40,0.4,0.01,240,170,68,70,17.01,32,8,378,269,10,,BDl,0.5,2,0.5,8,0.19
4670,Lakes  & Tanks,"Bairamalguda Cheruvu, Saroornagar, Rangareddy District",Rangareddy,0.3,7.96,1409,14,4.4,,24,430,6,,,,21,5,310,160,179,5.6,1.58,0.08,330,185,74,145,35.23,98,,874,,26,2.36,,0.5,,0.88,,
4675,Lakes  & Tanks,"Lotus pond, Hakimpet (V), Shaik pet (M), Hyderabad (D)",Hyderabad,1,7.32,772,5,2.8,,9.2,430,2,,,,19,5,175,88,47,4.2,1.32,0.02,190,105,42,85,20.66,56,,464,,33,2.66,,0.5,,0.84,,
4680,Lakes  & Tanks,"Laknavaram Cheruvu, Laknavaram, (V), Govindarao peta (M), Mulugu District.",Mulugu,6.4,8.06,172,1.4,0.92,,Less than 1.8,20,Less than 1.8,,,,1.5,5,60,14,12,1.5,0.4,0.02,65,30,12,35,8.5,6,,102,,10,0.2,,0.5,,0.33,,
4681,Lakes  & Tanks,"Phakal Cheruvu, Narsampet, Warangal District",Warangal Rural,5.8,8.14,396,2.6,0.88,,Less than 1.8,24,Less than 1.8,,,,2,5,95,47,23,1.5,0.4,0.04,100,60,24,40,9.72,24,,246,,10,0.2,,0.5,,0.47,,
4682,Lakes  & Tanks,"Bandam Cheruvu, Near NIT Warangal, Hanamkonda",Warangal,4.2,7.85,637,3.4,2.3,,4,350,2,,,,6.2,5,150,76,32,5.6,2.28,0.1,168,75,30,93,22.6,49,,394,,11,0.38,,0.5,,0.66,,
4688,Lakes  & Tanks,"Narinja Lake, Kothur-B (V), Zaheerabad (M), Sangareddy",Sangareddy,6.5,8.39,691,3.6,15,0.12,3.6,42,2,,,,4.16,20,165,84,40,38,0.4,0.01,200,120,48,80,19.44,22,16,411,292,10,,0.06,0.5,2,0.35,18.5,0.44
1391,Lakes  & Tanks,"Hussain sagar Lake, Domalguda (V), Hyderabad",Hyderabad,1.1,7.47,1327,5.6,3.8,,48,540,5.6,,,,10.8,5,295,157,51,7,3.62,0.06,305,160,64,145,35.23,99,,822,,22,0.98,,0.5,,0.76,,
3071,Lakes  & Tanks,"Langarhouse Tank, Golconda (V&M) ,Hyderabad (D)",Hyderabad,0.3,7.32,1385,6.6,3.8,,17,540,7.8,,,,15,5,320,147,62,8.4,3.12,0.04,340,185,74,155,37.66,95,,858,,33,2.41,,0.6,,0.92,,
2341,Lakes  & Tanks,"Miralam tank, Bahadurpura (M), Hyderabad",Hyderabad,1.8,7.48,1303,5,2.5,,10,430,3.6,,,,17,5,305,174,55,9.8,2.96,0.06,335,150,60,185,44.95,113,,794,,20,2.29,,0.5,,0.86,,
