Station code,water_bodies,Station name,District,RO,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia  (mg/L),Free Ammonia  (mg/L),Hardness (mg/L),Calcium (mg/L),Magnesium (mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR
2360,River Godavari,River Godavari at Basara,Nirmal,Nizamabad,6.5,7.22,637,2.1,4,0.1,5.6,21,3.7,,,,11,12,128,92,16,5,0.1,0.01,216,44,26,7,21,362,274,9,,0.1,0.1,5,0.1,16.88,0.62
4255,River Godavari,Ali sagar Reservoir,Nizamabad,Nizamabad,6.4,7.26,500,2.1,5,0.12,5.5,17,3.6,,,,9,8,112,76,15,5,0.1,0.01,184,38,22,6,18,288,210,11,,0.1,0.1,4,0.1,16.95,0.57
4227,River Godavari,"Pochara Water Falls, Adilabad",Adilabad,Nizamabad,6.3,7.37,641,2.1,7,0.15,4,25,2,,,,10,16,136,98,18,5,0.1,0.01,230.17,46,28,10,25,364,286,7,,0.1,0.1,5,0.1,18.59,0.71
2361,River Godavari,"River Godavari at mancherial, Near Rail Way Bridge B/C of Rallavagu",Mancherial,Ramagundam,5.9,7.75,382,2.1,0.5,,Less than 1.8,58,Less than 1.8,,,,10.2,5,144,39,10,5,0.1,0.01,167,40,16.28,24,28,230,,10,0.1,,0.1,2.78,0.1,26.21,0.94
13,River Godavari,River Godavari at Mancherial,Mancherial,Ramagundam,5.7,7.82,370,2.1,0.42,,Less than 1.8,47,Less than 1.8,,,,8.8,5,100,48,13,5,0.1,0.01,110,24,12.15,20,32,220,,12,0.1,,0.1,3.11,0.17,37.77,1.32
3054,River Godavari,"Outlet of ash pond effluents of M/s.NTPC, Ramagundam",Peddapalli,Ramagundam,5.4,10.48,1067,2.1,0.88,,Less than 1.8,170,Less than 1.8,,,,8.4,30,275,128,27,5,0.1,0.01,294,68,30.13,88,102,602,,6,0.1,,0.1,6,0.1,42.24,2.58
2362,River Godavari,D/s of River Godavari at Ramagundam near FCI intake well,Peddapalli,Ramagundam,5.8,7.77,369,2.1,0.44,,Less than 1.8,47,Less than 1.8,,,,12.4,5,120,42,11,5,0.1,0.01,142,32,15.07,14,32,220,,12,0.1,,0.1,3.08,0.1,32.16,1.16
2363,River Godavari,River Godavari at Godavarikhani near bathing ghat,Peddapalli,Ramagundam,5.6,6.98,434,2.1,0.56,,Less than 1.8,33,Less than 1.8,,,,10.2,5,100,45,12,5,0.1,0.01,130,30.4,13.12,32,35,240,,18,0.1,,0.1,2.91,0.1,36.15,1.33
2364,River Godavari,River Godavari at Ramagundam upstream near dam,Peddapalli,Ramagundam,5.3,7.55,412,2.1,0.44,,Less than 1.8,58,Less than 1.8,,,,13,5,138,51,14,5,0.1,0.01,163,36,17.74,20,36,238,,12,0.1,,0.1,3.22,0.1,31.77,1.22
2356,River Godavari,River Godavari d/s of Ramagundam at Manthani,Peddapalli,Ramagundam,5.7,7.85,648,2.1,0.38,,Less than 1.8,58,Less than 1.8,,,,9,5,166,58,10,5,0.1,0.01,176,44,16.04,38,56,366,,8,0.1,,0.1,3.68,0.11,40.14,1.83
4662,River Godavari,River godavari Kaleshwaram,Jayashankar Bhoopalpalli,Warangal,5.9,7.68,365,2.1,0.46,,Less than 1.8,27,Less than 1.8,,,,4.6,5,120,28,10,5,0.1,0.01,140,48,4.86,14,18,204,,8,0.1,,0.1,1.2,0.3,21.63,0.66
2365,River Godavari,"U/s of River Godavari at Kamalapur (V) at M/s.AP Rayons Ltd., intake well",Mulugu,Warangal,5.9,8.02,305,2.1,0.26,,Less than 1.8,47,Less than 1.8,,,,6.6,5,115,12,10,5,0.1,0.01,88,30,5,7,19,171,,11,0.1,,0.1,2.29,0.22,29.49,0.84
2366,River Godavari,"D/s of River Godavari at Kamalapur (V) at M/s.AP Rayons Ltd., discharge point",Mulugu,Warangal,6,7.89,247,2.1,0.3,,Less than 1.8,58,Less than 1.8,,,,8.7,5,90,15,10,5,0.1,0.01,89,30.4,5,10,14,148,,16,0.1,,0.1,2.08,0.2,23.42,0.62
2367,River Godavari,U/s of river Godavari at Bhadrachalam bathing ghat,Bhadradri Kothagudem ,Kothagudem,5.8,7.88,300,2.1,0.86,,Less than 1.8,170,Less than 1.8,,,,11.2,8,104,18,17,5,0.1,0.01,105,29,8,7,12,169,,18,0.1,,0.1,2.86,0.1,19.24,0.51
2368,River Godavari,D/s of river Godavari at Bhadrachalam bathing ghat,Bhadradri Kothagudem ,Kothagudem,5.8,7.87,284,2.1,0.52,,Less than 1.8,170,Less than 1.8,,,,16.4,5,119,19,12,5,0.1,0.01,110,24.8,11.66,13,12,158,,20,0.1,,0.1,2.34,0.1,18.68,0.5
2369,River Godavari,River Godavari at Burgampahad,Bhadradri Kothagudem ,Kothagudem,5.8,7.89,291,2.1,0.38,,Less than 1.8,11,Less than 1.8,,,,14,5,90,22,10,5,0.1,0.01,110,38.4,5,16,10,167,,22,0.1,,0.1,2.2,0.1,15.37,0.4
