Station code,water_bodies,Station name,District,RO,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia  (mg/L),Free Ammonia  (mg/L),Hardness (mg/L),Calcium (mg/L),Magnesium (mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR
2360,River Godavari,River Godavari at Basara,Nirmal,Nizamabad,6.7,7.32,666,2.1,2.3,0.1,6.8,27,3.6,,,,5,5,144,88,15,5,0.1,0.01,222,46,26,11,25,382,270,10,,0.1,0.1,4,0.14,19.22,0.73
4255,River Godavari,Ali sagar Reservoir,Nizamabad,Nizamabad,6.6,7.18,438,2.1,2.1,0.15,7.8,21,4,,,,7,8,100,62,14,5,0.1,0.01,157,30,20,8,17,250,176,12,,0.1,0.1,3,0.18,18.56,0.59
4227,River Godavari,"Pochara Water Falls, Adilabad",Adilabad,Nizamabad,6.8,6.98,780,2.1,4,0.1,3.7,26,2,,,,5,8,160,120,16,5,0.1,0.01,288.08,56,36,16,26,444,315,8,,0.1,0.1,4,0.25,16.07,0.66
2361,River Godavari,"River Godavari at mancherial, Near Rail Way Bridge B/C of Rallavagu",Mancherial,Ramagundam,6,8.06,522,2.1,1.4,,Less than 1.8,38,Less than 1.8,,,,6.8,5,130,58,10,5,0.1,0.01,150,37.2,13.85,34,,328,,8,0.1,,0.1,,0.25,,
13,River Godavari,River Godavari at Mancherial,Mancherial,Ramagundam,5.8,8.16,517,2.2,0.73,,Less than 1.8,32,Less than 1.8,,,,8.72,5,140,47,11,5,0.1,0.01,152,37.6,14.09,31,,330,,5,0.1,,0.1,,0.1,,
3054,River Godavari,"Outlet of ash pond effluents of M/s.NTPC, Ramagundam",Peddapalli,Ramagundam,4.4,10.2,1314,2.1,0.42,,Less than 1.8,39,Less than 1.8,,,,5,40,350,121,15,5,0.9,0.89,370,93.2,33.29,74,,828,,5,0.32,,0.1,,0.1,,
2362,River Godavari,D/s of River Godavari at Ramagundam near FCI intake well,Peddapalli,Ramagundam,5.3,8.12,528,2.2,0.68,,Less than 1.8,33,Less than 1.8,,,,6.2,5,135,52,18,5,0.1,0.01,150,36,14.58,32,,336,,5,0.1,,0.1,,0.1,,
2363,River Godavari,River Godavari at Godavarikhani near bathing ghat,Peddapalli,Ramagundam,5,7.91,526,3.3,0.84,,Less than 1.8,41,Less than 1.8,,,,9.8,5,140,53,28,5,0.1,0.01,155,38,14.58,32,,332,,8,0.1,,0.1,,0.1,,
2364,River Godavari,River Godavari at Ramagundam upstream near dam,Peddapalli,Ramagundam,5.7,8.25,528,2.1,0.58,,Less than 1.8,43,Less than 1.8,,,,8.4,5,140,56,10,5,0.1,0.01,148,35.2,14.58,34,,336,,5,0.1,,0.1,,0.1,,
2356,River Godavari,River Godavari d/s of Ramagundam at Manthani,Peddapalli,Ramagundam,5.6,7.62,573,2.1,0.64,,Less than 1.8,43,Less than 1.8,,,,8.4,5,140,51,10,5,0.1,0.01,160,38.4,15.55,36,,360,,5,0.1,,0.1,,0.1,,
4662,River Godavari,River godavari Kaleshwaram,Jayashankar Bhoopalpalli,Warangal,6,8.19,519,2.1,0.28,,Less than 1.8,94,Less than 1.8,,,,5,5,118,47,10,5,0.1,0.01,145,34.8,14.09,30,,295,,5,0.12,,0.1,,0.31,,
2365,River Godavari,"U/s of River Godavari at Kamalapur (V) at M/s.AP Rayons Ltd., intake well",Mulugu,Warangal,6.3,8.38,334,2.1,0.21,,Less than 1.8,38,Less than 1.8,,,,6.4,8,85,32,10,5,0.1,0.01,95,20.8,10.45,23,,214,,8,0.1,,0.1,,0.1,,
2366,River Godavari,"D/s of River Godavari at Kamalapur (V) at M/s.AP Rayons Ltd., discharge point",Mulugu,Warangal,6.3,8.33,332,2.1,0.24,,Less than 1.8,40,Less than 1.8,,,,6.8,8,90,29,12,5,0.1,0.01,90,20,9.72,19,,210,,10,0.1,,0.1,,0.1,,
2367,River Godavari,U/s of river Godavari at Bhadrachalam bathing ghat,Bhadradri Kothagudem ,Kothagudem,5.9,7.95,345,2.1,0.26,,Less than 1.8,38,Less than 1.8,,,,10.62,5,85,36,10,5,0.1,0.01,100,21.6,11.18,26,,220,,11,0.1,,0.1,,0.1,,
2368,River Godavari,D/s of river Godavari at Bhadrachalam bathing ghat,Bhadradri Kothagudem ,Kothagudem,5.8,7.98,342,2.1,0.38,,6,47,Less than 1.8,,,,11,5,90,32,10,5,0.1,0.01,102,24,10.21,21,,216,,6,0.32,,0.1,,0.1,,
