Station code,water_bodies,Station name,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Saprobity index,Diversity index,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia-N  (mg/L),Hardness (mg/L),Calcium (mg/L),Magnesium (mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR
2360,River Godavari,River Godavari at Basara,6.5,7.21,439,3,6,0.29,2,22,  -,  -,40,35,102,44,16,25,0.8,96,22,10,28,22,262,200,35,0.51,0.6,8,0.47,30.91,0.97
4255,River Godavari,Ali sagar Reservior,7.2,7.34,345,2,4,0.25,NIL,12,  -,  -,12,14,62,18,12,15,0.6,63,12,8,10,14,216,45,12,0.25,2,5,0.32,30.38,0.76
4227,River Godavari,"Pochara Water Falls, Adilabad",7.4,8,528,1.4,14,1.9,NIL,8,  -,  -,10,17,128,45,18,18,0.5,154,37,15,25,12,316,239,15,0.32,0.98,3,0.4,14.11,0.42
2361,River Godavari,"River Godavari at mancherial, Near Rail Way Bridge B/C of Rallavagu",6,7.84,529,3,0.98,,NIL,32,,,4.95,0,130,64,36,BDL,,165,36,18.22,35,42,318,,6,0.24,0,4,0.84,34.92,1.01
13,River Godavari,"River Godavari at Mancherial (BM-Jan, Apr & Oct)",5.6,7.9,526,3,1.09,,NIL,21,,,3.21,0,145,58,28,BDL,,170,44,14.58,34,42,324,,8,0.25,0,4,0.72,34.27,0.99
2364,River Godavari,River Godavari at Ramagundam upstream near dam,6,7.76,610,4,1.45,,NIL,24,,,18.14,0,120,90,28,1.4,,180,38,20.66,60,60,390,,23,0.15,0.02,2.3,1.32,41.62,1.37
3054,River Godavari,"Outlet of ash pond effluents of M/s.NTPC, Ramagundam",4,11.24,1156,4,15.3,,NIL,46,,,32,20,220,104,42,2.26,,260,44,36.45,188,140,732,,22,1.05,0.11,2,0.5,53.69,2.67
2362,River Godavari,D/s of River Godavari at Ramagundam near FCI intake well,5.8,7.85,570,3,1.02,,NIL,20,,,7.54,0,130,68,22,BDL,,160,36,17.01,49,52,350,,5,0.14,0,4,0.66,40.64,1.26
2363,River Godavari,River Godavari at Godavarikhani near bathing ghat,5.1,7.56,660,3,1.73,,NIL,26,,,6.12,0,160,87,16,1.4,,185,44,18.22,42,64,416,,17,0.51,0.01,5,0.68,42.09,1.45
2356,River Godavari,River Godavari d/s of Ramagundam at Manthani,5.5,8.02,697,3,0.82,,NIL,56,,,2.33,0,130,105,22,1.4,,170,34,20.66,58,76,440,,5,0.19,0,5,0.82,48.36,1.79
2365,River Godavari,"U/s of River Godavari at Kamalapur (V) at M/s.AP Rayons Ltd., intake well",6.2,7.81,305,2,0.15,,NIL,30,,,6.01,0,110,28,12,BDL,,125,32,10.94,6,14,192,,6,0.02,BDL,2,0.31,19.26,0.38
2366,River Godavari,"D/s of River Godavari at Kamalapur (V) at M/s.AP Rayons Ltd., discharge point",6,7.99,336,3,0.28,,NIL,38,,,4.75,0,112,34,14,BDL,,130,34.4,10.69,8,18,210,,10,0.28,BDL,2,0.48,22.79,0.49
2367,River Godavari,U/s of river Godavari at Bhadrachalam bathing ghat,6.4,7.51,306,2,0.22,,NIL,14,,,8,0,115,22,16,BDL,,120,24,14.58,8,16,192,,6,0.01,BDL,2,0.26,22.11,0.45
2368,River Godavari,D/s of river Godavari at Bhadrachalam bathing ghat,5.9,7.67,328,3,0.38,,NIL,20,,,6,0,120,28,18,BDL,,125,26.4,14.34,6,20,212,,8,0.01,BDL,2,0.28,25.42,0.55
2369,River Godavari,River Godavari at Burgampahad,5.1,7.64,324,2,0.45,,NIL,40,,,7.96,0,95,34,16,BDL,,110,26,10.94,18,23,210,,10,0.01,BDL,2,0.31,30.76,0.67
4256,River Godavari,"Lower Manair Dam, Karimnagar",5.3,8.06,343,3,8.4,,NIL,23,,,10,0,110,33,46,BDL,,130,24,17.01,12,20,199,,7,0.28,0.1,0.2,0.42,25.03,0.54
1158,River Godavari,"River Maneru at Somanpally (BM-Jan, Apr & Oct)",6.6,7.92,530,3,0.09,,NIL,37,,,1.51,0,135,63,28,BDL,,150,32,17.01,28,48,326,,5,0.13,0,3.5,1.7,40.31,1.2
4257,River Godavari,"Maneru river D/S of municipal dump site, Karimnagar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1215,River Godavari,River Maneru at Thummala cheruvu/Madannapet,6.5,7.95,374,3,0.46,,NIL,30,,,8.11,0,108,40,14,BDL,,115,24,13.37,18,32,241,,12,0.01,BDL,2,0.36,37.17,0.92
4249,River Godavari,"Rangasamudram, Warangal",2.5,7.44,1220,8,1.57,,23,130,,,3.54,0,250,203,44,1.4,,295,73.6,26.97,54,138,778,,5,0.52,0.02,4.4,1.34,49.95,2.47
1157,River Godavari,River Manjeera at Raipally,6.2,8.28,376,2.4,6,0.7,NIL,22,  -,  -,35,18,65,24,15,22,0.5,104,22,12,15,14,228,161,29,0.56,0.4,5,0.5,21.46,0.59
4258,River Godavari,"Singoor Dam Reservoir,",6.7,8.39,339,1.6,7,0.25,NIL,10,  -,  -,25,24,92,30,15,22,1,128,28,14,10,12,204,148,20,0.56,0.42,4,0.59,16.35,0.46
1781,River Godavari,Manjeera at Ganapathi sugars,6.9,8.42,990,2,15,0.54,NIL,26,  -,  -,30,15,120,90,16,30,0.5,164,36,18,38,42,820,621,32,0.62,0.34,8,0.49,34.25,1.42
2374,River Godavari,U/s of River Manjeera at Gowdicherla atfter confluence with Nakkavagu,6.6,8.38,1330,3,22,0.69,10,70,  -,  -,45,23,270,118,29,29,1,218,46,25,30,84,801,563,22,0.54,0.29,14,0.62,43.51,2.47
2375,River Godavari,D/s of River Manjeera at Gowdicherla atfter confluence with Nakkavagu,4,7.76,1238,2.8,24,0.65,10,100,  -,  -,50,32,220,102,23,38,1,228,55,22,35,90,740,333,168,0.53,0.36,7,0.55,45.1,2.58
4226,River Godavari,River Manjeera at Yedu Payala Temple,7.2,7.34,727,3,18,0.29,NIL,12,  -,  -,5.6,22,145,80,22,10,0.4,190,40,22,42,55,429,268.04,26,0.28,0.8,20,0.69,35.49,1.73
2372,River Godavari,Kinnerasani after confluence of KTPS ash pond effluents,5.1,7.23,490,3,0.87,,1.8,70,,,62,0,150,41,19,1.4,,165,36,18.22,31,33,308,,26,0.01,BDL,2,0.13,29.98,0.79
2373,River Godavari,Kunavaram at Sabari,7,7.17,110,2,0.08,,NIL,NIL,,,2,0,40,10,8,BDL,,52,10.4,6.32,2,2,66,,4,0.29,0.1,1.03,0.24,7.54,0.09
4250,River Godavari,"Palair Reservoir, Khammam",7.2,7.96,520,2,0.78,,NIL,106,,,10,0,165,49,12,BDL,,180,36,21.87,28,40,320,,5,0.44,BDL,1.62,0.41,32.32,0.92
4251,River Godavari,"D/S of Munneru River, Prakash Nagar, Khammam",4.3,7.45,580,4,0.8,,NIL,260,,,14,0,175,59,14,BDL,,190,44,19.44,24,42,368,,25,0.58,0.14,1.8,0.38,32.19,0.94
3080,River Godavari,U/s of Karakavagu at Paloncha,5.8,7.61,459,2,0.76,,NIL,11,,,16,0,165,37,12,BDL,,190,44,19.44,18,22,276,,12,0.46,0.12,0.98,0.45,20.0,0.49
3081,River Godavari,D/s of Karakavagu at Paloncha,4.8,7.46,536,3,0.9,,NIL,23,,,18,0,185,47,20,1.4,,215,56,18.22,21,28,322,,18,0.38,0.18,1.1,0.52,21.95,0.59
2349,River Godavari,Nakka vagu at Bachugudem,3.2,7.24,1206,15,47,0.48,NIL,35,  -,  -,40,32,260,125,50,17,0.5,254,59,26,36,74,725,560,42,0.54,0.65,8,0.86,37.68,2.01
1784,River Krishna,River Krishna at Thangadi,5.2,7.3,890,3,2.9,,NIL,48,,,32,0,290,80,26,NIL,,305,88,20.66,34,64,520,,10,1.16,0.25,2,1.8,31.15,1.13
39,River Krishna,"River Krishna at Gadwal bridge (BM-Jan, Apr & Oct)",5,7.49,1045,3,2.5,,NIL,60,,,30,0,280,132,24,NIL,,290,58,35.23,46,110,614,,14,1.05,0.24,3,2,44.87,1.99
