Station code,water_bodies,Station name,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia,Free Ammonia  (mg/L),Hardness (mg/L),Calcium (mg/L),Calcium Carbonate as CaCO3,Magnesium (mg/L),Magnesium Carbonate as CaCO3,Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR,Arsenic,Cadmium,Copper,Lead,Total Chromium,Nickel,Zinc,Iron,
4225,River Krishna ,"Jogulamba Temple, Gadwal",5.3,8.18,2078,4.8,,,Less than 1.8,240,Less than 1.8,,,,13,5,330,294,52,1.5,0.4,,345,70,175,41.31,170,188,,1250,760,20,0.96,,0.5,,0.04,,,,0.01,0.03,0.04,0.08,0.1,0.38,0.24,
4259,River Krishna ,Nagarjuna Sagar Dam Spill way,7.1,7.23,922,3.1,32,0.1,4,27,3.6,7,0.72,,3,14,224,146,29,7,BDL,BDL,340.49,180.0,72.0,160.49,39,48,58,562.42,399.32,8,,0.16,BDL,4.3,BDL,26.6,1.32,BDL,BDL,BDL,BDL,BDL,BDL,BDL,0.19,
4252,River Krishna ,"Udaya Samudram balancing Reservoir,",6.7,7.39,1005,3.4,26,0.12,8.1,40,4.1,6.7,0.71,,3,12,260,167,34,6,BDL,BDL,449.88,240,96,209.88,51,52,52,633.15,449.54,8,,0.24,BDL,3.4,BDL,19.84,1.03,BDL,BDL,BDL,BDL,BDL,BDL,BDL,0.27,
1465,River Krishna ,Confluence of River Krishna & River Musi at at Wadapally,5.9,6.73,1410,3.3,41,0.23,9.3,32,5.5,6.8,0.7,,3.6,18,288,194,32,9,BDL,BDL,540,300,120,240,58,57,50,831.9,590.65,7,,0.2,BDL,5.1,0.16,16.55,0.88,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,
4663,River Krishna ,"River Krishna at Mattepally, 500 mts. before bathing ghat",6.1,6.85,1216,4.5,31,0.2,6.1,40,3.6,6.7,0.69,,3.3,16,284,148,50,5,BDL,BDL,400,230,92,170,41,49,58,668.8,474.85,6,,0.26,BDL,5.2,0.5,23.63,1.17,BDL,BDL,BDL,BDL,BDL,BDL,BDL,0.2,
4250,River Krishna ,"Palair Reservoir, Khammam",5.8,7.38,916,1.8,,,Less than 1.8,58,Less than 1.8,,,,8,5,250,110,36,1.5,0.4,,265,64,160,25.52,105,52,,568,370,10,0.84,,0.5,,0.47,,,,0.02,0.03,0.07,0.06,0.1,0.05,0.19,
4251,River Krishna ,"D/S of Munneru River, Prakash Nagar, Khammam",5.2,7.4,1468,3.2,,,14,110,2,,,,14,5,430,172,44,4.2,0.94,,445,110,275,41.31,170,106,,910,620,13,0.94,,0.5,,0.64,,,,0.02,0.03,0.14,0.06,0.1,0.06,0.11,
5108,River Krishna ,River Krishna Before Confluence of River Musi at Wadapally (V),6.5,7.39,1118,3.1,28,0.1,6,39,4,5.9,0.63,,3.5,20,300,146,25,5,BDL,BDL,450,270,108,180,43,43,56,693.16,492.14,7,,0.23,BDL,5.3,0.16,21.07,1.04,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,
5109,River Krishna ,River Krishna After Confluence of River Musi at Wadapally (V),7,6.71,1582,3.1,49,0.16,5.8,41,4,6.1,0.62,,3.9,24,340,280,28,7,BDL,BDL,645,350,140,295,72,65,88,933.38,662.7,10,,0.2,BDL,5.7,0.24,22.54,1.44,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,
5110,River Krishna ,River Krishna at Pulichintala Reservoir at Chinthalapalem,6.7,6.88,1224,3.3,30,0.16,4.5,39,1.8,6,0.63,,3.3,14,262,197,32,7,BDL,BDL,455,280,112,175,42,62,58,673.2,477.97,8,,0.18,BDL,5.1,0.35,21.46,1.06,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,
4253,River Musi,Musi sample at Bapughat sangam U/S of Musi,0.3,8.15,1380,8.2,,,33,540,Less than 1.8,,,,16,5,285,162,107,4.2,2.8,,310,64,160,36.45,150,112,,830,490,22,2.32,,0.5,,0.98,,,,0.02,0.03,0.06,0.11,0.01,0.41,0.45,
4656,River Musi,"River Musi at Moosarambagh bridge, Hyderabad",0.3,7.36,1639,14,,,43,540,Less than 1.8,,,,19,5,340,242,209,5.6,2.8,,360,74,185,42.52,175,192,,980,590,30,2.86,,0.5,,0.98,,,,0.02,0.03,0.05,0.11,0.0,0.41,0.4,
2339,River Musi,River Musi at Nagole,0.3,8.16,1513,12,,,49,920,Less than 1.8,,,,21,5,330,170,148,5.6,1.4,,350,64,160,46.17,190,110,,910,540,40,3.2,,0.5,,0.38,,,,0.02,0.01,0.04,0.08,0.1,0.19,2.34,
4659,River Musi,"Outlet of Nalla Cheruvu, Peerajadiguda",0.3,8.12,1687,12,,,47,540,Less than 1.8,,,,26,5,380,202,162,4.2,1.4,,395,76,190,49.81,205,92,,1012,610,42,3.06,,0.5,,0.97,,,,0.02,0.03,0.05,0.08,0.04,0.68,0.34,
4660,River Musi,River Musi at Peerajadiguda,0.3,7.6,1502,6.2,,,49,540,2,,,,8,5,340,159,98,4.2,1.2,,360,72,180,43.74,180,112,,902,540,12,2.32,,0.5,,0.86,,,,0.02,0.01,0.02,0.14,0.01,0.21,1.53,
1173,River Musi,D/s. of Musi at Pratapasingaram,0.3,7.66,1369,8,,,48,430,1.8,,,,75,5,315,159,131,2.8,0.4,,325,66,165,38.88,160,110,,820,490,16,2.4,,0.5,,0.74,,,,0.02,0.03,0.07,0.11,0.03,0.42,0.45,
4657,River Musi,River Musi at Pillapalli,0.3,7.53,1564,7.8,,,43,430,1.8,,,,6.8,5,320,178,115,2.8,0.4,,330,74,185,35.23,145,132,,938,560,26,2.06,,0.5,,0.8,,,,0.02,0.03,0.04,0.11,0.0,0.18,0.3,
4254,River Musi,River Musi sample at Rudravelly bridge,5.6,6.93,1811,3.2,40,0.13,8.3,79,6,6.1,0.68,,4.3,32,380,240,37,7,BDL,BDL,610,300,120,310,75,61,90,996.05,707.2,13,,0.21,BDL,7.6,BDL,23.92,1.58,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,
4658,River Musi,"River Musi at Valigonda bridge, Nalgonda dist",5.1,6.83,1974,3,48,0.15,9.3,84,6,5.6,0.63,,6.5,34,416,265,26,8,BDL,BDL,645,380,152,265,64,63,96,1085.7,770.85,10,,0.25,BDL,10,0.16,24.04,1.5,BDL,BDL,BDL,BDL,BDL,BDL,BDL,0.06,
3082,River Musi,River Musi at Solipet (Kasaniguda),6.5,7.44,2002,3,49,0.12,8.2,58,5.5,6.3,0.72,,6.2,32,426,228,29,10,BDL,BDL,555.14,300,120,255.14,62,71,93,1101.1,781.78,13,,0.17,BDL,8.3,0.2,26.22,1.64,BDL,BDL,BDL,BDL,BDL,BDL,BDL,0.19,
5106,River Musi,River Musi at Bheemaram Bridge,6.7,7.13,1926,3.4,58,0.21,5.6,39,3.5,6.8,0.7,,3.6,35,332,252,35,10,BDL,BDl,625,330,132,295,72,95,95,1059.3,752.1,11,,0.17,BDL,7.5,0.52,24.41,1.6,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,
5107,River Musi,River Musi Before Confluence of River Krishna at Wadapally,7.1,6.67,1915,3.6,45,0.12,6.1,38,5.6,6.5,0.69,,3.2,34,296,265,39,10,BDL,BDL,560.14,305,122,255.14,62,86,85,1053.25,747.81,12,,0.15,BDL,6.3,0.43,24.4,1.5,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,
