Station code,water_bodies,Station name,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia,Free Ammonia  (mg/L),Hardness (mg/L),Calcium (mg/L),Calcium Carbonate as CaCO3,Magnesium (mg/L),Magnesium Carbonate as CaCO3,Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR,Arsenic,Cadmium,Copper,Lead,Total Chromium,Nickel,Zinc,Iron,
4688,Lakes & Tanks,"Narinja River, Kothur - B (V), Zaheerabad",6.5,7.58,1063,3.1,39,0.06,3.6,41,1.8,7.1,0.68,,2.5,14,195,178,37,6,BDL,BDL,395,220,88,175,43,52,50,584.65,415.1,6,,BDL,BDL,8.9,0.4,20.93,1.02,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,
4234,Lakes & Tanks,"Umda sagar lake, Shamshabad",3.6,7.6,1670,5,,,39,540,2,,,,26,5,280,240,60,14,2.2,,390,96.8,242,35.96,148,136,,1036,640,10,3.12,,0.5,,1.14,,,,0.02,0.03,0.05,0.06,0.1,0.09,0.1,
4235,Lakes & Tanks,Lake Kamuni ( Shamshabad Lake),0.3,7.3,2050,6,,,32,430,1.8,,,,22,5,380,320,56,14,2.8,,460,112,280,43.74,180,142,,1290,800,20,3.3,,0.5,,1.24,,,,0.02,0.03,0.07,0.02,0.1,0.12,0.16,
5133,Lakes & Tanks,"Chandana Cheruvu, Jillelguda,",0.3,7.79,1696,8,,,26,920,Less than 1.8,,,,21,5,375,218,75,7,1.6,,415,104,260,37.66,155,80,,1052,660,14,2.16,,0.5,,0.94,,,,0.02,0.03,0.09,0.13,0.0,0.17,0.12,
5134,Lakes & Tanks,"Manthrala Cheruvu, Meerpet",0.3,7.52,1593,8,,,33,920,4,,,,17,5,340,198,68,9.8,0.5,,386,96,240,35.48,146,102,,988,620,20,2.1,,0.5,,0.9,,,,0.02,0.03,0.08,0.06,0.1,0.1,0.16,
4222,Lakes & Tanks,"Koneru, Kondagattu temple, Jagitiyal",1.8,7.42,829,4.6,,,2,140,Less than 1.8,,,,10,5,210,92,85,2.24,0.46,,220,55.2,138,19.93,82,42,,522,370,16,0.92,,0.5,,1.08,,,,0.02,0.01,0.04,0.13,0.1,0.13,0.25,
4223,Lakes & Tanks,"Vemulawada temple Koneru , Karimnagar",1,7.71,1256,4.8,,,14,170,Less than 1.8,,,,12,5,288,149,93,3.6,0.58,,286,68.8,172,27.7,114,65,,766,550,18,1.83,,0.5,,1.38,,,,0.02,0.02,0.06,0.13,0.0,0.14,0.4,
1464,Lakes & Tanks,Bibinagar Tank,6,7.99,1528,3,52,0.2,4,47,3.6,5.8,0.62,,5.3,20,220,245,26,10,BDL,BDL,509.88,300,120,209.88,51,90,92,840.4,596.68,10,,0.18,BDL,6.9,0.28,27.73,1.62,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,
4224,Lakes & Tanks,"Yadadri temple- Koneru, Yadadrigutta (V&M), Yadadri bhuvanagiri(D)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4230,Lakes & Tanks,Kistaipally Cheruvu,5.2,6.69,5500,10,126,0.24,7.8,79,3.7,5.2,0.53,,9.1,32,780,1100,210,18,3,BDL,2174.59,1475,590,699.59,170,295,296,3795.0,2694.45,32,,0.24,BDL,25.4,0.2,22.5,2.36,BDL,BDL,BDL,BDL,BDL,BDL,BDL,0.11,
4231,Lakes & Tanks,"Rayam Cheruvu,",6.7,6.77,1562,4,48,0.2,5.5,63,3.6,6.1,0.62,,5.8,24,210,316,41,8,BDL,BDL,565.0,320.0,128.0,245,60,85,103,859.1,609.96,14,,0.2,BDL,7.4,0.32,27.87,1.76,BDL,BDL,BDL,BDL,BDL,BDL,BDL,0.22,
4232,Lakes & Tanks,"Komati Cheruvu,",6.6,7.06,742,3,29,0.1,4,41,2,6.5,0.65,,3.4,14,175,140,24,3,BDL,BDL,340,210,84,130,32,48,38,511.98,363.51,9,,0.14,BDL,7.6,0.21,18.96,0.8,BDL,BDL,BDL,BDL,BDL,BDL,BDL,0.08,
4233,Lakes & Tanks,"Gaddapotharam cheruvu,",5.1,6.68,3720,5,88,0.23,7.8,63,5.6,5.1,0.53,,10,32,580,538.56,77,10,BDL,BDL,1175,840,336,335,81,126,158,2046.0,1452.66,17,,0.12,0.12,52.9,0.23,21.62,1.64,BDL,BDL,BDL,BDL,BDL,BDL,BDL,0.2,
4228,Lakes & Tanks,"Pedda Cheruvu/Ibrahim Cheruvu, Rajendra Nagar",DRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1391,Lakes & Tanks,Hussain sagar Lake,0.3,7.86,1587,10,,,58,920,2,,,,36,5,295,210,160,5.6,0.8,,315,64,160,37.66,155,124,,950,570,66,4.4,,0.6,,0.65,,,,0.02,0.03,0.01,0.03,0.1,0.05,0.24,
3071,Lakes & Tanks,Langarhouse lake,0.3,7.42,1339,8,,,46,430,1.8,,,,11,5,280,152,107,2.8,1.4,,330,72,180,36.45,150,112,,800,480,24,2.52,,0.5,,0.65,,,,0.02,0.03,0.04,0.03,0.1,0.07,0.1,
2341,Lakes & Tanks,Miralam tank,0.3,7.58,1411,10,,,48,430,1.8,,,,13,5,360,181,123,4.2,2.8,,390,82,205,44.95,185,140,,846,510,26,2.4,,0.5,,0.7,,,,0.02,0.09,0.01,0.03,0.0,0.08,0.12,
3073,Lakes & Tanks,"Hasmathpet lake, Hasmathpet",0.3,8.06,1302,12,,,33,430,Less than 1.8,,,,13,5,320,146,188,2.8,0.4,,370,76,190,43.74,180,78,,781,460,26,2.86,,0.5,,1.14,,,,0.02,0.03,0.06,0.13,0.1,0.24,0.07,
3072,Lakes & Tanks,Safilguda lake,0.3,7.56,1350,8.8,,,47,540,2,,,,15,5,340,142,127,4.2,2.8,,285,92,150,32.8,135,98,,790,470,34,3.4,,0.5,,1.3,,,,0.02,0.03,0.04,0.05,0.1,0.16,0.3,
3075,Lakes & Tanks,Rangadhamuni cheruvu,0.3,8.04,1336,10,,,34,430,Less than 1.8,,,,14,5,250,182,139,4.2,1.4,,265,56,140,30.38,125,92,,820,490,34,2.72,,0.5,,0.49,,,,0.02,0.03,0.04,0.13,0.1,0.09,0.18,
3076,Lakes & Tanks,"Amber cheruvu, Kukatpally",0.3,7.89,1320,12,,,41,540,1.8,,,,17,5,265,162,184,4.2,2.8,,285,60,150,32.8,135,98,,790,470,34,3.4,,0.5,,1.3,,,,0.02,0.03,0.03,0.08,0.1,1.04,0.09,
3077,Lakes & Tanks,"Kapra cheruvu, Kapra",2.3,8.19,965,10,,,32,350,Less than 1.8,,,,17,5,280,110,123,1.5,0.4,,300,62,155,35.23,145,88,,578,346,28,2.06,,0.5,,0.41,,,,0.02,0.01,0.04,0.13,0.1,0.05,0.13,
2357,Lakes & Tanks,Durgam cheruvu,1.1,8.06,1127,5.8,,,31,350,Less than 1.8,,,,18,5,220,166,152,1.5,0.4,,265,62,155,26.73,110,86,,680,408,30,1.76,,0.5,,0.46,,,,0.02,0.03,0.07,0.13,0.1,0.05,0.12,
2344,Lakes & Tanks,Nalla cheruvu,0.3,7.97,1332,14,,,38,430,Less than 1.8,,,,12,5,320,181,221,2.8,0.4,,340,70,175,40.09,165,102,,790,478,32,2.87,,0.5,,0.39,,,,0.02,0.03,0.06,0.13,0.1,0.05,0.67,
2359,Lakes & Tanks,"Pedda Cheruvu, Nacharam",0.3,7.89,1604,14,,,34,540,2,,,,16,5,360,184,176,5.6,4.2,,370,76,190,43.74,180,106,,962,570,30,3.8,,0.5,,0.17,,,,0.02,0.03,0.02,0.05,0.1,0.27,0.08,
2342,Lakes & Tanks,Noor Md. Kunta,5,7.24,2772,4,,,17,280,1.8,,,,20,5,540,342,32,16.8,5.6,,620,156,390,55.89,230,216,,1746,1080,10,2.58,,0.5,,0.96,,,,0.02,0.03,0.12,0.08,0.1,0.07,0.11,
3070,Lakes & Tanks,"Fox sagar, Jeedimetla",1,8.02,1366,5.8,,,34,430,1.8,,,,14,5,360,179,119,2.8,1.4,,370,78,195,42.52,175,110,,820,490,32,2.6,,0.5,,0.38,,,,0.02,0.03,0.02,0.05,0.1,0.09,0.09,
3074,Lakes & Tanks,Banjara Lake,0.3,7.4,1184,8,,,33,920,21,,,,22,5,320,157,71,7,3.12,,365,90,225,34.02,140,98,,746,508,18,3.18,,0.5,,1.24,,,,0.02,0.03,0.1,0.08,0.1,0.11,1.01,
4237,Lakes & Tanks,Mundla Katwa Lake,Dried Up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4669,Lakes & Tanks,"Pedda Cheruvu, Gangaram (V), Serilingarampally (New Mandal)",Dreid Up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4671,Lakes & Tanks,"Medi Kunta, Guttala Begumpet (V)",Dreid Up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4672,Lakes & Tanks,"Medi Kunta (Wipro Lake), Nanakramguda",0.3,7.69,1013,8.4,,,33,350,Less than 1.8,,,,10,5,160,164,115,1.4,0.4,,190,40,100,21.87,90,120,,610,364,25,1.82,,0.5,,0.9,,,,0.02,0.03,0.04,0.08,0.1,0.12,0.51,
4673,Lakes & Tanks,Medikunta lake (BK Enclave),Dreid Up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4674,Lakes & Tanks,"Meedi Kunta, Hafeezpet (V), Serlingampally",0.3,7.12,895,8,,,21,350,Less than 1.8,,,,8,5,165,144,127,1.4,0.4,,155,32,80,18.22,75,110,,530,322,20,1.06,,0.5,,0.96,,,,0.02,0.03,0.04,0.08,0.1,0.07,0.22,
4678,Lakes & Tanks,"Patel Cheruvu, Nacharam, Medchal-Malkajigiri District.",0.3,6.98,1452,20,,,27,540,12,,,,26,5,410,182,242,7,2.94,,420,108,270,36.45,150,118,,898,602,24,2.94,,0.5,,1.06,,,,0.02,0.03,0.1,0.08,0.1,0.08,0.11,
4677,Lakes & Tanks,"Lingam Cheruvu, Suraram (V), Quthubullapur",0.3,7.78,1733,8,,,14,350,2,,,,24,5,340,240,87,7,1.6,,385,96.8,242,34.75,143,112,,1056,640,28,2.88,,0.62,,1.06,,,,0.01,0.03,0.06,0.18,0.1,0.13,0.25,
5052,"Sudalavani Kunta, (Sunnam Cheruvu), Allapur, Balanagar,Medchal-Malkajgiri dist.","Bakshi Kunta, Chandhanagar, Serilingampally, rangareddy Dist.",4.5,8.12,803,2.4,,,Less than 1.8,220,Less than 1.8,,,,8,5,220,103,40,2.8,0.4,,230,58,145,20.66,85,64,,486,320,10,0.29,,0.5,,0.48,,,,0.02,0.03,0.1,0.05,0.1,0.1,0.13,
5053,"Sudalavani Kunta, (Sunnam Cheruvu), Allapur, Balanagar,Medchal-Malkajgiri dist.","Ramamma Kunta, Gachibowli, Rangareddy Dist (Dr. YSR Toursim College)",2,7.6,1392,4.8,,,24,430,14,,,,15,5,405,172,56,5.6,0.62,,420,104,260,38.88,160,106,,876,604,11,2.08,,0.5,,1.09,,,,0.02,0.03,0.1,0.11,0.1,0.07,0.24,
5054,"Sudalavani Kunta, (Sunnam Cheruvu), Allapur, Balanagar,Medchal-Malkajgiri dist.","Komati Kunta, Gopanpally, Serilingampally, Rangareddy Dist.",2.8,7.28,922,5.2,,,14,350,6.1,,,,12,5,220,127,56,5.6,0.4,,265,64,160,25.52,105,92,,562,364,10,2.08,,0.5,,1.1,,,,0.02,0.03,0.13,0.05,0.1,0.14,0.79,
5055,"Sudalavani Kunta, (Sunnam Cheruvu), Allapur, Balanagar,Medchal-Malkajgiri dist.","Chinna Pedda Cheruvu, Gopanpally, Serilingampally, Rangareddy Dist.",Dried Up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5056,"Sudalavani Kunta, (Sunnam Cheruvu), Allapur, Balanagar,Medchal-Malkajgiri dist.","Nayanamma Kunta, (Basupalli Cheruvu), Haffezpet, Serilingalpally, rangareddy Dist.",Dried Up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5057,"Sudalavani Kunta, (Sunnam Cheruvu), Allapur, Balanagar,Medchal-Malkajgiri dist.","Kudi Kunta, (Gaothami Lake), Kondapur, Serilingampally, Rangareddy Dist.",0.3,7.96,1370,8,,,34,540,14,,,,22,5,405,169,83,8.4,2.84,,415,102,255,38.88,160,104,,850,584,18,2.68,,0.6,,1.22,,,,0.02,0.03,0.13,0.08,0.01,0.14,0.11,
5058,"Sudalavani Kunta, (Sunnam Cheruvu), Allapur, Balanagar,Medchal-Malkajgiri dist.","Regula Kunta, Miyapur, Serilingampally, Rangareddy Dist.",Dried Up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5059,"Sudalavani Kunta, (Sunnam Cheruvu), Allapur, Balanagar,Medchal-Malkajgiri dist.","Gopi Cheruvu, Lingampally, Serilingampally, Rangareddy Dist.",0.3,7.1,1536,8,,,24,540,17,,,,16,5,420,211,63,7,2.16,,475,118,295,43.74,180,72,,968,648,14,2.24,,0.5,,1.16,,,,0.02,0.03,0.1,0.05,0.1,0.1,0.13,
5060,"Sudalavani Kunta, (Sunnam Cheruvu), Allapur, Balanagar,Medchal-Malkajgiri dist.","Chakaalavani Cheruvu, Lingampally, Serilingampally, rangareddy Dist.",0.3,7.48,1298,10,,,24,540,12,,,,14,5,360,176,99,7,2.52,,395,98,245,36.45,150,78,,818,564,16,2.48,,0.5,,1.24,,,,0.02,0.03,0.06,0.06,0.1,0.09,1.5,
5061,"Sudalavani Kunta, (Sunnam Cheruvu), Allapur, Balanagar,Medchal-Malkajgiri dist.","Peddakudi Cheruvu, Maqta Mahaboobpet,Serilingampally, rangareddy Dist.",0.3,7.46,1285,8,,,27,430,Less than 1.8,,,,16,5,320,142,106,2.8,0.4,,335,54,135,48.6,200,90,,770,462,28,2.6,,0.5,,0.36,,,,0.02,0.03,0.03,0.13,0.1,0.06,0.59,
5062,"Sudalavani Kunta, (Sunnam Cheruvu), Allapur, Balanagar,Medchal-Malkajgiri dist.","Gurunath Cheruvu, Miyapur, Serilingampally, rangareddy Dist.",0.3,8.15,853,8,,,33,430,Less than 1.8,,,,15,5,210,108,201,1.8,0.4,,240,54,135,25.52,105,78,,510,310,30,3.2,,0.5,,0.37,,,,0.02,0.03,0.04,0.13,0.1,0.11,0.12,
5063,"Sudalavani Kunta, (Sunnam Cheruvu), Allapur, Balanagar,Medchal-Malkajgiri dist.","Nanakram Kunta, Nanakraamguda,",Dried Up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5114,"Sudalavani Kunta, (Sunnam Cheruvu), Allapur, Balanagar,Medchal-Malkajgiri dist.","Shanthisarovor Pond, Gachibowli, Serilingmapally",Dried UP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5115,"Sudalavani Kunta, (Sunnam Cheruvu), Allapur, Balanagar,Medchal-Malkajgiri dist.","Raja Mohammad Kunta, Haffezpet, Serilingampally (M),",0.3,7.75,1082,10,,,39,430,Less than 1.8,,,,16,5,305,135,139,4.2,1.4,,325,66,165,38.88,160,80,,634,380,32,3.2,,0.5,,0.39,,,,0.02,0.03,0.04,0.06,0.1,0.05,0.25,
5116,"Sudalavani Kunta, (Sunnam Cheruvu), Allapur, Balanagar,Medchal-Malkajgiri dist.","Kotha Cheruvu (Novotel Lake), Khanamet, Serilingampally",0.3,7.35,1668,8,,,24,920,14,,,,24,5,490,194,79,11.2,3.82,,505,126,315,46.17,190,122,,1042,708,25,2.74,,0.5,,1.22,,,,0.02,0.03,0.1,0.08,0.1,0.08,0.12,
5118,"Sudalavani Kunta, (Sunnam Cheruvu), Allapur, Balanagar,Medchal-Malkajgiri dist.","Kotha Kunta, Haffezpet, Serilingampally (M)",1,7.35,680,5.8,,,24,430,6,,,,19,5,160,100,75,5.6,2.62,,195,52,130,15.79,65,61,,422,284,12,2.48,,0.5,,1.21,,,,0.02,0.03,0.05,0.06,0.1,0.06,0.15,
5119,"Sudalavani Kunta, (Sunnam Cheruvu), Allapur, Balanagar,Medchal-Malkajgiri dist.","Kaidam Kunta, Hafeezpet, Serilingampally (M)",0.3,7.9,1015,12,,,34,430,Less than 1.8,,,,14,5,210,135,152,2.8,0.4,,255,50,125,31.59,130,78,,610,365,30,3,,0.5,,0.35,,,,0.02,0.03,0.04,0.06,0.1,0.08,0.17,
5120,"Sudalavani Kunta, (Sunnam Cheruvu), Allapur, Balanagar,Medchal-Malkajgiri dist.","Thammidi Kunta, Khanamet, Serilingampally",0.3,8,1317,7,,,17,430,12,,,,16,5,340,181,63,7,2.42,,390,96,240,36.45,150,112,,816,546,14,3.1,,0.5,,1.08,,,,0.02,0.03,3.4,0.11,0.1,0.06,0.04,
5124,"Sudalavani Kunta, (Sunnam Cheruvu), Allapur, Balanagar,Medchal-Malkajgiri dist.",TCS Synergy Park Lake,5.3,7.34,1018,2.4,,,Less than 1.8,170,Less than 1.8,,,,12,5,220,164,32,1.5,0.4,,305,74,185,29.16,120,108,,632,418,10,0.68,,0.5,,0.72,,,,0.02,0.03,0.1,0.08,0.1,0.17,0.17,
5125,"Sudalavani Kunta, (Sunnam Cheruvu), Allapur, Balanagar,Medchal-Malkajgiri dist.","Mondi Kunta, Khanamet, Serilingmampally",Dried UP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5131,"Sudalavani Kunta, (Sunnam Cheruvu), Allapur, Balanagar,Medchal-Malkajgiri dist.","Yellamma Cheruvu, Manikonda, Rajenderanagar",0.3,7.64,2155,12,,,32,920,17,,,,24,5,610,274,131,12.6,3.84,,705,178,445,63.18,260,165,,1358,938,28,2.94,,0.6,,1.24,,,,0.02,0.03,0.1,0.05,0.1,0.1,0.14,
3086,"Sudalavani Kunta, (Sunnam Cheruvu), Allapur, Balanagar,Medchal-Malkajgiri dist.",Saki Tank,7.2,7.94,1164,3.4,38,0.1,7.2,47,5.5,6.6,0.65,,4.2,26,276.0,140,39,8,BDL,BDL,410.0,240.0,96.0,170,41,51,61,640.2,454.54,9,,0.11,BDL,8.7,0.39,23.91,1.2,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,
4684,"Sudalavani Kunta, (Sunnam Cheruvu), Allapur, Balanagar,Medchal-Malkajgiri dist.",Campus Lake Icrisat,6.7,7.11,994,3.2,46,0.06,6.6,84,5.5,7.1,0.7,,3.5,20,192,185,33,6,BDL,BDL,420,245,98,175,43,45,52,616.28,437.56,10,,0.13,BDL,3.1,0.43,20.89,1.02,BDL,BDL,BDL,BDL,BDL,BDL,BDL,0.13,
4685,"Sudalavani Kunta, (Sunnam Cheruvu), Allapur, Balanagar,Medchal-Malkajgiri dist.",Surisigal Lake Icrisat,Not collected no approach way due to green vegetation.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4686,"Sudalavani Kunta, (Sunnam Cheruvu), Allapur, Balanagar,Medchal-Malkajgiri dist.",Icrisat Lake,6.4,7.93,1328,4.5,52,0.16,8.3,110,6.1,6.8,0.69,,3.8,28,252.0,207,54,12,BDL,BDL,470,270,108,200,49,54,72,730.4,518.58,14,,0.12,BDL,9.6,0.3,24.34,1.33,BDL,BDL,BDL,BDL,BDL,BDL,BDL,0.24,
4687,"Sudalavani Kunta, (Sunnam Cheruvu), Allapur, Balanagar,Medchal-Malkajgiri dist.",Red Lake Icrisat,6.3,7.36,1321,5.1,49,0.13,8.1,130,6,6.1,0.64,,4.1,26,278,220,84,14,BDL,BDL,530,305,122,225,55,59,76,726.55,515.85,16,,0.13,BDL,5.8,0.41,23.38,1.33,BDL,BDL,BDL,BDL,BDL,BDL,0.07,BDL,
1788,"Sudalavani Kunta, (Sunnam Cheruvu), Allapur, Balanagar,Medchal-Malkajgiri dist.",Saroornagar Lake / Large Tank,0.3,7.42,1689,6.4,,,22,350,1.8,,,,18,5,380,224,76,11.2,2.2,,405,100,250,37.66,155,62,,1048,640,20,2.4,,0.5,,1.06,,,,0.0,0.03,1.07,0.13,0.01,0.15,0.12,
2343,"Sudalavani Kunta, (Sunnam Cheruvu), Allapur, Balanagar,Medchal-Malkajgiri dist.",Premajipet tank,0.3,7.18,3230,6,,,47,1600,8.2,,,,23,5,620,458,48,7,2.8,,725,182.4,456,65.37,269,186,,1970,1220,14,3.1,,0.5,,1.24,,,,0.02,0.03,0.07,0.08,0.1,0.07,0.27,
4670,"Sudalavani Kunta, (Sunnam Cheruvu), Allapur, Balanagar,Medchal-Malkajgiri dist.","Bairamalaguda Cheruvu / Maddela Kunta, Medchal-Malkajigiri District.",0.3,7.66,1486,10,,,27,540,3.6,,,,20,5,320,220,103,9.8,4.4,,340,84,210,31.59,130,66,,936,580,18,2.32,,0.5,,0.92,,,,0.02,0.03,0.07,0.16,0.01,0.04,0.1,
4678,"Sudalavani Kunta, (Sunnam Cheruvu), Allapur, Balanagar,Medchal-Malkajgiri dist.","Patel Cheruvu, Nacharam, Medchal-Malkajigiri District.",0.3,6.98,1452,20,,,27,540,12,,,,26,5,410,182,242,7,2.94,,420,108,270,36.45,150,118,,898,602,24,2.94,,0.5,,1.06,,,,0.02,0.03,0.1,0.08,0.1,0.08,0.11,
4679,"Sudalavani Kunta, (Sunnam Cheruvu), Allapur, Balanagar,Medchal-Malkajgiri dist.",HUDA Park Lake,0.3,7.52,2311,8,,,25,540,4,,,,24,5,355,370,80,8.4,2.2,,530,133.6,334,47.63,196,162,,1410,860,20,3.66,,0.5,,1.12,,,,0.02,0.03,0.06,0.02,0.1,0.08,0.74,
4691,"Sudalavani Kunta, (Sunnam Cheruvu), Allapur, Balanagar,Medchal-Malkajgiri dist.","Nagole Cheruvu, Uppal Malkajigiri District.",0.3,7.43,1434,6.4,,,17,540,14,,,,26,5,395,189,64,7,3.54,,410,102,255,37.66,155,117,,890,596,22,2.94,,0.5,,1.04,,,,0.02,0.03,0.1,0.05,0.1,0.08,0.2,
4692,"Sudalavani Kunta, (Sunnam Cheruvu), Allapur, Balanagar,Medchal-Malkajgiri dist.","Ramanthapur Pedda Cheruvu, Medchal-Malkajigiri District.",0.3,6.94,1530,20,,,24,540,8.1,,,,32,5,430,162,258,8.4,3.52,,445,114,285,38.88,160,88,,948,644,28,3.16,,0.5,,1.26,,,,0.02,0.03,0.1,0.05,0.1,0.06,0.14,
4699,"Sudalavani Kunta, (Sunnam Cheruvu), Allapur, Balanagar,Medchal-Malkajgiri dist.","Kaprai Cheruvu, RamanthpurMedchal-Malkajigiri District.",0.3,7.51,1217,8,,,33,540,Less than 1.8,,,,17,5,260,156,123,4.2,1.4,,295,60,150,35.23,145,72,,732,438,32,2.88,,0.5,,0.34,,,,0.02,0.03,0.01,0.16,0.1,0.16,0.16,
4702,"Sudalavani Kunta, (Sunnam Cheruvu), Allapur, Balanagar,Medchal-Malkajgiri dist.","Pedda Cheruvu - Khaja guda, Khajaguda (V), Serlingampally (new mandal)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4703,"Sudalavani Kunta, (Sunnam Cheruvu), Allapur, Balanagar,Medchal-Malkajgiri dist.","Bulbul kunta, Lakshmiguda, rajendranagar",0.3,7.35,2307,12,,,21,350,3.7,,,,26,5,460,320,163,9.8,5.6,,495,124.8,312,44.47,183,132,,1408,860,48,2.14,,0.62,,1.1,,,,0.0,0.03,0.08,0.02,0.1,0.08,0.3,
4704,"Sudalavani Kunta, (Sunnam Cheruvu), Allapur, Balanagar,Medchal-Malkajgiri dist.","Pedda Cheruvu, Mansoorabad, Saroornagar, Rangareddy District.",0.3,7.03,1324,18,,,24,430,8.01,,,,31,5,320,221,223,8.4,3.02,,375,92,230,35.23,145,88,,820,552,28,2.38,,0.5,,1.14,,,,0.02,0.03,0.08,0.1,0.1,0.12,0.47,
5040,"Sudalavani Kunta, (Sunnam Cheruvu), Allapur, Balanagar,Medchal-Malkajgiri dist.","Bandlaguda Cheruvu, Bandlaguda, Uppal, Medchal Dist.",0.3,7.16,1436,6.2,,,24,540,8.1,,,,18,5,400,149,68,7,3.52,,410,104,260,36.45,150,92,,894,598,16,3.34,,0.5,,1.28,,,,0.02,0.03,0.07,0.01,0.1,0.14,0.1,
5041,"Sudalavani Kunta, (Sunnam Cheruvu), Allapur, Balanagar,Medchal-Malkajgiri dist.","Pathulguda, Uppal, Medchal Dist.",2,7.82,1386,5.4,,,14,430,10,,,,22,5,380,172,52,5.6,1.82,,395,98,245,36.45,150,122,,846,566,18,3.04,,0.5,,1.04,,,,0.02,0.03,0.1,0.08,0.1,0.07,0.11,
5113,"Sudalavani Kunta, (Sunnam Cheruvu), Allapur, Balanagar,Medchal-Malkajgiri dist.","Chinna Cheruvu, Ramanthapur Bagat, Uppal",0.3,7.04,1372,16,,,17,430,12,,,,36,5,310,198,254,7,3.86,,390,96,240,36.45,150,148,,836,560,32,1.84,,0.5,,1.18,,,,0.02,0.03,0.1,0.05,0.1,0.07,0.14,
5117,"Sudalavani Kunta, (Sunnam Cheruvu), Allapur, Balanagar,Medchal-Malkajgiri dist.","Masjid Banda Lake, Kondapur, Serlingampally",Dried Up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5121,"Sudalavani Kunta, (Sunnam Cheruvu), Allapur, Balanagar,Medchal-Malkajgiri dist.","Pale Cheruvu, Kattedan",Dried UP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5126,"Sudalavani Kunta, (Sunnam Cheruvu), Allapur, Balanagar,Medchal-Malkajgiri dist.","Bathula Cheruvu, Amangal, Hayathnagar",0.3,7.6,1433,14,,,26,540,2,,,,16,5,295,214,219,8.4,2.8,,335,82.4,206,31.35,129,84,,888,560,46,2.98,,0.5,,1.26,,,,0.02,0.03,0.06,0.1,0.1,0.12,0.44,
5127,"Sudalavani Kunta, (Sunnam Cheruvu), Allapur, Balanagar,Medchal-Malkajgiri dist.","Kummari Kunta, Amangal, Hayathnagar",0.3,7.55,3760,20,,,17,350,5.6,,,,12,5,615,639,386,14,5.6,,905,228,570,81.41,335,197,,2330,1380,52,2.22,,0.5,,1.12,,,,0.02,0.03,0.08,0.13,0.02,0.08,0.14,
5128,"Sudalavani Kunta, (Sunnam Cheruvu), Allapur, Balanagar,Medchal-Malkajgiri dist.",Palle cheruvu,0.3,7.33,2416,9,,,47,430,1.8,,,,12,5,480,360,79,16,1.1,,525,130.4,326,48.36,199,174,,1474,920,12,2.46,,0.5,,1.02,,,,0.02,0.03,0.09,0.06,0.1,0.08,0.33,
5129,"Sudalavani Kunta, (Sunnam Cheruvu), Allapur, Balanagar,Medchal-Malkajgiri dist.","Erra Kunta, Laxmiguda, Rajenderanagar",0.3,7.26,2446,10,,,47,920,6.1,,,,24,5,495,368,147,7,1.6,,525,128,320,49.81,205,120,,1540,940,16,3.25,,0.5,,1.16,,,,0.02,0.03,0.07,0.02,0.1,0.08,0.1,
