Station code,water_bodies,Station name,District,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia,Free Ammonia  (mg/L),Hardness (mg/L),Calcium (mg/L),Calcium Carbonate as CaCO3,Magnesium (mg/L),Magnesium Carbonate as CaCO3,Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR
1215,Lakes & Tanks,Madannapet Lake,Warangal Rural,6.2,8.16,247,1,1.2,,Less than 1.8,32,Less than 1.8,,,,11,5,65,28,22,1.5,0.4,,90,50,20,40,9.72,12,,150,70,10,0.88,,0.5,,0.72,#,#
3068,Lakes & Tanks,Ramappa lake,Mulugu,6.3,7.65,276,1,0.7,,Less than 1.8,34,Less than 1.8,,,,12,5,70,32,8,1.5,0.4,,85,45,18,40,9.72,19,,176,110,10,0.24,,0.5,,0.53,#,#
1447,Lakes & Tanks,Dharmasagar tank,Warangal,6.2,7.68,408,1,0.9,,Less than 1.8,39,Less than 1.8,,,,8,5,90,48,5,1.5,0.4,,110,65,26,45,10.94,32,,258,160,10,0.46,,0.5,,0.59,#,#
2346,Lakes & Tanks,Bhadrakali cheruv,Warangal Urban,6,7.31,595,1,2.1,,Less than 1.8,33,Less than 1.8,,,,16,5,110,83,12,1.5,0.4,,130,70,28,60,14.58,48,,374,240,10,1.42,,0.5,,0.53,#,#
3084,Lakes & Tanks,"Waddepally tank, Kazipet",Warangal Urban,6.2,7.64,498,1,1.5,,Less than 1.8,40,Less than 1.8,,,,11,5,85,71,12,1.5,0.4,,95,45,18,50,12.15,44,,314,200,10,0.52,,0.5,,0.61,#,#
3085,Lakes & Tanks,Chinnawaddepally tank,Warangal Urban,3.2,7.59,685,4.2,1.26,,39,350,2,,,,16,5,160,80,24,6.72,1.68,,180,125,50,55,13.37,48,,418,540,14,1.89,,0.5,,0.88,#,#
2345,Lakes & Tanks,Sai Cheruvu,Warangal Urban,2.2,7.63,1351,5.2,1.8,,49,540,4.5,,,,14,5,235,184,68,6.16,2.8,,260,135,54,125,30.38,114,,838,540,19,2.68,,0.5,,0.99,#,#
4247,Lakes & Tanks,"Mucharla Nagaram cheruvu, Warangal",Warangal Urban,6.2,7.56,429,1,12.4,,11,110,Less than 1.8,,,,18,5,90,52,8,4.48,1.68,,105,60,24,45,10.94,28,,270,160,18,0.32,,0.5,,0.63,#,#
4248,Lakes & Tanks,"Koti Cheruvu, Hanamkonda, Warangal",Warangal Urban,3.2,7.56,708,5.4,7.4,,14,280,Less than 1.8,,,,21,5,135,94,36,5.69,1.12,,150,95,38,55,13.37,54,,432,360,16,1.38,,0.5,,0.79,#,#
4249,Lakes & Tanks,"Rangasamudram, Warangal",Warangal Urban,4.6,8.2,610,2.6,3.4,,9.1,350,Less than 1.8,,,,18,5,120,76,38,5.6,1.68,,130,55,22,75,18.22,48,,384,180,16,2.16,,0.5,,0.92,#,#
