Station code,water_bodies,Station name,District,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia-N (mg/L),Free Ammonia  (mg/L),Total Hardness as CaCO3 (mg/L),Calcium Carbonate as CaCO3,Calcium as Ca+2(mg/L),Magnesium Carbonate as CaCO3,Magnesium as Mg+2(mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),% Sodium,SAR
2360,River Godavari,River Godavari at Basara,Nirmal,6,8.17,782,1.7,10,0.05,5.8,18,3.7,,,,6,12,150,137,20,14,0.4,0.01,290,210,84,80,19.44,52,25,484.84,344.24,10,,0.06,0.5,1.2,0.46,18.47,0.53
5105,River Godavari,"River Godavari Pushkar Ghat, Mancherial",Mancherial,6.2,8.14,965,2.5,12,0.07,6.2,20,3.6,,,,8,8,160,156,28,16,0.4,0.01,340,150,60,190,46.17,82,30,627.25,442,10,,0.09,0.5,1.6,0.32,23.22,0.74
4255,River Godavari,Ali sagar Reservoir,Nizamabad,6,7.9,464,2.1,3,0.09,4,25,Less than 1.8,,,,9,12,130,90,24,5,0.4,0.01,180,90,36,90,21.87,27,19,301.6,212,10,,0.12,0.5,4,0.3,23.48,0.59
4227,River Godavari,"Pochara Water Falls, Adilabad",Adilabad,6.8,7.96,710,2.8,10,0.11,6.2,20,2,,,,4,16,180,128,32,16,0.4,0.01,290,150,60,140,34.02,56,20,461.5,324,10,,0.4,0.5,3,0.34,17.43,0.49
2361,River Godavari,"River Godavari at mancherial, Near Rail Way Bridge B/C of Rallavagu",Mancherial,6.5,7.63,481,1,1.72,,Less than 1.8,33,Less than 1.8,N.A,N.A,N.A,8.2,5,95,56,8,1.5,0.4,0.01,110,65,26,45,10.94,38,,,,10,0.46,,0.5,,,,
0013,River Godavari,River Godavari at Mancherial,Mancherial,6.5,8.26,485,1,2.12,,Less than 1.8,34,Less than 1.8,N.A,N.A,N.A,6.8,10,100,52,12,1.5,0.4,0.04,115,70,28,45,10.94,42,,,,10,0.4,,0.5,,,,
3054,River Godavari,"Outlet of ash pond effluents of M/s.NTPC, Ramagundam",Peddapalli,6.4,9.94,914,1.1,1.92,,Less than 1.8,33,Less than 1.8,N.A,N.A,N.A,12,40,205,110,14,2.24,0.4,0.34,230,145,58,85,20.66,66,,,,24,0.98,,0.5,,,,
2362,River Godavari,D/s of River Godavari at Ramagundam near FCI intake well,Peddapalli,6.4,8.37,492,1,1.52,,Less than 1.8,33,Less than 1.8,N.A,N.A,N.A,9.2,10,110,57,8,1.5,0.4,0.06,125,75,30,50,12.15,28,,,,10,0.48,,0.5,,,,
2363,River Godavari,River Godavari at Godavarikhani near bathing ghat,Peddapalli,6.2,8.07,496,1,2.22,,Less than 1.8,39,Less than 1.8,N.A,N.A,N.A,6.6,5,115,52,12,1.5,0.4,0.03,120,74,29.6,46,11.18,29,,,,10,0.92,,0.5,,,,
2364,River Godavari,River Godavari at Ramagundam upstream near dam,Peddapalli,6.3,8.15,484,1,2.12,,Less than 1.8,33,Less than 1.8,N.A,N.A,N.A,7.8,5,115,56,5,1.5,0.4,0.03,126,70,28,56,13.61,25,,,,10,0.2,,0.5,,,,
2356,River Godavari,River Godavari d/s of Ramagundam at Manthani,Peddapalli,6.2,8.06,507,1.2,1.72,,Less than 1.8,39,Less than 1.8,N.A,N.A,N.A,7.6,5,120,49,12,1.5,0.4,0.03,130,80,32,50,12.15,34,,,,10,0.2,,0.5,,,,
4662,River Godavari,River godavari Kaleshwaram,Jayashankar Bhoopalpalli,6.4,7.9,489,1,1.62,,Less than 1.8,27,Less than 1.8,N.A,N.A,N.A,5.5,5,100,58,8,1.5,0.4,0.2,120,72,28.8,48,11.66,36,,,,10,0.2,,0.5,,,,
2365,River Godavari,"U/s of River Godavari at Kamalapur (V) at M/s.AP Rayons Ltd., intake well",Mulugu,6.4,8.47,376,1,0.94,,Less than 1.8,33,Less than 1.8,N.A,N.A,N.A,7.6,20,75,46,8,1.5,0.4,0.06,85,50,20,35,8.5,26,,,,10,0.2,,0.5,,,,
2366,River Godavari,"D/s of River Godavari at Kamalapur (V) at M/s.AP Rayons Ltd., discharge point",Mulugu,6.3,8.16,368,1.1,0.94,,Less than 1.8,39,Less than 1.8,N.A,N.A,N.A,7.2,5,75,44,12,1.5,0.4,0.03,80,45,18,35,8.5,25,,,,10,0.2,,0.5,,,,
2367,River Godavari,U/s of river Godavari at Bhadrachalam bathing ghat,Bhadradri Kothagudem ,6.1,8.3,375,1,0.94,,Less than 1.8,33,Less than 1.8,N.A,N.A,N.A,4.8,10,80,40,5,1.5,0.4,0.06,85,52,20.8,33,8.02,28,,,,10,0.72,,0.5,,,,
2368,River Godavari,D/s of river Godavari at Bhadrachalam bathing ghat,Bhadradri Kothagudem ,6,8.45,390,1,0.96,,1.8,39,Less than 1.8,N.A,N.A,N.A,4.2,20,80,42,8,1.5,0.4,0.07,90,58,23.2,32,7.78,30,,,,10,1.18,,0.5,,,,
2369,River Godavari,River Godavari at Burgampahad,Bhadradri Kothagudem ,5.8,8.27,407,1,1.04,,Less than 1.8,27,Less than 1.8,N.A,N.A,N.A,5.3,10,90,44,8,1.5,0.4,0.05,95,55,22,40,9.72,26,,,,10,1.26,,0.5,,,,
