Station code,water_bodies,Station name,District,DO (mg/L),pH,Conductivity (μs/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia,Free Ammonia  (mg/L),Hardness (mg/L),Calcium Carbonate as CaCO3,Calcium as Ca+2(mg/L),Magnesium Carbonate as CaCO3,Magnesium as Mg+2(mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR
3073,Lakes & Tanks ,"Hasmathpet lake, Hasmathpet",Medchal Malkajgiri,0.3,7.34,1190,6,5.2,,63,430,4,,,,15,5,295,126,68,4.2,1.4,,305,195,0,110,74.11,68,,722,,21,4.6,,0.5,,1.16,,
3072,Lakes & Tanks ,Safilguda lake,Medchal Malkajgiri,0.3,7.83,1144,8,3.2,,11,540,2,,,,8.8,5,245,190,76,2.8,1.4,,265,160,0,105,64.39,64,,708,,16,2.9,,0.5,,1.18,,
3075,Lakes & Tanks ,Rangadhamuni cheruvu,Medchal Malkajgiri,3.3,7.05,311,2,2.8,,27,350,Less than 1.8,,,,8,5,85,52,22,1.5,0.4,,105,60,0,45,25.52,26,,192,,10,2.6,,0.5,,0.72,,
3076,Lakes & Tanks ,"Amber cheruvu, Kukatpally",Medchal Malkajgiri,0.9,7.52,832,5.8,2.9,,9,430,Less than 1.8,,,,9.2,5,185,92,72,1.5,0.4,,195,100,0,95,47.38,60,,516,,13,2.6,,0.5,,1.16,,
3077,Lakes & Tanks ,"Kapra cheruvu, Kapra",Medchal Malkajgiri,0.9,7.75,823,5.9,3.2,,21,350,1.8,,,,6,5,230,82,88,2.8,0.4,,245,135,0,110,59.53,42,,510,,10,4.6,,0.5,,0.93,,
2357,Lakes & Tanks ,Durgam cheruvu,RR-shamshabad,3.8,6.86,791,2.4,3.6,,17,280,Less than 1.8,,,,12,5,170,112,38,2.8,0.4,,185,95,0,90,44.95,72,,480,,12,4,,0.5,,0.83,,
2344,Lakes & Tanks ,Nalla cheruvu,Medchal Malkajgiri,2,7.17,1403,4,3.6,,27,920,4,,,,18,5,285,212,58,4.2,1.4,,362,210,0,152,87.97,156,,860,,22,3.6,,0.5,,1.18,,
2359,Lakes & Tanks ,Pedda Cheruvu (Peerjadhi guda),Medchal Malkajgiri,0.3,7.23,1339,8,3.8,,21,540,2,,,,9.8,5,260,182,86,5.6,1.4,,285,150,0,135,69.25,88,,830,,16,3.2,,0.5,,1.1,,
2342,Lakes & Tanks ,Noor Md. Kunta,RR-shamshabad,0.3,6.95,1630,8,5.96,,34,540,4,,,,12,5,360,208,83,7,1.24,,375,235,0,140,91.12,128,,1028,,10,3.74,,0.5,,1.14,,
3070,Lakes & Tanks ,"Fox sagar, Jeedimetla",Medchal Malkajgiri,2,7.1,1031,4,2.2,,14,430,Less than 1.8,,,,11.6,5,260,108,56,1.5,0.4,,180,100,0,80,43.74,63,,632,,21,3.6,,0.5,,1.06,,
