Station code,water_bodies,Station name,DO (mg/L),pH,Conductivity (mS/cm),COD (mg/L),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia  (mg/L),Free Ammonia  (mg/L),Hardness (mg/L),Calcium (mg/L),Magnesium (mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR
4235,Lakes & Tanks ,Lake Kamuni( Shamshabad Lake),Less than 0.1,8.13,2112,147,24,4.8,Not Analysed,20,264,,,,20,Less than 1,348,362,147,4.6,Not Analysed,,475,102,53.46,180,262,1412,Not Analysed,16,0.96,Not Analysed,0.32,4,0.62,54.12,5.21
4233,Lakes & Tanks ,"Gaddapotharam cheruvu,",4.9,6.75,5160,55,6.5,35,0.37,Less than 2,79,,,,31,44,604,520,55,10.4,,Less than 0.01,863.01,184,98,126,245,2589,1889,32,Not Analysed,0.25,0.05,61,0.34,36.01,3.61
4238,Lakes & Tanks ,"Ameenpur Cheruvu,",5.8,7.27,1218,24,3.2,14,0.25,3,120,,,,25,24,164,154,24,4.5,,Less than 0.01,294.83,62,34,37,50,617,431,19,Not Analysed,0.29,0.03,8,0.19,26.15,1.26
4239,Lakes & Tanks ,"Mahaboobsagar Tank,",6.2,7.32,1371,16,2.2,13,0.22,2,70,,,,16,20,182,158,16,3,,Less than 0.01,298.07,60,36,38,56,698,509,22,Not Analysed,0.34,0.04,12,0.27,27.85,1.41
4244,Lakes & Tanks ,"Erdanoor Tank,",6.5,7.19,1024,38,3.6,26,0.48,Less than 2,47,,,,11,32,238,182,38,7.2,,Less than 0.01,225,49,25,43,52,695,596,15,Not Analysed,0.39,0.02,15,0.32,31.49,1.5
4245,Lakes & Tanks ,"Mallepally Tank,",6.1,7.38,2044,32,4,24,0.39,Less than 2,38,,,,15,36,288,252,32,6,,Less than 0.01,406,85,47,61,74,1189,783,18,Not Analysed,0.35,0.03,23,0.15,26.87,1.59
4247,Lakes & Tanks ,"Mucharla Nagaram cheruvu, Warangal",2.6,7.85,755,42,8,1.28,Not Analysed,11,280,,,,16,Less than 1,248,80,42,Less than 1,Not Analysed,,286,62,31.83,34,50,476,Not Analysed,5,0.86,Not Analysed,0.18,6,0.86,26.9,1.28
4248,Lakes & Tanks ,"Koti Cheruvu, Hanamkonda, Warangal",Less than 0.1,7.07,1129,89,10,14.68,Not Analysed,32,350,,,,18,Less than 1,260,180,89,3.6,Not Analysed,,285,78,21.87,62,136,712,Not Analysed,16,1.86,Not Analysed,0.38,6,1.02,50.16,3.5
4229,Lakes & Tanks ,Neknampur Lake,Less than 0.1,7.44,2081,122,24,3.3,Not Analysed,27,241,,,,14,Less than 1,480,292,122,2,Not Analysed,,520,98,66.83,128,232,1420,Not Analysed,12,1.36,Not Analysed,0.31,4,0.96,48.83,4.41
4249,Lakes & Tanks ,"Rangasamudram, Warangal",Less than 0.1,7.89,1234,118,18,3.04,Not Analysed,24,280,,,,16,Less than 1,295,168,118,3.8,Not Analysed,,335,66,41.31,81,129,785,Not Analysed,18,0.82,Not Analysed,0.2,4,0.89,45.04,3.05
4661,Lakes & Tanks ,Peddakanjarla Tank,Sample was not collected as it was in dry condition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4666,Lakes & Tanks ,Ismailkhanpet Tank,Sample was not collected as it was in dry condition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4670,Lakes & Tanks ,"Bairamalaguda Cheruvu, Medchal-Malkajigiri District.",Sample was not collected as it was in dry condition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4675,Lakes & Tanks ,"Lotus pond, Hakimpet (V), Shaik pet (new mandal)",Less than 0.1,7.34,980,68,16,4.8,Not Analysed,24,350,,,,16,Less than 1,220,136,68,3.8,Not Analysed,,280,68,26.73,72,92,573,Not Analysed,12,0.86,Not Analysed,0.26,6,1.06,40.89,2.38
4680,Lakes & Tanks ,Laknavaram lake,6.2,7.93,171,10,3,2.48,Not Analysed,Less than 2,78,,,,6,Less than 1,40,26,10,Less than 1,Not Analysed,,65,14,7.29,12,10,108,Not Analysed,8,Less than 0.01,Not Analysed,Less than 0.01,2,Less than 0.01,24.24,0.54
4681,Lakes & Tanks ,Pakala lake Narsampet,6,8.02,252,8,3,1.8,Not Analysed,Less than 2,17,,,,5,Less than 1,82,30,8,Less than 1,Not Analysed,,102,26,8.99,10,14,158,Not Analysed,6,Less than 0.01,Not Analysed,Less than 0.01,2,Less than 0.01,22.47,0.6
4682,Lakes & Tanks ,Bandham Cheruvu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4688,Lakes & Tanks ,"Narinja River, Kothur - B (V), Zaheerabad",Sample was not collected as it was in dry condition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1391,Lakes & Tanks ,Hussain sagar Lake,Less than 0.1,7.44,1279,87,23,13,Less than 0.01,920,Greater than  1600,,,,27,Less than 1,402,144,87,30,,0.1,352,82,36,62,108,844,562,68,0.91,,Less than 0.01,21,Less than 0.01,108,2.49
3071,Lakes & Tanks ,Langarhouse lake,Less than 0.1,7.42,1340,147,24,8.28,Not Analysed,36,430,,,,24,Less than 1,295,221,147,4,Not Analysed,,425,98,43.74,78,122,894,Not Analysed,28,1.84,Not Analysed,0.43,4,1.32,38.02,2.57
2341,Lakes & Tanks ,Miralam tank,Less than 0.1,7.62,1691,80,12,10.2,Not Analysed,20,280,,,,18,Less than 1,445,230,80,3.2,Not Analysed,,470,122,40.09,89,180,1062,Not Analysed,14,2.88,Not Analysed,0.36,6,0.93,44.92,3.6
3073,Lakes & Tanks ,"Hasmathpet lake, Hasmathpet",Less than 0.1,7.38,1370,154,24,21,Not Analysed,26,350,,,,22,Less than 1,395,167,154,4.5,Not Analysed,,445,104,44.95,80,122,832,Not Analysed,18,2.91,Not Analysed,0.39,8,1.02,36.69,2.51
3072,Lakes & Tanks ,Safilguda lake,Less than 0.1,7.45,1565,135,28,18,Not Analysed,22,430,,,,20,Less than 1,325,236,135,3.6,Not Analysed,,390,90,40.09,104,172,1030,Not Analysed,20,2.74,Not Analysed,0.29,8,1.06,48.17,3.78
3075,Lakes & Tanks ,Rangadhamuni cheruvu,Less than 0.1,7.63,1274,91,12,3.28,Not Analysed,20,350,,,,23,Less than 1,290,192,91,3.6,Not Analysed,,360,100,26.73,106,142,876,Not Analysed,30,0.78,Not Analysed,0.3,6,1.01,45.55,3.25
3076,Lakes & Tanks ,"Amber cheruvu, Kukatpally",Less than 0.1,7.33,1763,194,48,20.6,Not Analysed,19,350,,,,21,Less than 1,395,276,194,3.8,Not Analysed,,492,112,51.52,112,188,1094,Not Analysed,28,5.88,Not Analysed,0.33,10,0.93,44.61,3.68
3077,Lakes & Tanks ,"Kapra cheruvu, Kapra",Less than 0.1,7.4,1456,99,26,10.2,Not Analysed,217,280,,,,16,Less than 1,325,238,99,3.5,Not Analysed,,380,106,27.95,91,172,946,Not Analysed,16,2.9,Not Analysed,0.33,6,0.67,49.0,3.83
2357,Lakes & Tanks ,Durgam cheruvu,Less than 0.1,7.45,1228,75,12,5.2,Not Analysed,14,320,,,,12,Less than 1,280,187,75,2.8,Not Analysed,,320,106,13.37,62,132,780,Not Analysed,16,1.32,Not Analysed,0.28,6,0.58,46.63,3.2
2344,Lakes & Tanks ,Nalla cheruvu,Less than 0.1,7.24,1507,127,38,6.22,Not Analysed,14,350,,,,18,Less than 1,385,198,127,3.2,Not Analysed,,440,98,47.38,82,142,1012,Not Analysed,26,0.61,Not Analysed,0.38,6,0.68,40.68,2.94
2359,Lakes & Tanks ,Pedda Cheruvu (Nacharam cheruvu),Less than 0.1,7.44,1437,171,22,18.24,Not Analysed,17,520,,,,14,Less than 1,385,183,171,3.5,Not Analysed,,420,96,43.74,96,146,926,Not Analysed,22,0.68,Not Analysed,0.24,8,1.21,42.32,3.09
2342,Lakes & Tanks ,Noor Md. Kunta,Less than 0.1,7.41,2328,220,45,9.21,Not Analysed,26,520,,,,26,Less than 1,560,352,220,5.5,Not Analysed,,640,154,61.96,172,272,1460,Not Analysed,27,0.72,Not Analysed,0.38,8,1.2,47.5,4.66
3070,Lakes & Tanks ,"Fox sagar, Jeedimetla",Less than 0.1,7.61,1629,78,22,4.2,Not Analysed,17,330,,,,18,Less than 1,320,240,78,2.8,Not Analysed,,440,96,48.6,144,168,1042,Not Analysed,14,1.21,Not Analysed,0.22,6,0.91,44.79,3.47
3074,Lakes & Tanks ,Banjara Lake,Dried up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4236,Lakes & Tanks ,Pedda cheruvu,Less than 0.1,7.56,1375,264,30,2.18,Not Analysed,14,350,,,,14,Less than 1,335,187,264,3.2,Not Analysed,,365,88,35.23,94,152,918,Not Analysed,24,2.18,Not Analysed,0.32,6,0.86,46.87,3.45
3086,Lakes & Tanks ,Saki Tank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4237,Lakes & Tanks ,"Mullakatwa Cheruvu, Hi Tech City, Madhapur,",Less than 0.1,6.97,1426,147,44,8.9,Not Analysed,26,326,,,,12,Less than 1,355,164,147,2.5,Not Analysed,,395,80,47.38,94,132,860,Not Analysed,16,1.28,Not Analysed,0.41,8,0.68,41.31,2.88
4667,Lakes & Tanks ,"Surram Cheruvu (Palle Cheruvu), Bandlaguda (V), Bandlaguda (new mandal)",Less than 0.1,7.63,1974,238,36,6.4,Not Analysed,20,430,,,,26,Less than 1,320,398,238,3.6,Not Analysed,,365,88,35.23,86,276,1224,Not Analysed,38,2.26,Not Analysed,0.3,6,1.63,61.57,6.27
4668,Lakes & Tanks ,"Chinnarayan Cheruvu, Alwal (V)",Less than 0.1,7.28,1647,187,42,23.8,Not Analysed,32,415,,,,30,Less than 1,320,260,187,4.5,Not Analysed,,425,86,51.03,138,184,916,Not Analysed,18,2.68,Not Analysed,0.37,9.6,0.93,47.62,3.87
4669,Lakes & Tanks ,"Pedda Cheruvu, Gangaram (V), Serilingarampally (New Mandal)",Less than 0.1,7.48,1916,149,26,12.89,Not Analysed,26,430,,,,18,Less than 1,435,294,149,3.2,Not Analysed,,585,130,63.18,98,168,1188,Not Analysed,16,1.98,Not Analysed,0.32,6,1.16,38.0,3.01
4671,Lakes & Tanks ,"Medi Kunta, Guttala begumpet (V)",Sample was not collected by RO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4672,Lakes & Tanks ,"Medi Kunta (Wipro Lake), Nanakramguda",Less than 0.1,6.76,1399,84,16,9.2,Not Analysed,22,280,,,,20,Less than 1,274,220,84,3.2,Not Analysed,,345,83.2,33.29,88,148,868,Not Analysed,22,2.26,Not Analysed,0.38,10,0.62,47.23,3.46
4673,Lakes & Tanks ,Medikunta lake (BK Enclave),Less than 0.1,7.18,1082,82,16,2.82,Not Analysed,17,350,,,,12,Less than 1,280,162,82,2.4,Not Analysed,,310,74,30.38,64,122,738,Not Analysed,14,1.92,Not Analysed,0.28,5,1.08,45.48,3.01
4674,Lakes & Tanks ,"Meedi Kunta, Hafeezpet (V), Serlingampally",Sample was not collected by RO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4676,Lakes & Tanks ,"Banda Cheruvu, Malkajigiri (V),Malkajigiri (new mandal)",Less than 0.1,7.32,1520,164,34,18,Not Analysed,26,430,,,,32,Less than 1,365,210,164,4.8,Not Analysed,,405,122,24.3,92,160,980,Not Analysed,42,3.68,Not Analysed,0.34,12,0.84,45.2,3.45
4677,Lakes & Tanks ,"Lingam Cheruvu, Suraram (V), Quthubullapur",Less than 0.1,7.49,1660,174,32,26,Not Analysed,20,350,,,,16,Less than 1,440,235,174,5.2,Not Analysed,,530,146,40.09,98,146,1120,Not Analysed,20,1.82,Not Analysed,0.28,9,0.98,36.86,2.75
4678,Lakes & Tanks ,"Patel Cheruvu, Nacharam, Medchal-Malkajigiri District.",Less than 0.1,7.31,1563,286,34,10.92,Not Analysed,22,350,,,,24,Less than 1,385,226,286,3.8,Not Analysed,,425,100,42.52,94,172,970,Not Analysed,24,3.38,Not Analysed,0.34,8,0.98,46.08,3.62
4679,Lakes & Tanks ,HUDA Park Lake,Less than 0.1,7.35,1770,183,28,4.07,Not Analysed,22,430,,,,28,Less than 1,385,238,183,4.6,Not Analysed,,490,120,46.17,122,164,1182,Not Analysed,14,3.26,Not Analysed,0.38,8,0.84,41.5,3.21
4683,Lakes & Tanks ,"Pedda cheruvu, Madikonda",2.8,7.68,534,32,4,0.48,Not Analysed,Less than 2,26,,,,12,Less than 1,160,62,32,Less than 1,Not Analysed,,205,44,23.09,28,32,336,Not Analysed,8,0.16,Not Analysed,0,4,0.88,24.77,0.97
4684,Lakes & Tanks ,Campus Lake Icrisat,6.9,6.93,312,12,2.3,8,0.32,4,220,,,,6,16,74,60,12,2.3,,Less than 0.01,107.59,20,14,5,22,228,166,4,Not Analysed,0.22,Less than 0.01,2,0.31,30.13,0.92
4685,Lakes & Tanks ,Surisigal Lake Icrisat,7.1,7.01,511,27,3.2,10,0.28,3,140,,,,7,12,84,67,27,5.1,,Less than 0.01,120.82,22,16,12,29,315,227,25,Not Analysed,0.27,Less than 0.01,5,0.37,32.99,1.14
4686,Lakes & Tanks ,Icrisat Lake,6.7,7.14,592,22,3,12,0.26,2,240,,,,9,20,90,82,22,4.2,,Less than 0.01,152.28,28,20,15,26,342,249,19,Not Analysed,0.31,Less than 0.01,4,0.22,26.29,0.91
4687,Lakes & Tanks ,Red Lake Icrisat,7,6.85,911,26,2.4,11,0.34,6,280,,,,11,28,164,84,26,4.9,,Less than 0.01,230.17,46,28,28,24,502,356,18,Not Analysed,0.16,Less than 0.01,6,0.28,17.9,0.69
4689,Lakes & Tanks ,"Sunnam Kunta, Jubille hills",1.2,7.64,1020,64,8,6.4,Not Analysed,11,280,,,,24,Less than 1,240,150,64,2.8,Not Analysed,,305,72,30.38,60,92,620,Not Analysed,12,0.18,Not Analysed,0.26,8,0.32,38.7,2.28
4690,Lakes & Tanks ,"Banjara Kunta (Singadi Kunta), Shaikpet",1,7.24,1020,68,8,5.8,Not Analysed,17,350,,,,19,Less than 1,270,124,68,4.2,Not Analysed,,325,84,27.95,64,86,632,Not Analysed,11,0.43,Not Analysed,0.28,4,0.56,36.06,2.07
4691,Lakes & Tanks ,"Nagole Cheruvu, Uppal Malkajigiri District.",Less than 0.1,7.33,1252,78,14,10.6,Not Analysed,32,430,,,,26,Less than 1,365,138,78,3.8,Not Analysed,,415,78,53.46,56,94,854,Not Analysed,28,2.61,Not Analysed,0.38,6,1.28,32.45,2.0
4692,Lakes & Tanks ,"Ramanthapur Cheruvu, Medchal-Malkajigiri District.",Sample was not collected due to no accessibility ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4693,Lakes & Tanks ,"Patel Cheruvu, Madeenaguda, Miyapur",Less than 0.1,7.42,1152,92,18,3.02,Not Analysed,22,350,,,,14,Less than 1,280,158,92,4,Not Analysed,,310,84,24.3,84,128,730,Not Analysed,14,2.32,Not Analysed,0.41,8,1.26,46.39,3.15
4694,Lakes & Tanks ,Mundla Katwa Lake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4695,Lakes & Tanks ,"Khaja Kunta, Kukatpally (V)",Lake Sample was not collected as lake was under maintenance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4696,Lakes & Tanks ,"Parki Cheruvu, Kukatpally (V), Balanagar",Less than 0.1,7.17,1434,166,38,3.15,Not Analysed,26,350,,,,20,Less than 1,365,202,166,3.8,Not Analysed,,380,106,27.95,84,162,960,Not Analysed,18,2.82,Not Analysed,0.32,10,1.12,47.18,3.61
4697,Lakes & Tanks ,"Mukkidi Cheruvu (Ramakrishnapuram Lake), Malkajigri",Lake Sample was not collected as lake was under maintenance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4698,Lakes & Tanks ,"Mannevari Kunta, Machabollaram (V), Alwal",Lake Sample was not collected as lake was under maintenance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4699,Lakes & Tanks ,"Kaprai Cheruvu, RamanthpurMedchal-Malkajigiri District.",2.8,6.76,380,22,3,2.82,Not Analysed,Less than 2,210,,,,8,Less than 1,115,42,22,Less than 1,Not Analysed,,120,30,10.94,12,29,222,Not Analysed,10,Less than 0.01,Not Analysed,Less than 0.01,2,Less than 0.01,33.86,1.15
4700,Lakes & Tanks ,"Large tank, Saroornagar, Rangareddy District.",Less than 0.1,7.4,1496,142,26,7.92,Not Analysed,26,350,,,,28,Less than 1,346,226,142,4.2,Not Analysed,,385,78,46.17,78,166,928,Not Analysed,38,2.48,Not Analysed,0.32,8,0.98,47.58,3.67
4701,Lakes & Tanks ,"Lingam kunta lake Chandanagar,Serilingampally, Rangareddy (Dist)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4702,Lakes & Tanks ,"Pedda Cheruvu - Khaja guda, Khajaguda (V), Serlingampally (new mandal)",Less than  0.1,7.1,1702,91,21,21,Less than 0.01,240,920,,,,9.1,Less than 1,380,172,91,62,11,0.19,404,102,36,55,122,1122,890,28,5.3,,Less than 0.01,11,Less than 0.01,38.76,2.64
4703,Lakes & Tanks ,Bulbubu kunta,Less than 0.1,7.22,1440,92,16,8.2,Not Analysed,22,430,,,,16,Less than 1,346,204,92,5.2,Not Analysed,,485,112,49.81,58,122,888,Not Analysed,46,3.2,Not Analysed,1.05,2,10,35.11,2.4
4704,Lakes & Tanks ,"Pedda Cheruvu, Mansoorabad, Saroornagar, Rangareddy District.",Less than 0.1,7.2,1482,122,28,22.12,Not Analysed,22,430,,,,22,Less than 1,310,238,122,3.8,Not Analysed,,360,76,41.31,81,171,902,Not Analysed,28,2.08,Not Analysed,0.3,4,0.92,50.3,3.91
4705,Lakes & Tanks ,"Kotha Cheruvu (Alwal Cheruvu), Alwal (V),",Less than 0.1,7.16,1620,120,28,24.3,Not Analysed,20,340,,,,20,Less than 1,362,226,120,1.6,Not Analysed,,470,122,40.09,94,140,980,Not Analysed,28,1.92,Not Analysed,0.38,8,0.96,38.69,2.8
