Station code,water_bodies,Station name,DO (mg/L),pH,Conductivity (mS/cm),COD (mg/L),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia  (mg/L),Free Ammonia  (mg/L),Hardness (mg/L),Calcium (mg/L),Magnesium (mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR
4664,River Maneru / Manair,River Maneru at Ghattepalli (V) near Sulthanabad,6.2,7.79,872,28,4,4.2,Not Analysed,Less than 2,30,,,,6,Less than 1,225,88,28,Less than 1,Not Analysed,,240,66,18.22,68,82,518,Not Analysed,8,1,Not Analysed,Less than 0.01,4,0.58,42.01,2.3
4665,River Maneru / Manair,Outlet of KTPP Ash Pond Joining Moranchavagu,4.8,8.17,820,20,3,0.58,Not Analysed,Less than 2,38,,,,10,Less than 1,256,76,20,Less than 1,Not Analysed,,290,72,26.73,35,50,508,Not Analysed,16,1.23,Not Analysed,Less than 0.01,3,0.34,26.91,1.27
1158,River Maneru / Manair,River Maneru at Somanpally,4.9,8.03,623,16,3,0.32,Not Analysed,Less than 2,24,,,,5,Less than 1,230,50,16,Less than 1,Not Analysed,,265,56,30.38,26,28,398,Not Analysed,8,Less than 0.01,Not Analysed,Less than 0.01,3,0.53,18.37,0.75
4258,River Manjeera,"Singoor Dam Reservoir,",6.4,7.21,385,10,2.1,4,0.19,Less than 2,11,,,,5,8,46,44,10,1.9,,Less than 0.01,81.13,16,10,9,13,211.75,161,7,Not Analysed,0.26,Less than 0.01,2,0.22,25.12,0.63
1157,River Manjeera,River Manjeera at Raipally,6.5,7.37,375,12,2.2,6,0.23,Less than 2,6,,,,7,12,56,46,12,2.3,,Less than 0.01,84.5,18,10,9,15,210,154,9,Not Analysed,0.32,Less than 0.01,5,0.19,25.94,0.7
1781,River Manjeera,Manjeera at Ganapathi sugars,5.9,7.17,817,30,2.4,10,0.17,Less than 2,14,,,,10,24,134,124,30,5.7,,Less than 0.01,228.41,42,30,36,45,449.35,329,13,Not Analysed,0.18,Less than 0.01,5,0.25,29.27,1.29
2374,River Manjeera,U/s of River Manjeera at Gowdicherla before confluence with Nakkavagu,6.1,7.43,1547,28,2.5,19,0.28,Less than 2,34,,,,13,32,220,194,28,5.3,,Less than 0.01,369.21,72,46,43,64,868,661,18,Not Analysed,0.32,Less than 0.01,8,0.21,26.7,1.44
2375,River Manjeera,D/s of River Manjeera at Gowdicherla atfter confluence with Nakkavagu,5.8,7.41,1488,32,2.8,15,0.31,Less than 2,31,,,,15,28,206,182,32,6,,Less than 0.01,334.52,68,40,38,63,820,605,15,Not Analysed,0.3,Less than 0.01,7,0.24,28.38,1.49
2349,River Manjeera,Nakka vagu at Bachugudem,2.2,7.24,1508,45,6,14,0.32,Less than 2,17,,,,19,24,211,204,45,8.5,,Less than 0.01,362.73,76,42,35,65,832,615,39,Not Analysed,0.26,Less than 0.01,9,0.29,27.29,1.48
4226,River Manjeera,River Manjeera at Yedu Payala Temple,7.3,7.19,853,16,2.2,13,0.27,Less than 2,13,,,,11,16,146,128,16,3,,Less than 0.01,241.64,44,18,37,46,486,349,17,Not Analysed,0.22,Less than 0.01,8,0.12,33.87,1.47
