Station code,water_bodies,Station name,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Saprobity index,Diversity index,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia-N  (mg/L),Hardness (mg/L),Calcium (mg/L),Magnesium (mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR
4240,IDA Lakes,"Muthangi Tank, Muthangi (V), Patancheru (M), Sangareddy District",5.9,7.43,1138,8,14,0.32,5,46,  -,  -,18,28,192,140,38,28,0.9,247.65,53,28,24,94,685,550,42,0.59,0.55,7,0.6,44.18,2.59
4241,IDA Lakes,"Chitkul Tank, Chitkul (V), Patancheru (M), Sangareddy district.",6.2,7.17,1889,7,23,0.48,5,82,  -,  -,32,20,205,240,33,37,1,344.99,159,48,39,92,1096,880,36,0.6,0.58,9,0.48,24.72,1.64
4242,IDA Lakes,"Lakadaram Cheruvu, Lakadaram (V), Patancheru (M), Sangareddy district.",Sample was not collected as the Tank was in dry condition ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4243,IDA Lakes,"Isnapur Tank, Isnapur (V), Patancheru (M), Sangareddy district.",5.4,6.85,6710,79,39,1.86,10,124,  -,  -,85,75,360,1110,393,95,1.1,969.47,192,119,74,468,3843,3100,198,1.68,0.7,63,1.25,49.05,6.51
4246,IDA Lakes,Pashamylaram Tank,"Sample was not collected as details has been submitted  through mail by RO-SRD-I i.e, 7/2/2018  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3074,HMDA Area Lakes,Banjara Lake,Less than  0.06,7.19,880,36,2.98,,220,Greater than 1600,,,12.3,0,240,106,142,7,,230,70,13.37,36,87,531,450,43,3.7,0.57,14,1.96,43.2,2.49
1789,HMDA Area Lakes,"Himayathsagar lake (BM-Jan, Apr & Oct)",5.4,8.76,332,3,0.2,,NIL,60,,,13.1,12,118,30,35,1.4,,114,15.2,18.47,9,24,194,160,6,0.02,0.01,6,0.54,29.85,0.97
3069,HMDA Area Lakes,"Shameerpet lake, Shameerpet",4,7.3,538,7,1.15,,NIL,100,,,30.4,0,115,70,75,1.4,,130,24,17.01,35,56,319,250,47,0.1,0.09,5,1.58,47.0,2.13
3078,HMDA Area Lakes,"Pragathinagar cheruvu, Kukatpally",Less than  0.06,7.5,1384,26,0.63,,180,Greater than 1600,,,38,0,400,183,146,8.4,,395,150,65.61,61,103,883,700,35,4,0.91,17,1.24,25.04,1.76
2340,HMDA Area Lakes,Lakshminarayana cheruvu,3.9,7.85,1210,12,3.1,,NIL,Greater than 1600,,,24.6,0,180,220,82,5.6,,310,78,27.95,58,104,788,625,35,0.5,0.19,12,1.79,40.89,2.56
1788,HMDA Area Lakes,"Saroornagar Lake (BM-Jan, Apr & Oct)",Less than  0.06,7.71,1289,16,1.8,,280,Greater than 1600,,,21.8,0,280,144,134,5.6,,345,74,38.88,87,104,812,650,53,3.9,0.42,8,1.4,38.76,2.43
4236,HMDA Area Lakes,Pedda Cheruvu (Nacharam cheruvu),Less than  0.06,6.93,1446,20,4,,40,Greater than 1600,,,25,0,370,144,107,Less than 0.1,,325,186,26.73,67,144,897,700,29,8,0,8,2.4,34.8,2.61
4234,HMDA Area Lakes,"Umda sagar lake, Shamshabad",2,8.01,910,12,0.18,,20,Greater than 1600,,,10,0,190,144,63,Less than 0.1,,215,28,35.23,27,97,596,465,24,0.15,1.15,13,2.7,47.46,2.86
1464,OTHER AREA LAKES,Bibinagar Tank,6.5,7.7,530,5,13,0.46,5,102,  -,  -,45,20,114,88,56,22,1.1,137.56,32,14,26,47,320,250,30,0.65,0.52,8,0.89,40.75,1.74
3086,OTHER AREA LAKES,Saki Tank,7.2,7.53,1326,3,34,0.4,Nil,36,  -,  -,38,16,242,182,34,32,1,298.25,60,36,72,98,799,645,38,0.58,0.5,13,0.85,40.22,2.46
3068,OTHER AREA LAKES,Ramappa lake,5.9,7.67,274,2,0.91,,NIL,40,,,4,0,90,26,12,2,,98,18,12.88,8,19,164,136,9,0.61,0,1,0.67,29.24,0.83
1447,OTHER AREA LAKES,Dharmasagar tank,5.9,7.52,326,2,0.11,,6,34,,,12,0,130,18,16,Less than 0.1,,140,24,19.44,7.2,12,204,160,19,0.32,0,2,0.28,15.38,0.44
2346,OTHER AREA LAKES,Bhadrakali tank,3.8,7.18,598,3,0.5,,NIL,90,,,27,0,122,89,16,Less than 0.1,,162,32.8,19.44,51,61,386,315,32,0.34,0,5,1.24,43.91,2.08
3084,OTHER AREA LAKES,"Waddepally tank, Kazipet",5.7,7.71,525,4,2,,6,34,,,10,0,165,62,34,Less than 0.1,,170,34,20.66,6.6,42,340,275,40,0.38,0,4,0.8,34.13,1.4
3085,OTHER AREA LAKES,Chinnawaddepally tank,3.9,8.62,1573,18,0.95,,17,800,,,19,0,340,302,105,2.8,,385,72,49.81,29,182,964,775,56,0.86,0.11,12,0.85,49.54,4.02
2343,OTHER AREA LAKES,Premajipet tank,Less than  0.06,7.62,5930,36,2.11,,200,Greater than 1600,,,18.7,0,410,1166,272,5,,1980,355.2,265.36,1695,365,4100,3285,38,1,1.28,5,1.96,28.4,3.55
2345,OTHER AREA LAKES,Sai Cheruvu,Less than  0.06,7.01,30590,-,1.5,,13,Greater than 1600,,,56,0,115,3175,1679,1.4,,1045,266,92.34,1531,9216,17248,14800,38,1.02,0,216,1.87,93.79,123.67
4222,OTHER AREA LAKES,"Koneru, Kondagattu temple, Jagitiyal",1,7.68,2190,18,0.31,,220,Greater than 1600,,,12,0,335,272,117,Less than 0.1,,365,92,32.8,88,187,1305,1050,44,0.43,0,18,0.83,51.05,4.25
4223,OTHER AREA LAKES,"Vemulawada temple Koneru , Karimnagar",Sample couldn't be collected as source points were dried up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4228,OTHER AREA LAKES,"Ibrahim Cheruvu, Rajendra Nagar",1,7.24,1624,6,0.42,,NIL,Greater than 1600,,,13,0,415,210,63,7,,310,84,24.3,88,220,1041,837,16,2.4,0,22,3.6,58.49,5.42
4230,OTHER AREA LAKES,"Kistaipally Cheruvu, Kistaipally Village, Jinnaram Mandal, Sangareddy District",6.8,7.56,3720,18,15,2.84,4,34,  -,  -,3.4,29,460,840,92,12,0.5,1050.25,226,118,104,292,2158,1730,25,0.12,1.6,52,1.52,36.11,3.91
4231,OTHER AREA LAKES,"Rayam Cheruvu, Bonthapally Village, Jinnaram Mandal, Sangareddy District",6.6,7.74,874,8,7,0.32,5,63,  -,  -,1.8,32,210,116,53,9,0.8,266.61,54,32,32,48,520,420,22,0.06,0.98,8,0.7,27.25,1.27
4232,OTHER AREA LAKES,"Komati Cheruvu, Siddipet Town, Siddipet District",6.5,7.91,691,9,4,0.14,3,59,  -,  -,2.5,14,186,86,45,8,0.6,177.86,30,25,18,43,412,331,32,0.1,1.15,7,1.02,33.19,1.4
4235,OTHER AREA LAKES,Lake Kamuni( Shamshabad Lake),2.2,8.09,1876,45,1.33,,20,Greater than 1600,,,14,0,244,350,118,Less than 0.1,,390,186,42.52,95,210,1204,965,33,0,0.3,8,1.19,41.17,3.6
4233,OTHER AREA LAKES,"Gaddapotharam cheruvu, Gaddapotharam village, Jinnaram mandal, Sangareddy dist",6.8,6.82,4970,29,20,0.26,6,154,  -,  -,3.2,26,380,1042,127,12,0.1,1254.39,316,113,127,286,2945,2360,58,0.14,1.68,38,1.65,32.19,3.5
4237,OTHER AREA LAKES,"Mullakatwa Cheruvu, Hi Tech City, Madhapur,",Less than  0.06,7.2,1492,14,0.32,,NIL,Greater than 1600,,,28,0,370,160,130,8.4,,265,56,30.38,87,188,968,779,25,2.14,0,10,3,59.4,5.01
4238,OTHER AREA LAKES,"Ameenpur Cheruvu, Ameenpur (V&M), Sangareddy District",6.5,7.14,1183,13,22,0.36,6,152,  -,  -,20,24,182,214,42,34,1,203.71,42,24,30,112,699,565,38,0.62,0.59,13,0.75,52.34,3.4
4239,OTHER AREA LAKES,"Mahaboobsagar Tank, Sangareddy (V&M), Sangareddy District",6.9,7.4,1130,12,16,0.36,2,48,  -,  -,22,22,210,120,54,32,0.8,193.85,43,21,26,104,664,535,30,0.64,0.68,10,0.75,52.1,3.24
4244,OTHER AREA LAKES,"Yerdanoor Tank, Yerdanoor (V), Sangareddy district.",7.3,7.29,1668,6,44,0.28,3,36,  -,  -,22,25,176,263,74,45,1.1,380.21,83,42,42,106,1152,925,32,0.62,0.57,8,0.75,36.98,2.36
4245,OTHER AREA LAKES,"Mallepally Tank, Mallepally (V), Kondapur (M), Sangareddy district.",Sample was not collected as the Tank was in dry condition ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4247,OTHER AREA LAKES,"Mucharla Nagaram cheruvu, Warangal",3.9,7.57,1157,12,3.65,,26,350,,,37.6,0,290,156,99,2.4,,365,72.8,44.47,86,97,725,585,27,1.85,0.39,4,1.62,36.15,2.2
4248,OTHER AREA LAKES,"Koti Cheruvu, Hanamkonda, Warangal",3,7.34,1114,14,2.82,,22,280,,,12.8,0,265,156,107,2.6,,295,50,41.31,72,122,688,555,16,2.05,0.3,6,1.28,46.53,3.08
4229,OTHER AREA LAKES,Neknampur Lake,3.1,7.8,1704,22,1.08,,NIL,220,,,22,0,325,244,162,Less than 0.1,,385,178,46.17,87,166,1086,870,70,5.6,0.81,12,1.8,35.6,2.86
