Station code,water_bodies,Station name,District,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia,Free Ammonia  (mg/L),Hardness (mg/L),Calcium (mg/L),Calcium Carbonate as CaCO3,Magnesium (mg/L),Magnesium Carbonate as CaCO3,Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR,,
4664,River Maneru / Manair,River Maneru at Ghattepalli (V) near Sulthanabad,Karimnagar,6.1,7.79,488,1.2,3.5,,Less than 1.8,49,Less than 1.8,,,,12,5,90,64,32,5.6,1.1,,110,24,60,12,50,42,#,326,220,10,0.68,,0.5,,0.66,#,#,,
4665,River Maneru / Manair,Outlet of KTPP Ash Pond Joining Moranchavagu,Jayashankar Bhoopalpalli,4,8.54,750,1,0.8,,Less than 1.8,49,Less than 1.8,,,,12,10,120,116,8,1.5,0.4,,160,34,85,18,75,66,#,504,380,10,0.29,,0.5,,0.81,#,#,,
1158,River Maneru / Manair,River Maneru at Somanpally,Peddapalli,6.1,8.08,545,1.6,1.8,,Less than 1.8,46,Less than 1.8,,,,10,5,110,80,20,1.5,0.4,,125,26,65,15,60,42,#,360,260,10,0.72,,0.5,,0.52,#,#,,
4258,River Manjeera,"Singoor Dam Reservoir,",Sangareddy,7,7.23,630,2,15,0.07,3.6,22,1.8,,,,2.1,8,180,108,14,4,BDL,BDL,265,58,145,29,120,40,48,428,300,5,,0.04,BDL,2.1,0.11,28.19,1.29,,
1157,River Manjeera,River Manjeera at Raipally,Sangareddy,7.1,7.21,582,2.4,16,0.02,4.5,31,2,,,,2.5,10,185,98,20,4,BDL,BDL,245,64,160,21,85,42,42,404,283,7,,0.07,BDL,4,BDL,26.72,1.17,,
1781,River Manjeera,Manjeera at Ganapathi sugars,Sangareddy,6.5,7.32,798,2.4,12,0.05,5.5,33,1.8,,,,3,12,225,95,24,5,BDL,BDL,255,68,170,21,85,50,61,491,344,5,,0.11,BDL,2.8,0.24,33.88,1.66,,
2374,River Manjeera,U/s of River Manjeera at Gowdicherla before confluence with Nakkavagu,Sangareddy,6.4,7.32,1024,3.2,18,0.02,5.6,31,3.6,,,,3,16,215,122,24,5,BDL,BDL,320,80,200,29,120,58,52,599,419,7,,0.12,BDL,3,0.15,26,1.27,,
2375,River Manjeera,D/s of River Manjeera at Gowdicherla after confluence with Nakkavagu,Sangareddy,6.6,7.35,924,3.4,16,0.05,5.6,33,3.6,,,,2.8,12,200,195,28,5,BDL,BDL,440,92,230,51,210,50,45,568,398,8,,0.11,BDL,3.2,0.32,18.12,0.93,,
2349,River Manjeera,Nakka vagu at Bachugudem,Sangareddy,5.5,7.69,1345,4.5,20,0.1,7.8,79,5.5,,,,4,18,250,230,50,7,BDL,BDL,395,94,235,39,160,80,90,827,579,7,,0.11,BDL,4,0.1,32.91,1.97,,
4226,River Manjeera,River Manjeera at Yedu Payala Temple,Medak,6.3,7.45,596,2.4,19,0.04,5.5,63,3.6,,,,3,16,122,110,18,5,BDL,BDL,220,48,120,24,100,38,40,367,257,9,,0.14,BDL,4.2,0.22,28.04,1.18,,
2372,River Kinneresani,Kinnerasani after confluence of KTPS ash pond effluents,Bhadradri Kothagudem ,6.1,8.09,522,1,1.8,,Less than 1.8,36,Less than 1.8,,,,14,5,125,62,12,1.5,0.4,,135,30,75,15,60,30,#,310,216,36,0.6,,0.5,,0.56,#,#,,
3080,River Kinneresani,U/s of Karakavagu at Paloncha,Bhadradri Kothagudem ,5.8,8.08,645,1.8,2.42,,Less than 1.8,32,Less than 1.8,,,,12,5,200,51,44,1.5,0.4,,220,46,115,26,105,38,#,402,280,20,1.02,,0.5,,0.6,#,#,,
3081,River Kinneresani,D/s of Karakavagu at Paloncha,Bhadradri Kothagudem ,5.4,8.21,486,1,2.9,,Less than 1.8,33,Less than 1.8,,,,10,5,170,37,12,1.5,0.4,,185,38,95,22,90,22,#,306,210,22,0.72,,0.5,,0.65,#,#,,
1784,River Krishna ,River Krishna at thangadi,Mahaboobnagar,6.5,7.76,702,1.2,2.3,,2,110,Less than 1.8,,,,16,5,150,103,12,3.36,0.6,,145,32,80,16,65,55,#,446,382,12,1.67,,0.5,,0.91,#,#,,
39,River Krishna ,River Krishna at Gadwal bridge,Mahaboobnagar,6.4,7.82,769,1.2,2.8,,2,140,Less than 1.8,,,,18,5,175,91,14,4.48,0.6,,160,34,85,18,75,44,#,476,333,10,1.06,,0.5,,0.96,#,#,,
4225,River Krishna ,"Jogulamba Temple, Gadwal",Jogulamba Gadwal,6.1,7.89,776,1.6,2.1,,23,210,Less than 1.8,,,,17,5,165,105,22,3.36,0.6,,195,40,100,23,95,86,#,425,338,12,0.72,,0.5,,0.68,#,#,,
4259,River Krishna ,Nagarjuna Sagar Dam Spill way,Nalgonda,7.6,7.76,642,2.5,15,0.05,3.6,20,1.8,,,,3.2,8,180,95,20,4,BDL,BDL,265,54,135,32,130,41,35,446,312,7,,0.12,BDL,4,0.15,21.95,0.93,,
4252,River Krishna ,"Udaya Samudram balancing Reservoir,",Nalgonda,6.1,7.54,745,3.1,12,0.04,5.6,34,3.6,,,,4,16,152,175,24,3,BDL,BDL,320,72,180,34,140,35,41,484,339,9,,0.2,BDL,4,BDL,21.6,1,,
1465,River Krishna ,Confluence of River Krishna & River Musi at at Wadapally,Nalgonda,7.4,7.97,1056,3.4,20,0.01,6.8,33,3.5,,,,3.4,12,160,180,24,3,BDL,BDL,315,64,160,38,155,41,54,623,436,10,,0.15,BDL,4.1,0.2,26.83,1.32,,
4663,River Krishna ,"River Krishna at Mattepally, 500 mts. before bathing ghat",Suryapet,6.6,7.86,1204,3.6,25,0.02,6,34,3.6,,,,3.2,18,220,165,20,4,BDL,BDL,335,66,165,41,170,52,65,692,485,8,,0.22,BDL,6.4,0.3,29.34,1.55,,
4250,River Krishna ,"Palair Reservoir, Khammam",Khammam,6.2,7.98,462,1,1.8,,Less than 1.8,46,Less than 1.8,,,,12,5,160,38,8,1.5,0.4,,175,38,95,19,80,34,#,288,190,20,0.38,,0.5,,0.66,#,#,,
4251,River Krishna ,"D/S of Munneru River, Prakash Nagar, Khammam",Khammam,6.2,8.45,563,1,2.4,,Less than 1.8,49,Less than 1.8,,,,14,8,180,48,12,1.5,0.4,,195,44,110,21,85,38,#,350,240,20,0.47,,0.5,,0.79,#,#,,
5108,River Krishna ,River Krishna Before Confluence of River Musi at Wadapally (V),Nalgonda,7.2,7.93,901,3.1,12,0.1,4.4,33,2,,,,3.4,12,210,135,24,4,BDL,BDL,315,68,170,35,145,42,50,545,382,8,,0.15,BDL,5,0.1,25.42,1.23,,
5109,River Krishna ,River Krishna After Confluence of River Musi at Wadapally (V),Nalgonda,7,7.98,1097,3.3,15,0.02,5.5,32,1.8,,,,3,16,215,275,24,4,BDL,BDL,430,98,245,45,185,58,80,708,495,7,,0.2,BDL,5.4,0.2,28.56,1.68,,
