Station code,water_bodies,Station name,District,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia,Free Ammonia  (mg/L),Hardness (mg/L),Calcium (mg/L),Calcium Carbonate as CaCO3,Magnesium (mg/L),Magnesium Carbonate as CaCO3,Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR,,
4243,Lakes & Tanks,"Isnapur Tank,",Sangareddy,4.9,7.56,1739,12,86,0.32,7.8,69,4,,,,9.8,16,292,242,120,20,6,BDL,465,110,275,46,190,82,137,1069,749,38,,0.5,BDL,5,0.41,38.86,2.77,,
4302,Lakes & Tanks,Rudraram Tank,Sangareddy,6,6.85,1506,4.2,41,0.15,6,33,3.6,,,,7,16,250,400,36,6,BDL,BDL,550,120,300,60,250,92,150,1047,733,8,,0.22,BDL,12,0.3,36.81,2.8,,
4240,Lakes & Tanks,"Muthangi Tank,",Sangareddy,6.4,6.84,1745,5,50,0.12,8.1,33,4.5,,,,8.9,24,320,240,50,8,2.8,BDL,395,90,225,41,170,73,122,1021,715,9,,0.3,BDL,18,BDL,39,2.68,,
4241,Lakes & Tanks,"Chitkul Tank,",Sangareddy,6.2,6.73,1124,4..6,39,0.21,5.6,63,4,,,,9,22,120,300,45,8,BDL,BDL,440,88,220,54,220,72,90,770,539,10,,0.25,BDL,14,BDL,29.93,1.87,,
4242,Lakes & Tanks,"Lakadaram Cheruvu,",Sangareddy,6.5,7.32,1965,4.5,51,0.15,6.8,38,3.7,,,,8.2,16,300,345,44,8,2,BDL,585,128,320,64,265,60,95,1150,805,9,,0.3,BDL,10,0.32,25.82,1.71,,
4238,Lakes & Tanks,"Ameenpur Cheruvu,",Sangareddy,6.2,7.61,1095,3.1,35,0.15,5.6,58,3.7,,,,6.4,16,255,210,24,6,BDL,BDL,365,78,195,41,170,40,70,673,471,7,,0.25,BDL,8.8,0.22,28.96,1.6,,
4239,Lakes & Tanks,"Mahaboobsagar Tank,",Sangareddy,7.4,6.84,767,3.5,20,0.13,4.5,49,1.8,,,,5.2,8,250,110,30,5,BDL,BDL,315,74,185,31,130,45,52,472,330,8,,0.2,BDL,8.5,0.2,25.99,1.28,,
4244,Lakes & Tanks,"Erdanoor Tank,",Sangareddy,6.2,7.31,1065,4,35,0.16,5.6,39,2,,,,7,20,180,300,30,5,BDL,BDL,445,110,275,41,170,42,65,719,503,8,,0.14,BDL,6.5,0.15,23.9,1.34,,
4245,Lakes & Tanks,"Mallepally Tank,",Sangareddy,6.6,7.28,1126,3.5,42,0.03,3.6,25,1.8,,,,5.3,16,155,280,28,6,BDL,BDL,405,88,220,45,185,88,90,788,552,7,,0.16,BDL,8,0.15,32.12,1.95,,
4661,Lakes & Tanks,Peddakanjarla Tank,Sangareddy,6.6,6.95,693,2.5,15,0.05,2,26,Less than 1.8,,,,2,8,130,95,16,BDL,BDL,BDL,220,54,135,21,85,32,22,405,284,9,,0.11,BDL,6,0.1,17.34,0.64,,
4666,Lakes & Tanks,Ismailkhanpet Tank,Sangareddy,6.4,7.61,1028,4.5,28,0.1,3.7,31,1.8,,,,4.2,12,145,180,30,3,BDL,BDL,290,66,165,30,125,50,65,632,443,7,,0.08,BDL,8.5,0.21,32.17,1.67,,
4688,Lakes & Tanks,"Narinja River, Kothur - B (V), Zaheerabad",Sangareddy,6.8,7.4,647,3.1,15,0.05,3.6,33,1.8,,,,3,8,120,120,20,2,BDL,BDL,255,50,125,32,130,45,35,398,279,9,,0.1,BDL,8.3,0.3,22.23,0.95,,
4234,Lakes & Tanks,"Umda sagar lake, Shamshabad",RR-shamshabad,0.3,7.39,1242,7,16.8,,49,430,4.5,,,,14,5,200,198,70,9.52,4.5,,280,60,150,32,130,69,#,770,530,12,1.58,,0.5,,1.12,#,#,,
4235,Lakes & Tanks,Lake Kamuni ( Shamshabad Lake),RR-shamshabad,3,7.25,902,2,8.2,,26,350,4,,,,34,5,150,130,32,11.76,6.7,,240,52,130,27,110,72,#,590,410,42,0.99,,0.5,,0.93,#,#,,
5133,Lakes & Tanks,"Chandana Cheruvu, Jillelguda,",Rangareddy,0.3,7.33,1240,6.4,14.1,,40,540,4.5,,,,28,5,256,162,74,10.08,4.5,,380,72,180,49,200,62,#,740,540,25,1.12,,0.5,,1.06,#,#,,
5134,Lakes & Tanks,"Manthrala Cheruvu, Meerpet",Rangareddy,0.3,7.61,1140,6.2,10.8,,17,350,2,,,,24,5,255,122,72,11.2,6.7,,295,60,150,35,145,80,#,706,510,25,1.72,,0.5,,1.24,#,#,,
4222,Lakes & Tanks,"Koneru, Kondagattu temple, Jagitiyal",,5,7.13,524,1.8,2.6,,Less than 1.8,33,Less than 1.8,,,,14,5,95,74,34,1.5,0.4,,110,24,60,12,50,44,#,346,230,10,0.82,,0.5,,0.73,#,#,,
4223,Lakes & Tanks,"Vemulawada temple Koneru , Karimnagar",Rajanna Siricilla,4.8,7.07,823,2,3.4,,Less than 1.8,46,Less than 1.8,,,,16,5,145,120,32,1.5,0.4,,160,34,85,18,75,68,#,510,360,10,0.82,,0.5,,0.69,#,#,,
1464,Lakes & Tanks,Bibinagar Tank,Yadadri Bhuvanagiri,7.5,7.23,1197,3.2,25,0.15,4,40,1.8,,,,6.1,12,175,210,34,5,BDL,BDL,385,90,225,39,160,72,89,736,515,8,,0.24,BDL,5,0.22,33.15,1.98,,
4224,Lakes & Tanks,"Yadadri temple- Koneru, Yadadrigutta (V&M), Yadadri bhuvanagiri(D)",Yadadri Bhuvangiri,Note:- Station Code  - 4224 - Koneru of Yadagiri Gutta Temple water sample could not be collected due to Koneru is under construction.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4230,Lakes & Tanks,Kistaipally Cheruvu,Sangareddy,5.8,7.92,4160,4.2,38,0.21,5.6,49,4,,,,9.5,20,585,825,66,14,2.8,BDL,1215,230,575,155,640,120,220,2434,1704,25,,0.3,BDL,14,0.3,28.08,2.75,,
4231,Lakes & Tanks,"Rayam Cheruvu,",Sangareddy,6.4,7.36,1378,3.5,34,0.12,4.5,41,2,,,,6.2,16,220,320,26,7,BDL,BDL,565,128,320,60,245,80,95,916,641,12,,0.31,BDL,7,0.21,26.49,1.74,,
4232,Lakes & Tanks,"Komati Cheruvu,",Siddipet,7.5,7.49,680,2.8,12,0.09,3.6,26,1.8,,,,4.2,6,150,160,20,4,BDL,BDL,305,70,175,31,130,45,40,466,326,8,,0.15,BDL,7.2,0.21,21.89,1,,
4233,Lakes & Tanks,"Gaddapotharam cheruvu,",Sangareddy,5.9,7.48,3790,4.4,112,0.12,5.5,41,3.7,,,,7.1,14,180,824,52,6,BDL,BDL,1095,248,620,116,475,108,216,2103,1472,7,,0.12,0.1,12.7,0.18,29.76,2.84,,
4228,Lakes & Tanks,"Pedda Cheruvu/Ibrahim Cheruvu, Rajendra Nagar",RR-shamshabad,0.3,7.07,1180,6,4.2,,40,540,6.8,,,,28,5,245,167,77,12.88,3.4,,320,68,170,36,150,53,#,740,540,28,3.72,,0.5,,1.36,#,#,,
1391,Lakes & Tanks,Hussain sagar Lake,Hyderabad,0.3,7.48,888,8,7.6,,40,430,4.5,,,,28,5,180,137,87,10.08,5.6,,310,64,160,36,150,82,#,540,588,15,1.32,,0.5,,1.24,#,#,,
3071,Lakes & Tanks,Langarhouse lake,Hyderabad,0.3,7.48,1350,8,5.8,,33,540,4,,,,30,5,420,152,105,12.88,6.7,,425,90,225,49,200,68,#,838,587,18,2.35,,0.5,,1.28,#,#,,
2341,Lakes & Tanks,"Miralam tank,kishan bagh",Hyderabad,0.3,7.27,1387,6,3.2,,21,350,2,,,,36,5,295,167,86,9.56,4.5,,310,64,160,36,150,98,#,860,602,20,2.37,,0.5,,1.16,#,#,,
3073,Lakes & Tanks,"Hasmathpet lake, Hasmathpet",Medchal Malkajgiri,0.3,7.33,1090,10,8.8,,32,430,4,,,,32,5,210,157,117,9.52,3.4,,295,60,150,35,145,56,#,738,502,28,2.72,,0.5,,1.35,#,#,,
3072,Lakes & Tanks,Safilguda lake,Medchal Malkajgiri,0.3,7.35,1229,8,15.1,,36,540,6.1,,,,27,5,310,137,101,11.2,5.6,,325,68,170,38,155,62,#,774,542,20,1.86,,0.5,,1.05,#,#,,
3075,Lakes & Tanks,Rangadhamuni cheruvu,Medchal Malkajgiri,0.3,7.14,1285,8,7.1,,40,430,6.1,,,,36,5,430,145,113,10.08,5.6,,260,56,140,29,120,53,#,796,577,25,2.86,,0.5,,1.26,#,#,,
3076,Lakes & Tanks,"Amber cheruvu, Kukatpally",Medchal Malkajgiri,0.3,7.27,901,6,6.9,,17,350,4.5,,,,18,5,255,118,86,9.52,6.7,,260,56,140,29,120,36,#,558,391,15,1.72,,0.5,,1.12,#,#,,
3077,Lakes & Tanks,"Kapra cheruvu, Kapra",Medchal Malkajgiri,2.4,7.13,876,4,3.8,,11,280,2,,,,17,5,160,86,60,5.6,1.1,,195,38,95,24,100,141,#,560,392,15,1.86,,0.5,,1.04,#,#,,
2357,Lakes & Tanks,Durgam cheruvu,RR-shamshabad,1.1,6.99,834,5.8,5.2,,21,350,2,,,,14,5,185,72,73,8.4,3.4,,260,56,140,29,120,91,#,520,501,20,1.77,,0.5,,1.16,#,#,,
2344,Lakes & Tanks,Nalla cheruvu (Nacharam),Medchal Malkajgiri,0.3,7.38,1240,8,1.3,,49,540,6.8,,,,21,5,280,154,107,12.88,5.6,,295,60,150,35,145,86,#,740,520,24,3.36,,0.5,,1.32,#,#,,
2359,Lakes & Tanks,"Pedda Cheruvu, Nacharam",Medchal Malkajgiri,0.3,7.12,1140,10,11.8,,49,540,6.8,,,,21,5,240,166,128,10.08,5.6,,280,60,150,32,130,29,#,666,500,30,2.08,,0.5,,1.33,#,#,,
2342,Lakes & Tanks,Noor Md. Kunta,RR-shamshabad,1,7.36,1802,5.8,17.6,,36,540,6.1,,,,18,5,285,274,55,12.88,5.6,,440,94,235,50,205,120,#,1178,812,16,3.6,,0.5,,1.26,#,#,,
3070,Lakes & Tanks,"Fox sagar, Jeedimetla",Medchal Malkajgiri,3.2,7.26,1147,2,5.2,,17,350,2,,,,20,5,290,174,32,6.72,2.2,,295,60,150,35,145,43,#,712,498,18,2.08,,0.5,,0.95,#,#,,
3074,Lakes & Tanks,Banjara Lake,Hyderabad,0.3,7.21,1173,6.2,5.8,,33,430,4.5,,,,26,5,360,132,60,7.4,5.6,,280,58,145,33,135,62,#,738,517,20,1.73,,0.5,,0.93,#,#,,
4237,Lakes & Tanks,Mundla Katwa Lake,Medchal Malkajgiri,3.1,8.38,511,3,4.2,,11,350,2,,,,18,10,132,60,48,5.6,1.1,,120,26,65,13,55,32,#,320,224,14,0.72,,0.5,,0.79,#,#,,
4669,Lakes & Tanks,"Pedda Cheruvu, Gangaram (V), Serilingarampally (New Mandal)",Rangareddy,0.3,7.18,1168,8,15.2,,37,430,4.5,,,,27,5,330,125,87,10.08,4.5,,280,58,145,33,135,92,#,724,499,20,3.08,,0.5,,1.12,#,#,,
4671,Lakes & Tanks,"Medi Kunta, Guttala Begumpet (V)",Rangareddy,Dried up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4672,Lakes & Tanks,"Medi Kunta (Wipro Lake), Nanakramguda",Rangareddy,2.3,7.39,922,2,3.3,,21,350,2,,,,25,5,210,130,40,7.84,3.4,,210,44,110,24,100,36,#,590,400,12,0.92,,0.5,,0.75,#,#,,
4673,Lakes & Tanks,Medikunta lake (BK Enclave),Rangareddy,Dried up,,,,,,,,,,,,,,,,,,,,,,,,,,#,,,,,,,,,,,,
4674,Lakes & Tanks,"Meedi Kunta, Hafeezpet (V), Serlingampally",Rangareddy,4.2,7.04,624,3,2.1,,Less than 1.8,430,Less than 1.8,,,,18,5,140,78,43,5.6,1.1,,110,24,60,12,50,42,#,380,260,14,0.62,,0.5,,0.69,#,#,,
4693,Lakes & Tanks,"Patel Cheruvu, Madeenaguda, Miyapur",Medchal Malkajgiri,0.3,7.16,1257,10,5.3,,27,350,2,,,,25,5,400,118,119,8.96,5.6,,310,64,160,36,150,62,#,792,539,26,3.17,,0.5,,1.26,#,#,,
4677,Lakes & Tanks,"Lingam Cheruvu, Suraram (V), Quthubullapur",Medchal Malkajgiri,0.3,7.22,1387,8,12.6,,21,430,6.1,,,,28,5,370,167,101,12.3,3.4,,235,52,130,26,105,63,#,860,530,30,2.72,,0.5,,0.44,#,#,,
5044,Lakes & Tanks,"Sudalavani Kunta, (Sunnam Cheruvu), Allapur, Balanagar,Medchal-Malkajgiri dist.",Medchal Malkajgiri,0.3,7.34,1683,6,15,,49,540,6.8,,,,29,5,445,176,60,11.2,4.5,,365,80,200,40,165,121,#,980,640,18,0.6,,0.6,,1.22,#,#,,
5052,Lakes & Tanks,"Bakshi Kunta, Chandhanagar, Serilingampally, rangareddy Dist.",Medchal Malkajgiri,6.1,7.05,480,1.2,5.2,,2,90,Less than 1.8,,,,17,5,110,64,28,5.6,1.1,,88,18,45,10,43,28,#,278,195,12,0.39,,0.5,,0.73,#,#,,
5053,Lakes & Tanks,"Ramamma Kunta, Gachibowli, Rangareddy Dist (Dr. YSR Toursim College)",Medchal Malkajgiri,4.1,7.44,840,4,4.4,,21,350,2,,,,16,5,160,122,52,8.4,4.5,,140,32,80,15,60,55,#,556,390,20,1.89,,0.5,,1.06,#,#,,
5054,Lakes & Tanks,"Komati Kunta, Gopanpally, Serilingampally, Rangareddy Dist.",Medchal Malkajgiri,4.7,6.76,492,1.8,2.2,,11,210,1.8,,,,18,5,75,88,24,8.4,2.2,,95,22,55,10,40,41,#,300,210,12,0.39,,0.5,,0.75,#,#,,
5055,Lakes & Tanks,"Chinna Pedda Cheruvu, Gopanpally, Serilingampally, Rangareddy Dist.",Medchal Malkajgiri,3.3,6.95,746,2.2,3.6,,11,280,2,,,,12,5,140,116,48,7.84,5.6,,190,40,100,22,90,42,#,470,320,10,0.59,,0.5,,0.69,#,#,,
5056,Lakes & Tanks,"Nayanamma Kunta, (Basupalli Cheruvu), Haffezpet, Serilingalpally, rangareddy Dist.",Medchal Malkajgiri,0.3,7.1,1013,6,3.8,,21,350,4,,,,19,5,250,103,76,9.52,3.4,,265,72,180,21,85,62,#,648,160,20,2.89,,0.5,,1.16,#,#,,
5057,Lakes & Tanks,"Kudi Kunta, (Gaothami Lake), Kondapur, Serilingampally, Rangareddy Dist.",Medchal Malkajgiri,1.8,7.07,955,4,6.1,,49,430,4,,,,25,5,185,132,48,10.08,4.5,,280,58,145,33,135,62,#,602,480,15,1.87,,0.5,,1.02,#,#,,
5058,Lakes & Tanks,"Regula Kunta, Miyapur, Serilingampally, Rangareddy Dist.",Medchal Malkajgiri,4,7.31,1036,2,3.4,,17,350,2,,,,26,5,166,140,32,10.08,3.4,,250,52,130,29,120,102,#,642,450,20,2.72,,0.5,,0.97,#,#,,
5059,Lakes & Tanks,"Gopi Cheruvu, Lingampally, Serilingampally, Rangareddy Dist.",Medchal Malkajgiri,3.2,6.91,1013,2,4.3,,17,350,2,,,,19,5,175,140,32,8.4,3.4,,260,56,140,29,120,91,#,628,430,18,2.56,,0.5,,0.99,#,#,,
5060,Lakes & Tanks,"Chakaalavani Cheruvu, Lingampally, Serilingampally, rangareddy Dist.",Medchal Malkajgiri,3.2,7.04,980,4,5.6,,21,350,2,,,,28,5,190,135,52,9.52,4.5,,295,60,150,35,145,79,#,602,530,18,2.75,,0.5,,1.06,#,#,,
5061,Lakes & Tanks,"Peddakudi Cheruvu, Maqta Mahaboobpet,Serilingampally, rangareddy Dist.",Medchal Malkajgiri,0.3,7.24,1172,8,4.6,,33,430,4,,,,28,5,280,140,87,11.2,4.5,,265,56,140,30,125,56,#,738,510,18,3,,0.5,,1.14,#,#,,
5062,Lakes & Tanks,"Gurunath Cheruvu, Miyapur, Serilingampally, rangareddy Dist.",Medchal Malkajgiri,0.3,7.05,917,8,4.1,,17,350,2,,,,24,5,220,100,99,8.4,2.2,,240,52,130,27,110,72,#,576,400,15,2.26,,0.5,,1.06,#,#,,
5063,Lakes & Tanks,"Nanakram Kunta, Nanakraamguda,",Medchal Malkajgiri,6.1,7.72,664,2,3.4,,11,210,2,,,,17,5,110,110,32,6.72,2.8,,195,44,110,21,85,38,#,412,300,15,0.72,,0.5,,0.79,#,#,,
5114,Lakes & Tanks,"Shanthisarovor Pond, Gachibowli, Serilingmapally",Rangareddy ,3,6.98,585,2.4,2.4,,Less than 1.8,40,Less than 1.8,,,,12,5,140,62,26,1.5,0.4,,110,24,60,12,50,48,#,362,250,10,0.86,,0.5,,0.63,#,#,,
5115,Lakes & Tanks,"Raja Mohammad Kunta, Haffezpet, Serilingampally (M),",Rangareddy ,0.3,6.96,1024,10,3.8,,33,540,6.1,,,,28,5,265,148,123,14,8.4,,380,78,195,45,185,41,#,640,510,35,2.72,,0.5,,1.22,#,#,,
5116,Lakes & Tanks,"Kotha Cheruvu (Novotel Lake), Khanamet, Serilingampally",Rangareddy ,0.3,7.11,1204,6,15.3,,21,350,2,,,,36,5,220,180,72,8.4,3.4,,320,64,160,39,160,64,#,810,560,22,2.76,,0.5,,1.06,#,#,,
5118,Lakes & Tanks,"Kotha Kunta, Haffezpet, Serilingampally (M)",Rangareddy ,3.2,6.95,537,3,4.1,,11,210,2,,,,16,5,110,88,40,5.6,1.1,,180,38,95,21,85,33,#,332,230,10,2.53,,0.5,,0.86,#,#,,
5119,Lakes & Tanks,"Kaidam Kunta, Hafeezpet, Serilingampally (M)",Rangareddy ,0.3,6.88,1140,6,5.2,,36,430,4.5,,,,19,5,260,144,83,14,5.6,,320,68,170,36,150,66,#,702,540,32,1.96,,0.5,,1.02,#,#,,
5120,Lakes & Tanks,"Thammidi Kunta, Khanamet, Serilingampally",Rangareddy ,0.3,7.56,1090,8,9.3,,32,430,4.5,,,,27,5,220,144,96,9.52,5.6,,285,62,155,32,130,62,#,722,505,24,2.86,,0.5,,1.12,#,#,,
5124,Lakes & Tanks,TCS Synergy Park Lake,Rangareddy,4.8,7.48,654,3,2.6,,Less than 1.8,33,Less than 1.8,,,,14,5,110,98,36,1.5,0.4,,160,34,85,18,75,61,#,406,280,10,1.72,,0.5,,0.56,#,#,,
5125,Lakes & Tanks,"Mondi Kunta, Khanamet, Serilingmampally",Rangareddy ,0.3,7.14,1253,8,12.1,,33,540,6.8,,,,32,5,270,163,102,10.08,4.5,,380,76,190,46,190,71,#,812,675,28,3.2,,0.6,,1.25,#,#,,
5131,Lakes & Tanks,"Yellamma Cheruvu, Manikonda, Rajenderanagar",Rangareddy ,0.3,7.08,1203,8,11.8,,49,430,6.1,,,,36,5,240,174,121,14,5.6,,340,70,175,40,165,46,#,702,500,22,3.56,,0.5,,1.22,#,#,,
3086,Lakes & Tanks,Saki Tank,Sangareddy,6.5,7.34,708,3.5,25,0.09,5.7,39,3.7,,,,4.1,16,122,110,28,4,BDL,BDL,185,42,105,19,80,40,51,435,305,7,,0.11,BDL,7.1,0.22,36.68,1.64,,
4684,Lakes & Tanks,Campus Lake Icrisat,Sangareddy,6,6.69,743,3.2,24,0.05,6.1,84,3.6,,,,5,16,110,120,26,5,BDL,BDL,210,44,110,24,100,32,42,435,304,7,,0.06,BDL,3,0.3,30.14,1.27,,
4685,Lakes & Tanks,Surisigal Lake Icrisat,Sangareddy,6,6.73,865,3.1,22,0.05,6.8,94,4.5,,,,4,20,156,145,28,5,BDL,BDL,220,48,120,24,100,41,49,532,372,8,,0.08,BDL,7.4,0.22,31.92,1.44,,
4686,Lakes & Tanks,Icrisat Lake,Sangareddy,6,7.13,888,3.3,20,0.09,6.1,84,4,,,,4.1,16,150,155,20,4,BDL,BDL,225,42,105,29,120,35,75,546,382,9,,0.12,BDL,11,0.2,40.72,2.18,,
4687,Lakes & Tanks,Red Lake Icrisat,Sangareddy,6.5,6.75,750,3.4,25,0.08,7.8,120,5.7,,,,5,16,135,125,26,6,BDL,BDL,205,48,120,21,85,45,65,461,323,10,,0.21,BDL,4.2,0.34,40.13,1.97,,
1788,Lakes & Tanks,Saroornagar Lake / Large Tank,RR-shamshabad,1,7.35,1280,5.8,9.29,,47,430,4,,,,18,5,260,159,66,12.88,5.6,,340,72,180,39,160,102,#,820,610,25,1.07,,0.5,,1.18,#,#,,
2343,Lakes & Tanks,Premajipet TANK,RR-shamshabad,0.3,7.39,2322,8,13.9,,40,540,6.8,,,,22,5,400,370,99,14,8.4,,580,120,300,68,280,161,#,1462,1000,20,4.8,,0.59,,1.4,#,#,,
4670,Lakes & Tanks,"Bairamalaguda Cheruvu / Maddela Kunta, Medchal-Malkajigiri District.",Rangareddy,2,7.16,610,4,4.7,,11,280,2,,,,14,5,116,88,48,5.6,1.1,,170,34,85,21,85,42,#,378,265,25,0.72,,0.5,,0.85,#,#,,
4678,Lakes & Tanks,"Patel Cheruvu, Nacharam, Medchal-Malkajigiri District.",Rangareddy,1,7.24,1131,5.8,17.8,,33,350,4,,,,16,5,310,82,78,7.84,2.8,,320,66,165,38,155,124,#,702,490,20,1.06,,0.5,,1.23,#,#,,
4679,Lakes & Tanks,HUDA Park Lake,Rangareddy,0.3,7.42,1388,8,10.8,,49,540,6.8,,,,16,5,310,240,83,14,6.7,,465,96,240,55,225,38,#,840,600,25,2.19,,0.5,,1.38,#,#,,
4691,Lakes & Tanks,"Nagole Cheruvu, Uppal Malkajigiri District.",RR-shamshabad,0.3,7.44,1104,10,13.89,,49,540,1,,,,32,5,210,152,128,14,5.6,,460,96,240,53,220,132,#,680,500,20,1.22,,0.5,,1.28,#,#,,
4692,Lakes & Tanks,"Ramanthapur Pedda Cheruvu, Medchal-Malkajigiri District.",Medchal Malkajgiri,1.6,7.32,1170,5.2,5.7,,39,430,4.5,,,,28,5,330,137,64,9.52,3.4,,340,68,170,41,170,106,#,710,500,20,1.72,,0.5,,1.16,#,#,,
4699,Lakes & Tanks,"Kaprai Cheruvu, RamanthpurMedchal-Malkajigiri District.",RR-shamshabad,2.4,7.32,602,2,2.71,,21,280,Less than 1.8,,,,12,5,100,108,34,5.6,1.1,,180,38,95,21,85,42,#,380,260,15,0.67,,0.5,,0.63,#,#,,
4702,Lakes & Tanks,"Pedda Cheruvu - Khaja guda, Khajaguda (V), Serlingampally (new mandal)",Rangareddy,1.5,7.31,1447,22,10,,1.8,280,,,,,13,,264,180,112,62,30,,269,71,178,91,22,136,192,810,,33,,,0.37,,,58,5.1,,
4703,Lakes & Tanks,"Bulbul kunta, Lakshmiguda, rajendranagar",Rangareddy,No access due to heavy grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4704,Lakes & Tanks,"Pedda Cheruvu, Mansoorabad, Saroornagar, Rangareddy District.",Rangareddy,0.3,7.11,802,6,5.23,,27,350,2,,,,16,5,160,99,72,8.4,2.2,,180,38,95,21,85,65,#,512,360,15,1.06,,0.5,,0.87,#,#,,
5040,Lakes & Tanks,"Bandlaguda Cheruvu, Bandlaguda, Uppal, Medchal Dist.",Medchal Malkajgiri,0.3,7.18,1490,8,10.9,,39,540,4.5,,,,24,5,270,180,88,12.88,3.4,,420,88,220,49,200,138,#,920,240,20,1.82,,0.5,,1.32,#,#,,
5041,Lakes & Tanks,"Pathulguda, Uppal, Medchal Dist.",Medchal Malkajgiri,0.3,7.96,1244,6,11.8,,34,430,4.5,,,,18,5,255,147,76,11.2,4.5,,380,78,195,45,185,112,#,784,550,15,1.62,,0.5,,1.36,#,#,,
5113,Lakes & Tanks,Chinna Cheruvu,Medchal Malkajgiri,0.3,7.13,1210,6,6.4,,33,250,2,,,,26,5,290,140,72,8.34,2.2,,320,66,165,38,155,126,#,694,490,20,1.8,,0.5,,1.14,#,#,,
5117,Lakes & Tanks,"Masjid Banda Lake, Kondapur, Serlingampally",Rangareddy ,Not collected due to Enroachment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5121,Lakes & Tanks,"Pale Cheruvu, Kattedan",Rangareddy,0.3,7.15,1298,16,9.6,,27,430,4.5,,,,29,5,210,252,194,11.2,4.5,,325,56,140,45,185,76,#,818,570,28,2.2,,0.5,,1.24,#,#,,
5126,Lakes & Tanks,"Bathula Cheruvu, Amangal, Hayathnagar",Rangareddy,3,7.55,1501,4,11.2,,36,540,4.5,,,,28,5,255,250,76,11.2,4.5,,340,72,180,39,160,126,#,930,650,15,2.89,,0.5,,1.24,#,#,,
5127,Lakes & Tanks,"Kummari Kunta, Amangal, Hayathnagar",Rangareddy,2.5,7.34,848,4.8,6.1,,17,350,3,,,,10,5,150,122,56,8.4,2.2,,160,34,85,18,75,60,#,526,368,12,0.72,,0.5,,0.89,#,#,,
5128,Lakes & Tanks,Palle cheruvu,Rangareddy,not submitted by RO-HYD,,,,,,,,,,,,,,,,,,,,,,,,,,#,,,,,,,,,,,,
5129,Lakes & Tanks,"Erra Kunta, Laxmiguda, Rajenderanagar",Rangareddy,0.3,7.15,1588,8,14.3,,39,540,6,,,,17,5,240,262,86,14,5.6,,495,100,250,60,245,92,#,904,740,32,2.36,,0.5,,1.38,#,#,,
5130,Lakes & Tanks,"Pathikunta, Budwel, Rajendranagar",Rangareddy,0.3,7.27,1003,6,14.6,,21,350,4,,,,16,5,235,140,75,11.2,3.4,,340,72,180,39,160,54,#,622,430,18,2.32,,0.5,,1.1,#,#,,
5132,Lakes & Tanks,"Malkam Cheruvu, Raidurgam, Serilingampally",Rangareddy ,2.9,7.56,1141,22,19,,,140,1.8,,,,64,Nil,210,148,104,Less than 5,Less than 5,,261,68,170,22,91,105,123,634,452,64,,,0.65,22,Less than 0.1,48,3.3,,
5498,Lakes & Tanks,"Suleman cheruvu ,kattedam(v),Ragendra nagar(m)Rangareddy dist",Medchal Malkajgiri,2.5,6.8,1514,3,12.9,,33,540,6.8,,,,30,5,232,260,55,8.4,5.6,,345,72,180,40,165,84,#,954,670,35,2.39,,0.5,,1.18,#,#,,
4668,Lakes & Tanks,"Chinnarayan Cheruvu, Alwal (V)",Medchal Malkajgiri,0.3,7.4,1310,10,11.9,,32,540,4.5,,,,22,5,222,210,129,11.2,5.6,,240,50,125,28,115,81,#,840,600,35,2.3,,0.5,,0.93,#,#,,
4676,Lakes & Tanks,"Banda Cheruvu, Malkajigiri (V),Malkajigiri (new mandal)",Medchal Malkajgiri,0.3,7.02,1339,6,15,,39,350,3.6,,,,20,5,300,155,65,9.52,2.2,,220,52,130,22,90,72,#,817,560,26,2.06,,0.5,,0.89,#,#,,
4701,Lakes & Tanks,"Lingam kunta lake Chandanagar,Serilingampally, Rangareddy (Dist)",Rangareddy,4.9,7.02,902,4,9.6,,37,430,4.5,,,,24,5,190,123,77,11.2,6.7,,220,46,115,26,105,73,#,540,340,20,1.72,,0.5,,1.04,#,#,,
4695,Lakes & Tanks,"Khaja Kunta, Kukatpally (V)",Medchal Malkajgiri,not collected due to the lake is under maintaince,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4696,Lakes & Tanks,"Parki Cheruvu, Kukatpally (V), Balanagar",Medchal Malkajgiri,0.3,7.13,1644,12,7.2,,49,540,4.5,,,,26,5,465,162,186,10.64,4.5,,280,60,150,32,130,81,#,1036,714,42,1.79,,0.5,,0.79,#,#,,
