Station code,water_bodies,Station name,District,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia  (mg/L),Free Ammonia  (mg/L),Total Hardness as CaCO3(mg/L),Calcium Hardness as CaCo3(mg/L),Calcium as Ca+2(mg/L),Magnesium Hardness as CaCo3 (mg/L),Magnesium as Mg+2(mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR
2356,River Godavari,River Godavari d/s of Ramagundam at Manthani,Peddapalli,5.2,8.21,703,1.6,0.48,N.A,2,49,Less than 1.8,N.A,N.A,N.A,3,8,150,86,16,1.5,0.4,0.03,165,100,40,65,15.79,49,N.A,414,,10,0.2,N.A,0.5,N.A,0.2,,
4662,River Godavari,River godavari Kaleshwaram,Jayashankar Bhoopalpalli,5.8,7.36,500,1.2,0.62,N.A,Less than 1.8,38,Less than 1.8,N.A,N.A,N.A,4,5,90,68,8,1.5,0.4,0.01,100,63.0,25.2,37,8.99,38,N.A,294,,10,0.28,N.A,0.5,N.A,0.28,,
2365,River Godavari,"U/s of River Godavari at Kamalapur (V) at M/s.AP Rayons Ltd., intake well",Mulugu,5.8,8.39,410,1.2,0.34,N.A,Less than 1.8,63,Less than 1.8,N.A,N.A,N.A,3,10,100,36,5,1.5,0.4,0.05,110,60,24,50,12.15,26,N.A,254,,10,0.2,N.A,0.5,N.A,0.2,,
2366,River Godavari,"D/s of River Godavari at Kamalapur (V) at M/s.AP Rayons Ltd., discharge point",Mulugu,5.8,8.38,424,1.4,0.42,N.A,Less than 1.8,84,Less than 1.8,N.A,N.A,N.A,4,12,105,42,8,1.5,0.4,0.05,115,70,28,45,10.94,28,N.A,268,,10,0.2,N.A,0.5,N.A,0.2,,
2367,River Godavari,U/s of river Godavari at Bhadrachalam bathing ghat,Bhadradri Kothagudem ,5.6,8.18,402,1,0.38,N.A,Less than 1.8,46,Less than 1.8,N.A,N.A,N.A,4,5,95,44,5,1.5,0.4,0.03,105,65,26,40.0,9.72,29,N.A,235,,10,0.2,N.A,0.5,N.A,0.2,,
2368,River Godavari,D/s of river Godavari at Bhadrachalam bathing ghat,Bhadradri Kothagudem ,5.1,8.14,403,2.1,0.46,N.A,2.4,58,Less than 1.8,N.A,N.A,N.A,6,5,95,46,8,1.5,0.4,0.03,105,62,24.8,43,10.45,29,N.A,242,,10,0.2,N.A,0.5,N.A,0.2,,
2369,River Godavari,River Godavari at Burgampahad,Bhadradri Kothagudem ,5.1,8.1,432,1.6,0.36,N.A,2,43,Less than 1.8,N.A,N.A,N.A,2.8,5,105,44,12,1.5,0.4,0.03,110,70,28,40.0,9.72,26,N.A,255,,10,0.2,N.A,0.5,N.A,0.2,,
4256,River Maneru / Manair,"Lower Maneru Dam, Karimnagar",Karimnagar,5.4,8.24,416,1.6,0.39,N.A,Less than 1.8,43,Less than 1.8,N.A,N.A,N.A,3,10,115,46,12,1.5,0.4,0.04,130,79,31.6,51,12.39,32,N.A,266,,10,0.2,N.A,0.5,N.A,0.2,,
4257,River Maneru / Manair,"Maneru river D/S of municipal dump site, Karimnagar",Karimnagar,2.9,8.51,2175,3.4,2.46,N.A,5.5,41,4,N.A,N.A,N.A,16,25,520,304,28,8.96,4.12,0.64,540,325,130,215,52.24,172,N.A,1370,,19,4.34,N.A,0.5,N.A,0.35,,
4664,River Maneru / Manair,River Maneru at Ghattepalli (V) near Sulthanabad,Karimnagar,4.6,8.25,869,3.2,1.24,N.A,6.1,140,Less than 1.8,N.A,N.A,N.A,12,10,205,110,24,3.36,1.48,0.14,210,125,50,85,20.66,68,N.A,548,,14,0.56,N.A,0.5,N.A,0.55,,
4665,River Maneru / Manair,Outlet of KTPP Ash Pond Joining Moranchavagu,Bhadradri Kothagudem ,5,6.68,865,2.4,0.58,N.A,Less than 1.8,36,Less than 1.8,N.A,N.A,N.A,6,5,205,98,12,1.5,0.4,0.01,220,135,54,85,20.66,48,N.A,502,,10,0.28,N.A,0.5,N.A,0.4,,
1158,River Maneru / Manair,River Maneru at Somanpally,Peddapalli,5.4,7.99,626,1.8,1.48,N.A,Less than 1.8,36,Less than 1.8,N.A,N.A,N.A,5,5,140,74,16,1.5,0.4,0.02,210,130,52,80.0,19.44,49,N.A,396,,10,0.2,N.A,0.5,N.A,0.51,,
4258,River Manjeera,"Singoor Dam Reservoir,",Sangareddy,6.7,7.78,527,1.6,3,0.04,4.5,17,3.6,,,,5,20,124,76,14,2.8,0.4,0.01,193.77,95,38,98.77,24,11,22,306,182.4,10,,0.06,0.5,3,0.2,19.52,0.69
1157,River Manjeera,River Manjeera at Raipally,Sangareddy,6.8,7.33,544,2.4,3,0.09,6.1,34,4,,,,7,12,116,62,20,3.4,0.4,0.01,172.3,90,36,82.3,20,8,18,315,190.32,10,,0.07,0.5,2,0.32,18.31,0.6
1781,River Manjeera,Manjeera at Ganapathi sugars,Sangareddy,5.9,7.4,628,2.6,3,0.12,9.3,40,6.8,,,,6,20,148,76,23,5,0.4,0.01,215.23,100,40,115.23,28,9,22,362,216,10,,0.09,0.5,4,0.28,17.87,0.65
2374,River Manjeera,U/s of River Manjeera at Gowdicherla before confluence with Nakkavagu,Sangareddy,6,7.22,676,3,4,0.16,9,33,7.8,,,,10,16,188,80,28,6.2,0.4,0.01,232.0,125,50,107.0,26,9,25,386,243.18,14,,0.12,0.5,2,0.22,18.84,0.71
2375,River Manjeera,D/s of River Manjeera at Gowdicherla after confluence with Nakkavagu,Sangareddy,6.2,7.31,608,2.8,4,0.12,8.2,41,5.6,,,,12,20,176,72,26,5.6,0.4,0.01,213.77,115,46,98.77,24,7,21,355,227.2,12,,0.08,0.5,2,0.36,17.45,0.63
2349,River Manjeera,Nakka vagu at Bachugudem,Sangareddy,2.6,7.5,1722,10,5,0.07,12,120,8.3,,,,15,32,280,176,89,15,0.4,0.01,455.45,225,90,230.45,56,19,42,981,590.4,11,,0.13,0.5,5,0.4,16.53,0.86
4226,River Manjeera,River Manjeera at Yedu Payala Temple,Medak,6.5,7.03,862,1.8,3,0.11,4,25,1.8,,,,11,8,188,94,19,3.9,0.4,0.01,279.92,140,56,139.92,34,16,25,486,296.46,13,,0.09,0.5,4,0.35,16.04,0.65
2372,River Kinneresani,Kinnerasani after confluence of KTPS ash pond effluents,Bhadradri Kothagudem ,5.1,8.2,525,1.6,0.3,N.A,Less than 1.8,38,Less than 1.8,N.A,N.A,N.A,26,10,115,62,8,1.5,0.4,0.03,130,75,30,55,13.37,38,N.A,315,,29,0.2,N.A,0.5,N.A,0.39,,
3080,River Kinneresani,U/s of Karakavagu at Paloncha,Bhadradri Kothagudem ,4.6,8.2,565,1.4,0.42,N.A,Less than 1.8,43,Less than 1.8,N.A,N.A,N.A,16,10,140,56,8,1.5,0.4,0.03,150,90,36,60,14.58,32,N.A,355,,10,0.2,N.A,0.5,N.A,0.26,,
3081,River Kinneresani,D/s of Karakavagu at Paloncha,Bhadradri Kothagudem ,4.5,8.3,585,1.8,0.48,N.A,Less than 1.8,46,Less than 1.8,N.A,N.A,N.A,21,10,150,56,12,1.5,0.4,0.04,160,94,37.6,66,16.04,34,N.A,362,,10,0.2,N.A,0.5,N.A,0.21,,
1784,River Krishna ,River Krishna at Thangadi,Mahaboobnagar,5.4,7.3,1212,1.8,1.46,N.A,6.1,280,Less than 1.8,N.A,N.A,N.A,6,5,295,140,8,1.5,0.4,0.01,310,192.0,76.8,118,28.67,82,N.A,740,,10,0.2,N.A,0.5,N.A,0.5,,
0039,River Krishna ,River Krishna at Gadwal bridge,Mahaboobnagar,5.2,7.4,1204,2,1.28,N.A,5.6,240,Less than 1.8,N.A,N.A,N.A,4,5,260,149,10,1.5,0.4,0.01,270,164,65.6,106,25.76,84,N.A,758,,10,0.92,N.A,0.5,N.A,0.63,,
4225,River Krishna ,"Jogulamba Temple, Gadwal",Jogulamba Gadwal,5,7.4,1208,3,1.32,N.A,4,220,Less than 1.8,N.A,N.A,N.A,8,5,305,147,16,1.5,0.4,0.01,320,202.0,80.8,118,28.67,83,N.A,762,,14,0.98,N.A,0.5,N.A,0.68,,
4259,River Krishna ,Nagarjuna Sagar Dam Spill way,Nalgonda,6.7,8.41,741,2.2,5,0.17,5.5,21,3.6,,,,14,8,148,90,21,3.4,0.4,0.01,227.0,120,48,107.0,26,9,24,429,265.36,10,,0.12,0.5,7,0.22,18.14,0.69
4252,River Krishna ,"Udaya Samudram balancing Reservoir,",Nalgonda,6.6,7.79,733,2.6,4,0.13,6.1,39,4,,,,11,12,176,96,23,4.5,0.4,0.01,256.69,125,50,131.69,32,10,29,420,268.8,10,,0.1,0.5,4,0.3,19.44,0.79
1465,River Krishna ,Confluence of River Krishna & River Musi at at Wadapally,Nalgonda,6,7.9,1172,2.4,2,0.25,8.1,26,4.5,,,,8,8,184,112,22,3.9,0.4,0.01,283.15,135,54,148.15,36,13,32,667,440.88,10,,0.07,0.5,4,0.25,19.47,0.83
4663,River Krishna ,"River Krishna at Mattepally, 500 mts. before bathing ghat",Suryapet,6.1,8.4,1145,2.7,5,0.17,9,49,6.1,,,,5,12,172,108,25,5,0.4,0.01,269.92,130,52,139.92,34,14,31,654,438,10,,0.15,0.5,4,0.26,19.71,0.82
4250,River Krishna ,"Palair Reservoir, Khammam",Khammam,5.5,7.5,575,2.1,0.44,N.A,Less than 1.8,63,Less than 1.8,N.A,N.A,N.A,3,5,140,71,12,1.5,0.4,0.01,155,94,37.6,61,14.82,42,N.A,356,,10,0.36,N.A,0.5,N.A,0.21,,
4251,River Krishna ,"D/S of Munneru River, Prakash Nagar, Khammam",Khammam,4.6,8.06,729,2.4,1.06,N.A,2,240,Less than 1.8,N.A,N.A,N.A,4.8,5,175,86,16,1.5,0.4,0.02,186,114,45.6,72,17.5,54,N.A,444,,10,0.46,N.A,0.5,N.A,0.5,,
5108,River Krishna ,River Krishna Before Confluence of River Musi at Wadapally (V),Nalgonda,5.8,7.97,1173,2.3,4,0.12,4.5,22,3.7,,,,7,8,184,98,20,4.4,0.4,0.01,274.92,135,54,139.92,34,13,27,675,390.92,10,,0.06,0.5,5,0.23,17.29,0.71
5109,River Krishna ,River Krishna After Confluence of River Musi at Wadapally (V),Nalgonda,6,7.67,1188,2,2,0.09,4,21,2,,,,4,5,196,106,15,2.8,0.4,0.01,293.15,145,58,148.15,36,15,29,688,405.92,12,,0.08,0.5,5,0.24,17.42,0.74
5110,River Krishna ,River Krishna at Pulichintala Reservoir at Chinthalapalem,Suryapet,6.3,7.75,1160,2.2,4,0.08,5.6,24,3.6,,,,6,8,204,110,18,2.2,0.4,0.01,306.38,150,60,156.38,38,14,30,652,358.6,10,,0.07,0.5,4,0.2,17.34,0.75
4253,River Musi,Musi sample at Bapughat sangam U/S of Musi,Hyderabad,0.3,7.76,1593,10,6.94,N.A,38,540,8.3,N.A,N.A,N.A,15,5,400,198,84,8.96,2.78,0.09,410,242.0,96.8,168,40.82,116,N.A,940,,48,5.26,N.A,0.5,N.A,1.1,,
4656,River Musi,"River Musi at Moosarambagh bridge, Hyderabad",Medchal Malkajgiri,0.3,7.69,1395,14,10.8,N.A,32,540,8.2,N.A,N.A,N.A,18,5,350,164,96,5.6,1.98,0.05,360,208,83.2,152,36.94,98,N.A,878,,76,3.18,N.A,0.5,N.A,0.91,,
2339,River Musi,River Musi at Nagole,Shamshabad,0.3,7.92,1452,8,9.68,N.A,33,430,10,N.A,N.A,N.A,29,5,350,176,78,6.72,1.66,0.07,365,210,84,155,37.66,108,N.A,856,,46.8,2.68,N.A,0.5,N.A,0.97,,
4659,River Musi,"Outlet of Nalla Cheruvu, Peerajadiguda",Yadadri Bhuvanagiri,0.3,7.68,1689,16,14.2,N.A,21,430,8.3,N.A,N.A,N.A,12,5,20,400,118,5.6,2.79,0.07,490,300,120,190,46.17,294,N.A,1064,,22,3.06,N.A,0.5,N.A,1.02,,
4660,River Musi,River Musi at Peerajadiguda,Suryapet,0.3,7.4,1475,8,11.6,N.A,34,540,11,N.A,N.A,N.A,16,5,415,169,74,7.84,2.42,0.03,432,260,104,172,41.8,102,N.A,944,,87,3.92,N.A,0.5,N.A,0.98,,
1173,River Musi,D/s. of Musi at Pratapasingaram,Rangareddy,0.3,6.58,1373,6.2,13.8,N.A,40,540,11,N.A,N.A,N.A,44,5,320,172,68,6.72,1.95,0.01,326,198,79.2,128,31.1,106,N.A,852,,114,2.28,N.A,0.5,N.A,0.96,,
4657,River Musi,River Musi at Pillapalli,Rangareddy-I,0.3,6.73,1384,6.1,7.42,N.A,34,540,8.2,N.A,N.A,N.A,46,5,340,174,56,5.6,2.5,0.01,346,214,85.6,132,32.08,108,N.A,872,,122,3.02,N.A,0.5,N.A,1.08,,
4254,River Musi,River Musi sample at Rudravelly bridge,Yadadri Bhuvanagiri,6.1,7.79,1673,5,7,0.15,9,130,6.8,,,,12,16,284,215,46,8.4,0.4,0.01,490.14,235,94,255.14,62,28,49,946,567.6,10,,0.07,0.5,5,0.32,17.69,0.96
4658,River Musi,"River Musi at Valigonda bridge, Nalgonda dist",Yadadri Bhuvanagiri,5.7,7.87,1679,6,6,0.12,7.8,79,4.5,,,,16,8,270,208,50,9,0.4,0.01,468.68,230,92,238.68,58,24,55,944,585.28,18,,0.1,0.5,4,0.28,20.18,1.11
3082,River Musi,River Musi at Solipet (Kasaniguda),Suryapet,6.4,8.01,1481,3.6,5,0.07,5.6,70,3.7,,,,13,12,248,182,34,5,0.4,0.01,395.76,190,76,205.76,50,21,47,842,538.88,12,,0.07,0.5,4,0.29,20.34,1.03
5106,River Musi,River Musi at Bheemaram Bridge,Nalgonda,6.2,7.45,1213,3,4,0.24,4.5,27,2,,,,14,12,194,162,26,4.5,0.4,0.01,337.84,165,66,172.84,42,21,31,697,397.29,15,,0.06,0.5,5,0.2,16.4,0.73
5107,River Musi,River Musi Before Confluence of River Krishna at Wadapally,Nalgonda,6.3,7.36,1173,2.5,4,0.05,6.1,38,4,,,,8,8,188,156,20,3.4,0.4,0.01,319.61,155,62,164.61,40,19,29,671,389.18,17,,0.08,0.5,5,0.25,16.23,0.71
1172,Lakes & Tanks ,U/s of Musi at Gandipet (Osmansagar lake),Shamshabad,5.4,8.25,502,1,0.34,N.A,Less than 1.8,20,Less than 1.8,N.A,N.A,N.A,8,5,115,58,5,1.5,0.4,0.04,125,72,28.8,53,12.88,36,N.A,316,,10,0.2,N.A,0.5,N.A,0.33,,
1215,Lakes & Tanks ,River Munneru at Thummala cheruvu/Madannapet,Warangal Rural,5.8,7.21,506,2.1,0.36,N.A,Less than 1.8,58,Less than 1.8,N.A,N.A,N.A,4,5,110,60,8,1.5,0.4,0.01,120,70,28,50,12.15,68,N.A,308,,10,0.25,N.A,0.5,N.A,0.25,,
1780,Lakes & Tanks ,Gandigudem Tank,Sangareddy,6,7.16,1820,8,10,0.25,8.3,110,6.1,,,,22,32,408,268,72,14,0.4,0.01,680.37,310,124,370.37,90,50,67,1044,626.4,12,,0.14,0.5,16,0.3,17.24,1.12
2358,Lakes & Tanks ,Mallapur tank,Medchal Malkajgiri,0.3,7.96,2788,12,16.6,N.A,40,540,11,N.A,N.A,N.A,38,5,680,396,104,8.96,1.42,0.07,720,450,180,270,65.61,248,N.A,1606,,14,5.82,N.A,0.5,N.A,0.2,,
2347,Lakes & Tanks ,Asani Kunta,Sangareddy,0.3,6.98,7240,202,21,0.39,13,430,9,,,,230,56,896,620,820,150,0.4,0.01,1549.81,735,294,814.81,198,210,162,4207,2440.06,132,,0.2,0.5,82,0.82,17.58,1.79
1783,Lakes & Tanks ,Kistareddypet Tank,Sangareddy,5.8,7.46,1884,4.6,22,0.1,7.8,41,5.5,,,,14,28,376,208,50,8,0.4,0.01,553.07,265,106,288.07,70,45,59,1051,651.62,10,,0.18,0.5,19,0.24,18.21,1.09
2348,Lakes & Tanks ,Khazipally Tank,Sangareddy,5.2,7.23,1114,9,21,0.08,5.6,84,4,,,,13,36,232,146,82,15,0.4,0.01,334.61,170,68,164.61,40,22,39,644,409.6,15,,0.12,0.5,11,0.29,19.59,0.93
4243,Lakes & Tanks ,"Isnapur Tank,",Sangareddy,5.1,7.21,3890,11,12,0.22,14,130,9.2,,,,20,40,498,326,90,18,0.4,0.01,797.98,370,148,427.98,104,49,92,2185,1485.8,16,,0.14,0.5,17,0.42,19.65,1.42
4302,Lakes & Tanks ,Rudraram Tank,Sangareddy,5.5,7.33,2368,8,14,0.2,7.8,47,5.6,,,,18,24,304,194,65,14,0.4,0.01,476.91,230,92,246.91,60,25,57,1356,937.02,14,,0.19,0.5,12,0.32,20.14,1.14
4240,Lakes & Tanks ,"Muthangi Tank,",Sangareddy,6.2,7.62,1383,3,8,0.18,5.5,48,3.7,,,,7,12,264,162,28,5,0.4,0.01,416.49,202.5,81,213.99,52,29,46,783,500.48,10,,0.1,0.5,11,0.46,18.88,0.98
4241,Lakes & Tanks ,"Chitkul Tank,",Sangareddy,6.4,7.56,1770,5,9,0.2,6.1,70,4.5,,,,12,8,320,212,41,7.2,0.4,0.01,533.37,270,108,263.37,64,36,56,996,647.4,15,,0.12,0.5,7,0.37,18.36,1.06
4242,Lakes & Tanks ,"Lakadaram Cheruvu,",Sangareddy,5.7,7.51,1388,6,11,0.25,9.3,79,6.8,,,,15,12,236,144,54,10,0.4,0.01,378.42,185,74,193.42,47,26,40,784,517.44,12,,0.06,0.5,8,0.3,18.31,0.89
4246,Lakes & Tanks ,Pashamylaram Tank,Sangareddy,Station code : 4243 & 4246 are same,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1789,Lakes & Tanks ,Himayathsagar lake,RR-shamshabad,5.2,8.5,555,2.1,0.32,N.A,Less than 1.8,12,Less than 1.8,N.A,N.A,N.A,6,20,150,61,8,1.5,0.4,0.06,142,82,32.8,60,14.58,36,N.A,348,,10,0.2,N.A,0.5,N.A,0.35,,
3069,Lakes & Tanks ,"Shameerpet lake, Shameerpet",Medchal Malkajgiri,4.9,8.28,608,2.4,0.48,N.A,2,140,Less than 1.8,N.A,N.A,N.A,8,10,150,84,16,1.5,0.4,0.04,163,98,39.2,65,15.79,48,N.A,388,,10,0.68,N.A,0.5,N.A,0.43,,
3078,Lakes & Tanks ,"Pragathinagar cheruvu, Kukatpally",Medchal Malkajgiri,0.3,7.58,1564,12,4.41,N.A,38,430,6.1,N.A,N.A,N.A,24,5,405,186,96,5.6,0.4,0.01,415,260,104,155,37.66,112,N.A,970,,34,3.84,N.A,0.5,N.A,0.87,,
2340,Lakes & Tanks ,Lakshminarayana cheruvu,Medchal Malkajgiri,3.8,8.51,1173,3,2.48,N.A,21,430,8.3,N.A,N.A,N.A,10,15,255,174,24,4.48,1.65,0.26,270,162.0,64.8,108,26.24,98,N.A,680,,14,3.56,N.A,0.5,N.A,0.91,,
1788,Lakes & Tanks ,Saroornagar Lake / Large Tank,RR-shamshabad,0.3,7.49,1322,10,4.85,N.A,14,430,8.3,N.A,N.A,N.A,28,5,280,154,108,5.6,2.82,0.05,295,178,71.2,117,28.43,92,N.A,766,,53,3.66,N.A,0.5,N.A,0.91,,
4234,Lakes & Tanks ,"Umda sagar lake, Shamshabad",RR-shamshabad,2.6,7.35,1138,4,6.56,N.A,20,350,5.5,N.A,N.A,N.A,14,5,290,152,32,7.84,2.56,0.03,305,185,74,120,29.16,82,N.A,706,,22,0.37,N.A,0.5,N.A,0.41,,
1464,Lakes & Tanks ,Bibinagar Tank,Yadadri Bhuvanagiri,5.3,7.8,1131,3,8,0.15,8.3,41,5.6,,,,14,16,252,122,27,5,0.4,0.01,349.3,160,64,189.3,46,17,41,650,448.5,15,,0.1,0.5,8,0.32,19.9,0.95
3068,Lakes & Tanks ,Ramappa lake,Mulugu,5.8,8.28,283,1.4,0.68,N.A,Less than 1.8,110,Less than 1.8,N.A,N.A,N.A,8,10,60,44,8,1.5,0.4,0.04,65,35,14,30,7.29,28,N.A,170,,10,0.2,N.A,0.5,N.A,0.2,,
1447,Lakes & Tanks ,Dharmasagar tank,Warangal,5.8,8.38,419,1.8,1.84,N.A,3.6,84,Less than 1.8,N.A,N.A,N.A,3,15,100,46,8,1.5,0.4,0.05,105,64,25.6,41,9.96,28,N.A,260,,10,0.2,N.A,0.5,N.A,0.31,,
2346,Lakes & Tanks ,Bhadrakali Cheruvu,Warangal Urban,4.5,8.53,958,2,0.48,N.A,Less than 1.8,110,Less than 1.8,N.A,N.A,N.A,6.8,20,230,140,28,1.5,0.4,0.06,244,144,57.6,100,24.3,82,N.A,584,,10,0.22,N.A,0.5,N.A,0.52,,
3084,Lakes & Tanks ,"Waddepally tank, Kazipet",Warangal Urban,4.9,8.26,521,2.4,0.58,N.A,Less than 1.8,170,Less than 1.8,N.A,N.A,N.A,6,10,130,54,16,1.5,0.4,0.04,140,80,32,60,14.58,32,N.A,322,,10,0.2,N.A,0.5,N.A,0.46,,
3085,Lakes & Tanks ,Chinnawaddepally tank,Warangal Urban,0.3,7.9,1198,22,1.46,N.A,17,430,2,N.A,N.A,N.A,14.3,5,275,208,168,5.6,1.48,0.06,285,81.0,32.4,204,49.57,124,N.A,730,,12,1.62,N.A,0.5,N.A,0.81,,
2343,Lakes & Tanks ,Premajipet tank,RR-shamshabad,0.3,8.5,2700,17,7.86,N.A,Less than 1.8,540,Less than 1.8,N.A,N.A,N.A,16,20,620,394,92,10.8,2.39,0.36,645,380,152,265,64.39,236,N.A,1566,,18,4.82,N.A,0.5,N.A,0.6,,
2345,Lakes & Tanks ,Sai Cheruvu,Warangal Urban,0.3,7.96,4360,20,5.26,N.A,14,350,Less than 1.8,N.A,N.A,N.A,13,5,1080,658,258,6.72,2.5,0.12,1140,705,282,435,105.7,368,N.A,2659,,10,1.94,N.A,0.5,N.A,0.63,,
4222,Lakes & Tanks ,"Koneru, Kondagattu temple, Jagitiyal",Jagityal,Dried up ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4223,Lakes & Tanks ,"Vemulawada temple Koneru , Karimnagar",Siricilla,Dried up ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4228,Lakes & Tanks ,"Pedda Cheruvu/Ibrahim Cheruvu, Rajendra Nagar",RR-shamshabad,0.3,8.51,1683,8,3.62,N.A,11,430,9.2,N.A,N.A,N.A,11,20,385,235,78,6.72,1.4,0.22,400,244,97.6,156,37.91,145,N.A,1026,,10,2.88,N.A,0.5,N.A,0.76,,
4230,Lakes & Tanks ,Kistaipally Cheruvu,Sangareddy,5.7,7.59,4910,6,13,0.2,6.1,79,4.5,,,,22,24,560,488,68,10,0.4,0.01,1081.13,505,202,576.13,140,137,133,2798,1958.6,20,,0.15,0.5,26,0.35,20.64,1.76
4231,Lakes & Tanks ,"Rayam Cheruvu,",Sangareddy,5.5,7.97,1649,3.8,7,0.19,5.5,38,3.7,,,,28,28,272,166,40,8.4,0.4,0.01,424.72,202.5,81,222.22,54,30,51,940,554.6,14,,0.12,0.5,6,0.34,20.44,1.08
4232,Lakes & Tanks ,"Komati Cheruvu,",Siddipet,6,7.84,857,3,9,0.06,4.5,58,3.6,,,,16,16,188,114,29,4.5,0.4,0.01,299.61,135,54,164.61,40,19,31,482,279.56,12,,0.1,0.5,7,0.38,17.96,0.78
4235,Lakes & Tanks ,Lake Kamuni ( Shamshabad Lake),RR-shamshabad,4,8.39,1161,2.6,4.62,N.A,11,430,4,N.A,N.A,N.A,13,15,305,124,12,5.6,1.42,0.17,340,190,76,150,36.45,72,N.A,674,,15,5.64,N.A,0.5,N.A,0.8,,
