Station code,water_bodies,Station name,District,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia  (mg/L),Free Ammonia  (mg/L),Total Hardness as CaCO3(mg/L),Calcium Hardness as CaCo3(mg/L),Calcium as Ca+2(mg/L),Magnesium Hardness as CaCo3 (mg/L),Magnesium as Mg+2(mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR
2360,River Godavari,River Godavari at Basara,Nirmal,6.7,7.93,745,1.5,5,0.06,4.5,26,3.6,,,,6,12,164,92,17,3.4,0.4,0.01,251.69,120,48,131.69,32,15,26,427,265.36,10,,0.06,0.5,4,0.2,18.07,0.71
5105,River Godavari,"River Godavari Pushkar Ghat, Mancherial",Mancherial,6.3,8.02,802,2.3,3,0.03,6.8,43,4,,,,3,8,176,116,24,4.5,0.4,0.01,293.15,145,58,148.15,36,14,25,452,262.16,10,,0.07,0.5,7,0.2,15.27,0.64
4255,River Godavari,Ali sagar Reservoir,Nizamabad,6.2,7.67,582,1.7,5,0.14,6.1,25,4.5,,,,5,8,136,78,15,2.8,0.4,0.01,205.23,90,36,115.23,28,11,23,334,195.88,15,,0.08,0.5,5,0.2,19.15,0.7
4227,River Godavari,"Pochara Water Falls, Adilabad",Adilabad,6.6,7.8,538,2,4,0.07,4,22,2,,,,4,5,140,72,18,3.9,0.4,0.01,202.0,95,38,107.0,26,10,24,339,219.7,12,,0.05,0.5,2,0.2,20.36,0.73
2361,River Godavari,"River Godavari at mancherial, Near Rail Way Bridge B/C of Rallavagu",Mancherial,5,8.26,614,1.4,0.28,N.A,Less than 1.8,38,Less than 1.8,N.A,N.A,N.A,3,8,175,59,8,1.5,0.4,0.04,190,110,44,80.0,19.44,34,N.A,374,,10,0.2,N.A,0.5,N.A,0.31,,
0013,River Godavari,River Godavari at Mancherial,Mancherial,5.2,8.31,615,1.6,0.3,N.A,3,36,Less than 1.8,N.A,N.A,N.A,2,10,140,68,8,1.5,0.4,0.04,155,86.0,34.4,69,16.77,42,N.A,378,,10,0.2,N.A,0.5,N.A,0.2,,
3054,River Godavari,"Outlet of ash pond effluents of M/s.NTPC, Ramagundam",Peddapalli,4.7,9.1,1012,2.4,0.34,N.A,2.4,63,Less than 1.8,N.A,N.A,N.A,10,40,250,132,16,4.48,0.4,0.17,265,158,63.2,107,26.0,78,N.A,638,,12,0.98,N.A,0.5,N.A,0.2,,
2362,River Godavari,D/s of River Godavari at Ramagundam near FCI intake well,Peddapalli,5,8.2,623,2.2,0.38,N.A,5.5,41,Less than 1.8,N.A,N.A,N.A,6,10,145,66,16,1.5,0.4,0.03,154,92,36.8,62,15.07,42,N.A,392,,10,0.2,N.A,0.5,N.A,0.2,,
2363,River Godavari,River Godavari at Godavarikhani near bathing ghat,Peddapalli,4.9,7.92,621,2.8,0.42,N.A,3,32,Less than 1.8,N.A,N.A,N.A,8,10,150,64,20,1.5,0.4,0.02,156,94,37.6,62,15.07,39,N.A,378,,14,0.2,N.A,0.5,N.A,0.2,,
2364,River Godavari,River Godavari at Ramagundam upstream near dam,Peddapalli,5.3,8.2,620,1.4,0.46,N.A,Less than 1.8,47,Less than 1.8,N.A,N.A,N.A,5,8,220,59,12,1.5,0.4,0.03,230,142,56.8,88,21.38,32,N.A,358,,10,0.2,N.A,0.5,N.A,0.53,,
