Station code,water_bodies,Station name,District,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia-N (mg/L),Free Ammonia  (mg/L),Total Hardness as CaCO3 (mg/L),Calcium Carbonate as CaCO3,Calcium as Ca+2(mg/L),Magnesium Carbonate as CaCO3,Magnesium as Mg+2(mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),% Sodium,SAR
3076,Lakes & Tanks ,"Amber cheruvu, Kukatpally",Medchal Malkajgiri,1,7.5,845,5.4,2.56,,21,430,3.6,,,,15.4,5,175,110,64,8.4,2.54,0.04,202,120,48,82,19.93,58,,524,,22,1.28,,0.5,,0.76,,
3077,Lakes & Tanks ,"Kapra cheruvu, Kapra",Medchal Malkajgiri,3.6,7.57,815,5.2,2.42,,6.1,350,Less than 1.8,,,,14,5,150,100,60,2.8,0.46,0.01,190,115,46,75,18.22,78,,498,,20,1.22,,0.5,,0.58,,
2357,Lakes & Tanks ,Durgam cheruvu,RR-shamshabad,3.2,7.52,756,5.2,2.75,,4,350,1.8,,,,9.1,5,135,103,67,2.8,0.48,0.01,165,100,40,65,15.79,62,,462,,13,1.6,,0.5,,0.64,,
2344,Lakes & Tanks ,Nalla cheruvu,Medchal Malkajgiri,0.3,7.68,1520,6,3.2,,13,540,3.7,,,,20,5,280,210,73,8.4,3.34,0.1,320,120,48,200,48.6,132,,885,,24,2.46,,0.5,,1.08,,
2359,Lakes & Tanks ,Pedda Cheruvu (Peerjadhi guda),Medchal Malkajgiri,0.3,7.43,1410,12,3.24,,20,430,5.5,,,,19.6,5,275,187,127,7,0.96,0.02,345,200,80,145,35.23,95,,874,,28,2.88,,0.5,,1.02,,
2342,Lakes & Tanks ,Noor Md. Kunta,RR-shamshabad,0.3,7.61,1481,10,5.16,,11,430,4,,,,13.3,5,295,180,119,7,4.36,0.1,372,225,90,147,35.72,133,,890,,19,2.48,,0.5,,1.06,,
3070,Lakes & Tanks ,"Fox sagar, Jeedimetla",Medchal Malkajgiri,2.4,7.78,957,4.8,3.01,,8.1,430,1.8,,,,7.7,5,160,142,56,4.2,0.48,0.02,245,150,60,95,23.09,88,,602,,11,1.85,,0.61,,0.85,,
3074,Lakes & Tanks ,Banjara Lake,Hyderabad,0.3,7.59,1152,8,2.8,,17,430,3.6,,,,19.6,5,240,145,95,5.6,1.18,0.03,300,180,72,120,29.16,90,,692,,28,2.24,,0.5,,0.72,,
4224,Lakes & Tanks ,"Yadadri temple- Koneru, Yadadrigutta (V&M), Yadadri bhuvanagiri(D)",Yadadri Bhuvangiri,4224 - Koneru of Yadagiri Gutta Temple water sample could not be collected due to Koneru is under construction.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4236,Lakes & Tanks ,Pedda cheruvu (nacharam),Ranga Reddy,Station code:2359 & 4236 both the stations are same,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3086,Lakes & Tanks ,Saki Tank,Sangareddy,6.5,7.32,723,3.2,9,0.09,5.9,41,6,,,,3,20,170,85,38,16,0.4,0.01,248,140,56,108,26,66,40,457,325,10,,0.13,0.5,2.1,0.25,32.33,1.02
4237,Lakes & Tanks ,Mundla Katwa Lake,Medchal Malkajgiri,0.3,7.72,1311,10,3.8,,24,540,3.6,,,,0,5,280,162,95,7,1.52,0.05,320,211,84.4,109,26.49,82,,798,,56,0.98,,0.5,,0.69,,
4667,Lakes & Tanks ,"Surram Cheruvu (Palle Cheruvu), Bandlaguda (V), Bandlaguda (new mandal)",Hyderabad,0.3,7.57,1591,8,3.86,,17,430,3.7,,,,14,5,345,165,83,8.4,2.54,0.04,430,260,104,170,41.31,142.4,,1002,,20,1.84,,0.6,,0.96,,
4668,Lakes & Tanks ,"Chinnarayan Cheruvu, Alwal (V)",Medchal Malkajgiri,0.3,7.44,1418,12,3.7,,14,4.3,2,,,,46.2,5,280,176,175,7,1.92,0.03,350,210,84,140,34.02,104,#,880,,66,2.86,,0.12,#,0.96,,
4669,Lakes & Tanks ,"Pedda Cheruvu, Gangaram (V), Serilingarampally (New Mandal)",Rangareddy,Dried up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4671,Lakes & Tanks ,"Medi Kunta, Guttala begumpet (V)",Rangareddy,Dried up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4672,Lakes & Tanks ,"Medi Kunta (Wipro Lake), Nanakramguda",Rangareddy,1.4,7.69,901,4,3.2,,21,540,1.8,,,,9.8,5,185,123,52,2.8,0.48,0.01,230,140,56,90,21.87,76,,568,,14,0.4,,0.5,,,,
4673,Lakes & Tanks ,Medikunta lake (BK Enclave),Rangareddy,1,7.6,1303,5.2,3.8,,6.1,540,2,,,,13.3,5,280,155,60,5.6,1.82,0.04,335,200,80,135,32.8,89,,808,,19,1.34,,0.5,,0.73,,
4674,Lakes & Tanks ,"Meedi Kunta, Hafeezpet (V), Serlingampally",Rangareddy,5.4,7.86,538,2.4,2.08,,60,430,1.8,,,,8.4,5,120,69,32,4.2,0.56,0.02,132,80,32,52,12.64,34,,316,,12,0.34,,0.5,,0.42,,
