Station code,water_bodies,Station name,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia,Free Ammonia  (mg/L),Hardness (mg/L),Calcium Carbonate as CaCO3,Calcium as Ca+2(mg/L),Magnesium Carbonate as CaCO3,Magnesium as Mg+2(mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR
5047,Lakes & Tanks ,"Mahaboob Kunta, Suraram,Quthubullapur, Medchal-Malkajgiri Dist.",0.3,6.82,710,6.2,2.76,,20,350,9.2,,,,9,5,140,90,69,11.2,2.8,,200,135,54,65,15.79,52,,450,310,21,3.1,,0.5,,0.92,,
5048,Lakes & Tanks ,"Bandam Cheruvu, Gajularamaram, Quthbullapur, Medchal- Malkajgiri Dist.",No Access,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
5049,Lakes & Tanks ,"Meddela Kunta,Gajularamaram, Quthbullapur, Medchal- Malkajgiri Dist.",No Access,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
5050,Lakes & Tanks ,"Venna Cheruvu, Jeedimetla,Quthbullapur, Medchal- Malkajgiri Dist.",0.3,7.1,1240,6,3.22,,17,240,3.6,,,,20,5,250,153,64,14,1.6,,365,235,94,130,31.59,88,,802,600,32,2.66,,0.5,,0.76,,
5051,Lakes & Tanks ,"Chinna Bandam,Suraram,Quthubullapur, Medchal-Malkajgiri Dist.",0.3,7.32,820,6.2,3.16,,26,540,12,,,,12,5,180,114,80,5.6,1.6,,265,135,54,130,31.59,66,,520,380,26,2.94,,0.5,,1.04,,
5052,Lakes & Tanks ,"Bakshi Kunta, Chandhanagar, Serilingampally, rangareddy Dist.",3.2,7.98,580,5.2,5.24,,17,220,2,,,,8.96,5,120,74,71,3.36,0.45,,128,72,28.8,56,13.61,44,,380,280,18,1.2,,0.5,,0.89,,
5053,Lakes & Tanks ,"Ramamma Kunta, Gachibowli, Rangareddy Dist (Dr. YSR Toursim College)",0.3,7.36,1020,8,9.42,,25,350,3.7,,,,22,5,196,126,84,11.2,2.8,,278,176,70.4,102,24.79,82,,590,460,22,2.66,,0.5,,1.14,,
5054,Lakes & Tanks ,"Komati Kunta, Gopanpally, Serilingampally, Rangareddy Dist.",0.6,7.22,924,5.8,8,,27,540,4,,,,16,5,200,120,71,5.6,1.69,,210,122,48.8,88,21.38,42,,580,420,20,1.95,,0.5,,1.38,,
5055,Lakes & Tanks ,"Chinna Pedda Cheruvu, Gopanpally, Serilingampally, Rangareddy Dist.",0.3,7.92,685,6.8,5.43,,17,350,3.6,,,,8,5,160,84,79,4.48,0.99,,166,96,38.4,70,17.01,35,,430,320,12,1.23,,0.5,,1.02,,
5056,Lakes & Tanks ,"Nayanamma Kunta, (Basupalli Cheruvu), Haffezpet, Serilingalpally, rangareddy Dist.",1.6,6.99,980,5.6,5.67,,20,350,4,,,,16,5,260,77,63,6.72,2.69,,274,148,59.2,126,30.62,68,,620,490,20,4.03,,0.5,,1.12,,
5057,Lakes & Tanks ,"Kudi Kunta, (Gaothami Lake), Kondapur, Serilingampally, Rangareddy Dist.",0.3,6.91,1010,8,6.64,,21,350,3.7,,,,18,5,245,100,94,6.72,2.14,,272,156,62.4,116,28.19,80,,658,460,16,2.18,,0.5,,1.05,,
5058,Lakes & Tanks ,"Regula Kunta, Miyapur, Serilingampally, Rangareddy Dist.",2.4,6.92,1089,4,3.08,,17,350,2,,,,8,5,280,138,47,6.72,2.06,,304,178,71.2,126,30.62,38,,688,510,12,3.5,,0.5,,1.14,,
5059,Lakes & Tanks ,"Gopi Cheruvu, Lingampally, Serilingampally, Rangareddy Dist.",0.3,7.71,1296,8,6.65,,25,430,3.6,,,,18,5,280,149,133,6.72,3.18,,292,164,65.6,128,31.1,91,,816,590,22,2.35,,0.5,,1.26,,
5060,Lakes & Tanks ,"Chakaalavani Cheruvu, Lingampally, Serilingampally, rangareddy Dist.",0.3,7.43,1265,18,12,,21,350,4,,,,15,5,286,136,216,5.6,2.24,,350,172,68.8,178,43.25,82,,782,550,18,2.86,,0.5,,1.12,,
5061,Lakes & Tanks ,"Peddakudi Cheruvu, Maqta Mahaboobpet,Serilingampally, rangareddy Dist.",0.3,7.48,1043,14,5.05,,17,430,3.6,,,,13,5,240,116,232,5.6,1.89,,244,138,55.2,106,25.76,73,,666,480,18,2.84,,0.5,,1.22,,
5062,Lakes & Tanks ,"Gurunath Cheruvu, Miyapur, Serilingampally, rangareddy Dist.",1.6,6.75,846,5.8,4.78,,23,280,2,,,,15,5,210,103,79,5.6,2.75,,216,120,48,96,23.33,42,,536,370,16,1.65,,0.5,,1.08,,
5063,Lakes & Tanks ,"Nanakram Kunta, Nanakraamguda,",0.3,7.65,1010,10,5.29,,17,430,3.6,,,,13,5,300,130,122,6.72,1.36,,222,118,47.2,104,25.27,38,,606,480,18,1.95,,0.5,,1.1,,
5111,Lakes & Tanks ,"Nagireddy Kunta (Yapral Cheruvu), Yapral",0.78,7.43,1912,5.8,4.72,,31,240,6.1,,,,16,5,340,262,68,9.8,5.6,,490,325,130,165,40.09,154,,1204,760,18,2.84,,0.5,,1.24,,
5112,Lakes & Tanks ,"Kamuni Cheruvu, Kukatpally",0.3,7.19,1606,6,4.66,,22,280,12,,,,14,5,260,238,67,11.2,7,,380,245,98,135,32.8,132,,996,620,20,3.66,,0.5,,1.04,,
5113,Lakes & Tanks ,"Chinna Cheruvu, Ramanthapur Bagat, Uppal",0.3,7.26,1332,10,5.61,,12,430,4,,,,10,5,320,194,125,7,3.12,,330,200,80,130,31.59,120,,826,560,10,1.56,,0.5,,0.94,,
5114,Lakes & Tanks ,"Shanthisarovor Pond, Gachibowli, Serilingmapally",4.8,7.14,516,2,3.26,,21,220,Less than 1.8,,,,14,5,98,76,16,11.2,5.6,,130,82,32.8,48,11.66,48,,326,200,26,3.1,,0.5,,0.98,,
5115,Lakes & Tanks ,"Raja Mohammad Kunta, Haffezpet, Serilingampally (M),",0.3,6.94,1184,10,4.38,,26,430,4,,,,14,5,292,130,138,10.08,4.08,,312,164,65.6,148,35.96,65,,746,580,18,3.1,,0.5,,1.38,,
5116,Lakes & Tanks ,"Kotha Cheruvu (Novotel Lake), Khanamet, Serilingampally",1.5,7.16,1244,5.4,7.22,,17,540,2,,,,28,5,236,174,54,5.6,6.7,,354,238,95.2,116,28.19,110,,754,540,28,2.86,,0.5,,1.48,,
5117,Lakes & Tanks ,"Masjid Banda Lake, Kondapur, Serlingampally",Lake Enroachment,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
5118,Lakes & Tanks ,"Kotha Kunta, Haffezpet, Serilingampally (M)",2.6,6.94,665,4,2.54,,26,220,Less than 1.8,,,,14,5,164,60,48,4.42,0.84,,188,104,41.6,84,20.41,52,,420,300,12,1.25,,0.5,,0.69,,
5119,Lakes & Tanks ,"Kaidam Kunta, Hafeezpet, Serilingampally (M)",Dried up,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
5120,Lakes & Tanks ,"Thammidi Kunta, Khanamet, Serilingampally",0.3,7.1,940,14,9.42,,13,430,2,,,,24,5,116,146,172,14,2.2,,156,98,39.2,58,14.09,94,,606,240,30,2.72,,0.5,,1.2,,
5121,Lakes & Tanks ,"Pale Cheruvu, Kattedan",Dried,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
5122,Lakes & Tanks ,"Mallai Kunta,Chanda Nagar,Serlingampally,RR-1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5123,Lakes & Tanks ,"Pedda Cheruvu, Ibrahimbagh, Gandipet",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5124,Lakes & Tanks ,"TCS Energy Park Lake,Gachibowli(V), Serilingampally (M), Rangareddy (D)",4.6,7.74,802,3,5.42,,25,540,1.8,,,,18,5,138,110,24,5.6,2.8,,206,130,52,76,18.47,72,,512,320,20,2.14,,0.5,,1.36,,
5125,Lakes & Tanks ,"Mondi Kunta, Khanamet, Serilingmampally",Dried up,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
5126,Lakes & Tanks ,"Bathula Cheruvu, Amangal, Hayathnagar",0.3,8.12,1950,8,10.48,,37,540,14,,,,20,5,425,236,98,8.4,3.5,,440,335,134,105,25.52,148,,1228,840,21,3.06,,0.6,,1.32,,
5127,Lakes & Tanks ,"Kummari Kunta, Amangal, Hayathnagar",0.3,8.2,1468,6.8,7.12,,24,430,8.1,,,,17,10,365,159,76,7,3.81,,375,230,92,145,35.23,106,,910,840,15,2.56,,0.5,,1.18,,
5128,Lakes & Tanks ,"Palle Cheruvu, Mylardevpalli, Rajendranagar",0.3,7.34,1488,14,7.84,,27,540,6,,,,18,5,385,179,159,8.4,2.48,,400,250,100,150,36.45,110,,936,630,15,2.54,,0.5,,1.3,,
5129,Lakes & Tanks ,"Erra Kunta, Laxmiguda, Rajenderanagar",0.3,7.43,1480,14,10.86,,31,540,11,,,,22,5,380,194,171,9.8,2.96,,390,245,98,145,35.23,124,,932,640,18,2.74,,0.5,,1.28,,
5130,Lakes & Tanks ,"Pathikunta, Budwel, Rajendranagar",2,7.2,988,5.4,4.38,,12,350,2,,,,14,5,290,88,62,5.6,0.58,,305,185,74,120,29.16,52,,632,480,12,2.54,,0.5,,0.93,,
5131,Lakes & Tanks ,"Yellamma Cheruvu, Manikonda, Rajenderanagar",0.3,7.46,1894,10,13.6,,47,920,11,,,,22,5,380,284,118,8.96,2.9,,590,306,122.4,284,69.01,88,,1190,850,28,3.84,,0.6,,1.38,,
5132,Lakes & Tanks ,"Malkam Cheruvu, Raidurgam, Serilingampally",4.2,7.77,1260,20,,,21,Less than 1.8,,,,,32.46,BDL,300,202,103,20,8,0.25,328,204,82,124,30,102,122,786,416,9,4.6,,,23,,51,4.1
5133,Lakes & Tanks ,"Chandana Cheruvu, Jillelguda,",0.3,7.25,1582,8,6.24,,31,540,8.1,,,,21,5,380,179,91,7,2.84,,400,255,102,145,35.23,112,,980,660,17,2.56,,0.5,,1.14,,
5134,Lakes & Tanks ,"Manthrala Cheruvu, Meerpet",0.3,7.1,1820,8,8.24,,27,920,14,,,,19,5,465,191,87,8.4,2.92,,475,295,118,180,43.74,124,,1128,740,16,2.84,,0.5,,1.34,,
