Station code,water_bodies,Station name,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Free Ammonia  (mg/L),Hardness (mg/L),Calcium (mg/L),Magnesium (mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),% Sodium,SAR,,
3085,Lakes  & Tanks,Chinnawaddepally tank,0.1,7.78,1744,22,1.13,Not Analysed,58,430,Not Analysed,Not Analysed,Not Analysed,18,BDL,345,260,184,4.8,Not Analysed,425,76,57.1,139,196,1080,Not Analysed,57,0.85,Not Analysed,0.24,6,0.14,49.62,2.92,,
2343,Lakes  & Tanks,Premajipet tank,0.1,7.26,5020,28,13.42,Not Analysed,130,540,Not Analysed,Not Analysed,Not Analysed,20,BDL,890,720,240,5.6,Not Analysed,1490,284,189.54,520,441,3160,Not Analysed,68,3.8,Not Analysed,0.2,6,1,39.03,3.51,,
2345,Lakes  & Tanks,Sai Cheruvu,Dried up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4222,Lakes  & Tanks,"Koneru, Kondagattu temple, Jagitiyal",2,7.52,960,10,3.2,Not Analysed,14,350,Not Analysed,Not Analysed,Not Analysed,12,BDL,225,124,48,BDL,Not Analysed,310,58,40.09,72,78,602,Not Analysed,20,0.68,Not Analysed,0.09,2,1.28,35.17,1.36,,
4223,Lakes  & Tanks,"Vemulawada temple Koneru , Karimnagar",1.48,7.56,1348,18,2,Not Analysed,26,350,Not Analysed,Not Analysed,Not Analysed,18,BDL,275,221,149,BDL,Not Analysed,315,54,43.74,78,162,862,Not Analysed,16,0.3,Not Analysed,0.09,4,0.82,52.38,2.81,,
4228,Lakes  & Tanks,"Ibrahim Cheruvu, Rajendra Nagar",Dried up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4230,Lakes  & Tanks,Kistaipally Cheruvu,Dried up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4231,Lakes  & Tanks,"Rayam Cheruvu,",Dried up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4232,Lakes  & Tanks,"Komati Cheruvu,",6.8,7.1,1037,5.2,14,0.5,Less than 1.8,46,,,,27,28,146,80,26,3.5,2,192.97,41,22,23,31,614,377,25,,0.62,0.09,6,0.45,25.13,0.97,,
4235,Lakes  & Tanks,Lake Kamuni( Shamshabad Lake),0.1,7.6,2020,34,4.2,Not Analysed,110,540,Not Analysed,Not Analysed,Not Analysed,24,BDL,295,394,158,4.6,Not Analysed,385,84,42.52,146,282,1316,Not Analysed,30,0.68,Not Analysed,0.32,6,0.56,60.95,4.42,,
4233,Lakes  & Tanks,"Gaddapotharam cheruvu,",5.2,6.75,8890,19,42,0.49,Less than 1.8,120,,,,28,39,540,1240,84,19,3.4,1529.51,286,198,164,348,5157,3197,69,,0.25,0.09,64,0.69,31.94,3.87,,
4237,Lakes  & Tanks,"Mullakatwa Cheruvu, Hi Tech City, Madhapur,",Sample was not submitted by RO RR-I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4238,Lakes  & Tanks,"Ameenpur Cheruvu,",5.8,7.22,1823,10.8,23,0.62,1.8,220,,,,29,34,256,238,45,8,2.4,406.54,82,49,45,80,1036,684,32,,0.49,0.09,22,0.46,28.57,1.72,,
4239,Lakes  & Tanks,"Mahaboobsagar Tank,",5.8,7.39,1683,5.4,18,0.4,Less than 1.8,94,,,,27,20,294,214,32,4,2.5,422.26,85,51,57,83,967,619,30,,0.65,0.09,11,0.39,29.25,1.76,,
4244,Lakes  & Tanks,"Erdanoor Tank,",Dried up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4245,Lakes  & Tanks,"Mallepally Tank,",Dried up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4247,Lakes  & Tanks,"Mucharla Nagaram cheruvu, Warangal",2.1,6.78,1350,20,0.37,Not Analysed,58,540,Not Analysed,Not Analysed,Not Analysed,34,BDL,298,192,125,4.2,Not Analysed,385,84,42.52,92,126,866,Not Analysed,36,0.59,Not Analysed,0.2,4,0.51,41.25,1.97,,
4248,Lakes  & Tanks,"Koti Cheruvu, Hanamkonda, Warangal",3.2,7.01,1406,16,3.6,Not Analysed,21,280,Not Analysed,Not Analysed,Not Analysed,20,BDL,295,212,138,3.6,Not Analysed,395,78,48.6,90,133,852,Not Analysed,14,0.67,Not Analysed,0.28,6,0.46,41.79,2.06,,
4229,Lakes  & Tanks,Neknampur Lake,0.1,7.14,2114,36,18.2,Not Analysed,58,540,Not Analysed,Not Analysed,Not Analysed,28,BDL,495,286,239,5.8,Not Analysed,535,90,75.33,148,238,1382,Not Analysed,38,2.2,Not Analysed,0.28,6,0.72,48.81,3.16,,
4249,Lakes  & Tanks,"Rangasamudram, Warangal",0.1,7.61,1758,28,2.8,Not Analysed,24,430,Not Analysed,Not Analysed,Not Analysed,12,BDL,412,254,138,2.8,Not Analysed,445,98,48.6,86,191,1102,Not Analysed,26,0.68,Not Analysed,0.22,4,0.82,47.98,2.78,,
4661,Lakes  & Tanks,Peddakanjarla Tank,Dried up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4666,Lakes  & Tanks,Ismailkhanpet Tank,Dried up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4667,Lakes  & Tanks,"Surram Cheruvu (Palle Cheruvu), Bandlaguda (V), Bandlaguda (new mandal)",0.1,6.97,2860,62,19,0.2,46,920,Not Analysed,Not Analysed,Not Analysed,38,56,324,373,222,34,0.01,720,136,92,65,196,1608,1516,42,1.6,Not Analysed,0.09,24,BDL,37,3.2,,
4668,Lakes  & Tanks,"Chinnarayan Cheruvu, Alwal (V)",2.8,7.1,1790,33,62,0.45,14,350,Not Analysed,Not Analysed,Not Analysed,78,32,276,185,133,62,0.5,432,94,48,72,123,1217,790,74,3.9,Not Analysed,0.09,83,BDL,33,2.6,,
4669,Lakes  & Tanks,"Pedda Cheruvu, Gangaram (V), Serilingarampally (New Mandal)",Dried Up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4670,Lakes  & Tanks,"Bairamalaguda Cheruvu, Medchal-Malkajigiri District.",Dried Up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4671,Lakes  & Tanks,"Medi Kunta, Guttala begumpet (V)",Sample not collected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4672,Lakes  & Tanks,"Medi Kunta (Wipro Lake), Nanakramguda",3.6,7.8,1756,30,24,0.6,6,500,Not Analysed,Not Analysed,Not Analysed,49,30,268,228,120,23,-,418,70,59,35,72,970,601,62,,0.48,0.09,18,0.59,26,1.5,,
4673,Lakes  & Tanks,Medikunta lake (BK Enclave),0.1,7.21,1280,14,12.4,Not Analysed,26,350,Not Analysed,Not Analysed,Not Analysed,16,BDL,285,178,63,2.8,Not Analysed,380,70,49.81,85,110,756,Not Analysed,20,0.88,Not Analysed,0.2,8,0.68,37.99,1.73,,
4674,Lakes  & Tanks,"Meedi Kunta, Hafeezpet (V), Serlingampally",4.8,7.21,1569,11,-,-,620,3200,Not Analysed,Not Analysed,Not Analysed,-,-,-,-,55,-,0.07,-,94,36,-,59,-,-,-,-,Not Analysed,0.09,18,-,24,1.3,,
4675,Lakes  & Tanks,"Lotus pond, Hakimpet (V), Shaik pet (new mandal)",6.2,7.29,720,12,33,0.08,21,170,Not Analysed,Not Analysed,Not Analysed,47,12,200,122,44,11,BDL,180,40,19,44,85,476,302,14,0.09,Not Analysed,0.09,11,BDL,49,2.8,,
4676,Lakes  & Tanks,"Banda Cheruvu, Malkajigiri (V),Malkajigiri (new mandal)",2.4,7.9,1271,44,48,0.4,14,110,Not Analysed,Not Analysed,Not Analysed,16,48,280,179,176,8,BDL,400,104,37,78,196,760,470,15,2.4,Not Analysed,0.6,26,0.4,49,4.2,,
4677,Lakes  & Tanks,"Lingam Cheruvu, Suraram (V), Quthubullapur",2.8,7.52,2025,45,48,0.4,17,47,Not Analysed,Not Analysed,Not Analysed,34,48,272,260,180,11,BDL,464,107,48,48,118,1357,862,48,1.4,Not Analysed,0.09,87,0.1,31,2.4,,
4678,Lakes  & Tanks,"Patel Cheruvu, Nacharam, Medchal-Malkajigiri District.",Not  collected due to no access into lake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4679,Lakes  & Tanks,HUDA Park Lake,0.1,7.43,2152,42,0.98,Not Analysed,58,430,Not Analysed,Not Analysed,Not Analysed,19,BDL,445,320,182,5.6,Not Analysed,480,100,55.89,190,284,1402,Not Analysed,27,1.48,Not Analysed,0.32,1.48,0.96,56.16,3.99,,
4680,Lakes  & Tanks,Laknavaram lake,5.6,7.58,185,2,0.16,Not Analysed,Less than 1.8,22,Not Analysed,Not Analysed,Not Analysed,4,BDL,70,10,10,BDL,Not Analysed,80,16.8,9.23,8,5,116,Not Analysed,4,0.08,Not Analysed,0.18,2,0.2,11.63,0.17,,
4681,Lakes  & Tanks,Pakala lake Narsampet,5.8,7.94,218,2,0.27,Not Analysed,Less than 1.8,24,Not Analysed,Not Analysed,Not Analysed,4,BDL,75,20,10,BDL,Not Analysed,90,18,10.94,10,10,138,Not Analysed,6,0.1,Not Analysed,0.09,1.7,0.22,19.08,0.32,,
4682,Lakes  & Tanks,Bandham Cheruvu,0.1,7.52,1620,22,15.5,Not Analysed,58,540,Not Analysed,Not Analysed,Not Analysed,22,BDL,420,240,102,2.6,Not Analysed,455,90,55.89,28,155,1038,Not Analysed,38,2.26,Not Analysed,0.26,1.03,0.98,42.48,2.23,,
4683,Lakes  & Tanks,"Pedda cheruvu, Madikonda",2,7.55,657,3,2.23,Not Analysed,35,340,Not Analysed,Not Analysed,Not Analysed,12,BDL,160,96,12,BDL,Not Analysed,175,36,20.66,22,66,410,Not Analysed,16,0.36,Not Analysed,BDL,2,0.52,44.69,1.53,,
4684,Lakes  & Tanks,Campus Lake Icrisat,4.6,7.45,1060,6.5,13,0.32,6,1200,Not Analysed,Not Analysed,Not Analysed,27,16,188,162,26,4.9,3.09,308.67,56,41,21,42,587,370,25,,0.24,0.09,9,0.5,22.18,1,,
4685,Lakes  & Tanks,Surisigal Lake Icrisat,7.2,7.41,2130,11.5,22,0.47,4,500,Not Analysed,Not Analysed,Not Analysed,35,12,180,174,46,16,10.1,257.76,62,25,27,74,1180,732,33,,0.5,0.09,14,0.65,36.84,2,,
4686,Lakes  & Tanks,Icrisat Lake,4.4,7.32,1447,13,13,0.4,6,1400,Not Analysed,Not Analysed,Not Analysed,40,20,168,142,52,16.6,10.4,218.69,48,24,21,63,802,505,40,,0.62,0.09,10,0.79,37.16,1.8,,
4687,Lakes  & Tanks,Red Lake Icrisat,5.1,6.72,1184,20,11,0.35,4,1100,Not Analysed,Not Analysed,Not Analysed,32,28,146,130,80,15.1,9.5,239.15,43,32,19,38,674,438,45,,0.45,0.09,7,0.75,24.9,1,,
4688,Lakes  & Tanks,"Narinja River, Kothur - B (V), Zaheerabad",Dried up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4689,Lakes  & Tanks,"Sunnam Kunta, Jubille hills",3.8,6.9,710,21,17,0.01,39,540,Not Analysed,Not Analysed,Not Analysed,51,20,192,56,82,18,0.04,260,67,22,28,31,436,279,25,0.2,-,0.09,8,0.1,20,0.9,,
4690,Lakes  & Tanks,"Banjara Kunta (Singadi Kunta), Shaikpet",4.9,6.97,681,9,34,0.6,7,94,Not Analysed,Not Analysed,Not Analysed,42,16,80,27,28,49,0.37,272,80,17,14,40,348,210,Less than  5,0.1,-,0.09,9,0.3,24,1.1,,
4691,Lakes  & Tanks,"Nagole Cheruvu, Uppal Malkajigiri District.",Dried Up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4692,Lakes  & Tanks,"Ramanthapur Cheruvu, Medchal-Malkajigiri District.",Dried Up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4693,Lakes  & Tanks,"Patel Cheruvu, Madeenaguda, Miyapur",Dried Up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4694,Lakes  & Tanks,Mundla Katwa Lake,3,7.09,1709,34,17,0.42,8,1200,Not Analysed,Not Analysed,Not Analysed,45,32,248,208,136,25,16,353,72,42,29,78,940,611,57,,0.36,0.09,14,0.55,31,1.8,,
4695,Lakes  & Tanks,"Khaja Kunta, Kukatpally (V)",2.1,7.1,1633,63,72,0.3,17,1600,Not Analysed,Not Analysed,Not Analysed,46,52,268,160,252,2,BDL,336,75,36,52,124,110,600,52,1,-,0.09,73,0.2,38,2.9,,
4696,Lakes  & Tanks,"Parki Cheruvu, Kukatpally (V), Balanagar",NC,7.4,2053,29,88,0.54,70,540,Not Analysed,Not Analysed,Not Analysed,22,36,252,86,144,42,0.17,352,83,35,27,169,1220,514,19,4.5,-,0.09,3.9,0.1,44,3.9,,
4697,Lakes  & Tanks,"Mukkidi Cheruvu (Ramakrishnapuram Lake), Malkajigri",0.1,8.3,1300,28,47,1.8,Less than  2,21,Not Analysed,Not Analysed,Not Analysed,28,56,392,185,112,6,BDL,428,115,29,74,188,824,453,33,4.1,-,0.32,24,0.4,48,4,,
4698,Lakes  & Tanks,"Mannevari Kunta, Machabollaram (V), Alwal",1.2,7.1,2216,53,51,0.8,3.2,350,Not Analysed,Not Analysed,Not Analysed,46,16,156,439,216,9,0.01,656,128,82,128,118,1529,832,58,5.5,-,BDL,92,BDL,25,4,,
4699,Lakes  & Tanks,"Kaprai Cheruvu, RamanthpurMedchal-Malkajigiri District.",Dried Up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4700,Lakes  & Tanks,"Large tank, Saroornagar, Rangareddy District.",0.1,7.11,1468,24,12.8,Not Analysed,Less than 1.8,540,Not Analysed,Not Analysed,Not Analysed,32,BDL,290,234,120,3.6,Not Analysed,385,66,53.46,98,156,940,Not Analysed,20,2.32,Not Analysed,0.26,2.86,1.04,46.6,2.44,-,-
4701,Lakes  & Tanks,"Lingam kunta lake Chandanagar,Serilingampally, Rangareddy (Dist)",0.1,7.4,1538,24,14.6,Not Analysed,58,540,Not Analysed,Not Analysed,Not Analysed,18.62,BDL,295,222,170,4.6,Not Analysed,415,78,53.46,126,149,860,Not Analysed,20,1.09,Not Analysed,0.34,6,1.1,43.38,2.25,,
4702,Lakes  & Tanks,"Pedda Cheruvu - Khaja guda, Khajaguda (V), Serlingampally (new mandal)",NC,7.5,1694,46,18,2.1,94,920,Not Analysed,Not Analysed,Not Analysed,14,BDL,324,246,153,52,0.56,320,72,34,48,96,1052,572,75,5.18,Not Analysed,0.09,96,4.8,32,2.3,,
4703,Lakes  & Tanks,Bulbubu kunta,0.1,7.63,2194,22,13.86,Not Analysed,63,350,Not Analysed,Not Analysed,Not Analysed,13,BDL,420,362,83,4.8,Not Analysed,435,118,34.02,136,296,1360,Not Analysed,12,0.89,Not Analysed,0.34,0.89,0.92,59.6,4.36,,
4704,Lakes  & Tanks,"Pedda Cheruvu, Mansoorabad, Saroornagar, Rangareddy District.",0.1,7.31,1380,22,2.6,Not Analysed,58,430,Not Analysed,Not Analysed,Not Analysed,16,BDL,265,218,184,3.8,Not Analysed,320,60,41.31,90,164,868,Not Analysed,24,2.26,Not Analysed,0.22,2.92,1.02,52.41,2.82,,
4705,Lakes  & Tanks,"Kotha Cheruvu (Alwal Cheruvu), Alwal (V),",0.8,7.6,2113,78,77,0.1,21,280,Not Analysed,Not Analysed,Not Analysed,48,52,260,227,318,80,0.57,576,96,82,82,118,1437,1078,74,3.1,Not Analysed,0.09,98,BDL,27,2.1,,
