Station code,water_bodies,Station name,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia  (mg/L),Free Ammonia  (mg/L),Hardness (mg/L),Calcium (mg/L),Magnesium (mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),% Sodium,SAR,
2375,River Manjeera,D/s of River Manjeera at Gowdicherla after confluence with Nakkavagu,6.9,7.49,621,2.8,8,0.12,4,40,2,,,,13,20,122,64,26,4.5,0.4,Less than 0.01,168,34,20,12,17,349,245,12,,0.12,0.5,4,0.2,17.56,0.57,
2349,River Manjeera,Nakka vagu at Bachugudem,2.2,7.25,997,8,8,0.15,11,130,8.3,,,,15,28,136,98,78,14,0.4,Less than 0.01,226,46,27,16,29,551,359,11,,0.13,0.5,5,0.2,21.23,0.84,
4226,River Manjeera,River Manjeera at Yedu Payala Temple,6.8,7.01,325,2.6,5,0.09,Less than 1.8,26,Less than 1.8,,,,6,12,78,42,24,4.5,0.4,Less than 0.01,100,20,12,5,13,184,137,10,,0.16,0.5,2,0.2,21.6,0.57,
2372,River Kinneresani,Kinnerasani after confluence of KTPS ash pond effluents,5.2,7.8,527,3,0.6,,Less than 1.8,27,Less than 1.8,,,,6,5,180,42,26,1.5,0.4,Less than 0.01,195,38,24.3,20,32,320,,10,0.2,,0.5,2,0.2,25.92,0.99,
3080,River Kinneresani,U/s of Karakavagu at Paloncha,4.5,7.88,714,3,2,,Less than 1.8,2,Less than 1.8,,,,2.3,5,185,74,46,1.5,0.4,Less than 0.01,205,47.2,21.14,46,57,456,,12,0.2,,0.5,2,0.29,37.26,1.73,
3081,River Kinneresani,D/s of Karakavagu at Paloncha,4.1,7.98,507,3,1.8,,Less than 1.8,4,Less than 1.8,,,,16.2,5,185,45,38,1.5,0.4,Less than 0.01,195,36.8,25.03,26,38,320,,13,0.2,,0.5,2,0.26,29.35,1.18,
1784,River Krishna ,River Krishna at Thangadi,5.6,7.64,912,2.1,4,,Less than 1.8,17,Less than 1.8,,,,9,5,190,132,32,1.5,0.4,Less than 0.01,205,44,23.09,92,108,701,,10,0.2,,0.5,4,0.2,52.63,3.27,
39,River Krishna ,River Krishna at Gadwal bridge,5.8,7.19,872,2.2,2,,Less than 1.8,12,Less than 1.8,,,,2,5,160,138,28,1.5,0.4,Less than 0.01,175,31.2,23.57,78,98,632,,10,0.2,,0.5,2,0.2,54.37,3.21,
4225,River Krishna ,"Jogulamba Temple, Gadwal",5.4,6.94,984,2.1,2,,Less than 1.8,18,Less than 1.8,,,,6,5,175,146,32,1.5,0.4,Less than 0.01,190,44,19.44,84,102,672,,10,0.2,,0.5,3,0.2,53.23,3.21,
4259,River Krishna ,Nagarjuna Sagar Dam Spill way,7.1,7.05,357,2.6,4,0.12,2,23,1.8,,,,7,12,98,40,28,5,0.4,Less than 0.01,117.58,24,14,5,11,204,152,10,,0.1,0.5,3,0.2,16.37,0.44,
4252,River Krishna ,"Udaya Samudram balancing Reservoir,",6.9,7.19,367,2.4,3,0.08,1.8,17,Less than  1.8,,,,6,16,94,40,26,4.5,0.4,Less than 0.01,112,22,14,7,9,210,158,10,,0.17,0.5,2,0.2,14.44,0.37,
1465,River Krishna ,Confluence of River krishna & River musi at at wadapally,7,7.26,495,2.8,5,0.11,8,79,4,,,,12,20,112,52,30,5.6,0.4,Less than 0.01,150,30,18,9,12,284,212,10,,0.19,0.5,3,0.2,14.5,0.43,
4663,River Krishna ,"River Krishna at Mattepally, 500 mts. before bathing ghat",6.9,7.48,563,2.2,4,0.09,4,26,2,,,,9,16,128,62,20,3.4,0.4,Less than 0.01,168,34,20,13,17,322,236,10,,0.18,0.5,4,0.2,17.56,0.57,
1215,River Krishna ,River Munneru at Thummala cheruvu/Madannapet,6,8.03,269,2.4,0.3,,Less than 1.8,2,Less than 1.8,,,,2.2,5,75,36,20,1.5,0.4,Less than 0.01,90,20,9.72,5,18,160,,10,0.2,,0.5,2,0.2,29.6,0.82,
4250,River Krishna ,"Palair Reservoir, Khammam",5.2,8.12,512,2.4,3.8,,Less than 1.8,2,Less than 1.8,,,,4,5,125,62,32,1.5,0.4,Less than 0.01,135,43.2,6.56,44,56,328,,10,0.2,,0.5,2,0.28,46.89,2.09,
4251,River Krishna ,"D/S of Munneru River, Prakash Nagar, Khammam",4.8,7.99,607,2.9,3.1,,Less than 1.8,2,Less than 1.8,,,,5,5,160,56,34,1.5,0.4,Less than 0.01,185,47.2,16.28,36,42,376,,12,0.2,,0.5,2,0.21,32.64,1.34,
4253,River Musi,Musi sample at Bapughat sangam U/S of Musi,1.1,7.29,1426,6,4.68,,68,540,,,,,9.68,5,320,192,78,1.5,0.4,Less than 0.01,335,96,23.09,96,144,845,,11,1.68,,0.5,11,0.86,47.19,3.41,
4656,River Musi,"River Musi at Moosarambagh bridge, Hyderabad",0.3,7.6,1376,10,11.4,,170,540,,,,,29,5,285,192,110,11,2.1,0.1,345,76,37.66,102,142,820,,58,0.66,,0.5,10,0.98,46.18,3.31,
2339,River Musi,River Musi at Nagole,0.3,7.64,1424,8,8.2,,170,920,,,,,32,5,315,168,88,1.5,0.4,Less than 0.01,355,78,38.88,98,136,854,,32,1.06,,0.5,10,0.86,44.43,3.13,
4659,River Musi,"Outlet of Nalla Cheruvu, Peerajadiguda",0.3,7.41,2268,10,1.28,,20,210,,,,,14.86,5,530,342,112,14,2.8,0.1,439,108,48.6,152,288,1324,,31,1.8,,0.5,9,1.12,56.4,5.76,
4660,River Musi,River Musi at Peerajadiguda,0.3,7.78,1649,10,4.2,,30,430,,,,,16,5,385,256,120,6,1.8,0.07,420,88,48.6,139,218,936,,29,1.6,,0.5,14,1.04,51.83,4.61,
1173,River Musi,D/s. of Musi at Pratapasingaram,1.2,7.2,1429,8,6.8,,33,430,,,,,8.6,5,305,152,96,1.5,0.4,Less than 0.01,355,76,40.09,126,138,814,,28,0.57,,0.5,8,0.98,44.96,3.18,
4657,River Musi,River Musi at Pillapalli,2.1,7.27,1406,8,6.4,,41,350,,,,,12.8,5,280,138,68,1.5,0.4,Less than 0.01,310,74,30.38,102,132,880,,25,0.57,,0.5,6,0.92,47.34,3.25,
4254,River Musi,River Musi sample at Rudravelly bridge,5.8,7.12,949,4,8,0.17,6,140,2,,,,10,24,208,140,38,6.7,0.4,Less than 0.01,299.82,64,34,14,37,540,376,12,,0.26,0.5,7,0.2,20.57,0.93,
4658,River Musi,"River Musi at Valigonda bridge, Nalgonda dist",6,7.22,939,3.5,9,0.13,4,94,1.8,,,,8,28,198,112,34,6.2,0.4,Less than 0.01,268.37,58,30,15,31,532,395,10,,0.18,0.5,6,0.2,19.53,0.82,
3082,River Musi,River Musi at Solipet (Kasaniguda),6.4,7.28,728,3,9,0.09,1.8,46,Less than  1.8,,,,7,20,172,98,30,5.6,0.4,Less than 0.01,236,52,26,17,28,420,298,10,,0.17,0.5,5,0.2,19.92,0.79,
1172,Lakes & Tanks ,U/s of Musi at Gandipet (Osmansagar lake),6,7.56,418,2.1,0.64,,Less than 1.8,14,Less than 1.8,,,,4.1,5,125,42,18,1.5,0.4,Less than 0.01,145,42,9.72,16,27,260,,10,0.43,,0.5,2,0.61,28.39,0.97,
1780,Lakes & Tanks ,Gandigudem Tank,6.3,7.47,773,4.8,8,0.14,4,63,2,,,,11,32,186,94,50,9,0.4,Less than 0.01,228,48,26,15,21,442,315,18,,0.26,0.5,5,0.2,16.28,0.6,
2358,Lakes & Tanks ,Mallapur tank,0.3,7.31,2343,18,3.46,,58,430,Less than 1.8,,,,22,5,480,314,199,18,2.8,0.1,530,114,59.53,120,236,1422,,52,2.42,,0.5,10,1.18,48.45,4.44,
2347,Lakes & Tanks ,Asani Kunta,0.3,6.81,9250,324,30,0.32,10,540,4,,,,195,40,996,648,1296,204,0.4,Less than 0.01,1494,328,164,166,173,5580,3642,120,,0.34,0.5,45,0.59,19.41,1.94,
1783,Lakes & Tanks ,Kistareddypet Tank,6.1,7.2,1120,6,12,0.09,4,58,1.8,,,,13,28,212,148,64,11.8,0.4,Less than 0.01,308.06,64,36,16,43,634,463,15,,0.14,0.5,6,0.2,22.73,1.06,
2348,Lakes & Tanks ,Khazipally Tank,4.5,7.35,1646,4.5,11,0.12,1.8,35,2,,,,10,24,248,195,44,7.8,0.4,Less than 0.01,354.49,76,40,23,46,910,517,10,,0.13,0.5,8,0.2,21.42,1.06,
4302,Lakes & Tanks ,Rudraram Tank,6.6,7.08,715,3,6,0.08,2,52,1.8,,,,7,20,158,94,32,5.6,0.4,Less than 0.01,203.71,42,24,12,19,412,294,10,,0.07,0.5,5,0.2,16.34,0.58,
4240,Lakes & Tanks ,"Muthangi Tank,",4.9,7.24,297,2.8,3,0.13,4,22,2,,,,5,12,74,36,26,4.5,0.4,Less than 0.01,96,20,11,5,9,168,117,10,,0.15,0.5,2,0.2,16.59,0.4,
4241,Lakes & Tanks ,"Chitkul Tank,",5.4,7.22,725,5.4,7,0.15,4,94,3.6,,,,8,16,158,68,48,8.4,0.4,Less than 0.01,190.48,40,22,14,23,420,306,10,,0.14,0.5,4,0.2,20.26,0.72,
4242,Lakes & Tanks ,"Lakadaram Cheruvu,",5.7,7.18,585,4,3,0.09,6,70,2,,,,11,12,134,64,42,7.3,0.4,Less than 0.01,172.25,36,20,10,17,334,244,10,,0.16,0.5,3,0.2,17.26,0.56,
4243,Lakes & Tanks ,"Isnapur Tank,",5,7.35,1637,10.5,10,0.18,10,210,4,,,,16,24,294,198,88,15.7,0.4,Less than 0.01,402,85,46,18,47,924,596,15,,0.22,0.5,11,0.2,19.63,1.02,
4246,Lakes & Tanks ,Pashamylaram Tank,RO-Sangareddy-I informed that Pashamylaram & Isnapur tanks both are same but called by different names.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1789,Lakes & Tanks ,Himayathsagar lake,6.1,7.64,405,2.1,0.62,,Less than 1.8,5,Less than 1.8,,,,5.62,5,125,38,8,1.5,0.4,Less than 0.01,150,38,13.37,18,22,252,,10,0.2,,0.5,2,0.58,23.78,0.78,
3069,Lakes & Tanks ,"Shameerpet lake, Shameerpet",6,7.64,494,2.1,1.01,,4,280,Less than 1.8,,,,4.15,5,135,56,16,1.5,0.4,Less than 0.01,155,44,10.94,23,38,305,,10,0.2,,0.5,4,0.2,33.95,1.32,
3078,Lakes & Tanks ,"Pragathinagar cheruvu, Kukatpally",0.3,7.01,1554,8,2.39,,26,350,Less than 1.8,,,,9.62,5,335,198,98,2,0.4,Less than 0.01,385,88,40.09,112,162,920,,12,1.84,,0.5,10,0.96,46.83,3.58,
2340,Lakes & Tanks ,Lakshminarayana cheruvu,4.9,8.26,1192,2.9,0.98,,20,210,Less than 1.8,,,,8.9,5,220,176,44,1.5,0.4,Less than 0.01,290,64,31.59,84,120,712,,24,0.59,,0.5,8,0.28,46.36,3.06,
1788,Lakes & Tanks ,Saroornagar Lake,0.3,7.13,1439,8,1.88,,31,430,Less than 1.8,,,,14.88,5,255,224,100,10,1,0.06,275,76,20.66,92,178,884,,24,0.45,,0.5,12,0.87,57.04,4.66,
4234,Lakes & Tanks ,"Umda sagar lake, Shamshabad",3.4,7.21,712,4,0.3,,14,240,2,,,,8.6,5,165,102,42,1.5,0.4,Less than 0.01,195,34,26.73,42,66,427,,14,0.2,,0.5,3.4,0.2,41.68,2.05,
1464,Lakes & Tanks ,Bibinagar Tank,6.2,7.39,418,3.1,4,0.07,4,46,2,,,,6,16,108,44,32,5.6,0.4,Less than 0.01,120,22,16,5,15,238,168,10,,0.16,0.5,4,0.2,20.46,0.59,
3068,Lakes & Tanks ,Ramappa lake,6,8.03,196,2.1,4,,Less than 1.8,5,Less than 1.8,,,,2,5,75,10,8,1.5,0.4,Less than 0.01,85,28.4,3.4,6,5,129,,12,0.2,,0.5,2,0.2,9.02,0.19,
1447,Lakes & Tanks ,Dharmasagar tank,5.8,8.12,380,2.8,0.3,,Less than 1.8,10,Less than 1.8,,,,2.2,5,120,52,24,1.5,0.4,Less than 0.01,135,32,13.37,13,30,232,,10,0.2,,0.5,2,0.2,32.05,1.12,
2346,Lakes & Tanks ,Bhadrakali tank,6,7.71,563,2.6,2,,Less than 1.8,7,Less than 1.8,,,,10,5,115,90,32,1.5,0.4,Less than 0.01,125,29.6,12.39,41,80,360,,10,0.2,,0.5,2,0.2,57.57,3.1,
3084,Lakes & Tanks ,"Waddepally tank, Kazipet",5.9,7.86,413,3,0.3,,5,47,Less than 1.8,,,,2,5,115,68,26,1.5,0.4,Less than 0.01,125,38,7.29,10,44,248,,10,0.2,,0.5,2.8,0.2,42.58,1.71,
3085,Lakes & Tanks ,Chinnawaddepally tank,2.4,7.96,942,6,3,,8,150,Less than 1.8,,,,18,5,220,102,72,1.5,0.4,Less than 0.01,235,65.6,17.25,64,96,584,,22,0.2,,0.5,2,0.2,46.67,2.72,
2343,Lakes & Tanks ,Premajipet tank,3.8,7.2,2562,22,4.26,,13,240,Less than 1.8,,,,11.64,5,480,405,248,11,1.9,0.01,520,134,45,236,319,1615,,10,2.62,,0.5,18,0.96,55.97,6.07,
2345,Lakes & Tanks ,Sai Cheruvu,0.3,8.09,2854,24,4.2,,8,210,Less than 1.8,,,,13,5,320,486,268,10,0.4,Less than 0.01,485,88,64.39,256,384,1783,,14,0.2,,0.5,6,0.2,62.73,7.56,
4222,Lakes & Tanks ,"Koneru, Kondagattu temple, Jagitiyal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4223,Lakes & Tanks ,"Vemulawada temple Koneru , Karimnagar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4228,Lakes & Tanks ,"Pedda Cheruvu/Ibrahim Cheruvu, Rajendra Nagar",0.3,7.25,1388,8,1.84,,26,350,,,,,15.47,5,390,146,99,10,1.5,0.1,435,112,37.66,82,110,874,,10,1.94,,0.5,12,1.31,34.58,2.29,
4230,Lakes & Tanks ,Kistaipally Cheruvu,4.7,7.46,2456,5,15,0.11,6,70,4,,,,17,36,310,216,48,8.4,0.4,Less than 0.01,464,94,56,17,51,1420,1026,10,,0.18,0.5,10,0.2,18.73,1.02,
4231,Lakes & Tanks ,"Rayam Cheruvu,",5.3,7.08,234,3,3,0.05,2,70,Less than  1.8,,,,5,32,56,28,26,4.5,0.4,Less than 0.01,89,19,10,5,9,134,92,10,,0.1,0.5,2,0.2,17.58,0.41,
4232,Lakes & Tanks ,"Komati Cheruvu,",6.8,7.15,360,2.8,4,0.08,4,39,2,,,,7,20,76,32,30,5.6,0.4,Less than 0.01,86.13,18,10,5,11,204,152,10,,0.11,0.5,3,0.2,20.9,0.51,
4235,Lakes & Tanks ,Lake Kamuni( Shamshabad Lake),5.1,7.11,790,3,2.86,,21,110,,,,,6.4,5,220,97,38,1.5,0.4,Less than 0.01,250,78,13.37,58,78,503,,22,0.25,,0.5,6,0.2,39.62,2.14,
4233,Lakes & Tanks ,"Gaddapotharam cheruvu,",4.2,7.34,2600,9,18,0.19,11,170,4,,,,23,32,298,244,82,14.6,0.4,Less than 0.01,508,108,58,20,49,1498,1088,10,,0.17,0.03,7,0.2,16.98,0.94,
4238,Lakes & Tanks ,"Ameenpur Cheruvu,",6,7.37,685,5,6,0.13,4,120,1.8,,,,6,24,158,70,46,8.4,0.4,Less than 0.01,200,40,24,10,17,388,273,10,,0.11,0.5,5,0.2,15.19,0.52,
4239,Lakes & Tanks ,"Mahaboobsagar Tank,",5.9,7.46,448,3,5,0.11,4,58,2,,,,9,16,78,28,32,5.6,0.4,Less than 0.01,104,22,12,5,10,251,138,10,,0.13,0.5,3,0.2,16.65,0.42,
