Station code,water_bodies,Station name,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Free Ammonia,Hardness (mg/L),Calcium (mg/L),Magnesium (mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),% Sodium,SAR
4688,Lakes  & Tanks,"Narinja River, Kothur - B (V), Zaheerabad",Dried up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4689,Lakes  & Tanks,"Sunnam Kunta, Jubille hills",Dried Up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4690,Lakes  & Tanks,"Banjara Kunta (Singadi Kunta), Shaikpet",3.2,7.52,527,10,14,,11,154,,,,13,1,215,136,45,5.8,,240,54,25.52,87,27,326,,17,2.78,,0.29,11,0.39,12.98,0.34
4691,Lakes  & Tanks,"Sample collected from Nagole Cheruvu, Uppal Malkajigiri District.",Dried Up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4692,Lakes  & Tanks,"Sample collected from Ramanthapur Cheruvu, Medchal-Malkajigiri District.",Dried Up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4693,Lakes  & Tanks,"Patel Cheruvu, Madeenaguda, Miyapur",Dried Up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4694,Lakes  & Tanks,Mundla Katwa Lake,"MUNDLAKATWA & MEDIKUNTA SAMPLES WERE NOT SUBMITTTED TO ZONAL LAB, R.C.PURAM AS IT WAS SUBMITTED TO ZONAL LAB,WARANGAL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4695,Lakes  & Tanks,"Khaja Kunta, Kukatpally (V)",Dried Up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4696,Lakes  & Tanks,"Parki Cheruvu, Kukatpally (V), Balanagar",2.7,7.63,1929,24,37.8,,24,430,,,,28,1,395,136,123,7,,460,95,54,64,174,1196,,38,4.79,,0.36,21,1.99,39.6,2.28
4697,Lakes  & Tanks,"Mukkidi Cheruvu (Ramakrishnapuram Lake), Malkajigri",Dried Up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4698,Lakes  & Tanks,"Mannevari Kunta, Machabollaram (V), Alwal",Dried Up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4699,Lakes  & Tanks,"Kaprai Cheruvu, RamanthpurMedchal-Malkajigiri District.",Dried Up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4700,Lakes  & Tanks,"Large tank, Saroornagar, Rangareddy District.",0.1,7.41,1533,24,9.1,,14,220,,,,45,1,344,248,160,4.2,,408,96.8,40.34,82,165,956,,36,3.41,,0.26,18,1.02,45.42,2.51
4701,Lakes  & Tanks,"Lingam kunta lake Chandanagar,Serilingampally, Rangareddy (Dist)",0.1,7.4,1480,20,12.8,,32,350,,,,16,1,325,206,84,4,,380,78,44.95,92,152,970,,24,1.21,,0.28,6,0.76,46.01,2.4
4702,Lakes  & Tanks,"Pedda Cheruvu - Khaja guda, Khajaguda (V), Serlingampally (new mandal)",0.1,6.87,1455,31,27,2.5,170,1140,,,,14,1,385,230,130,53,0,368,80,41,59,118,951,,28,6.2,,0.09,39,BDL,,0.9
4703,Lakes  & Tanks,Bulbubu kunta,0.1,7.54,1924,26,16.8,,17,350,,,,10,1,385,284,126,4.6,,450,130,30.38,152,228,1306,,18,0.78,,0.32,2,0.94,52.27,3.3
4704,Lakes  & Tanks,"Pedda Cheruvu, Mansoorabad, Saroornagar, Rangareddy District.",0.1,7.15,1547,30,3.43,,21,280,,,,36,1,295,276,204,4,,370,73.6,45.2,92,188,962,,42,2.01,,0.28,6,1.0,51.97,3.0
4705,Lakes  & Tanks,"Kotha Cheruvu (Alwal Cheruvu), Alwal (V),",0.1,7.43,1766,24,48,,24,350,,,,25,1,520,196,57,5.6,,575,122,65.61,68,130,1094,,36,9.39,,0.24,22,1.74,31.9,1.67
