Station code,water_bodies,Station name,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Free Ammonia (mg/L),Hardness (mg/L),Calcium (mg/L),Magnesium (mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),% Sodium,SAR
4684,Lakes  & Tanks,Campus Lake Icrisat,5.5,7.56,627,2.1,8,0.32,3,430,,,,14,8,92,123,14,2.6,0.03,206.95,40,26,24,31,375,265,15,,0.17,0.09,5,0.36,24.08,0.94
4685,Lakes  & Tanks,Surisigal Lake Icrisat,5.8,7.48,1055,6,11,0.36,2,350,,,,10,16,172,126,42,7.9,0.08,238.4,46,30,22,47,626,454,42,,0.36,0.09,8,0.48,29.21,1.33
4686,Lakes  & Tanks,Icrisat Lake,4.6,7.47,895,4.5,6,0.45,4,540,,,,15,12,114,102,30,5.7,0.06,160.77,38,16,16,43,531,381,21,,0.32,0.09,4,0.41,36.13,1.48
4687,Lakes  & Tanks,Red Lake Icrisat,5.7,7.39,891,5,5,0.42,4,710,,,,9,20,102,92,36,6.8,0.06,149.03,30,18,14,36,527,394,25,,0.28,0.09,4,0.39,33.77,1.28
4688,Lakes  & Tanks,"Narinja River, Kothur - B (V), Zaheerabad",6.2,7.42,641,2.7,8,0.38,BDL,21,,,,7,8,94,89,18,3.4,0.03,147.28,26,20,20,34,379,275,12,,0.23,0.09,7,0.28,32.2,1.22
4689,Lakes  & Tanks,"Sunnam Kunta, Jubille hills",Dried up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4690,Lakes  & Tanks,"Banjara Kunta (Singadi Kunta), Shaikpet",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4691,Lakes  & Tanks,"Nagole Cheruvu, Uppal Malkajigiri District.",Dried Up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4692,Lakes  & Tanks,"Ramanthapur Cheruvu, Medchal-Malkajigiri District.",Dried Up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4693,Lakes  & Tanks,"Patel Cheruvu, Madeenaguda, Miyapur",Dried Up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4694,Lakes  & Tanks,Mundla Katwa Lake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4695,Lakes  & Tanks,"Khaja Kunta, Kukatpally (V)",Lake sample were not collected as there was no water in the lake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4696,Lakes  & Tanks,"Parki Cheruvu, Kukatpally (V), Balanagar",Less than 0.1,7.21,1529,20,23.86,,32,430,,,,16,BDL,410,208,132,6.2,,440,94,49.81,82,154,964,,28,4.2,,0.32,18,0.84,41.96,2.26
4697,Lakes  & Tanks,"Mukkidi Cheruvu (Ramakrishnapuram Lake), Malkajigri",Dried up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4698,Lakes  & Tanks,"Mannevari Kunta, Machabollaram (V), Alwal",Dried up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4699,Lakes  & Tanks,"Kaprai Cheruvu, RamanthpurMedchal-Malkajigiri District.",Dried Up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4700,Lakes  & Tanks,"Large tank, Saroornagar, Rangareddy District.",Less than 0.1,7.38,1498,26,9.52,,20,280,,,,28,BDL,355,232,164,4.2,,400,94,40.09,79,162,940,,34,3.12,,0.16,16,1.21,45.58,2.49
4701,Lakes  & Tanks,"Lingam kunta lake Chandanagar,Serilingampally, Rangareddy (Dist)",Less than 0.1,7.65,1420,22,12.86,,24,350,,,,38,BDL,310,202,102,4.2,,380,80,43.74,96,145,880,,16,1.82,,0.38,4,0.82,45.01,2.29
4702,Lakes  & Tanks,"Pedda Cheruvu - Khaja guda, Khajaguda (V), Serlingampally (new mandal)",0.5,7.58,1052,10,2.78,,26,430,,,,22,BDL,235,172,73,1.4,,290,66,30.38,60,117,664,,18,2.8,,0.22,3,1.1,46.4,2.11
4703,Lakes  & Tanks,Bulbubul kunta,Less than 0.1,7.81,1829,22,11.2,,23,350,,,,10,BDL,375,282,174,3.6,,430,96,46.17,130,220,1150,,14,0.68,,0.28,2,0.98,52.51,3.26
4704,Lakes  & Tanks,"Pedda Cheruvu, Mansoorabad, Saroornagar, Rangareddy District.",Less than 0.1,7.11,1478,34,20.1,,20,350,,,,28,BDL,290,271,212,3.6,,365,84,37.66,88,183,933,,36,2.24,,0.14,6,1.04,51.63,2.94
4705,Lakes  & Tanks,"Kotha Cheruvu (Alwal Cheruvu), Alwal (V),",Less than 0.1,7.32,1384,10,28.4,,32,350,,,,12,BDL,360,201,63,4.8,,430,100,43.74,72,125,920,,22,4.66,,0.38,22,2.14,37.23,1.85
