Station code,water_bodies,Station name,District,Remarks,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia,Free Ammonia  (mg/L),Hardness (mg/L),Calcium (mg/L),Calcium Carbonate as CaCO3,Magnesium (mg/L),Magnesium Carbonate as CaCO3,Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR,Cd(mg/l),Cu(mg/l),Pb(mg/l),T.Cr(mg/l),Ni (mg/l),Zn(mg/l),Fe(mg/l),Hg(mg/l),Mn(mg/l)
5041,Lakes  & Tanks,"Pathulguda, Uppal, Medchal Dist.",Medchal Malkajgiri,,3.3,7.63,1303,4,2.4,,49,540,9.3,,,,18,5,275,196,88,16.8,8.4,,380,84,210,41.31,170,123,,780,470,13,2.88,8.84,0.5,,1.02,,,0.02,0.03,0.03,0.08,0.1,0.05,0.64,0.0,0.11
5113,Lakes  & Tanks,"Chinna Cheruvu, Ramanthapur Bagat, Uppal",Medchal Malkajgiri,,0.3,7.59,1147,8,10.2,,17,350,4.5,,,,24,5,260,121,116,15.68,6.16,,295,64,160,32.8,135,88,,680,410,20,3.14,9.64,0.5,,1.26,,,0.02,0.03,0.1,0.06,0.1,0.07,0.06,0.0,0.06
5117,Lakes  & Tanks,"Masjid Banda Lake, Kondapur, Serlingampally",Rangareddy ,Not collected due to lake enroachment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5121,Lakes  & Tanks,"Pale Cheruvu, Kattedan",Rangareddy,Dried up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5126,Lakes  & Tanks,"Bathula Cheruvu, Amangal, Hayathnagar",Rangareddy,,2.7,7.56,994,5,15.6,,14,280,4,,,,20,5,185,150,104,16.24,8.4,,265,70,175,21.87,90,89,,596,360,17,2.98,9.15,0.5,,0.7,,,0.02,0.03,0.16,0.06,0.1,0.07,0.58,0.0,1.99
5127,Lakes  & Tanks,"Kummari Kunta, Amangal, Hayathnagar",Rangareddy,,3.1,8.09,980,3,3,,21,350,6.8,,,,12,5,195,148,52,7.28,2.24,,260,60,150,26.73,110,92,,588,350,10,3.42,10.5,0.5,,1.08,,,0.02,0.03,0.2,0.06,0.1,0.04,0.16,0.0,0.05
5128,Lakes  & Tanks,Palle cheruvu,Rangareddy,not collected by RO-HYD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5129,Lakes  & Tanks,"Erra Kunta, Laxmiguda, Rajenderanagar",Rangareddy,,0.3,7.24,2031,14,4.2,,46,540,9.3,,,,38,5,320,352,200,18.48,6.72,,475,130,325,36.45,150,211,,1260,760,12,3.17,9.73,0.54,,1.26,,,0.02,0.03,0.24,0.06,0.1,0.07,0.06,0.0,0.42
5130,Lakes  & Tanks,"Pathikunta, Budwel, Rajendranagar",Rangareddy,,1.3,8.08,2107,4,2.8,,49,540,9.3,,,,30,5,765,146,58,16.8,6.16,,910,314,785,30.38,125,90,,1264,760,20,2.62,8.04,0.5,,1.27,,,0.02,0.03,0.16,0.06,0.1,0.89,1.1,0.0,0.08
5132,Lakes  & Tanks,"Malkam Cheruvu, Raidurgam, Serilingampally",Rangareddy ,,3,6.92,1643,22,16,,3.7,130,,,,,88,5,308,242,146,8,,BDL,318,66,166,37,152,117,,948,756,92,2.93,,0.46,,0.67,,,,,,,,,,,
5498,Lakes  & Tanks,"Suleman cheruvu ,kattedam(v),Ragendra nagar(m)Rangareddy dist",Medchal Malkajgiri,Ncolledted due to lake is covered with mud and grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4668,Lakes  & Tanks,"Chinnarayan Cheruvu, Alwal (V)",Medchal Malkajgiri,,4.8,7.42,1152,4,2.3,,24,350,9.3,,,,20,5,250,152,58,16.8,6.16,,345,92,230,27.95,115,96,,726,490,18,2.14,6.57,0.5,,0.53,,,0.02,0.03,0.88,0.14,0.1,0.07,3.02,0.0,0.03
4676,Lakes  & Tanks,"Banda Cheruvu, Malkajigiri (V),Malkajigiri (new mandal)",Medchal Malkajgiri,No access due to growth of hyacinth and alagae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4701,Lakes  & Tanks,"Lingam kunta lake Chandanagar,Serilingampally, Rangareddy (Dist)",Rangareddy,,0.3,8.08,1084,6,6.8,,46,540,9.3,,,,22,5,245,150,60,11.2,3.36,,270,66,165,25.52,105,94,,682,440,26,3.7,11.36,0.5,,0.9,,,0.02,0.03,0.12,0.06,0.1,0.06,1.96,0.0,0.33
4695,Lakes  & Tanks,"Khaja Kunta, Kukatpally (V)",Medchal Malkajgiri,,4.7,7.54,1070,4,2,,21,350,4.5,,,,20,5,175,149,67,11.2,3.92,,320,106,265,13.37,55,96,,620,410,28,2.74,8.41,0.5,,0.68,,,0.02,0.03,0.1,0.08,0.1,0.08,0.13,0.0,0.12
4696,Lakes  & Tanks,"Parki Cheruvu, Kukatpally (V), Balanagar",Medchal Malkajgiri,,0.3,7.27,1515,8,1.7,,46,540,6.1,,,,16,5,280,210,91,16.24,5.6,,345,86,215,31.59,130,118,,954,640,20,3.12,9.58,0.5,,0.89,,,0.02,0.03,0.1,0.2,0.1,0.04,1.28,0.0,0.2
4697,Lakes  & Tanks,"Mukkidi Cheruvu (Ramakrishnapuram Lake), Malkajigri",Medchal Malkajgiri,dried up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
