Station code,water_bodies,Station name,District,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia,Free Ammonia  (mg/L),Hardness (mg/L),Calcium (mg/L),Calcium Carbonate as CaCO3,Magnesium (mg/L),Magnesium Carbonate as CaCO3,Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR
2360,River Godavari,River Godavari at Basara,Nirmal,7,6.84,999,3.1,19,0.04,5.5,20,4.5,,,,3.6,20,260,124,32,8,BDL,BDL,330,96,240,22,90,48,59,609.39,426.57,8,,0.08,BDL,2.8,0.19,27.67,1.17
5105,River Godavari,"River Godavari Pushkar Ghat, Mancherial",Mancherial,6.7,7.52,685,3,25,0.06,6,22,4,,,,3.1,18,208,120,30,7,BDL,BDL,290,76,190,24,100,36,50,490,343,6,,0.06,BDL,3.5,0.32,26.96,1.11
4255,River Godavari,Ali sagar Reservoir,Nizamabad,6.8,7.16,662,2.8,22,0.03,4.5,26,3.6,,,,2.8,16,180,88,29,5,BDL,BDL,230,60,150,20,80,28,39,403.82,282.67,8,,0.08,BDL,2.6,0.24,26.38,0.97
4227,River Godavari,"Pochara Water Falls, Adilabad",Adilabad,6.6,8.78,553,2.7,17,0.08,6,22,5.5,,,,3.3,18,248,80,26,6,BDL,BDL,295,78,195,24,100,25,34,420,294,9,,0.11,BDL,2.1,0.19,19.89,0.75
2361,River Godavari,"River Godavari at mancherial, Near Rail Way Bridge B/C of Rallavagu",Peddapalli,6.2,8.03,605,1.2,,,Less than 1.8,31,Less than 1.8,,,,4,5,160,64,5,1.5,0.4,,180,38,95,20.66,85,44,#,364,210,14,0.07,#,0.5,#,0.29,#,#
0013,River Godavari,River Godavari at Mancherial,Peddapalli,6.1,8.08,594,1.4,,,Less than 1.8,40,Less than 1.8,,,,5.2,5,150,62,8,1.5,0.4,,160,34,85,18.22,75,45,#,356,220,16,0.11,#,0.5,#,0.29,#,#
3054,River Godavari,"Outlet of ash pond effluents of M/s.NTPC, Ramagundam",Peddapalli,6.1,9.43,756,1.4,,,Less than 1.8,21,Less than 1.8,,,,4.8,20,180,128,24,1.5,0.4,,210,44,110,24.3,100,62,#,454,270,22,0.86,#,0.5,#,0.3,#,#
2362,River Godavari,D/s of River Godavari at Ramagundam near FCI intake well,Peddapalli,6,7.87,1022,1.8,,,Less than 1.8,38,Less than 1.8,,,,5.6,5,210,186,28,1.5,0.4,,210,48,120,21.87,90,74,#,612,370,20,1.04,#,0.5,#,0.56,#,#
5497,River Godavari,River Godawari D/S afer confluence of Ramagundem fertilize and chemicals Ltd(RFCL)Discharge into river,Ramagundem,6.1,7.13,1081,2.8,,,2,49,Less than 1.8,,,,10,5,180,192,32,1.5,0.4,,240,50,125,27.95,115,120,#,620,420,22,0.86,#,0.5,#,0.56,#,#
2363,River Godavari,River Godavari at Godavarikhani near bathing ghat,Peddapalli,6,7.45,1035,1.8,,,Less than 1.8,34,Less than 1.8,,,,5,5,220,180,30,1.5,0.4,,230,48,120,26.73,110,82,#,622,380,26,1.12,#,0.5,#,0.52,#,#
2364,River Godavari,River Godavari at Ramagundam upstream near dam,Peddapalli,6.2,7.5,982,1.4,,,Less than 1.8,26,Less than 1.8,,,,6.4,5,195,176,24,1.5,0.4,,210,44,110,24.3,100,74,#,590,350,12,0.99,#,0.5,#,0.52,#,#
