Station code,water_bodies,Station name,District,DO (mg/L),pH,Conductivity (μs/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia  (mg/L),Free Ammonia  (mg/L),Total Hardness as CaCO3(mg/L),Calcium Hardness as CaCo3(mg/L),Calcium as Ca+2(mg/L),Magnesium Hardness as CaCo3 (mg/L),Magnesium as Mg+2(mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR
4256,River Maneru / Manair,"River Maneru (tributary of Godavari) - Lower Dam,Maneru, Karimnagar",Karimnagar,5.1,8.1,436,2.6,1.8,,Less than 1.8,43,Less than 1.8,,,,3.6,5,90,56,27,1.5,0.4,0.03,100,50,20,50,12.15,34,,274,,7,0.2,,0.5,,0.59,,
4257,River Maneru / Manair,"River Maneru (tributary of Godavari) - at D/S of municipal dump site, Karimnagar",Karimnagar,4,7.85,1693,3.2,4.6,,14,140,2,,,,2.8,5,320,274,32,7,1.48,0.06,405,220,88,185,44.95,168,,1048,,8,1.89,,0.66,,1.09,,
4664,River Maneru / Manair,"River Maneru (tributary of Godavari) - at Ghattepalli (V) near Sulthanabad, Karimnagar",Karimnagar,DRIED UP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4665,River Maneru / Manair,"River Maneru (tributary of Godavari) - Outlet of KTPP Ash pond joining to morancha vagu, Chelpur (V), Ghanpur (Mulugu) (M), , Jayashankar bhupalapalli District",Bhadradri Kothagudem ,4.8,7.69,704,2.2,2.8,,Less than 1.8,31,Less than 1.8,,,,3.2,5,150,86,24,1.5,0.4,0.01,176,110,44,66,16.04,50,,430,,7,0.26,,0.5,,0.58,,
1158,River Maneru / Manair,"River Maneru (tributary of Godavari) - at Somanpally , Peddapalli",Peddapalli,5.4,7.33,494,2,1.7,,Less than 1.8,48,Less than 1.8,,,,3.2,5,85,44,20,1.5,0.4,0.01,102,60,24,42,10.21,104,,306,,6,0.2,,0.5,,0.59,,
4258,River Manjeera,"River Manjeera (tributary of Godavari) - Singoor Dam Reservoir,Singure (V), Pulkal (M), Sangareddy District",Sangareddy,8.2,7.99,592,3,9,0.04,3.4,20,Less than 1.8,,,,4.1,28,150,77,36,16,BDL,0.01,185,130,52.06,55,13,24,14,380,240,7,,0.06,0.5,3.1,0.31,16.1,0.37
1157,River Manjeera,"River Manjeera (tributary of Godavari) - at Raipally, Sangareedy",Sangareddy,6.8,8.12,645,2.1,10,0.03,4,33,3.7,,,,3.3,16,130,86,22,15,BDL,0.01,220,130,52,90,22,46,12,419,260,5,,0.07,0.5,3,0.35,13.29,0.32
1781,River Manjeera,"River Manjeera (tributary of Godavari) - at Ganapathi sugars, Sangareddy",Sangareddy,6.5,7.81,670,2,9,0.04,8.1,41,4,,,,3.5,24,140,91,24,15,BDL,0.01,225,140,56.07,85,21,52,17,425,290,8,,0.12,0.5,2,0.32,17.4,0.44
2374,River Manjeera,"River Manjeera (tributary of Godavari) - U/s of River Manjeera at Gowdicherla before confluence with Nakkavagu, Sangaredy",Sangareddy,6.8,7.86,1020,2.9,13,0.05,7.8,34,6,,,,4,32,175,158,28,22,BDL,0.01,380,225,90,155,38,90,20,668,430,7,,0.14,0.5,4,0.31,13.0,0.4
2375,River Manjeera,"River Manjeera (tributary of Godavari) - D/s of River Manjeera at Gowdicherla atfter confluence with Nakkavagu, Sangareddy",Sangareddy,6.9,7.35,1489,3.6,18,0.15,6.8,40,4.5,,,,3.5,16,255,201,40,32,BDL,0.01,500,260,104.12,240,58,95,35,972,653,8,,0.07,0.5,3,0.82,18.02,0.66
2349,River Manjeera,"River Manjeera (tributary of Godavari) - Nakka vagu at Bachugudem, Sangareedy",Sangareddy,4.6,6.8,1402,4.8,23,0.12,8.1,94,6.8,,,,5,36,205,168,52,38,BDL,0.01,370,200,80.1,170,41,99,45,860,594,9,,0.11,0.5,3.2,0.12,27.07,0.96
