Station code,water_bodies,Station name,District,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia,Free Ammonia  (mg/L),Hardness (mg/L),Calcium (mg/L),Calcium Carbonate as CaCO3,Magnesium (mg/L),Magnesium Carbonate as CaCO3,Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR
2360,River Godavari,River Godavari at Basara,Nirmal,7.3,8.14,863,3,16,0.1,2.8,21,Less than 1.8,,,,2.5,8,228,112,28,5,BDL,BDL,300,84,208,22,92,50,52,540,330,7,,0.1,BDL,2.5,0.1,27.05,1.3
5105,River Godavari,"River Godavari Pushkar Ghat, Mancherial",Mancherial,6.9,7.86,650,2.6,21,0.04,1.8,20,Less than 1.8,,,,2,12,204,104,24,4,BDL,BDL,252,68,172,20,80,30,45,410,250,8,,0.07,BDL,2.4,0.3,27.62,1.23
4255,River Godavari,Ali sagar Reservoir,Nizamabad,7.4,7.98,520,2.2,15,0.02,2.8,17,1.8,,,,3.7,8,188,88,20,3,BDL,BDL,224,50,124,24,100,20,42,320,200,10,,0.08,BDL,2,0.18,28.63,1.22
4227,River Godavari,"Pochara Water Falls, Adilabad",Adilabad,7,8.2,516,2.6,14,0.17,4,24,2.8,,,,3.6,20,225,102,25,4,BDL,BDL,288,70,176,27,112,30,38,340,210,12,,0.14,BDL,2.8,0.19,22.11,0.97
2361,River Godavari,"River Godavari at mancherial, Near Rail Way Bridge B/C of Rallavagu",Peddapalli,6.4,7.88,592,1,1.1,,8,32,Less than 1.8,,,,12,5,210,42,16,1.5,0.4,,240,58,145,23.09,95,30,,362,220,10,1.69,,0.5,,0.52,#,#
0013,River Godavari,River Godavari at Mancherial,Peddapalli,6.4,7.89,693,1.2,1.5,,Less than 1.8,34,Less than 1.8,,,,15,5,180,49,24,1.5,0.4,,195,40,100,23.09,95,85.08,,430,260,10,1.88,,0.5,,0.62,#,#
3054,River Godavari,"Outlet of ash pond effluents of M/s.NTPC, Ramagundam",Peddapalli,6.1,10.55,1047,1,0.8,,Less than 1.8,94,Less than 1.8,,,,22,15,200,120,12,5.6,1.12,,120,28,70,12.15,50,120,,650,420,18,3.62,,0.5,,0.78,#,#
2362,River Godavari,D/s of River Godavari at Ramagundam near FCI intake well,Peddapalli,6.3,8.54,776,1.4,1.2,,Less than 1.8,46,Less than 1.8,,,,16,5,160,112,28,1.5,0.4,,170,52,130,9.72,40,74,,482,280,10,3.2,,0.5,,0.62,#,#
5497,River Godavari,River Godawari D/S afer confluence of Ramagundem fertilize and chemicals Ltd(RFCL)Discharge into river,Peddapalli,5.8,7.5,1501,2.8,12.2,,4,120,Less than 1.8,,,,20,5,230,284,83,1.5,0.4,,240,50,125,27.95,115,90.8,,930,580,34,2.89,,0.5,,0.65,#,#
2363,River Godavari,River Godavari at Godavarikhani near bathing ghat,Peddapalli,6.3,7.69,860,1.4,3.7,,Less than 1.8,33,Less than 1.8,,,,17,5,95,160,24,1.5,0.4,,90,20,50,9.72,40,64,,534,320,10,3.48,,0.5,,0.66,#,#
2364,River Godavari,River Godavari at Ramagundam upstream near dam,Peddapalli,6.3,8.12,797,1.4,0.9,,Less than 1.8,49,Less than 1.8,,,,15,5,110,74,40,1.5,0.4,,140,30,75,15.79,65,164.8,,494,300,10,2.96,,0.5,,0.64,#,#
2356,River Godavari,River Godavari d/s of Ramagundam at Manthani,Peddapalli,6.3,8.29,670,1.4,1.5,,Less than 1.8,40,Less than 1.8,,,,19,5,140,61,16,1.5,0.4,,160,34,85,18.22,75,76,,416,260,10,2.82,,0.5,,0.68,#,#
4662,River Godavari,River godavari Kaleshwaram,Jayashankar Bhoopalpalli,6.4,8.18,349,1,1.3,,Less than 1.8,32,Less than 1.8,,,,24,5,95,25,5,1.5,0.4,,110,22,55,13.37,55,35.9,,216,140,35,0.21,,0.5,,0.32,#,#
2365,River Godavari,"U/s of River Godavari at Kamalapur (V) at M/s.AP Rayons Ltd., intake well",Mulugu,6.4,7.99,187,1,0.8,,Less than 1.8,27,Less than 1.8,,,,22,5,85,10,5,1.5,0.4,,95,20,50,10.94,45,6,,118,80,33,0.2,,0.5,,0.33,#,#
2366,River Godavari,"D/s of River Godavari at Kamalapur (V) at M/s.AP Rayons Ltd., discharge point",Mulugu,6.4,8,187,1,0.7,,Less than 1.8,40,Less than 1.8,,,,26,5,75,15,8,1.5,0.4,,80,16,40,9.72,40,8,,116,60,37,0.2,,0.5,,0.28,#,#
2367,River Godavari,U/s of river Godavari at Bhadrachalam bathing ghat,Bhadradri Kothagudem ,6.4,7.76,180,1,1,,Less than 1.8,46,Less than 1.8,,,,27,5,66,14,5,1.5,0.4,,85,20,50,8.5,35,8,,110,60,38,0.22,,0.5,,0.3,#,#
2368,River Godavari,D/s of river Godavari at Bhadrachalam bathing ghat,Bhadradri Kothagudem ,6.4,7.51,183,1,0.7,,Less than 1.8,40,Less than 1.8,,,,32,5,45,15,5,1.5,0.4,,50,10,25,6.08,25,32.4,,114,60,43,0.21,,0.5,,0.32,#,#
2369,River Godavari,River Godavari at Burgampahad,Bhadradri Kothagudem ,6.4,7.77,270,1,3,,Less than 1.8,32,Less than 1.8,,,,30,5,75,27,8,1.5,0.4,,85,18,45,9.72,40,26,,170,110,41,0.2,,0.5,,0.36,#,#
4256,River Maneru / Manair,"Lower Maneru Dam, Karimnagar",Karimnagar,6.3,8.43,435,1,1,,Less than 1.8,49,Less than 1.8,,,,12,5,125,39,8,1.5,0.4,,130,28,70,14.58,60,25,,270,160,23,0.22,,0.5,,0.42,#,#
4257,River Maneru / Manair,"Maneru river D/S of municipal dump site, Karimnagar",Karimnagar,Dired up,,,,,,,,,,,,,,,,,,,,,0,,0,0,,,,,,,,,,,,
4664,River Maneru / Manair,River Maneru at Ghattepalli (V) near Sulthanabad,Karimnagar,Dired up,,,,,,,,,,,,,,,,,,,,,0,,0,0,,,,,,,,,,,,
4665,River Maneru / Manair,Outlet of KTPP Ash Pond Joining Moranchavagu,Jayashankar Bhoopalpalli,6.1,8.15,657,1,0.8,,Less than 1.8,46,Less than 1.8,,,,34,5,65,59,8,1.5,0.4,,85,18,45,9.72,40,161.1,,408,260,45,0.39,,0.5,,0.43,#,#
1158,River Maneru / Manair,River Maneru at Somanpally,Peddapalli,6.1,8.41,598,1,1.1,,Less than 1.8,40,Less than 1.8,,,,32,5,145,66,8,1.5,0.4,,160,34,85,18.22,75,37.9,,370,220,43,0.23,,0.5,,0.52,#,#
4258,River Manjeera,"Singoor Dam Reservoir,",Sangareddy,7.7,7.94,515,2,19,0.07,2.8,17,Less than 1.8,,,,2.5,10,196,94,16,3,BDL,BDL,228,62,156,18,72,36,50,328,208,7,,0.09,BDL,2,0.12,31.85,1.43
1157,River Manjeera,River Manjeera at Raipally,Sangareddy,7,7.19,529,2.3,20,0.05,3.7,33,2,,,,2.8,12,186,72,20,4,BDL,BDL,248,76,192,14,56,40,30,335,209,5,,0.12,BDL,4,0.09,20.46,0.83
1781,River Manjeera,Manjeera at Ganapathi sugars,Sangareddy,6.7,7.3,550,2.6,14,0.06,4.5,31,2,,,,3,12,192,62,24,3,BDL,BDL,220,58,144,18,76,50,36,350,216,8,,0.14,BDL,2.9,0.2,25.92,1.06
2374,River Manjeera,U/s of River Manjeera at Gowdicherla before confluence with Nakkavagu,Sangareddy,6.6,7.25,950,3,19,0.08,5.5,30,3.6,,,,3.4,16,182,100,28,5,BDL,BDL,272,76,192,20,80,52,44,596,360,7,,0.18,BDL,3,0.25,25.66,1.16
2375,River Manjeera,D/s of River Manjeera at Gowdicherla after confluence with Nakkavagu,Sangareddy,6.9,7.3,810,3.2,21,0.1,6,34,3.7,,,,3,14,200,176,34,4,BDL,BDL,388,80,200,46,188,57,38,510,310,8,,0.1,BDL,2.4,0.4,17.31,0.83
2349,River Manjeera,Nakka vagu at Bachugudem,Sangareddy,5.5,8.01,1590,6,30,0.12,6.8,63,4.5,,,,4.2,20,388,230,54,6,BDL,BDL,584,168,420,40,164,80,90,990,594,12,,0.17,BDL,3.2,0.12,24.88,1.62
4226,River Manjeera,River Manjeera at Yedu Payala Temple,Medak,6.7,6.52,1157,2.6,29,0.05,5.6,63,4,,,,2.2,24,216,134,24,6,BDL,BDL,332,84,212,30,120,82,46,720,440,10,,0.12,BDL,5,0.2,22.65,1.09
2372,River Kinneresani,Kinnerasani after confluence of KTPS ash pond effluents,Bhadradri Kothagudem ,6.1,7.69,351,1,1.4,,Less than 1.8,46,Less than 1.8,,,,33,5,115,27,5,1.5,0.4,,125,30,75,12.15,50,33.3,,216,140,44,0.72,,0.5,,0.48,#,#
3080,River Kinneresani,U/s of Karakavagu at Paloncha,Bhadradri Kothagudem ,6.1,7.34,361,1,1.5,,Less than 1.8,34,Less than 1.8,,,,12,5,110,28,8,1.68,0.4,,55,12,30,6.08,25,18,,224,140,23,4.77,,0.5,,0.38,#,#
3081,River Kinneresani,D/s of Karakavagu at Paloncha,Bhadradri Kothagudem ,6,7.53,488,1.2,2.5,,Less than 1.8,49,Less than 1.8,,,,20,5,160,32,12,2.24,0.4,,170,38,95,18.22,75,44.1,,308,180,31,0.99,,0.5,,0.44,#,#
1784,River Krishna ,River Krishna at Thangadi,Mahaboobnagar,6.4,7.53,280,1,1.3,,4,130,Less than 1.8,,,,16,5,80,27,12,2.24,0.4,,160,34,85,18.22,75,20,,180,100,10,0.22,,0.5,,0.98,#,#
0039,River Krishna ,River Krishna at Gadwal bridge,Mahaboobnagar,6.4,7.61,288,1.2,1.2,,Less than 1.8,49,Less than 1.8,,,,14,5,74,42,12,1.5,0.4,,60,14,35,6.08,25,22,,170,120,10,0.22,,0.5,,0.88,#,#
4225,River Krishna ,"Jogulamba Temple, Gadwal",Jogulamba Gadwal,6.2,7.68,179,1.2,0.7,,Less than 1.8,21,Less than 1.8,,,,8,5,50,22,14,1.5,0.4,,60,20,50,2.43,10,19,,110,80,10,0.39,,0.5,,0.78,#,#
4259,River Krishna ,Nagarjuna Sagar Dam Spill way,Nalgonda,7.6,7.27,840,2.2,21,0.08,2.8,24,1.8,,,,3.6,10,204,120,20,3,BDL,BDL,320,52,132,46,188,50,40,540,330,9,,0.1,BDL,3.2,0.16,21.07,0.97
4252,River Krishna ,"Udaya Samudram balancing Reservoir,",Nalgonda,6.8,7.36,890,3.4,20,0.16,5.5,32,3.6,,,,3.8,16,212,184,30,4,BDL,BDL,372,79,200,42,172,40,53,560,340,14,,0.28,BDL,3,BDL,23.44,1.19
1465,River Krishna ,Confluence of River Krishna & River Musi at at Wadapally,Nalgonda,5.9,7.76,1264,3,28,0.28,5.5,34,3.7,,,,4,20,220,200,29,3,BDL,BDL,456,116,292,40,164,58,54,790,480,10,,0.16,BDL,4,0.22,20.27,1.1
4663,River Krishna ,"River Krishna at Mattepally, 500 mts. before bathing ghat",Suryapet,6.3,7.64,1109,3,25,0.29,5.6,38,2.8,,,,3.6,24,232,136,26,4,BDL,BDL,352,82,204,36,148,50,48,670,410,15,,0.2,BDL,3,0.45,22.53,1.11
4250,River Krishna ,"Palair Reservoir, Khammam",Khammam,6.3,7.81,786,1,0.7,,Less than 1.8,40,Less than 1.8,,,,10,5,130,112,8,2.8,0.4,,140,30,75,15.79,65,79.2,,496,300,10,0.78,,0.5,,0.44,#,#
4251,River Krishna ,"D/S of Munneru River, Prakash Nagar, Khammam",Khammam,6.3,7.85,380,1,1.9,,2,110,Less than 1.8,,,,12,5,130,39,8,1.68,0.4,,140,30,75,15.79,65,22,,244,160,18,0.32,,0.5,,0.62,#,#
5108,River Krishna ,River Krishna Before Confluence of River Musi at Wadapally (V),Nalgonda,6.7,7.81,1008,2,18,0.1,4,33,2,,,,3.8,20,296,159,22,3,BDL,BDL,392,94,236,38,156,46,40,630,390,17,,0.19,BDL,5.8,0.14,17.83,0.88
5109,River Krishna ,River Krishna After Confluence of River Musi at Wadapally (V),Nalgonda,6.9,7.92,1180,3,22,0.27,4.5,32,1.8,,,,3.4,16,260,248,34,5,BDL,BDL,512,116,292,54,220,70,78,740,450,14,,0.24,BDL,5,0.25,24.54,1.49
5110,River Krishna ,River Krishna at Pulichintala Reservoir at Chinthalapalem,Suryapet,7.1,7.46,1038,3.8,26,0.14,4,38,2.5,,,,3.8,16,244,212,44,5,BDL,BDL,412,89,224,46,188,58,65,640,390,10,,0.28,BDL,4,0.32,25.21,1.39
4253,River Musi,Musi sample at Bapughat sangam U/S of Musi,Hyderabad,0.3,7.73,1204,6,6.9,,34,430,6.8,,,,10,5,280,145,65,8.4,2.8,,295,60,150,35.23,145,61.6,,770,480,22,3.06,,0.6,,0.98,#,#
4656,River Musi,"River Musi at Moosarambagh bridge, Hyderabad",Medchal Malkajgiri,0.3,7.28,1491,12,1.1,,40,540,6.1,,,,16,5,380,179,158,11.2,3.36,,395,82,205,46.17,190,73.4,,954,600,28,3.18,,0.59,,0.97,#,#
2339,River Musi,River Musi at Nagole,Shamshabad,0.3,7.29,1561,10,1.2,,49,430,4,,,,17,5,360,184,150,10.6,2.24,,385,78,195,46.17,190,84,,998,620,29,3.87,,0.54,,1.1,#,#
4659,River Musi,"Outlet of Nalla Cheruvu, Peerajadiguda",Yadadri Bhuvanagiri,0.3,7.25,1648,8,5.3,,46,540,6.8,,,,18,5,425,196,146,11.76,2.8,,430,86,215,52.24,215,74.3,,1038,660,30,4.2,,0.62,,1.2,#,#
4660,River Musi,River Musi at Peerajadiguda,Suryapet,0.3,7.3,1620,8,12,,49,540,6.1,,,,20,5,365,170,96,12.32,3.92,,385,78,195,46.17,190,130,,1050,680,32,4.86,,0.54,,1.1,#,#
1173,River Musi,D/s. of Musi at Pratapasingaram,Rangareddy,0.3,7.23,1495,6,10,,26,540,4,,,,22,5,330,184,69,11.2,4.48,,340,70,175,40.09,165,83.4,,926,580,34,4.52,,0.54,,1,#,#
4657,River Musi,River Musi at Pillapalli,Rangareddy-I,2.8,7.29,1574,4,17,,14,350,4,,,,24,5,380,191,54,7.28,2.8,,390,80,200,46.17,190,71,,992,640,36,4.56,,0.58,,1.1,#,#
4254,River Musi,River Musi sample at Rudravelly bridge,Yadadri Bhuvanagiri,6.2,7.48,1350,3.8,27,0.12,5.7,63,4,,,,4.2,16,236,252,38,5,BDL,BDL,472,106,264,50,208,72,62,840,510,10,,0.25,BDL,4,0.12,21.98,1.24
4658,River Musi,"River Musi at Valigonda bridge, Nalgonda dist",Yadadri Bhuvanagiri,6.1,7.18,1480,3.4,30,0.18,6.1,70,4.5,,,,5,20,314,220,31,4,BDL,BDL,520,110,276,60,244,54,78,920,560,12,,0.14,BDL,6.9,0.27,24.11,1.48
3082,River Musi,River Musi at Solipet (Kasaniguda),Suryapet,6.2,7.92,1572,3,32,0.16,5.6,48,3.6,,,,6.9,24,380,246,29,5,BDL,BDL,556,140,348,50,208,56,100,980,590,18,,0.2,BDL,6,0.32,27.75,1.84
5106,River Musi,River Musi at Bheemaram Bridge,Nalgonda,7.2,7.51,1540,3.7,32,0.12,5.6,40,3.6,,,,3,24,252,224,34,5,BDL,BDL,496,116,292,50,204,73,84,970,590,18,,0.34,BDL,5,0.42,26.57,1.64
5107,River Musi,River Musi Before Confluence of River Krishna at Wadapally,Nalgonda,6.8,7.83,1366,3.2,30,0.17,4.5,31,2.5,,,,3.9,20,284,240,30,6,BDL,BDL,516,108,268,60,248,90,72,850,520,12,,0.2,BDL,6.4,0.4,22.86,1.37
1172,Lakes & Tanks,U/s of Musi at Gandipet (Osmansagar lake),Shamshabad,5.3,7.62,592,1.2,0.4,0.7,Less than 1.8,32,Less than 1.8,,,,22,5,165,71,19,1.5,0.4,,180,38,95,20.66,85,35.3,,378,240,34,0.9,,0.5,,0.24,#,#
