Station code,water_bodies,Station name,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia  (mg/L),Free Ammonia  (mg/L),Hardness (mg/L),Calcium (mg/L),Magnesium (mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR
1173,River Musi,D/s. of Musi at Pratapasingaram,0.3,7.08,1144,12,2.7,,170,920,49,,,,18,5,240,132,110,12,3.6,0.03,260,74,18.22,82,110,709,,24,1.14,,0.5,16,1.14,45.94,2.96
4657,River Musi,River Musi at Pillapalli,1.8,7.14,1020,11,6.77,,140,920,130,,,,18,5,210,128,95,14,3.4,0.03,235,72,13.37,84,108,680,,18,1.15,,0.5,14,1.35,48.07,3.06
4254,River Musi,River Musi sample at Rudravelly bridge,5.9,7.28,1114,4.4,9,0.23,79,540,79,,,,12,16,288,158,40,7.5,0.4,Less than 0.01,384.19,78,46,15,41,651,492,19,,0.23,0.5,5,0.2,18.48,0.91
4658,River Musi,"River Musi at Valigonda bridge, Nalgonda dist",5.4,7.32,1095,4.8,5,0.25,79,170,23,,,,13,12,280,150,44,8.3,0.4,Less than 0.01,370,76,44,16,39,639,485,13,,0.21,0.5,5,0.2,18.25,0.88
3082,River Musi,River Musi at Solipet (Kasaniguda),5.2,7.41,1029,5,4,0.19,Less than 1.8,13,Less than 1.8,,,,11,12,264,146,45,8.5,0.4,Less than 0.01,352,72,42,14,38,602,433,11,,0.24,0.5,4,0.2,18.66,0.88
1172,Lakes & Tanks ,U/s of Musi at Gandipet (Osmansagar lake),5.6,6.95,572,2.2,0.46,,Less than 1.8,33,Less than 1.8,,,,8,5,105,70,16,1.5,0.4,Less than 0.01,125,28,13.37,54,62,343,,10,1.39,,0.5,5,1.07,50.5,2.4
1780,Lakes & Tanks ,Gandigudem Tank,6,6.95,1848,7,8,0.27,Less than 1.8,13,Less than 1.8,,,,17,24,212,298,71,14.8,0.4,Less than 0.01,460.33,92,56,25,73,1083,769,31,,0.28,0.5,6,0.21,25.2,1.47
2358,Lakes & Tanks ,Mallapur tank,0.3,7.08,1420,21,5.92,,350,Greater than 1600,170,,,,28,5,275,166,150,16,4.2,0.03,364,78,41,110,158,842,,28,1.43,,0.5,12,0.75,47.4,3.59
2347,Lakes & Tanks ,Asani Kunta,0.3,7.08,6910,305,45,0.53,350,1600,170,,,,225,32,884,1256,1016,192,0.4,Less than 0.01,2124,442,248,162,227,3841,2889,140,,0.37,0.5,57,0.26,18.24,2.13
1783,Lakes & Tanks ,Kistareddypet Tank,5.9,7.23,3360,8.2,19,0.18,13,49,Less than 1.8,,,,19,28,268,342,78,17.4,0.4,Less than 0.01,928,195,107,89,102,1895,1526,27,,0.25,0.5,24,0.22,18.7,1.45
2348,Lakes & Tanks ,Khazipally Tank,4.1,7.05,2790,5,15,0.24,Less than 1.8,8,Less than 1.8,,,,12,16,284,312,48,6.8,0.4,Less than 0.01,496,96,62,28,81,1612,1215,21,,0.16,0.5,7,0.2,25.77,1.58
4302,Lakes & Tanks ,Rudraram Tank,6,7.1,1860,3,14,0.21,8,33,Less than 1.8,,,,14,16,176,304,27,5,0.4,Less than 0.01,464,84,62,27,65,1086,831,16,,0.19,0.5,14,0.2,22.52,1.31
4240,Lakes & Tanks ,"Muthangi Tank,",Sample was not collected as it was in dry condition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4241,Lakes & Tanks ,"Chitkul Tank,",4.8,7.04,1571,5,11,0.22,49,130,13,,,,12,16,288,188,52,12,0.4,Less than 0.01,395.67,76,50,19,57,896,694,15,,0.18,0.5,10,0.2,23.16,1.24
4242,Lakes & Tanks ,"Lakadaram Cheruvu,",5.3,6.74,1272,3,13,0.25,5,22,Less than 1.8,,,,16,8,192,146,28,5.8,0.4,Less than 0.01,292,58,36,14,39,721,581,17,,0.2,0.5,6,0.2,21.88,0.99
4243,Lakes & Tanks ,"Isnapur Tank,",4.6,6.94,5726,37,30,0.24,33,110,8,,,,22,28,256,354,110,20.8,0.4,Less than 0.01,1162,241,136,95,159,3185,2488,26,,0.22,0.5,27,0.2,22.31,2.02
4246,Lakes & Tanks ,Pashamylaram Tank,Letter was addressed to CPCB dated:26.10.2018 to relocate with Nalla Cheruvu Kukatpally,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1789,Lakes & Tanks ,Himayathsagar lake,6.1,7.61,369,2.1,0.29,,Less than 1.8,26,Less than 1.8,,,,8,5,70,50,14,1.5,0.4,Less than 0.01,85,14,12.15,26,39,214,,12,0.87,,0.5,5,1.42,47.95,1.83
3069,Lakes & Tanks ,"Shameerpet lake, Shameerpet",5.4,7.08,585,2.6,1.74,,8,70,Less than 1.8,,,,10,5,85,86,28,1.5,0.4,Less than 0.01,132,28,15,50,70,366,,16,0.74,,0.5,8,1.4,51.6,2.64
3078,Lakes & Tanks ,"Pragathinagar cheruvu, Kukatpally",1.2,7.22,998,8,2.6,,130,920,23,,,,9.6,5,145,158,72,1.5,0.4,Less than 0.01,160,28,21.87,86,134,640,,22,1.58,,0.5,8,0.21,62.96,4.59
2340,Lakes & Tanks ,Lakshminarayana cheruvu,4.8,7.48,1292,3.2,1.32,,Less than 1.8,Less than 1.8,Less than 1.8,,,,11,5,210,188,27,1.5,0.4,Less than 0.01,326,68,38,104,150,764,,22,1.55,,0.5,17,0.2,48.22,3.6
1788,Lakes & Tanks ,Saroornagar Lake,3.9,7.27,1070,10,2.29,,13,49,Less than 1.8,,,,12,5,145,160,87,10,2.8,0.03,170,34,20.66,98,136,631,,18,1.42,,0.5,12,1.39,61.33,4.52
4234,Lakes & Tanks ,"Umda sagar lake, Shamshabad",3.3,8.18,1277,7,2.91,,130,540,33,,,,17,5,210,176,68,1.5,0.4,Less than 0.01,230,62,18.22,104,146,791,,12,0.87,,0.5,21,1.4,55.17,4.18
1464,Lakes & Tanks ,Bibinagar Tank,5.9,7.01,414,3,4,0.16,13,33,Less than 1.8,,,,6,8,110,56,19,4.5,0.4,Less than 0.01,135.8,28,16,5,18,243,173,9,,0.11,0.5,2,0.2,21.94,0.67
3068,Lakes & Tanks ,Ramappa lake,6.1,8.2,236,2.1,1.38,,Less than 1.8,5,Less than 1.8,,,,3,5,45,33,8,1.5,0.4,Less than 0.01,55,12,6.08,19,26,146,,15,0.39,,0.5,3,1.22,48.86,1.52
1447,Lakes & Tanks ,Dharmasagar tank,5.9,8.3,272,2.1,0.89,,Less than 1.8,8,Less than 1.8,,,,4,10,58,35,14,1.5,0.4,Less than 0.01,97,24,9,23,27,160,,14,0.2,,0.5,3,0.2,36.68,1.19
2346,Lakes & Tanks ,Bhadrakali tank,5.2,8.51,590,2.1,1.14,,Less than 1.8,8,Less than 1.8,,,,6,20,110,88,20,1.5,0.4,Less than 0.01,120,28,12.15,37,69,372,,11,0.31,,0.5,5,0.2,54.14,2.73
3084,Lakes & Tanks ,"Waddepally tank, Kazipet",5.7,8.44,516,2.1,0.82,,Less than 1.8,39,Less than 1.8,,,,4,15,95,75,19,1.5,0.4,Less than 0.01,105,26,9.72,31,58,299,,15,0.47,,0.5,5,0.2,52.98,2.46
3085,Lakes & Tanks ,Chinnawaddepally tank,2.6,7.71,986,11,1.93,,Less than 1.8,70,Less than 1.8,,,,14,10,115,195,63,1.5,0.4,Less than 0.01,135,28,15.79,98,158,593,,32,0.2,,0.5,14,0.2,69.08,5.89
2343,Lakes & Tanks ,Premajipet tank,1.2,6.98,3450,24,2.09,,Less than 1.8,17,Less than 1.8, ,,,40,5,675,880,236,1.5,0.4,Less than 0.01,1260,248,155.52,106,342,1934,1563,18,1.06,,0.5,19,1.47,36.52,4.18
2345,Lakes & Tanks ,Sai Cheruvu,3.2,8.2,6750,30,2.37,,49,350,17,,,,24,5,610,792,296,1.5,0.4,Less than 0.01,720,104,111.78,390,956,3962,3054,20,0.24,,0.5,19,0.62,73.48,15.43
4222,Lakes & Tanks ,"Koneru, Kondagattu temple, Jagitiyal",no access to collect the sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4223,Lakes & Tanks ,"Vemulawada temple Koneru , Karimnagar",no access to collect the sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4228,Lakes & Tanks ,"Pedda Cheruvu/Ibrahim Cheruvu, Rajendra Nagar",1.7,6.97,1686,8,5.3,,Less than 1.8,33,Less than 1.8,,,,20,5,320,172,75,1.5,0.4,Less than 0.01,340,84,31.59,220,186,1012,,20,1.16,,0.5,37,1.45,50.96,4.38
4230,Lakes & Tanks ,Kistaipally Cheruvu,5.2,7.12,1391,2.8,14,0.21,,,,,,,11,12,224,172,26,5,0.4,Less than 0.01,347.75,70,42,19,47,801,621,12,,0.14,0.5,9,0.2,22.03,1.09
4231,Lakes & Tanks ,"Rayam Cheruvu,",5.6,7.06,495,2.4,3,0.26,,,,,,,7,8,104,64,22,4.2,0.4,Less than 0.01,135.8,28,16,7,21,289,208,10,,0.13,0.5,4,0.2,24.35,0.78
4232,Lakes & Tanks ,"Komati Cheruvu,",6.3,7.18,432,4.2,3,0.18,,,,,,,9,12,112,66,38,7.2,0.4,Less than 0.01,154.03,32,18,8,18,2610,2027,10,,0.17,0.5,2,0.2,19.89,0.63
4235,Lakes & Tanks ,Lake Kamuni( Shamshabad Lake),3.8,7.11,1208,6,6.9,,Less than 1.8,84,Less than 1.8,,,,20,5,230,174,64,1.5,0.4,Less than 0.01,321,69,36,61,132,689,,18,0.2,,0.5,12,1.39,45.92,3.2
4233,Lakes & Tanks ,"Gaddapotharam cheruvu,",5.1,6.37,4520,8.4,27,0.32,,,,,,,24,28,670,380,93,19.8,0.4,Less than 0.01,880,168,112,60,125,2625,1838,22,,0.28,0.5,14,0.2,23.1,1.83
4238,Lakes & Tanks ,"Ameenpur Cheruvu,",5.6,7.15,1182,4.4,7,0.25,23,92,8,,,,21,12,236,128,40,7.6,0.4,Less than 0.01,296.32,56,38,14,43,681,490,19,,0.23,0.5,5,0.2,23.47,1.08
4239,Lakes & Tanks ,"Mahaboobsagar Tank,",5.8,6.75,1178,4.6,7,0.19,8,33,Less than 1.8,,,,16,8,216,120,46,8.6,0.4,Less than 0.01,278.09,52,36,12,36,698,585,15,,0.19,0.5,5,0.2,21.46,0.94
4244,Lakes & Tanks ,"Erdanoor Tank,",Sample was not collected as it was in dry condition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4245,Lakes & Tanks ,"Mallepally Tank,",5.5,6.82,1143,4,8,0.21,13,46,Less than 1.8,,,,23,16,232,146,36,6.8,0.4,Less than 0.01,332,64,42,12,35,654,496,16,,0.21,0.5,5,0.2,18.22,0.83
4247,Lakes & Tanks ,"Mucharla Nagaram cheruvu, Warangal",5.5,8.38,703,2.2,1.4,,12,70,Less than 1.8,,,,16,20,110,99,21,1.5,0.4,Less than 0.01,135,36,10.94,53,79,444,,21,0.25,,0.5,8,0.25,54.08,2.95
4248,Lakes & Tanks ,"Koti Cheruvu, Hanamkonda, Warangal",4.3,8.1,698,4,2.19,,5,26,Less than 1.8,,,,14,5,125,94,34,1.5,0.4,Less than 0.01,140,32,14.58,54,76,441,,18,0.76,,0.5,9,0.29,52.04,2.79
4229,Lakes & Tanks ,Neknampur Lake,3.1,7.08,1904,8,2.44,,Less than 1.8,74,Less than 1.8,,,,22,5,440,265,96,1.5,0.4,Less than 0.01,510,128,46.17,138,204,1180,,14,0.68,,0.5,28,1.41,44.72,3.92
4249,Lakes & Tanks ,"Rangasamudram, Warangal",4.2,8.43,892,4,1.46,,23,170,Less than 1.8,,,,12,20,125,116,32,1.5,0.4,Less than 0.01,155,32,18.22,64,90,527,,18,0.51,,0.5,5,0.2,54.65,3.13
4661,Lakes & Tanks ,Peddakanjarla Tank,Sample was not collected as it was in dry condition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4666,Lakes & Tanks ,Ismailkhanpet Tank,Sample was not collected as it was in dry condition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4670,Lakes & Tanks ,"Bairamalaguda Cheruvu, Medchal-Malkajigiri District.",3.2,7.17,1219,7,2.59,,Less than 1.8,74,Less than 1.8,,,,26,5,195,174,80,1.5,0.4,Less than 0.01,220,48,24.3,94,144,760,,12,1.37,,0.5,10,1.43,57.22,4.21
4675,Lakes & Tanks ,"Lotus pond, Hakimpet (V), Shaik pet (new mandal)",5,8.22,600,3,1.2,,Less than 1.8,23,Less than 1.8,,,,12,5,85,91,29,1.5,0.4,Less than 0.01,105,18,14.58,52,72,360,,16,0.2,,0.5,9,1.01,57.16,3.04
4680,Lakes & Tanks ,Laknavaram lake,6.5,7.87,126,2.1,0.63,,17,170,Less than 1.8,,,,4,5,28,17,12,1.5,0.4,Less than 0.01,34,6,4.62,8,10,72,,16,0.2,,0.5,2,0.99,37.14,0.74
4681,Lakes & Tanks ,Pakala lake Narsampet,4.4,8.21,313,2.1,1.3,,23,240,33,,,,4,5,65,48,17,1.5,0.4,Less than 0.01,75,14,9.72,24,38,191,,15,0.2,,0.5,3,0.2,51.01,1.9
4682,Lakes & Tanks ,Bandham Cheruvu,1,8.28,921,4,1.74,,23,140,Less than 1.8,,,,8,5,148,186,45,1.5,0.4,Less than 0.01,160,32,19.44,69,146,580,,12,0.2,,0.5,7,0.2,65.12,5.0
4688,Lakes & Tanks ,"Narinja River, Kothur - B (V), Zaheerabad",7,6.98,198,2.1,1,0.24,33,110,13,,,,5,5,44,30,10,2,0.4,Less than 0.01,64,12,8,5,9,114,82,10,,0.13,0.5,2,0.2,22.89,0.49
1391,Lakes & Tanks ,Hussain sagar Lake,2,7.41,1204,8,2.62,,540,Greater than 1600,220,,,,6,5,220,162,74,10,2.8,0.05,255,56,27.95,78,129,688,,28,1.08,,0.5,8,1.42,51.26,3.5
3071,Lakes & Tanks ,Langarhouse lake,1.9,6.92,978,6,2.12,,8,170,Less than 1.8,,,,10,5,120,142,56,1.5,0.4,Less than 0.01,140,32,14.58,65,114,542,,32,1.87,,0.5,7,1.25,62.34,4.18
2341,Lakes & Tanks ,Miralam tank,2.7,7.23,1206,10,1.75,,Less than 1.8,240,Less than 1.8,,,,14,5,240,144,99,16,2.4,0.02,275,60,30.38,92,118,710,,26,0.48,,0.5,12,1.47,46.77,3.09
3073,Lakes & Tanks ,"Hasmathpet lake, Hasmathpet",0.3,7.14,928,20,2.49,,49,350,5,,,,12,5,125,134,106,10,2.2,0.02,224,45,27,92,111,572,,24,0.81,,0.5,11,1.08,50.23,3.22
3072,Lakes & Tanks ,Safilguda lake,0.3,6.94,816,6,2.04,,13,79,Less than 1.8,,,,12,5,140,118,62,1.5,0.4,Less than 0.01,211,50,21,57,94,480,,22,0.47,,0.5,9,1.37,47.7,2.8
3075,Lakes & Tanks ,Rangadhamuni cheruvu,2.5,7.01,778,13,0.87,,Less than 1.8,240,Less than 1.8,,,,13,5,105,82,42,1.5,0.4,Less than 0.01,238,49,28,38,92,442,,18,0.76,,0.5,9,1.3,44.37,2.59
3076,Lakes & Tanks ,"Amber cheruvu, Kukatpally",0.8,7.26,994,8,1.62,,79,540,17,,,,10,5,145,154,68,1.5,0.4,Less than 0.01,160,28,21.87,84,128,588,,14,0.92,,0.5,14,0.86,60.84,4.38
3077,Lakes & Tanks ,"Kapra cheruvu, Kapra",0.3,7.02,1386,12,2.13,,49,350,8,,,,20,5,215,224,122,12,2.2,0.01,245,64,20.66,86,171,780,,12,0.58,,0.5,12,1.32,58.71,4.74
