Station code,water_bodies,Station name,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia  (mg/L),Free Ammonia  (mg/L),Hardness (mg/L),Calcium (mg/L),Magnesium (mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR
4685,Lakes & Tanks ,Surisigal Lake Icrisat,6.1,7.02,413,2.7,4,0.22,240,1600,79,,,,4,8,56,32,18,3.4,0.4,Less than 0.01,152,36,15,9,15,251,208,26,,0.25,0.5,3,0.2,17.26,0.53
4686,Lakes & Tanks ,Icrisat Lake,6.3,7.09,678,3.8,5,0.17,8,33,Less than 1.8,,,,8,16,104,72,26,5,0.4,Less than 0.01,152,32,18,10,18,396,327,24,,0.22,0.5,3,0.2,19.77,0.63
4687,Lakes & Tanks ,Red Lake Icrisat,6.5,7.45,707,3.9,5,0.23,5,140,Less than 1.8,,,,11,20,136,84,30,5.8,0.4,Less than 0.01,202,48,20,11,26,401,345,22,,0.26,0.5,4,0.2,21.33,0.79
4689,Lakes & Tanks ,"Sunnam Kunta, Jubille hills",4.2,8.05,434,4,0.88,,Less than 1.8,79,Less than 1.8,,,,4,5,80,48,23,1.5,0.4,Less than 0.01,95,18,12.15,34,38,263,,12,0.2,,0.5,7,0.78,44.13,1.69
4690,Lakes & Tanks ,"Banjara Kunta (Singadi Kunta), Shaikpet",2.1,8.14,942,8,3.34,,Less than 1.8,110,Less than 1.8,,,,8,5,140,162,88,1.5,0.4,Less than 0.01,214,51,21,83,128,596,,20,0.59,,0.5,15,1.03,54.3,3.8
4691,Lakes & Tanks ,"Nagole Cheruvu, Uppal Malkajigiri District.",1.8,6.87,1450,18,2.72,,Less than 1.8,240,Less than 1.8,,,,14,5,155,132,92,1.5,0.4,Less than 0.01,302,65,34,112,105,815,,18,0.24,,0.5,18,1.45,41.09,2.62
4692,Lakes & Tanks ,"Ramanthapur Cheruvu, Medchal-Malkajigiri District.",Due to no accessibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4693,Lakes & Tanks ,"Patel Cheruvu, Madeenaguda, Miyapur",1.8,6.83,966,5,1.48,,12,170,Less than 1.8,,,,10,5,132,98,52,1.5,0.4,Less than 0.01,140,24,19.44,65,88,548,,12,1.05,,0.5,10,1.2,55.43,3.22
4694,Lakes & Tanks ,Mundla Katwa Lake,"4237 & 4694 BOTH ARE SAMPLE i.e., OLD 4237 DATA HAS TO BE TAKEN (4694 TO REPLACE)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4695,Lakes & Tanks ,"Khaja Kunta, Kukatpally (V)",Lake sample was not collected as lake is under maintenance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
