Station code,water_bodies,Station name,District,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia  (mg/L),Free Ammonia  (mg/L),Total Hardness as CaCO3(mg/L),Calcium Hardness as CaCo3(mg/L),Calcium as Ca+2(mg/L),Magnesium Hardness as CaCo3 (mg/L),Magnesium as Mg+2(mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR
4257,River Maneru / Manair,"River Maneru (tributary of Godavari) - at D/S of municipal dump site, Karimnagar",Karimnagar,1,7.97,1807,4,,,11,280,1.8,,,,10.6,5,500,284,16,4.48,0.4,0.02,516,320,128,196,47.63,176,,1120,,10,2.72,,0.5,,0.2,,
4664,River Maneru / Manair,"River Maneru (tributary of Godavari) - at Ghattepalli (V) near Sulthanabad, Karimnagar",Karimnagar,4.8,8.14,771,1.1,,,14,170,2,,,,8.7,5,210,86,12,2.24,0.4,0.03,226,140,56,86,20.9,52,,492,,12,1.41,,0.5,,0.46,,
4665,River Maneru / Manair,"River Maneru (tributary of Godavari) - Outlet of KTPP Ash pond joining to morancha vagu, Chelpur (V), Ghanpur (Mulugu) (M), , Jayashankar bhupalapalli District",Bhadradri Kothagudem ,4.8,7.46,856,1,,,4,110,Less than 1.8,,,,29.6,5,220,76,12,1.5,0.4,0.01,238,160,64,78,18.95,44,,530,,10,0.26,,0.5,,0.42,,
1158,River Maneru / Manair,"River Maneru (tributary of Godavari) - at Somanpally , Peddapalli",Peddapalli,6,7.72,570,1,,,Less than 1.8,40,Less than 1.8,,,,6.8,5,150,56,8,1.5,0.4,0.01,162,100,40,62,15.07,33,,354,,10,0.2,,0.5,,0.44,,
4258,River Manjeera,"River Manjeera (tributary of Godavari) - Singoor Dam Reservoir,Singure (V), Pulkal (M), Sangareddy District",Sangareddy,6.2,7.67,494,1.6,4,0.1,4,13,2,,,,7,12,100,62,15,2.2,0.4,0.01,160,85,34,74.07,18,8,17,280,173.6,10,,0.05,0.5,2,0.28,18.52,0.58
1157,River Manjeera,"River Manjeera (tributary of Godavari) - at Raipally, Sangareedy",Sangareddy,6.5,7.32,562,2.3,4,0.12,7.8,33,5.6,,,,10,16,128,66,24,4.5,0.4,0.01,184,95,38,90.53,22,8,20,321,205.44,11,,0.05,0.5,3,0.34,18.58,0.64
1781,River Manjeera,"River Manjeera (tributary of Godavari) - at Ganapathi sugars, Sangareddy",Sangareddy,5.9,7.08,574,2.6,3,0.1,8.1,39,6,,,,8,18,136,72,28,5.04,0.4,0.01,200,100,40,98.77,24,10,22,329,230.3,10,,0.05,0.5,3,0.27,19.0,0.68
2374,River Manjeera,"River Manjeera (tributary of Godavari) - U/s of River Manjeera at Gowdicherla before confluence with Nakkavagu, Sangaredy",Sangareddy,5.9,7.25,656,2.9,4,0.16,9.1,27,6.1,,,,9,20,140,78,31,5.6,0.4,0.01,212,105,42,107.0,26,13,23,360,223.2,10,,0.12,0.5,4,0.25,18.62,0.68
2375,River Manjeera,"River Manjeera (tributary of Godavari) - D/s of River Manjeera at Gowdicherla atfter confluence with Nakkavagu, Sangareddy",Sangareddy,6.1,7.22,594,2.8,4,0.12,8.3,43,6.8,,,,14,20,136,68,27,4.5,0.4,0.01,192,100,40,90.53,22,9,22,324,207.36,10,,0.15,0.5,3,0.4,19.65,0.69
2349,River Manjeera,"River Manjeera (tributary of Godavari) - Nakka vagu at Bachugudem, Sangareedy",Sangareddy,2.7,7.21,1773,8,6,0.1,12,130,8.2,,,,12,24,256,154,83,12,0.8,0.01,401,195,78,205.76,50,22,43,988,651.44,12,,0.17,0.5,4,0.36,18.62,0.93
4226,River Manjeera,"River Manjeera (tributary of Godavari) - River Manjeera at Yedu Payala Temple, Nagsampalli (V), Papannapet (M), Medak District",Medak,6,7.1,845,1.8,8,0.1,2,20,1.8,,,,9,8,160,86,21,3.4,0.4,0.01,244,120,48,123.46,30,14,24,482,332.58,10,,0.09,0.5,5,0.39,17.19,0.67
2372,River Kinneresani,"River Kinnerasani (tributrary of Godavari) - Kinnerasani after confluence of KTPS ash pond effluents ,Bhadradri Kothagudem",Bhadradri Kothagudem ,5.8,8.26,479,1,,,1.8,21,Less than 1.8,,,,14,15,120,48,5,1.5,0.4,0.03,134,82,32.8,52,12.64,22,,302,,10,0.2,,0.5,,0.28,,
3080,River Kinneresani,"River Kinnerasani (tributrary of Godavari) - U/s of Karakavagu at Paloncha , Bhadradri Kothagudem",Bhadradri Kothagudem ,5.6,8.18,563,1.1,,,1.8,26,Less than 1.8,,,,40,5,165,39,8,1.5,0.4,0.03,166,96.0,38.4,70,17.01,23,,360,,10,0.2,,0.5,,0.2,,
3081,River Kinneresani,"River Kinnerasani (tributrary of Godavari) - D/s of Karakavagu at Paloncha, Bhadradri Kothagudem",Bhadradri Kothagudem ,5.2,8.11,476,1,,,2,33,Less than 1.8,,,,6.8,5,125,42,5,1.5,0.4,0.03,138,80,32,58,14.09,24,,300,,10,0.2,,0.5,,0.2,,
1784,River Krishna ,"River Krishna at Thangadi, Thangadi(V), Krishna(M), Narayanapet(D)",Mahaboobnagar,5.8,8.02,1051,1.4,,,2,220,Less than 1.8,,,,6.2,5,275,116,16,1.5,0.4,0.02,292,175,70,117,28.43,68,,652,,10,0.2,,0.5,,0.52,,
0039,River Krishna ,"River Krishna at Gadwal bridge,Nadhi Agraharam, Gadwal(Munci.), Jogulamba Gadwal(D)",Mahaboobnagar,5.6,8.35,1068,1.6,,,2,220,Less than 1.8,,,,7.4,15,290,116,20,1.5,0.4,0.04,310,195,78,115,27.95,70,,672,,10,0.2,,0.5,,0.82,,
4225,River Krishna ,"River Krishna at Jogulamba Temple, Alampur(V&M), Jogulamba Gadwal(D)",Jogulamba Gadwal,5.6,7.75,1394,1.1,,,4,280,Less than 1.8,,,,9.6,5,385,177,12,1.5,0.4,0.01,398,240,96,158,38.39,108,,864,,10,0.2,,0.5,,0.8,,
4259,River Krishna ,"River Krishna - Nagarjuna Sagar Dam Spill way, Nagarjuna Sagar (V), Peddavoora (M),Nalgonda",Nalgonda,6.2,7.87,652,2.3,4,0.1,4.5,22,2,,,,9,8,156,86,20,3.4,0.4,0.01,232,115,46,115.23,28,14,27,374,228.14,10,,0.13,0.5,5,0.25,19.78,0.77
4252,River Krishna ,"River Krishna - Udaya Samudram balancing Reservoir, Nalgonda",Nalgonda,6.3,7.37,797,2.4,6,0.15,6.8,38,4,,,,12,10,176,106,22,2.2,0.4,0.01,280,140,56,139.92,34,17,32,474,303.36,10,,0.12,0.5,6,0.32,19.38,0.83
1465,River Krishna ,"River Krishna - Confluence of River Krishna & River Musi at Wadapally (V), Damarcharla (M), Nalgonda District",Nalgonda,6,8.02,816,2.5,5,0.17,8.3,27,4.6,,,,7,11,168,102,27,4.5,0.4,0.01,252,130,52,123.46,30,14,28,449,301,10,,0.1,0.5,4,0.28,18.96,0.76
4663,River Krishna ,"River Krishna at Mattepally, 500 mts. before bathing ghat, Suryapet",Suryapet,6.2,7.89,730,2.8,4,0.1,9.2,43,5.5,,,,6,12,152,90,29,5.6,0.4,0.01,240,125,50,115.23,28,16,25,408,289,10,,0.1,0.5,4,0.22,18.05,0.7
4250,River Krishna ,"River Krishna - Palair Reservoir, Palair(V), Kusumanchi(M),Khammam(D)",Khammam,6,8.08,545,1,,,2,150,Less than 1.8,,,,2.2,5,150,64,5,1.5,0.4,0.03,164,100,40,64,15.55,38,,346,,10,0.2,,0.5,,0.22,,
4251,River Krishna ,"River Krishna - D/s of Munneru River, Prakash Nagar, Khammam",Khammam,5.4,8.12,675,1.1,,,24,220,11,,,,4.6,5,175,71,12,2.24,0.4,0.03,192,115,46,77,18.71,44,,418,,10,0.2,,0.5,,0.24,,
5108,River Krishna ,"River Krishna before confluence of River Musi at Wadapally (V), Damaracharla (M), Nalgonda (D)",Nalgonda,6.3,7.32,714,2,3,0.1,Less than 1.8,17,Less than 1.8,,,,5,8,160,96,16,2.8,0.4,0.01,228,120,48,107.0,26,9,23,402,260,10,,0.05,0.5,2,0.2,17.8,0.66
